grant_num,grant_total,surname,forename,day,month,year,in_devon,metaphone,unique_id,group_id,combined_id,metaphone_id,master_id,monastic_official
2,,Plantagenet,Arthur,4,9,1537,0,PLNTJNT,33349,16055,11409,8124,11409,
3,2740,Wriothesley,Thomas,6,11,1537,0,R0SL,33350,16056,11410,8125,8281,
4,2920,Howard,William ,9,3,1538,0,HRT,15606,5426,5372,7915,5372,
5,,Wallop,John,29,5,1538,0,ALP,7401,15110,10680,4916,10680,
7,14320,Russell,John,4,7,1539,0,RSL,19598,12376,8572,1433,8572,
8,,Duke,Richard,5,2,1540,0.5,TK,15097,4860,3165,6523,3165,
9,1127,Dennis,Thomas,11,2,1540,1,TNS,31803,4129,2915,7575,2915,1
10,417,Ridgeway,John,4,3,1540,1,RJ,31707,12114,11324,6876,11324,
11,520,Bluett,Roger,10,3,1540,0.5,PLT,27251,1400,993,1322,993,
12,314,Dennis,Thomas,16,3,1540,1,TNS,31803,4129,2915,7575,2915,1
13,236,Grenville,John,22,3,1540,0.5,KRNFL,26040,6718,4449,1210,4449,
14,,Carew,Thomas,29,4,1540,0.5,KR,26609,2432,5798,973,5798,
15,54,Menyfee,John,8,6,1540,0,MNF,33351,16057,11411,154,7085,
16,760,Pollard,Richard,23,6,1540,0.5,PLRT,20673,11499,7968,1343,7968,
17,541,Dennis,Thomas,25,6,1540,1,TNS,31803,4129,2915,7575,2915,1
18,553,Knolles,Francis,12,7,1540,0,NLS,31664,8777,7214,6817,7214,
19,,Clerk,John,27,9,1540,0,KLRK,13774,2835,2166,223,2166,
20,1275,Southcott,John,23,12,1540,1,S0KT,12315,13318,9330,2344,9330,
21,200,Peers,John,17,2,1541,1,PRS,33352,16058,11412,1701,8045,
22,283,Harvey,Anthony,15,3,1541,0,HRF,3308,7194,4839,661,4839,
23,,Canterburychapter,,23,5,1541,0,KNTRPRXPTR,33353,16059,11413,8126,11410,
24,233,Grenville,Richard,26,5,1541,0.5,KRNFL,26040,6718,4449,1210,4449,
25,434,Champernon,Katherine,10,3,1542,0.5,XMPRNN,33354,16060,11414,2642,1922,
26,599,Williams,Richard,29,3,1542,0,ALMS,9877,15617,11043,1423,11043,
27,140,Harvey,Anthony,27,4,1542,0,HRF,3308,7194,4839,661,4839,
29,4461,Andrews,Richard,17,6,1542,0,ANTRS,15799,296,171,5720,171,
30,200,Davy,Robert,15,8,1542,1,TF,30107,3863,2831,3938,2831,
32,,Colles,Humphrey,16,3,1543,0,KLS,33355,16061,11415,7750,2302,
33,116,Leger,John,10,6,1543,0.5,LJR,11721,9074,6255,2665,6255,
34,521,Smyth,Walter,3,7,1543,1,SM0,11024,13221,9273,2828,9273,
35,2403,Andrews,Richard,4,7,1543,0,ANTRS,15799,296,171,5720,171,
36,439,Savery,Richard,8,7,1543,1,SFR,21984,12543,8658,2679,8658,
37,852.8,Giles,John,18,7,1543,1,KLS,29900,6303,4171,7750,4171,
38,405,Duke,Richard,18,7,1543,0.5,TK,15097,4860,3165,6523,3165,
39,254,Dennis,Henry,3,8,1543,1,TNS,31803,4129,2915,7575,2915,
40,1436,Parker,Richard,6,8,1543,0.5,PRKR,8173,10967,7571,1019,7571,
41,735,Goodwin,Thomas,26,8,1543,0.5,KTN,32650,6544,4291,7913,4291,
42,93,Gale,Thomas,22,2,1544,0.5,KL,6691,6070,4033,475,4033,
44,1286,Baker,John,23,5,1544,?,PKR,22841,652,416,4825,416,
45,,Fulford,John,11,6,1544,0.5,FLFRT,22961,6005,3973,755,3973,
46,125.4166667,Stucley,Hugh,14,6,1544,0.5,STKL,5517,13799,9677,4569,9677,
46,125.4166667,Haydon,George,14,6,1544,0.5,HTN,12355,7317,4644,6267,4644,
47,330,Walter,Edmund,1,7,1544,?,ALTR,10774,15122,10691,6001,10691,
48,340.5,Haydon,George,6,8,1544,0.5,HTN,12355,7317,4644,6267,4644,
48,340.5,Rolle,George,6,8,1544,0.5,RL,33356,16062,11416,505,8276,
49,391,Brown,Leonard,17,8,1544,?,PRN,25661,1995,1465,1085,1465,
49,391,Riggs,William,17,8,1544,?,RKS,7455,12097,8422,7643,8422,
50,127.5,Champernon,Arthur,19,8,1544,1,XMPRNN,33357,16060,11414,2642,1922,
50,127.5,Champernon,Philip,19,8,1544,1,XMPRNN,33357,16060,11414,2642,1922,
51,4,Dyon,Lincoln,20,8,1544,0,TN,33357,16063,11417,5850,2748,
51,4,Brokylsbye,Richard,20,8,1544,0,PRKLSP,33358,16064,11418,264,1424,
52,959,Goodwin,Thomas,26,9,1544,0.5,KTN,32650,6544,4291,7913,4291,
53,,Foster,Anthony,26,9,1544,0,FSTR,10222,5649,3884,6939,3884,
53,,Pope,John,26,9,1544,0,PP,8538,11517,7984,5150,7984,
54,421.5,Tregonwell,John,24,10,1544,0,TRKNL,33359,16065,11419,6344,10407,
