name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group,metaphone,unique_id,group_id,combined_id,metaphone_id,master_id,unique_treatment,unique_control,group_treatment,group_control,combined_treatment,combined_control,metaphone_treatment,metaphone_control,master_treatment,master_control,unique_control2_group,group_control2_group,combined_control2_group,metaphone_control2_group,master_control2_group
"Abbot, Arthur, Harriet, 70",Abbot,2.0,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0,APT,2622,9,5969,2573,5969,0,0,0,0,0,0,0,0,0,0,,,,,
"Abbotsbury, 348",Abbotsbury,7824.0,0.0,0.0,0.0,0.0,APTSPR,A10321060,APTSPR A10321060,7824.0,7824.0,0,0,0,0,APTSPR,53753,36459,31762,10193,11832,0,0,0,0,0,0,0,0,0,0,,,,,
"Abbott, Ann, 211; Anne, 157, 159; Sir Charles, 44; George, 211; William, 157",Abbott,,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0,APT,12020,9,5969,2573,5969,0,0,0,0,0,0,0,0,0,0,,,,,
"Abingdon, Berks., 55",Abingdon,,0.0,0.0,0.0,0.0,APNKTN,A1052305,APNKTN A1052305,5.0,5.0,0,0,0,0,APNKTN,53754,36460,31763,6227,10,0,0,0,0,0,0,0,0,0,0,,,,,
"Aboukir, H.M.S., 87, 277",Aboukir,7825.0,0.0,0.0,0.0,0.0,APKR,A10206,APKR A10206,7825.0,7825.0,0,0,0,0,APKR,53755,36461,31764,10194,4627,0,0,0,0,0,0,0,0,0,0,,,,,
"Abyssinia, barque, 8",Abyssinia,7826.0,0.0,0.0,0.0,0.0,APSN,A102050,APSN A102050,7826.0,7826.0,0,0,0,0,APSN,53756,36462,31765,3490,4,0,0,0,0,0,0,0,0,0,0,,,,,15.0
"Achym, Cecily, 312",Achym,,0.0,0.0,0.0,0.0,AXM,A205,AXM A205,6032.0,6032.0,0,0,0,0,AXM,53757,36463,31766,974,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Ackland, Acland, Arthur, 167; Clara, 270; Henry, 47; Thomas, Sir Thomas, 167; William, 270",Ackland,,0.0,0.0,0.0,0.0,AKLNT,A24053,AKLNT A24053,12.0,12.0,0,0,0,0,AKLNT,9168,43,4632,4400,4632,0,0,0,0,0,0,0,0,0,0,,,,,
"Acland-Troyte, Sir Gilbert, H., John, Marjorie, 167",Aclandtroyte,7827.0,0.0,0.0,0.0,0.0,AKLNTRT,A240536030,AKLNTRT A240536030,7827.0,7827.0,0,0,0,0,AKLNTRT,53758,36464,31767,10195,11947,0,0,0,0,0,0,0,0,0,0,,,,,
"Acraman, Laura, 274",Acraman,,0.0,0.0,0.0,0.0,AKRMN,A260505,AKRMN A260505,10549.0,10549.0,0,0,0,0,AKRMN,23282,40,28,6032,28,0,0,0,0,0,0,0,0,0,0,,,,,
