parish,hundred,terrain,mean_elev,mean_slope,wheatsuit,lspc1332,agsh1370,indsh1370,ind_1831,agr_share,agr_1831,ind_share,mills_1400,gent_1400,NrPatents,copys_1850,mills,NrGentry,area,landOwned,WheatYield,copys_1516,hrv_land,lspc1525,distriver,distmkt,distcoal,latitude,longitude,hrv_dums,lland,count_1524,tot_val_rank_1524,count_rank_1524,count_pctile_1524,avg_val_rank_1524,max_val_rank_1524,count_1543,tot_val_rank_1543,count_rank_1543,count_pctile_1543,avg_val_rank_1543,max_val_rank_1543,count_1581,tot_val_rank_1581,count_rank_1581,count_pctile_1581,avg_val_rank_1581,max_val_rank_1581,count_1674,tot_val_rank_1674,count_rank_1674,count_pctile_1674,avg_val_rank_1674,max_val_rank_1674,count_1840,tot_val_rank_1840,count_rank_1840,count_pctile_1840,avg_val_rank_1840,max_val_rank_1840,recipient_treatment_group,recipient_treatment_group_43,recipient_treatment_group_post_43,recipient_control_group,recipient_control_group_43,recipient_control_group_post_43,rando_group,recipient_count_1524,control_count_1524,recipient_count_share_1524,control_count_share_1524,recipient_tot_val_share_1524,control_tot_val_share_1524,tot_val_rank_1524_1543_corr,avg_val_rank_1524_1543_corr,max_val_rank_1524_1543_corr,tot_val_pctile_1524_1543_corr,avg_val_pctile_1524_1543_corr,max_val_pctile_1524_1543_corr,tot_val_rank_1524_1581_corr,avg_val_rank_1524_1581_corr,max_val_rank_1524_1581_corr,tot_val_pctile_1524_1581_corr,avg_val_pctile_1524_1581_corr,max_val_pctile_1524_1581_corr,tot_val_rank_1524_1674_corr,avg_val_rank_1524_1674_corr,max_val_rank_1524_1674_corr,tot_val_pctile_1524_1674_corr,avg_val_pctile_1524_1674_corr,max_val_pctile_1524_1674_corr,tot_val_rank_1524_1840_corr,avg_val_rank_1524_1840_corr,max_val_rank_1524_1840_corr,tot_val_pctile_1524_1840_corr,avg_val_pctile_1524_1840_corr,max_val_pctile_1524_1840_corr,recipient_count_1543,control_count_1543,recipient_count_share_1543,control_count_share_1543,recipient_tot_val_share_1543,control_tot_val_share_1543,tot_val_rank_1543_1581_corr,avg_val_rank_1543_1581_corr,max_val_rank_1543_1581_corr,tot_val_pctile_1543_1581_corr,avg_val_pctile_1543_1581_corr,max_val_pctile_1543_1581_corr,tot_val_rank_1543_1674_corr,avg_val_rank_1543_1674_corr,max_val_rank_1543_1674_corr,tot_val_pctile_1543_1674_corr,avg_val_pctile_1543_1674_corr,max_val_pctile_1543_1674_corr,tot_val_rank_1543_1840_corr,avg_val_rank_1543_1840_corr,max_val_rank_1543_1840_corr,tot_val_pctile_1543_1840_corr,avg_val_pctile_1543_1840_corr,max_val_pctile_1543_1840_corr,recipient_count_1581,control_count_1581,recipient_count_share_1581,control_count_share_1581,recipient_tot_val_share_1581,control_tot_val_share_1581,tot_val_rank_1581_1674_corr,avg_val_rank_1581_1674_corr,max_val_rank_1581_1674_corr,tot_val_pctile_1581_1674_corr,avg_val_pctile_1581_1674_corr,max_val_pctile_1581_1674_corr,tot_val_rank_1581_1840_corr,avg_val_rank_1581_1840_corr,max_val_rank_1581_1840_corr,tot_val_pctile_1581_1840_corr,avg_val_pctile_1581_1840_corr,max_val_pctile_1581_1840_corr,recipient_count_1674,control_count_1674,recipient_count_share_1674,control_count_share_1674,recipient_tot_val_share_1674,control_tot_val_share_1674,tot_val_rank_1674_1840_corr,avg_val_rank_1674_1840_corr,max_val_rank_1674_1840_corr,tot_val_pctile_1674_1840_corr,avg_val_pctile_1674_1840_corr,max_val_pctile_1674_1840_corr,recipient_count_1840,control_count_1840,recipient_count_share_1840,control_count_share_1840,recipient_tot_val_share_1840,control_tot_val_share_1840,tot_val_1524,avg_val_1524,max_val_1524,avg_val_pctile_1524,max_val_pctile_1524,tot_val_pctile_1524,tot_val_1543,avg_val_1543,max_val_1543,avg_val_pctile_1543,max_val_pctile_1543,tot_val_pctile_1543,tot_val_1581,avg_val_1581,max_val_1581,avg_val_pctile_1581,max_val_pctile_1581,tot_val_pctile_1581,tot_val_1674,avg_val_1674,max_val_1674,avg_val_pctile_1674,max_val_pctile_1674,tot_val_pctile_1674,tot_val_1840,avg_val_1840,max_val_1840,avg_val_pctile_1840,max_val_pctile_1840,tot_val_pctile_1840,recipient_grant_value
Abbots Bickington,Black Torrington,Dissected low plateaux and ridges,158.03865,3.4605908,33.849998,0.0869040524196396,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5243365,0.0,15.0,0.0,240.0,9.500000449783494,1.1249861,11.739086,80.784462,237804.64,113218.99,1,0.0,7.0,3.0,3.0,0.6,3.0,3.0,11.0,5.5,5.5,0.55,5.5,5.5,3.0,2.0,2.0,0.6666666666666666,2.0,2.0,11.0,6.0,6.0,0.5454545454545454,6.0,6.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.8666666666666667,2.0,0.6,0.6,0.6,64.0,6.25,6.3,0.55,0.55,0.55,16.0,5.333333333333333,5.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,20.0,1.8181818181818181,1.8181818181818181,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,,,0.0
Abbotsham,Shebbear,Dissected low plateaux and ridges,61.07056,3.8633668,24.57,0.0785497169253262,0.0,0.0,0.12643678,0.0,0.65517241,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.485477,0.0,12.0,0.0,3661.999993069793,13.703703487811262,3.8488035,4.1145883,66.177605,242072.25,127225.84,1,0.0,56.0,22.5,22.5,0.5113636363636364,22.5,22.5,50.0,21.5,21.5,0.5119047619047619,21.5,21.5,23.0,10.5,10.5,0.525,10.5,10.5,91.0,38.0,38.0,0.5066666666666666,38.0,38.0,88.0,22.0,23.0,0.5,17.75,21.125,0.0,0.0,0.0,0.013605442176870748,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5401984117709209,0.27940699196067315,0.40069339963512823,0.5401984117709208,0.2794069919606731,0.4006933996351283,0.30720348974583783,-0.02584379348438326,0.24264830617959604,0.30720348974583783,-0.02584379348438319,0.24264830617959604,0.4263838564719651,0.4629922095596349,0.3705739875670495,0.4263838564719651,0.46299220955963466,0.37057398756704935,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.621177261338102,0.9416061706312756,0.922696575946791,0.621177261338102,0.9416061706312756,0.922696575946791,0.1490916496212157,0.3414482631678802,0.2729795328072367,0.14909164962121566,0.34144826316788013,0.2729795328072368,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3995463183853524,0.051571062312939654,0.20061530426246493,0.39954631838535226,0.05157106231293966,0.20061530426246493,,,,,,,0.0,2.0,0.0,0.02197802197802198,0.0,0.012121212121212121,1.0,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,131.0,2.2405303030303028,2.590909090909091,0.5113636363636364,0.5113636363636364,0.5113636363636364,184.0,3.5892857142857144,3.761904761904762,0.5119047619047619,0.5119047619047619,0.5119047619047619,93.0,4.108333333333333,4.25,0.525,0.525,0.525,165.0,1.7711111111111113,1.8533333333333333,0.5066666666666667,0.5066666666666667,0.5066666666666667,18452.0,312.6470588235294,743.5,0.6193181818181819,0.5426136363636364,0.5227272727272727,0.0
Abbotskerswell,Haytor,Dissected low plateaux and ridges,56.4757,4.6438642,30.43,0.0887170677871158,0.0,0.0,0.17391305,0.0,0.7608695600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.972731500000002,5815.5,16.0,0.0,720.0,0.0,4.0766788,9.9431677,111.98419,285993.94,68469.75,1,8.668453985256821,41.0,14.0,14.0,0.5185185185185185,14.0,14.0,0.0,,,,,,28.0,11.0,11.0,0.5238095238095237,11.0,11.0,38.0,17.0,17.0,0.5151515151515151,17.0,17.0,285.5,35.6875,31.8125,0.5836148648648649,38.125,37.875,0.029850746268656716,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,0.0,1.0,0.0,0.024390243902439025,0.0,0.043478260869565216,0.0,,,,,,,0.6968551101067844,0.503485511435536,0.8195085914371274,0.6968551101067844,0.5034855114355362,0.8195085914371273,-0.16109788070419523,-0.4752183058747349,-0.13645504917145612,-0.16109788070419512,-0.47521830587473496,-0.1364550491714565,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.03571428571428571,0.0,0.04878048780487805,-0.25941313119897386,-0.32644595149633365,-0.1898785608139402,-0.2594131311989738,-0.32644595149633365,-0.1898785608139402,0.728630531387905,0.6201007861599976,0.6079260927683737,0.728630531387905,0.6201007861599978,0.6079260927683736,1.0,0.0,0.02631578947368421,0.0,0.03571428571428571,0.0,-0.6015713866354981,-0.8414175722079934,-0.8863913517459592,-0.6015713866354983,-0.8414175722079934,-0.8863913517459593,66.5,46.5,0.2329246935201401,0.1628721541155867,6.650483822698102e-05,0.00029927177202141456,138.0,3.1807760141093473,3.7777777777777777,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.0,,,,,,82.0,3.1269841269841274,3.3095238095238093,0.5238095238095238,0.5238095238095238,0.5238095238095238,84.0,2.257575757575758,2.303030303030303,0.5151515151515151,0.5151515151515151,0.5151515151515151,30073.0,143.1905314757482,445.75,0.4983108108108108,0.5016891891891891,0.53125,524.0
Alphington,Wonford,Dissected low plateaux and ridges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.808055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,88.0,37.0,37.0,0.5068493150684932,37.0,37.0,94.0,39.5,39.5,0.5064102564102564,39.5,39.5,51.0,22.5,22.5,0.5113636363636364,22.5,22.5,21.0,10.5,10.5,0.525,10.5,10.5,695.0,46.333333333333336,44.2,0.6338983050847458,53.93333333333333,50.233333333333334,0.011494252873563218,0.011494252873563218,0.005747126436781609,0.028735632183908046,0.011494252873563218,0.011494252873563218,0.005747126436781609,2.0,3.0,0.022727272727272728,0.03409090909090909,0.005157386236655264,0.033523010538259214,0.7820494089342747,0.6255753702647004,0.6993907511206713,0.7820494089342748,0.6255753702647003,0.6993907511206712,-0.42850530886130067,-0.32732683535398854,-0.3531717070202825,-0.42850530886130067,-0.3273268353539885,-0.35317170702028244,,,,,,,0.09129682828904508,-0.019585734002476894,0.1539883708366684,0.09129682828904506,-0.019585734002476807,0.1539883708366683,1.0,5.0,0.010638297872340425,0.053191489361702114,0.005964214711729622,0.049701789264413515,0.6702308947383043,0.7083692960738476,0.7932466205962806,0.6702308947383042,0.7083692960738475,0.7932466205962804,0.042207495591251455,0.28947368421052627,0.027482485496465668,0.042207495591251545,0.2894736842105263,0.027482485496465682,0.18124550874327422,-0.017644959054749526,0.14722549316647776,0.1812455087432741,-0.01764495905474945,0.14722549316647773,0.0,1.0,0.0,0.0196078431372549,0.0,0.0051813471502590676,0.41385522059499597,0.23267226851803885,0.35950389549745315,0.4138552205949962,0.2326722685180388,0.35950389549745315,-0.4127629344833322,-0.650599492709462,-0.6223394769169057,-0.4127629344833322,-0.650599492709462,-0.6223394769169056,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,36.0,0.0,0.05179856115107914,0.0,0.035470450181352677,387.79333333333335,4.465205479452054,4.787123287671233,0.5068493150684932,0.5068493150684932,0.5068493150684932,503.0,5.316239316239317,5.935897435897436,0.5064102564102564,0.5064102564102564,0.5064102564102564,193.0,3.554924242424242,3.840909090909091,0.5113636363636364,0.5113636363636364,0.5113636363636364,62.666666666666664,3.0083333333333333,3.033333333333333,0.525,0.525,0.525,37496.0,370.7574315443011,585.1333333333333,0.5514124293785311,0.5827683615819209,0.615819209039548,1732.4
Alverdiscott,Fremington,Dissected low plateaux and ridges,129.81801,3.6032739,23.790001,0.1028708790489438,0.0,0.0,0.10843374,0.0,0.6987952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.587352813,0.0,0.0,0.0,240.0,22.461538012346782,3.0179274,3.7825308,65.459175,251523.59,124802.84,1,0.0,25.0,12.5,12.5,0.5208333333333334,12.5,12.5,0.0,,,,,,17.0,7.5,7.5,0.5357142857142857,7.5,7.5,37.0,18.5,18.5,0.5138888888888888,18.5,18.5,45.0,15.0,14.833333333333334,0.5677083333333334,17.0,16.666666666666668,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.16917071927823787,-0.16917071927823787,-0.16917071927823785,-0.16917071927823787,-0.16917071927823787,-0.16917071927823785,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0588235294117647,0.0,0.0684931506849315,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,10.0,0.0,0.2222222222222222,0.0,0.32621299969484285,76.0,2.7916666666666665,3.0833333333333335,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.0,,,,,,73.0,4.464285714285714,4.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,93.0,2.5416666666666665,2.5555555555555554,0.5138888888888888,0.5138888888888888,0.5138888888888888,19662.0,229.90601668862539,869.0,0.5,0.5104166666666666,0.5625,0.0
Alwington,Shebbear,Dissected low plateaux and ridges,100.50826,5.4012456,23.559999,0.0,0.0,0.0,0.1981982,0.0,0.54054052,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10.993947,0.0,0.0,0.0,560.0000277831667,24.43999647727456,5.2249866,5.8809404,69.461815,240347.61,124376.45,1,0.0,49.0,18.5,18.5,0.5138888888888888,18.5,18.5,43.0,19.0,19.0,0.5135135135135135,19.0,19.0,17.0,8.5,8.5,0.53125,8.5,8.5,42.0,20.5,20.5,0.5125,20.5,20.5,306.0,27.818181818181817,26.772727272727273,0.5774962742175856,29.045454545454547,28.818181818181817,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6901658704897305,0.5268122884361285,0.6615600413132993,0.6901658704897305,0.5268122884361286,0.6615600413132993,0.8994706490823018,0.1114540232930057,0.8009762915959372,0.8994706490823019,0.11145402329300585,0.8009762915959372,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.06976744186046512,0.0,0.043478260869565216,0.0,0.3273470625645968,0.6397402312873979,0.5660220423101493,0.3273470625645968,0.6397402312873979,0.5660220423101493,0.2401922307076307,0.23128651015928142,0.26015295118650816,0.24019223070763066,0.23128651015928142,0.2601529511865082,0.767463610681124,0.7375467819710316,0.797278912605696,0.7674636106811243,0.7375467819710312,0.7972789126056962,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.995326953653705,0.9988428161160617,0.9901357247051092,0.995326953653705,0.9988428161160618,0.9901357247051095,1.0,1.0,0.023809523809523808,0.023809523809523808,0.038461538461538464,0.019230769230769232,0.29886998179295404,0.15971106997876358,0.24466968876744058,0.29886998179295404,0.15971106997876344,0.24466968876744055,0.0,50.5,0.0,0.1650326797385621,0.0,0.0002683579764499512,165.0,3.8314814814814815,4.055555555555555,0.5138888888888888,0.5138888888888888,0.5138888888888888,230.0,5.6891891891891895,5.864864864864865,0.5135135135135135,0.5135135135135135,0.5135135135135135,92.66666666666667,5.510416666666667,5.604166666666667,0.53125,0.53125,0.53125,104.0,2.5,2.55,0.5125,0.5125,0.5125,152781.0,216.94636117769988,1067.909090909091,0.5402384500745157,0.5439642324888226,0.5603576751117735,2053.4
Arlington,Shirwell,Dissected hills,211.91864,5.7620893,18.530001,0.0725081812542165,0.0,0.0,0.16393442,0.0,0.55737704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.376501,0.0,0.0,0.0,240.0,10.571428506430404,1.3650919,6.7771769,48.228455,262511.47,140766.36,1,0.0,28.0,12.5,12.5,0.5208333333333334,12.5,12.5,29.0,12.0,12.0,0.5217391304347825,12.0,12.0,16.0,7.5,7.5,0.5357142857142857,7.5,7.5,0.0,,,,,,5.0,2.5,2.5,0.9318181818181819,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.4098468425339563,0.0022201870047118873,0.28291512438148086,0.4098468425339563,0.0022201870047119437,0.28291512438148086,0.294341718353622,0.2869178420409593,0.35433071668499244,0.29434171835362205,0.28691784204095944,0.3543307166849925,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5721607344103157,0.9998174349596834,0.9089928601075203,0.5721607344103157,0.9998174349596836,0.9089928601075208,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.4768518518518516,4.138888888888888,0.5208333333333334,0.5208333333333334,0.5208333333333334,104.0,3.623188405797101,4.130434782608695,0.5217391304347826,0.5217391304347826,0.5217391304347826,55.0,3.4642857142857144,3.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.0,,,,,,165166.0,821.304945054945,8699.0,0.8181818181818182,0.8181818181818181,0.9318181818181819,0.0
Ashburton,Teignbridge,Dissected low plateaux and ridges,174.16493,6.977189499999999,26.549999,0.0774586668198584,0.0,0.0,0.29254302,0.0,0.3393881299999999,0.0,0.0,2.0,0.0,0.0,6.0,6.0,56.165248,861.5,16.0,0.0,480.0,102.4800147647522,2.4997153,0.089418657,113.07738,275489.06,71592.148,1,6.759835148905514,142.0,60.0,60.0,0.5042016806722689,60.0,60.0,237.0,81.5,81.5,0.5030864197530864,81.5,81.5,0.0,,,,,,263.0,95.0,95.0,0.5026455026455026,95.0,95.0,8892.5,128.8768115942029,118.14492753623189,0.5424026268115942,133.18115942028984,129.92753623188406,0.01015228426395939,0.007614213197969543,0.0025380710659898475,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.0,3.0,3.0,0.021126760563380278,0.021126760563380278,0.037122969837587005,0.006496519721577726,0.3524966043699787,0.36785057277592276,0.3804796783572261,0.35249660436997865,0.36785057277592287,0.380479678357226,,,,,,,0.4299693480188528,0.4441331148923808,0.5679667363391069,0.4299693480188528,0.44413311489238066,0.5679667363391065,0.24866395649992598,0.14893384832578976,0.1539600776256476,0.248663956499926,0.14893384832578976,0.15396007762564762,0.0,5.0,0.0,0.02109704641350211,0.0,0.02039911308203991,,,,,,,0.17171204102768728,0.010674793329253434,0.14977356953485124,0.17171204102768722,0.010674793329253396,0.14977356953485124,0.04483997742934283,0.14394465212547972,0.1010224408211914,0.044839977429342856,0.1439446521254797,0.10102244082119141,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,0.0038022813688212928,0.0038022813688212928,0.002004008016032064,0.002004008016032064,-0.15407699730327695,-0.09346041297592571,-0.04584440073645212,-0.15407699730327698,-0.09346041297592571,-0.04584440073645224,96.0,402.0,0.01079561428169806,0.045206634804610624,0.021038007343455394,7.846558245694201e-05,1077.5,8.180672268907562,8.542016806722689,0.5042016806722689,0.5042016806722689,0.5042016806722689,1127.5,4.487294238683127,5.361111111111111,0.5030864197530864,0.5030864197530864,0.5030864197530864,0.0,,,,,,499.0,1.8965986394557823,2.058201058201058,0.5026455026455027,0.5026455026455026,0.5026455026455026,433311.0,452.80878375278957,1823.0144927536232,0.48366734601449274,0.4963768115942029,0.5004812047101449,2233.0
Ashbury,Black Torrington,Dissected low plateaux and ridges,187.67329,4.1515861,35.84,0.0869040524196396,0.0,0.0,0.0,0.0,0.91666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0483915,0.0,0.0,0.0,240.0,27.59999949018192,3.7177057,6.4982905,93.522789,251200.02,96540.078,1,0.0,10.0,3.0,3.0,0.6,3.0,3.0,10.0,4.0,4.0,0.5714285714285714,4.0,4.0,5.0,2.0,2.0,0.6666666666666666,2.0,2.0,10.0,5.5,5.5,0.55,5.5,5.5,8.0,8.0,6.0,0.375,8.0,8.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.1,0.0,0.10344827586206896,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,67.33333333333334,5.3133333333333335,8.8,0.6,0.6,0.6,40.0,3.7142857142857144,5.142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,21.0,4.0,4.666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,29.0,2.9,2.9,0.55,0.55,0.55,381.0,63.5,186.0,0.125,0.125,0.125,760.0
Ashcombe,Exminster,Dissected low plateaux and ridges,150.44968,8.1866026,21.610001,0.0514901389103503,0.0,0.0,0.26804122,0.0,0.65979379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.777829,0.0,15.0,0.0,240.0,16.599999964023734,6.5315189,4.4045773,99.746826,291920.66,78992.828,1,0.0,21.0,10.0,10.0,0.5263157894736842,10.0,10.0,34.0,14.5,14.5,0.5178571428571429,14.5,14.5,0.0,,,,,,30.0,12.0,12.0,0.5217391304347825,12.0,12.0,15.0,7.5,7.5,0.675,8.5,7.0,0.01639344262295082,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,1.0,0.0,0.047619047619047616,0.0,0.05714285714285714,0.0,0.7442497715829265,0.4012672542116515,0.5796941243586187,0.7442497715829266,0.4012672542116516,0.579694124358619,,,,,,,0.6657713824897638,0.6546536707079771,0.6805335008193815,0.6657713824897638,0.6546536707079772,0.6805335008193815,,,,,,,1.0,0.0,0.029411764705882353,0.0,0.03816793893129771,0.0,,,,,,,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.03333333333333333,0.0,0.014285714285714285,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,3.3333333333333335,3.3684210526315788,0.5263157894736842,0.5263157894736842,0.5263157894736842,131.0,3.4642857142857144,3.7857142857142856,0.5178571428571428,0.5178571428571428,0.5178571428571429,0.0,,,,,,70.0,2.239130434782609,2.4782608695652173,0.5217391304347826,0.5217391304347826,0.5217391304347826,38483.0,358.11011904761904,1011.5,0.625,0.7,0.675,681.3095238000001
