parish,parish_val_1524,parish_val_1543,parish_val_1581,parish_val_1674,parish_count_1524,parish_count_1543,parish_count_1581,parish_count_1674,parish_max_val_1524,parish_max_val_1543,parish_max_val_1581,parish_max_val_1674,parish_unique_treatment_1524,parish_unique_treatment_1543,parish_unique_treatment_1581,parish_unique_treatment_1674,parish_unique_control_1524,parish_unique_control_1543,parish_unique_control_1581,parish_unique_control_1674,parish_unique_treatment_val_1524,parish_unique_treatment_val_1543,parish_unique_treatment_val_1581,parish_unique_treatment_val_1674,parish_unique_control_val_1524,parish_unique_control_val_1543,parish_unique_control_val_1581,parish_unique_control_val_1674,parish_group_treatment_1524,parish_group_treatment_1543,parish_group_treatment_1581,parish_group_treatment_1674,parish_group_control_1524,parish_group_control_1543,parish_group_control_1581,parish_group_control_1674,parish_group_treatment_val_1524,parish_group_treatment_val_1543,parish_group_treatment_val_1581,parish_group_treatment_val_1674,parish_group_control_val_1524,parish_group_control_val_1543,parish_group_control_val_1581,parish_group_control_val_1674,parish_combined_treatment_1524,parish_combined_treatment_1543,parish_combined_treatment_1581,parish_combined_treatment_1674,parish_combined_control_1524,parish_combined_control_1543,parish_combined_control_1581,parish_combined_control_1674,parish_combined_treatment_val_1524,parish_combined_treatment_val_1543,parish_combined_treatment_val_1581,parish_combined_treatment_val_1674,parish_combined_control_val_1524,parish_combined_control_val_1543,parish_combined_control_val_1581,parish_combined_control_val_1674,parish_metaphone_treatment_1524,parish_metaphone_treatment_1543,parish_metaphone_treatment_1581,parish_metaphone_treatment_1674,parish_metaphone_control_1524,parish_metaphone_control_1543,parish_metaphone_control_1581,parish_metaphone_control_1674,parish_metaphone_treatment_val_1524,parish_metaphone_treatment_val_1543,parish_metaphone_treatment_val_1581,parish_metaphone_treatment_val_1674,parish_metaphone_control_val_1524,parish_metaphone_control_val_1543,parish_metaphone_control_val_1581,parish_metaphone_control_val_1674,parish_master_treatment_1524,parish_master_treatment_1543,parish_master_treatment_1581,parish_master_treatment_1674,parish_master_control_1524,parish_master_control_1543,parish_master_control_1581,parish_master_control_1674,parish_master_treatment_val_1524,parish_master_treatment_val_1543,parish_master_treatment_val_1581,parish_master_treatment_val_1674,parish_master_control_val_1524,parish_master_control_val_1543,parish_master_control_val_1581,parish_master_control_val_1674,parish_avg_val_1524,parish_avg_val_1543,parish_avg_val_1581,parish_avg_val_1674,parish_value_1840,parish_count_1840,parish_max_val_1840,parish_unique_treatment_1840,parish_unique_control_1840,parish_unique_treatment_value_1840,parish_unique_control_value_1840,parish_group_treatment_1840,parish_group_control_1840,parish_group_treatment_value_1840,parish_group_control_value_1840,parish_combined_treatment_1840,parish_combined_control_1840,parish_combined_treatment_value_1840,parish_combined_control_value_1840,parish_metaphone_treatment_1840,parish_metaphone_control_1840,parish_metaphone_treatment_value_1840,parish_metaphone_control_value_1840,parish_master_treatment_1840,parish_master_control_1840,parish_master_treatment_value_1840,parish_master_control_value_1840,parish_avg_val_1840,hundred,terrain,mean_elev,mean_slope,wheatsuit,lspc1332,agsh1370,indsh1370,ind_1831,agr_share,agr_1831,ind_share,mills_1400,gent_1400,NrPatents,copys_1850,mills,NrGentry,area,landOwned,WheatYield,copys_1516,hrv_land,lspc1525,distriver,distmkt,distcoal,latitude,longitude,hrv_dums
Abbots Bickington,12,64,16,20,7,11,3,11,3,13,7,3,0,0,0,0.090909091,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.090909091,0,0,0,0.18181818181818182,0,0,0,1,0,0,0,2,0,0,0,0.090909091,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.18181818181818182,0,0.090909091,0,0.090909091,0,0,1,2,0,1,0,1,0,0,0,0.090909091,0,0,0,0,0,0,0,1,0,0,0,0,1.7142857142857142,5.818181818181818,5.333333333333333,1.8181818181818181,172591,249,6172,0.6626506024096386,0,165,0,0.6626506024096386,0,165,0,0.6626506024096386,0,165,0,0.6626506024096386,0,165,0,0.6626506024096386,0,165,0,693.1365461847389,BLACK TORRINGTON,Dissected low plateaux and ridges,158.03865,3.4605908,33.849998,0.086904052,0,0,0,0,1,0,0,0,0,0,0,0,4.5243365,0,15,0,240,9.500000449783494,1.1249861,11.739086,80.784462,237804.64,113218.99,1
Abbotsham,131,184,93,165,56,50,23,91,11,16,10,10,0,0,0,0.010989011,0.017857142857142856,0.02,0,0.010989011,0,0,0,1,1,1,0,1,0,0,0,0.010989011,0.017857142857142856,0.02,0.043478260869565216,0.021978022,0,0,0,1,1,1,1,2,0.035714286,0.02,0.043478260869565216,0.021978022,0.017857142857142856,0.06,0.086956522,0.054945054945054944,2,1,1,2,1,3,2,5,0.035714286,0.02,0,0.087912088,0.053571429,0.08,0.086956522,0.098901099,2,1,0,8,3,4,2,9,0.053571429,0.06,0.13043478260869565,0.065934066,0,0.04,0.043478260869565216,0.065934066,3,3,3,6,0,2,1,6,2.3392857142857144,3.68,4.043478260869565,1.8131868131868132,233189,781,3543,0,0,0,0,0,0.00128041,0,1,0,0.014084507042253521,0,11,0,0.006402049,0,5,0,0.00128041,0,1,298.5774647887324,SHEBBEAR,Dissected low plateaux and ridges,61.07056,3.8633668,24.57,0.078549717,0,0,0.12643678,0,0.65517241,0,0,0,0,0,0,2,7.485477,0,12,0,3661.999993069793,13.703703487811262,3.8488035,4.1145883,66.177605,242072.25,127225.84,1
Abbotskerswell,138,235.5,82,84,41,53,28,38,10,19,15,6,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,2,0,0.037735849,0,0.026315789,0,0.018867924528301886,0.071428571,0.052631579,0,2,0,1,0,1,2,2,0,0.037735849,0,0.026315789,0,0.018867924528301886,0.035714286,0.052631579,0,2,0,1,0,1,1,2,0.024390243902439025,0.11320754716981132,0.10714285714285714,0.078947368,0.024390243902439025,0.075471698,0.035714286,0.078947368,1,6,3,3,1,4,1,3,0.024390243902439025,0.037735849,0,0.026315789,0.024390243902439025,0.094339623,0.14285714285714285,0.10526315789473684,1,2,0,1,1,5,4,4,3.3658536585365852,4.443396226415095,2.9285714285714284,2.210526315789474,225373,753,6306,0,0.069057105,0,52,0,0.046480744,0,35,0.009296149,0.051792829,7,39,0.047808765,0.1049136786188579,36,79,0.050464807,0.046480744,38,35,299.30013280212484,HAYTOR,Dissected low plateaux and ridges,56.4757,4.6438642,30.43,0.088717068,0,0,0.17391305,0,0.7608695600000001,0,0,0,0,0,0,0,17.972731500000002,5815.5,16,0,720,0,4.0766788,9.9431677,111.98419,285993.94,68469.75,1
Alphington,387.79333333333335,503,193,62.666666666666664,88,94,51,21,25,20,15,10,0.011363636363636364,0.010638297872340425,0.019607843,0,0.034090909,0.021276596,0,0.095238095,1,1,1,0,3,2,0,2,0.022727272727272728,0.031914893617021274,0.039215686,0,0.022727272727272728,0.021276596,0.039215686,0,2,3,2,0,2,2,2,0,0.034090909,0.031914893617021274,0.039215686,0,0.045454545454545456,0.031914893617021274,0.078431373,0,3,3,2,0,4,3,4,0,0.056818181818181816,0.053191489,0.058823529411764705,0,0.10227272727272728,0.13829787234042554,0.078431373,0,5,5,3,0,9,13,4,0,0.079545455,0.11702127659574468,0.098039216,0.047619047619047616,0.022727272727272728,0.010638297872340425,0,0,7,11,5,1,2,1,0,0,4.406742424242425,5.351063829787234,3.784313725490196,2.984126984126984,398599,931,2883,0.016111708,0.006444683,15,6,0.016111708,0,15,0,0.022556390977443608,0,21,0,0.2964554242749731,0.004296455,276,4,0.024704618689581095,0,23,0,428.1407089,,Dissected low plateaux and ridges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.808055,0,0,0,0,0,0,0,0,0,0,0
Alverdiscott,76,,73,93,25,,17,37,16,,7,12,0,,0,0,0,,0.058823529411764705,0,0,,0,0,0,,1,0,0,,0,0.027027027,0,,0.058823529411764705,0,0,,0,1,0,,1,0,0.04,,0,0.027027027,0,,0,0.027027027,1,,0,1,0,,0,1,0.04,,0,0.027027027,0.12,,0.23529411764705882,0.054054054,1,,0,1,3,,4,2,0.08,,0,0.027027027,0,,0,0,2,,0,1,0,,0,0,3.04,,4.294117647058823,2.5135135135135136,354513,847,2916,0.017709563,0,15,0,0.017709563,0.0094451,15,8,0.017709563,0.0094451,15,8,0.017709563,0.31286894923258557,15,265,0.017709563,0,15,0,418.5513577331759,FREMINGTON,Dissected low plateaux and ridges,129.81801,3.6032739,23.790001,0.1028708790489438,0,0,0.10843374,0,0.6987952,0,0,0,0,0,0,0,9.587352813,0,0,0,240,22.461538012346782,3.0179274,3.7825308,65.459175,251523.59,124802.84,1
Alwington,165,230,92.66666666666667,104,49,43,17,42,40,40,15,17,0,0.023255813953488372,0,0,0.040816327,0.023255813953488372,0,0,0,1,0,0,2,1,0,0,0,0.023255813953488372,0,0.023809523809523808,0.040816327,0.023255813953488372,0,0,0,1,0,1,2,1,0,0,0,0.023255813953488372,0,0.023809523809523808,0.020408163,0.023255813953488372,0,0,0,1,0,1,1,1,0,0,0,0.11627906976744186,0,0.071428571,0.020408163,0.069767442,0.058823529411764705,0.16666666666666666,0,5,0,3,1,3,1,7,0,0.069767442,0,0.11904761904761904,0.040816327,0.046511627906976744,0,0.023809523809523808,0,3,0,5,2,2,0,1,3.367346939,5.348837209302325,5.450980392156863,2.4761904761904763,419100,1087,3736,0.023919043,0,26,0,0.023919043,0,26,0,0.023919043,0,26,0,0.023919043,0,26,0,0.023919043,0,26,0,385.5565777368905,SHEBBEAR,Dissected low plateaux and ridges,100.50826,5.4012456,23.559999,0,0,0,0.1981982,0,0.54054052,0,0,1,0,0,0,3,10.993947,0,0,0,560.0000277831667,24.43999647727456,5.2249866,5.8809404,69.461815,240347.61,124376.45,1
Arlington,104,104,55,,28,29,16,,33,10,5,,0.035714286,0.034482758620689655,0.0625,,0,0.034482758620689655,0,,1,1,1,,0,1,0,,0.035714286,0.034482758620689655,0.0625,,0,0.068965517,0,,1,1,1,,0,2,0,,0.035714286,0.034482758620689655,0.0625,,0,0.068965517,0,,1,1,1,,0,2,0,,0.035714286,0.034482758620689655,0.1875,,0,0.034482758620689655,0,,1,1,3,,0,1,0,,0.035714286,0.034482758620689655,0.0625,,0,0.068965517,0,,1,1,1,,0,2,0,,3.7142857142857144,3.586206896551724,3.4375,,405226,618,14738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.7055016,SHERWILL,Dissected hills,211.91864,5.7620893,18.530001,0.072508181,0,0,0.16393442,0,0.55737704,0,0,0,0,0,0,0,10.376501,0,0,0,240,10.571428506430404,1.3650919,6.7771769,48.228455,262511.47,140766.36,1
Ashburton,1077.5,1127.5,361,499,142,237,115,263,140,40,8,10,0.007042254,0,0,0.011406844106463879,0.028169014084507043,0.004219409,0,0.030418250950570342,1,0,0,3,4,1,0,8,0.007042254,0,0,0.015209125475285171,0.049295775,0.050632911,0.017391304347826087,0.072243346,1,0,0,4,7,12,2,19,0.014084507042253521,0.021097046,0.008695652,0.034220532319391636,0.035211267605633804,0.054852321,0.034782608695652174,0.08365019,2,5,1,9,5,13,4,22,0.070422535,0.054852321,0.034782608695652174,0.068441065,0.098591549,0.033755274,0.052173913,0.034220532319391636,10,13,4,18,14,8,6,9,0.049295775,0.037974684,0.008695652,0.034220532319391636,0.042253521,0.05907173,0.026086957,0.072243346,7,9,1,9,6,14,3,19,7.588028169014085,4.757383966244726,3.139130434782609,1.897338403041825,1059029,2185,56960,0.055835240274599546,0.001372998,122,3,0.055835240274599546,0.024713959,122,54,0.065446224,0.022425629290617848,143,49,0.062700229,0.089244851,137,195,0.066819222,0.064988558,146,142,484.68146453089247,TEIGNBRIDGE,Dissected low plateaux and ridges,174.16493,6.977189499999999,26.549999,0.077458667,0,0,0.29254302,0,0.3393881299999999,0,0,2,0,0,6,6,56.165248,861.5,16,0,480,102.4800147647522,2.4997153,0.089418657,113.07738,275489.06,71592.148,1
Ashbury,67.33333333333334,40,21,29,10,10,5,10,23,8,7,11,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,6.733333333333334,4,4.2,2.9,265028,291,37082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.7491408934708,BLACK TORRINGTON,Dissected low plateaux and ridges,187.67329,4.1515861,35.84,0.086904052,0,0,0,0,0.91666669,0,0,0,0,0,0,1,7.0483915,0,0,0,240,27.59999949018192,3.7177057,6.4982905,93.522789,251200.02,96540.078,1
Ashcombe,70,131,53,70,21,34,19,30,7,15,6,6,0.047619047619047616,0.029411764705882353,0,0.033333333,0,0,0,0.033333333,1,1,0,1,0,0,0,1,0.047619047619047616,0.058823529411764705,0,0.033333333,0.095238095,0.058823529411764705,0.052631579,0.066666667,1,2,0,1,2,2,1,2,0.047619047619047616,0.058823529411764705,0.052631579,0.033333333,0.047619047619047616,0.058823529411764705,0.052631579,0.033333333,1,2,1,1,1,2,1,1,0.047619047619047616,0.058823529411764705,0.10526315789473684,0.1,0.19047619047619047,0.20588235294117646,0.15789473684210525,0.26666666666666666,1,2,2,3,4,7,3,8,0.095238095,0.058823529411764705,0.10526315789473684,0.033333333,0,0.029411764705882353,0,0.033333333,2,2,2,1,0,1,0,1,3.3333333333333335,3.8529411764705883,2.789473684210526,2.3333333333333335,309143,456,14170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677.9451754385965,EXMINSTER,Dissected low plateaux and ridges,150.44968,8.1866026,21.610001,0.051490139,0,0,0.26804122,0,0.65979379,0,0,1,0,0,0,0,7.777829,0,15,0,240,16.599999964023734,6.5315189,4.4045773,99.746826,291920.66,78992.828,1
