SALCOMBE PARISH (Salcombe Regis)

Thomas Waryn G 30
John Lyde G 9
Roger Paytevyn G 2
William Sladde G 20
John Smyth G 3
Thomas Hoper G 13⅓
Thomas Laby G 2
Richard Shyrwyn G 14
Thomas Clerke G 2
Walter Roger G 3
John Hoper G 16
John Manfeld G 4
William Pavys G 3
William Holleway G 2

William Paytewen G 2
Richard Lucas G 20
William Pery G 2
Thomas Chanon G 6
Thomas Lyde G 18
Henry Grygge G 6
John Paytewen G 2
John Poys W 1
John Laby W 1
Clement Lukas W 1
Robert Rondell G 2
Richard Wryght W 1
John Holleway W 1
Henry Paytewen W 1

Joan Wekes (G2 wid) L w
Robert Holleway G 13⅓
Richard Haydon G 7
Henry Rondell G 8
John Lukas G 9⅓
Robert Touker W 3
William Plegh W 1
Roger Touker W 1
William Lacy W 1
Thomas Parker G 3
Thomas Harrys W 1
John Rondell W 1

HERPEFORD PARISH (Harpford)

John Snaydon G 20
William Coke G 10
Robert Sladde G 6⅔
Richard Tayllor G 5
Richard Westcote G 5
John Drake G 2
David Bruer G 2⅙
William Peamer G 2
Walter Alyn G 2
William Frost G 2

Thomas Colprust G 4
John Healmer G 4
Thomas Bond G 3⅓
John Adam G 2
William Adam W 1
Robert Pery W 1
William Chanon G 5
John Clase G 1⅓
Jn Perott (G36/8) G 1⅓

John Burgyn W 1
Roger Peamer W 1
William Sanford W 1
Lewis Drewston W 1
John Chylston G 2⅔
Jn Bowdon (W26/8) G 1⅓
John Ybbedon W 1
Robt Stoford (Staward W 1
William Dabraham W 1
