BUDLEGH PARISH (East Budleigh)

Walter Ralegh L 50
John Ford L 10
Joan Ford L 50
Roger?Fouler 40
John Crosse 14
Richard Feytor 131
Henry Kenwode 131
William Harrys 131
John Chanon 10
Gilbert Bagwell 10
John Coland 10
Ralph Clegg 10
Hugh Moren 10
John Cooke 6
Henry Hoppyng 6
Robert Hidon 6
Richard Dycher 6
John Kemer 6
Roger Lucas 6
James Bowryng 5
Robert Smyth 5
Vincent Gybbe 5
John Rondell 5
Richard Russell 5
Robert Moll 5
Roger Trych 5
John Tailor 5
.... Rixor 5
Isabel Pegon 5
Isabel Moll 5

Nicholas Skarr 2
William Browne 4
John Brayne 4
Edmund Webber 4
William Crosse 4
May be some missing here
William Moll .
Charles Moll .
William Tokerman .
John Harris .
William Payn .
John Bedycombe .
.... ..... .
Philip Brasse? .
Humphry Hector 2
William Hall 1
John Nycoll 1
Edmund Talant 1
Richard Cowde 1
Margaret Gurdeler 1
Gilbert Moody 1
.... ..... .
.... ..... .
William Cheyke 1
Stephen Hand 1
John Baileff 1
John Mathewe 2
William Dycher 1
Nicholas Mayne 1
Richard Mayne 1

John Wise 1
John . . . . . 1
Richard Pope 1
John Pope 1
Henry Smyth 1
Roger Jerman 1
John Sampson 1
John Tawton 1
Richard Rondell 1
Ralph?Slape 1
John Philep 1
John Cooke 1
Henry Jeffrey 1
Morris Evyn 1
Agnes Holt 1
William Toller 1
Robert ..... 1
John Gosse 1
George Strange 1
Gilbert ..... 1
John Cheyke 1
John Parker 1
John Frost 1
Gilbert Rondell 1
Richard Herdeng 1
William . . . . . 1
John Borough 1
John Gosse 1
John . . . . . 1
Thomas ..... 1

WOODBURY PARISH

Thomas Heydon 30
Thomas Goffe L 13⅓
Andrew Hoppyng 20
Christopher Wescote 10
Robert Adam 10
William Tyll 10
John Wescote de
Combe 10
John Wescote de
Greyndell 15
John Crosse 10
William Sym 10
Joan Ware 10
Robert? Williams 10
John Forde 4
William Jacob 5
Richard* Peres .
John *Parker .
Walter Gybb .
Walter Holmede 7
John Williams 4
Richard Phylep 2
John_____2

William Lutton? 3
William Jerman 5
Richard Plympton 1
Thomas Smyth 2
Alice Hoper 8
Andrew Hoper 1
John Hoper 1
Peter Hoper 1
John Churchhyll 2
.... ..... 1
.... ..... 1
.... Tyll 1
61ost, Figures 2x£1
2x£2, £3,£4.
---- Wescote 1
---- Roo 1
Richard Wescote 2
Thomas Pyne 2
John Anleby 2
James Mylward 1
William Sym 1
James Croth 1
Nicholas Elyot 2

John Trenchard 1
Thomas Wescote 1
John Bagwell 1
John Langlee 1
William Hoppyng 1
John at Yate 5
Peter at Yate 3
.... Morrys 3
.... Hoppyng? 1
.... Franke 2
____Bagwell 7
9 lost, Figures 4x£1,
2x£2, £3,£4,£8.
William Webber 2
Richard Tye 4
John Hoppyng 2
Richard Smythe 3
Richard Shott 8
John Shotte 2
Thomas Hunt 2
John Bedycombe 2
John Kent 8
Thomas Morrys 5
