subisdy,image_name,x1,x2,y1,y2,category,page,note,text
1581,little_subsidy1581_page_018.png,149.99,272.26,30.34,43.480000000000004,parish,18,1,
1581,little_subsidy1581_page_018.png,34.79,149.99,46.51,227.39,left_column,18,2,
1581,little_subsidy1581_page_018.png,157.06,274.28,45.5,221.33,center_column,18,3,
1581,little_subsidy1581_page_018.png,284.39,398.58,44.49,223.35000000000002,right_column,18,4,
1581,little_subsidy1581_page_018.png,183.33,259.12,235.48,249.62,parish,18,5,
1581,little_subsidy1581_page_018.png,35.8,148.98000000000002,251.65,273.88,left_column,18,6,
1581,little_subsidy1581_page_018.png,161.1,276.3,250.63,270.8,center_column,18,7,
1581,little_subsidy1581_page_018.png,288.43,397.57,251.65,266.8,right_column,18,8,
1581,little_subsidy1581_page_018.png,165.15,271.25,286.0,297.1,parish,18,9,
1581,little_subsidy1581_page_018.png,35.8,148.98000000000002,300.2,378.96999999999997,left_column,18,10,
1581,little_subsidy1581_page_018.png,162.11,277.31,301.0,379.0,center_column,18,11,
1581,little_subsidy1581_page_018.png,286.41,400.6,299.14,380.99,right_column,18,12,
1581,little_subsidy1581_page_019.png,185.46,275.39,29.33,40.449999999999996,parish,19,1,
1581,little_subsidy1581_page_019.png,49.06,157.84,45.44,147.19,left_column,19,2,
1581,little_subsidy1581_page_019.png,172.46,285.32,44.27,146.61,center_column,19,3,
1581,little_subsidy1581_page_019.png,296.72,408.42,44.27,138.42000000000002,right_column,19,4,
1581,little_subsidy1581_page_019.png,184.74,346.72,161.81,172.92000000000002,parish,19,5,
1581,little_subsidy1581_page_019.png,48.48,159.59,175.85,210.94,left_column,19,6,
1581,little_subsidy1581_page_019.png,175.38,283.57,177.02,209.77,center_column,19,7,
1581,little_subsidy1581_page_019.png,299.65,409.59,176.43,203.33,right_column,19,8,
1581,little_subsidy1581_page_019.png,195.26,322.15999999999997,223.8,235.5,parish,19,9,
1581,little_subsidy1581_page_019.png,50.23,160.18,240.18,257.13,left_column,19,10,
1581,little_subsidy1581_page_019.png,174.21,286.49,240.18,257.72,center_column,19,11,
1581,little_subsidy1581_page_019.png,194.68,268.36,272.34,284.61999999999995,parish,19,12,
1581,little_subsidy1581_page_019.png,49.65,160.18,288.71,298.7,left_column,19,13,
1581,little_subsidy1581_page_019.png,175.38,283.57,288.13,299.24,center_column,19,14,
1581,little_subsidy1581_page_019.png,300.23,409.01,288.71,299.82,right_column,19,15,
1581,little_subsidy1581_page_019.png,184.15,352.57,303.3,315.61,parish,19,16,
