surname_id,surname,metaphone,soundex,mp_se,u_id
0.0,Abbay,AP,A100,AP A100,1.0
1.0,Abbot,APT,A103,APT A103,2.0
2.0,Abell,APL,A104,APL A104,110.0
3.0,Aberton,APRTN,A106305,APRTN A106305,4.0
4.0,Abington,APNKTN,A1052305,APNKTN A1052305,5.0
5.0,Abraham,APRHM,A1605,APRHM A1605,6.0
6.0,Abtor,APTR,A1306,APTR A1306,115.0
7.0,Aceller,ASLR,A20406,ASLR A20406,8.0
8.0,Acland,AKLNT,A24053,AKLNT A24053,12.0
8.0,Agland,AKLNT,A24053,AKLNT A24053,12.0
8.0,Aclond,AKLNT,A24053,AKLNT A24053,12.0
8.0,Aglond,AKLNT,A24053,AKLNT A24053,12.0
10.0,Actor,AKTR,A2306,AKTR A2306,13.0
12.0,Adam,ATM,A305,ATM A305,15.0
12.0,Adams,ATMS,A3052,ATMS A3052,15.0
13.0,Addington,ATNKTN,A3052305,ATNKTN A3052305,16.0
14.0,Addis,ATS,A302,ATS A302,24.0
15.0,Addiscot,ATSKT,A30203,ATSKT A30203,18.0
16.0,Addiscote,ATSKT,A302030,ATSKT A302030,20.0
16.0,Adecot,ATKT,A30203,ATKT A30203,20.0
17.0,Addryngton,ATRNKTN,A36052305,ATRNKTN A36052305,21.0
18.0,Adown,ATN,A305,ATN A305,22.0
19.0,Adrean,ATRN,A3605,ATRN A3605,23.0
20.0,Adys,ATS,A302,ATS A302,24.0
21.0,Agard,AKRT,A2063,AKRT A2063,25.0
22.0,Agarnesy,AKRNS,A2065020,AKRNS A2065020,26.0
23.0,Agcombe,AKKMP,A20510,AKKMP A20510,27.0
24.0,Agebaston,AJPSTN,A20102305,AJPSTN A20102305,28.0
25.0,Agett,AKT,A203,AKT A203,29.0
26.0,Agever,AJFR,A20106,AJFR A20106,31.0
26.0,Aggeven,AKFN,A20105,AKFN A20105,31.0
27.0,Agger,AKR,A206,AKR A206,36.0
27.0,Anger,ANKR,A5206,ANKR A5206,36.0
27.0,Auger,AKR,A0206,AKR A0206,36.0
27.0,Augger,AKR,A0206,AKR A0206,36.0
27.0,Ayger,AKR,A0206,AKR A0206,36.0
28.0,Aginer,AJNR,A20506,AJNR A20506,37.0
29.0,Aglenton,AKLNTN,A2405305,AKLNTN A2405305,38.0
30.0,Agman,AKMN,A2505,AKMN A2505,39.0
31.0,Agrace,AKRS,A26020,AKRS A26020,40.0
32.0,Aimer,AMR,A0506,AMR A0506,41.0
33.0,Aired,ART,A0603,ART A0603,42.0
34.0,Aish,AX,A020,AX A020,44.0
34.0,Ash,AX,A200,AX A200,145.0
35.0,Akerman,AKRMN,A206505,AKRMN A206505,45.0
36.0,Alberd,ALPRT,A41063,ALPRT A41063,46.0
37.0,Albroke,ALPRK,A416020,ALPRK A416020,47.0
38.0,Alcock,ALKK,A4202,ALKK A4202,48.0
39.0,Alday,ALT,A430,ALT A430,49.0
40.0,Alderton,ALTRTN,A4306305,ALTRTN A4306305,50.0
41.0,Alecot,ALKT,A40203,ALKT A40203,51.0
42.0,Alegh,ALK,A4020,ALK A4020,52.0
43.0,Aleston,ALSTN,A402305,ALSTN A402305,53.0
44.0,Alexander,ALKSNTR,A40205306,ALKSNTR A40205306,54.0
45.0,Alford,ALFRT,A41063,ALFRT A41063,55.0
46.0,Alger,ALKR,A4206,ALKR A4206,57.0
46.0,Alker,ALKR,A4206,ALKR A4206,57.0
47.0,Algod,ALKT,A4203,ALKT A4203,59.0
48.0,Algood,ALKT,A4203,ALKT A4203,59.0
49.0,Alle,AL,A400,AL A400,79.0
50.0,Allen,ALN,A405,ALN A405,80.0
51.0,Aller,ALR,A406,ALR A406,62.0
52.0,Allerhed,ALRT,A40603,ALRT A40603,63.0
53.0,Allerton,ALRTN,A406305,ALRTN A406305,64.0
54.0,Allin,ALN,A405,ALN A405,80.0
55.0,Allington,ALNKTN,A4052305,ALNKTN A4052305,66.0
56.0,Alman,ALMN,A4505,ALMN A4505,67.0
57.0,Almessayne,ALMSN,A4502050,ALMSN A4502050,68.0
58.0,Almysworthy,ALMSR0,A45020630,ALMSR0 A45020630,69.0
59.0,Alondon,ALNTN,A405305,ALNTN A405305,70.0
60.0,Aloroge,ALRJ,A406020,ALRJ A406020,71.0
61.0,Alpho,ALF,A410,ALF A410,72.0
62.0,Alsewe,ALS,A420,ALS A420,73.0
63.0,Alsop,ALSP,A4201,ALSP A4201,75.0
64.0,Alsopp,ALSP,A4201,ALSP A4201,75.0
65.0,Alston,ALSTN,A42305,ALSTN A42305,76.0
66.0,Alward,ALRT,A4063,ALRT A4063,77.0
67.0,Alwayb,ALP,A401,ALP A401,78.0
68.0,Alwaye,AL,A400,AL A400,79.0
69.0,Alwen,ALN,A405,ALN A405,80.0
70.0,Alwill,ALL,A404,ALL A404,81.0
71.0,Am,AM,A500,AM A500,82.0
72.0,Amadas,AMTS,A50302,AMTS A50302,83.0
73.0,Amborne,AMPRN,A510650,AMPRN A510650,84.0
74.0,Ambras,AMPRS,A51602,AMPRS A51602,85.0
75.0,Ambrey,AMPR,A5160,AMPR A5160,86.0
76.0,Amery,AMR,A5060,AMR A5060,87.0
77.0,Amonds,AMNTS,A50532,AMNTS A50532,88.0
78.0,Amyscombe,AMSKMP,A5020510,AMSKMP A5020510,89.0
