pt_text,eo_text,tr_text,pt_pages,eo_pages,tr_pages,pages,names,year
"Abbot21,23,34,35,36,98","Abbot21,23,34,35 , 36 , 98","ABBOT 21,23,34,35,36,98","[21, 23, 34, 35, 36, 98, 109, 120, 130, 161, 169, 175, 189, 235, 251]","[21, 23, 34, 35, 36, 98, 109, 120, 130, 161, 169, 175, 189, 235, 251]","[21, 23, 34, 35, 36, 98, 109, 120, 130, 161, 169, 175, 189, 235, 251]","[21, 23, 34, 35, 36, 98, 109, 120, 130, 161, 169, 175, 189, 235, 251]",['Abbot'],1524
Abgrton IQOA,Aberton190,ABERTON 190,[],[190],[190],[190],['Aberton'],1524
Abington218,Abington218,ADINCTON 218,[218],[218],[218],[218],['Abington'],1524
"Abraham187,198,210,213","Abraham187,198,210,213","ABRAHAM 187,198,210,213","[187, 198, 210, 213, 214, 228]","[187, 198, 210, 213, 214, 228]","[187, 198, 210, 213, 214, 228]","[187, 198, 210, 213, 214, 228]",['Abraham'],1524
"Aclond,Aglond50,92,106","Ac lond ,Aglond50,92,106","ACLOND, AGLOND 50,92,106","[50, 92, 106, 238]","[50, 92, 106, 238]","[50, 92, 106, 238]","[50, 92, 106, 238]","['Aclond', 'Aglond']",1524
"Actor137,183","Actor137,183","ACTOR 137,183","[137, 183]","[137, 183]","[137, 183]","[137, 183]",['Actor'],1524
"Adam, Adams3,7,9,10,16,25,","Adam, Adams3,7,9,10,16,25","ADAMS 3,7,9,10,16,25,","[3, 7, 9, 10, 16, 25, 26, 27, 40, 43, 46, 49, 52, 55, 56, 61, 63, 64, 66, 73, 80, 81, 82, 85, 90, 101, 109, 114, 116, 119, 127, 136, 140, 142, 144, 147, 148, 149, 150, 152, 156, 158, 160, 164, 169, 171, 173, 174, 175]","[3, 7, 9, 10, 16, 25, 26, 27, 40, 43, 46, 49, 52, 55, 56, 61, 63, 64, 66, 73, 80, 81, 8285, 90, 1019109, 114, 116, 119, 127, 136, 140, 142, 144, 147, 148, 149, 150, 152, 156, 158, 160, 164, 169, 171, 173, 174, 175]","[3, 7, 9, 10, 16, 25, 26, 27, 40, 43, 46, 49, 52, 55, 56, 61, 63, 64, 66, 73, 80, 81, 82, 85, 90, 101, 109, 114, 116, 119, 127, 136, 140, 142, 144, 147, 148, 149, 150, 152, 156, 158, 160, 164, 169, 171, 173, 174, 175]","[3, 7, 9, 10, 16, 25, 26, 27, 40, 43, 46, 49, 52, 55, 56, 61, 63, 64, 66, 73, 80, 81, 82, 85, 90, 101, 109, 114, 116, 119, 127, 136, 140, 142, 144, 147, 148, 149, 150, 152, 156, 158, 160, 164, 169, 171, 173, 174, 175]","['Adam', 'Adams']",1524
"AQdigcote,Adecot 63,64,","AddiscoteAdecot63,64,","ADJSCOTE, ADECOT 63,64,","[63, 64, 68, 76, 122, 133, 136, 162, 231]","[63, 64, 68, 76, 122, 133, 136, 162, 231]","[63, 64, 68, 76, 122, 133, 136, 162, 2313]","[63, 64, 68, 76, 122, 133, 136, 162, 231]","['Addiscote', 'Adecot']",1524
Addryngton115,Addryngcon115,ADOTYMTON 115,[115],[115],[115],[115],['Addryngton'],1524
Adys75,Adys75,ADY8 75,[75],[75],"[8, 75]",[75],['Adys'],1524
