hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
Axminster,42,,,,1.0,,,,1.0,,,,1.0,,,,Adams,,,,1.0,,,,0.0,,,,1.0,4358.0,34.0,1089.0,Adams,1.0,0.0,128.1764705882353
Axminster,70,,,,1.0,,,,1.0,,,,1.0,,,,Atkins,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,89,,1.0,,,,1.0,,,,1.0,,,,Alderton,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Axminster,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17949.0,37.0,1586.0,Alexander,0.0,0.0,485.1081081081081
Axminster,112,24.0,20.0,26.0,10.0,6.0,1.0,5.0,4.0,7.0,20.0,8.0,4.0,Helyer,Helyer,Hellier,Hellyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,5.2,2.5,325478.0,566.0,8272.0,Hellier,0.0,0.0,575.0494699646644
Axminster,120,,,,4.0,,,,2.0,,,,3.0,,,,Holland,,,,0.0,,,,0.0,,,,2.0,30.0,3.0,28.0,Allam,0.0,0.0,10.0
Axminster,122,10.0,13.0,,,1.0,1.0,,,10.0,13.0,,,Alford,Allford,,,0.0,0.0,,,0.0,0.0,,,10.0,13.0,,,5055.0,11.0,1282.0,Alford,0.0,0.0,459.54545454545456
Axminster,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65212.0,65.0,14485.0,Ames,0.0,0.0,1003.2615384615384
Axminster,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,3.0,120.0,Amor,0.0,0.0,64.66666666666667
Axminster,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8166.0,15.0,1335.0,Anderton,0.0,0.0,544.4
Axminster,190,13.333333333333334,,,,1.0,,,,13.333333333333334,,,,Anne,,,,0.0,,,,1.0,,,,13.333333333333334,,,,7338.0,10.0,1127.0,Ann,0.0,1.0,733.8
Axminster,193,,,,10.0,,,,4.0,,,,3.0,,,,Anning,,,,0.0,,,,0.0,,,,2.5,27093.0,61.0,1604.0,Anning,0.0,0.0,444.1475409836066
Axminster,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52791.0,90.0,1721.0,Anstice,0.0,0.0,586.5666666666667
Axminster,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.0,28.0,387.0,Aplin,0.0,0.0,44.142857142857146
Axminster,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.0,17.0,228.0,Apsey,0.0,0.0,93.11764705882354
Axminster,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6147.0,7.0,4016.0,Orchard,0.0,0.0,878.1428571428571
