hundred,group_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,group_treatment_1524,group_treatment_1543,group_treatment_1581,group_treatment_1674,group_control_1524,group_control_1543,group_control_1581,group_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,group_treatment_1840,group_control_1840,avg_val_1840
Axminster,9,23.666666666666668,1.0,3.0,4.0,9.0,1.0,2.0,4.0,6.666666666666667,1.0,2.0,1.0,Abbott,Abbott,Abbot,Abbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6296296296296298,1.0,1.5,1.0,,,,,,,
Axminster,57,,,,1.0,,,,1.0,,,,1.0,,,,Adams,,,,1.0,,,,0.0,,,,1.0,4358.0,34.0,1089.0,Adams,1.0,0.0,128.1764705882353
Axminster,160,,1.0,,,,1.0,,,,1.0,,,,Alderton,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Axminster,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185091.0,364.0,4146.0,Aldridge,0.0,0.0,508.49175824175825
Axminster,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17949.0,37.0,1586.0,Alexander,0.0,0.0,485.1081081081081
Axminster,180,10.0,13.0,,,1.0,1.0,,,10.0,13.0,,,Alford,Allford,,,0.0,0.0,,,0.0,0.0,,,10.0,13.0,,,5055.0,11.0,1282.0,Alford,0.0,0.0,459.54545454545456
Axminster,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,Allam,0.0,0.0,1.0
Axminster,209,,,,3.0,,,,1.0,,,,3.0,,,,Allen,,,,0.0,,,,0.0,,,,3.0,,,,,,,
Axminster,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65212.0,65.0,14485.0,Ames,0.0,0.0,1003.2615384615384
Axminster,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,3.0,120.0,Amor,0.0,0.0,64.66666666666667
Axminster,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8166.0,15.0,1335.0,Anderton,0.0,0.0,544.4
