hundred,metaphone_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,metaphone_treatment_1524,metaphone_treatment_1543,metaphone_treatment_1581,metaphone_treatment_1674,metaphone_control_1524,metaphone_control_1543,metaphone_control_1581,metaphone_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,metaphone_treatment_1840,metaphone_control_1840,avg_val_1840
Axminster,4,5.0,14.0,1.0,,2.0,4.0,1.0,,4.0,7.0,1.0,,Heuse,Husse,Hussey,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.5,3.5,1.0,,986.0,21.0,199.0,Hussey,0.0,0.0,46.95238095238095
Axminster,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,12.0,Gear,0.0,0.0,12.0
Axminster,17,,,5.0,,,,1.0,,,,5.0,,,,Garland,,,,0.0,,,,0.0,,,,5.0,,,,,,,,
Axminster,20,10.0,10.0,,,1.0,1.0,,,10.0,10.0,,,Kyng,Kyng,,,0.0,0.0,,,0.0,0.0,,,10.0,10.0,,,6109.0,22.0,938.0,King,0.0,0.0,277.6818181818182
Axminster,33,,4.0,,,,1.0,,,,4.0,,,,Jervys,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,
Axminster,35,,,,3.0,,,,1.0,,,,3.0,,,,Ellycot,,,,0.0,,,,0.0,,,,3.0,,,,,,,
Axminster,42,,,,2.0,,,,1.0,,,,2.0,,,,Nath,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Axminster,50,4.0,19.0,4.0,,2.0,2.0,1.0,,2.0,15.0,4.0,,Alwaye,Walle,Allwaie,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,9.5,4.0,,49745.0,93.0,1768.0,Wall,0.0,0.0,534.8924731182796
Axminster,68,4.0,,,,2.0,,,,3.0,,,,Loveryng,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
Axminster,72,,,,2.0,,,,1.0,,,,2.0,,,,Bruddly,,,,0.0,,,,0.0,,,,2.0,12496.0,31.0,1031.0,Bradley,0.0,0.0,403.0967741935484
Axminster,81,,,,5.0,,,,1.0,,,,5.0,,,,Hopkinns,,,,0.0,,,,0.0,,,,5.0,,,,,,,
Axminster,91,2.0,,,,1.0,,,,2.0,,,,Wynge,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
Axminster,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2.0,47.0,Budle,0.0,0.0,24.0
Axminster,138,,,,2.0,,,,1.0,,,,2.0,,,,Muston,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Axminster,154,88.16666666666667,190.0,16.0,6.0,6.0,8.0,3.0,3.0,60.0,100.0,6.0,4.0,Menyfe,Meneff,Mynefie,Minnyfie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.694444444444445,23.75,5.333333333333333,2.0,494.0,11.0,370.0,Minifie,0.0,0.0,44.90909090909091
Axminster,164,3.0,2.0,,,1.0,1.0,,,3.0,2.0,,,Roket,Roket,,,0.0,0.0,,,0.0,0.0,,,3.0,2.0,,,939.0,20.0,278.0,Rockett,0.0,0.0,46.95
Axminster,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41613.0,142.0,1055.0,Culverwell,0.0,0.0,293.0492957746479
Axminster,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22600.0,26.0,5579.0,Harbin,0.0,0.0,869.2307692307693
Axminster,175,,,,1.0,,,,1.0,,,,1.0,,,,Wardrow,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,8.0,427.0,Cabell,0.0,0.0,116.0
Axminster,187,1.0,,,3.0,1.0,,,1.0,1.0,,,3.0,Crabb,,,Crabb,0.0,,,0.0,0.0,,,0.0,1.0,,,3.0,1805.0,5.0,919.0,Groube,0.0,0.0,361.0
