hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
Axminster,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.0,20.0,278.0,Rockett,0.0,0.0,46.95
Axminster,19,,,,1.0,,,,1.0,,,,1.0,,,,Peak,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,4.0,212.0,Bondfield,0.0,0.0,103.0
Axminster,53,,,,2.0,,,,1.0,,,,2.0,,,,Burton,,,,0.0,,,,0.0,,,,2.0,11.0,1.0,11.0,Burton,0.0,0.0,11.0
Axminster,65,,,7.0,,,,1.0,,,,7.0,,,,Preston,,,,0.0,,,,0.0,,,,7.0,,,,,,,,
Axminster,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.0,7.0,1158.0,Moggridge,0.0,0.0,171.57142857142858
Axminster,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,2.0,524.0,Payton,0.0,0.0,310.0
Axminster,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,17.0,Ousley,0.0,0.0,10.0
Axminster,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,12.0,Lathey,0.0,0.0,12.0
Axminster,363,,,2.0,,,,1.0,,,,2.0,,,,Barrie,,,,0.0,,,,0.0,,,,2.0,,,,,,,,
Axminster,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,2.0,208.0,Toms,0.0,0.0,140.5
Axminster,432,,,,1.0,,,,1.0,,,,1.0,,,,Meddick,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54758.0,125.0,2268.0,Davey,0.0,0.0,438.064
Axminster,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32150.0,66.0,3010.0,Dommett,0.0,0.0,487.1212121212121
Axminster,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232296.0,461.0,3604.0,Putt,0.0,0.0,503.8958785249458
Axminster,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,10.0,255.0,Bazley,0.0,0.0,67.4
Axminster,585,,,6.0,1.0,,,2.0,1.0,,,3.0,1.0,,,Billing,Billing,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,,,,,,,
Axminster,589,,,,1.0,,,,1.0,,,,1.0,,,,Gosling,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,31.0,353.0,Isaacs,0.0,0.0,24.838709677419356
Axminster,667,10.23,11.0,7.0,6.0,5.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,Thomas,Thomas,Thomas,Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0460000000000003,2.75,3.5,2.0,5234.0,18.0,1301.0,Thomas,0.0,0.0,290.77777777777777
Axminster,735,,,,1.0,,,,1.0,,,,1.0,,,,Hawkins,,,,0.0,,,,0.0,,,,1.0,7331.0,17.0,1009.0,Hawkins,0.0,0.0,431.2352941176471
Axminster,738,8.0,8.0,15.0,,1.0,1.0,3.0,,8.0,8.0,8.0,,Hore,Hore,Hore,,0.0,0.0,0.0,,0.0,0.0,0.0,,8.0,8.0,5.0,,,,,,,,
Axminster,752,,,,1.0,,,,1.0,,,,1.0,,,,Rich,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.0,4.0,166.0,Restorick,0.0,0.0,89.25
Axminster,897,,10.0,,,,2.0,,,,5.0,,,,Bragge,,,,0.0,,,,0.0,,,,5.0,,,309416.0,424.0,6644.0,Bragge,0.0,0.0,729.7547169811321
Axminster,946,,,,11.0,,,,3.0,,,,6.0,,,,Prince,,,,0.0,,,,0.0,,,,3.6666666666666665,114.0,2.0,78.0,Prince,0.0,0.0,57.0
Axminster,1043,4.0,,,,1.0,,,,4.0,,,,Goby,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
Axminster,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,14.0,Bagwell,0.0,0.0,14.0
Axminster,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14105.0,25.0,1558.0,Hood,0.0,0.0,564.2
Axminster,1145,1.0,,,,1.0,,,,1.0,,,,Water,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
Axminster,1215,1.0,,,,1.0,,,,1.0,,,,Best,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
Axminster,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,3.0,182.0,Studley,0.0,0.0,170.0
Axminster,1275,,,,1.0,,,,1.0,,,,1.0,,,,Load,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,6.0,Croot,0.0,0.0,1.8333333333333333
Axminster,1383,,1.0,,,,1.0,,,,1.0,,,,Shutter,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Axminster,1456,,50.0,,,,1.0,,,,50.0,,,,Lowton,,,,0.0,,,,0.0,,,,50.0,,,,,,,,,
Axminster,1462,,,,20.0,,,,8.0,,,,5.0,,,,Hutchins,,,,0.0,,,,0.0,,,,2.5,,,,,,,
Axminster,1485,,,,3.0,,,,2.0,,,,2.0,,,,Couch,,,,0.0,,,,0.0,,,,1.5,59.0,1.0,59.0,Couch,0.0,0.0,59.0
Axminster,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,2.0,139.0,Solway,0.0,0.0,129.5
Axminster,1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5467.0,15.0,970.0,Hardyman,0.0,0.0,364.46666666666664
Axminster,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11214.0,36.0,1312.0,Thorn,0.0,0.0,311.5
Axminster,1666,3.333333333333333,,,,1.0,,,,3.333333333333333,,,,Persey,,,,0.0,,,,0.0,,,,3.333333333333333,,,,,,,,,,
Axminster,1676,3.0,,,,1.0,,,,3.0,,,,Cramer,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,,
Axminster,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11347.0,18.0,2574.0,Spicer,0.0,0.0,630.3888888888889
Axminster,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,5.0,164.0,Woodcock,0.0,0.0,111.8
Axminster,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64531.0,228.0,1619.0,Flood,0.0,0.0,283.030701754386
Axminster,1745,16.0,26.0,,,5.0,3.0,,,8.0,20.0,,,Hopper,Hopper,,,0.0,0.0,,,0.0,0.0,,,3.2,8.666666666666666,,,,,,,,,
Axminster,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,2.0,128.0,Woodman,0.0,0.0,80.0
Axminster,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.0,10.0,480.0,Downton,0.0,0.0,196.3
Axminster,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0,6.0,658.0,Tapscott,0.0,0.0,316.6666666666667
Axminster,1808,,,,1.0,,,,1.0,,,,1.0,,,,Holland,,,,0.0,,,,0.0,,,,1.0,28.0,1.0,28.0,Holland,0.0,0.0,28.0
Axminster,1814,,,,2.0,,,,1.0,,,,2.0,,,,Lyle,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Axminster,1839,4.0,,,,2.0,,,,3.0,,,,Knot,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
Axminster,1911,,,,1.0,,,,1.0,,,,1.0,,,,Hardin,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,1966,,,,1.0,,,,1.0,,,,1.0,,,,Livermore,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Axminster,1968,1.0,,,,1.0,,,,1.0,,,,Blakemore,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
Axminster,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.0,3.0,195.0,Cornish,0.0,0.0,149.66666666666666
Axminster,2072,,,,2.0,,,,1.0,,,,2.0,,,,Darby,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Axminster,2081,,,,3.0,,,,1.0,,,,3.0,,,,Correll,,,,0.0,,,,0.0,,,,3.0,,,,,,,
