surname,occup,occupation,loc,location,location_in,county,topo,nick,rel,English:,French:,Welsh:,Cornish:,Norman:
(sic,0,,1,,,,0,0,0,1,0,0,0,0
A'Bear,0,,0,,,,0,0,0,1,0,0,0,0
A'Court,0,,0,,,,0,0,0,1,0,0,0,0
A'Lee,0,,0,,,,0,0,0,1,0,0,0,0
Aaron,0,,0,,,,0,0,1,0,0,1,0,0
Aaron,0,,1,,,,0,1,0,1,0,0,0,0
Aaron,0,,0,,,,0,0,1,1,0,0,0,0
Aarons,0,,0,,,,0,0,1,0,0,1,0,0
Abarram,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Abatts,1,,1,,,,0,0,0,1,0,0,0,0
Abb,0,,0,,,,0,0,0,1,0,0,0,0
Abba,0,,0,,,,0,0,0,1,0,0,0,0
Abba,1,,1,,,,0,1,0,1,0,0,0,0
Abbas,1,,1,,,,0,1,0,1,0,0,0,0
Abbas,0,,0,,,,0,0,1,1,0,0,0,0
Abbatia,1,,1,,,,0,1,0,1,0,0,0,0
Abbatt,0,,0,,,,0,0,0,1,0,0,0,0
Abbay,1,,1,,,,0,1,0,1,0,0,0,0
Abbe,1,,1,,,,0,1,0,1,0,0,0,0
Abbe,0,,0,,,,0,0,0,1,0,0,0,0
Abberley,0,,0,,,,0,0,0,1,0,0,0,0
Abberton,0,,0,,,,0,0,0,1,0,0,0,0
Abbess,0,,0,,,,0,0,0,1,0,0,0,0
Abbess,0,,0,,,,0,0,0,1,0,0,0,0
Abbett,0,,0,,,,0,0,0,1,0,0,0,0
Abbey,1,,1,,,,0,1,0,1,0,0,0,0
Abbeye,1,,1,,,,0,1,0,1,0,0,0,0
Abbi,1,,1,,,,0,1,0,1,0,0,0,0
Abbie,1,,1,,,,0,1,0,1,0,0,0,0
Abbinett,0,,0,,,,0,0,0,1,0,0,0,0
Abbis,0,,0,,,,0,0,0,1,0,0,0,0
Abbishaw,0,,0,,,,0,0,0,1,0,0,0,0
Abbishaw,0,,0,,,,0,0,0,1,0,0,0,0
Abbiss,0,,0,,,,0,0,0,1,0,0,0,0
Abbitt,0,,0,,,,0,0,0,1,0,0,0,0
Abblitt,0,,0,,,,0,0,1,1,0,0,0,0
Abbot,0,,0,,,,0,0,0,1,0,0,0,0
Abbotes,1,,1,,,,0,0,0,1,0,0,0,0
Abbots,1,,1,,,,0,0,0,1,0,0,0,0
Abbott,0,,0,,,,0,0,0,1,0,0,0,0
Abbotts,0,,0,,,,0,0,0,1,0,0,0,0
Abbotts,1,,1,,,,0,0,0,1,0,0,0,0
Abbs,0,,0,,,,0,0,0,1,0,0,0,0
Abbs,0,,0,,,,0,0,0,1,0,0,0,0
Abburgham,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Abby,1,,1,,,,0,1,0,1,0,0,0,0
Abdey,0,,0,,,,0,0,0,1,0,0,0,0
Abdie,0,,0,,,,0,0,0,1,0,0,0,0
Abdy,0,,0,,,,0,0,0,1,0,0,0,0
Abe,1,,1,,,,0,1,0,1,0,0,0,0
Abear,0,,0,,,,0,0,0,1,0,0,0,0
Abelot,0,,0,,,,0,0,1,1,0,0,0,0
Abelote,0,,0,,,,0,0,1,1,0,0,0,0
Abelson,0,,0,,,,0,0,0,1,0,0,0,0
Aberarth,0,,0,,,,0,0,1,1,0,0,0,0
Abershaw,0,,0,,,,0,0,0,1,0,0,0,0
Abershaw,0,,0,,,,0,0,0,1,0,0,0,0
Abery,0,,0,,,,0,0,1,1,0,0,0,0
Abethell,0,,0,,,,0,0,0,0,0,1,0,0
Abey,0,,0,,,,0,0,0,1,0,0,0,0
Abinger,0,,0,,,,0,0,0,1,0,0,0,0
Abington,0,,0,,,,0,0,0,1,0,0,0,0
Ables,0,,0,,,,0,0,0,1,0,0,0,0
Ableson,0,,0,,,,0,0,0,1,0,0,0,0
Ablett,0,,0,,,,0,0,0,1,0,0,0,0
Ablett,0,,0,,,,0,0,0,1,0,0,0,0
Ablett,0,,0,,,,0,0,1,1,0,0,0,0
Ablewhite,0,,0,,,,0,0,0,1,0,0,0,0
Ablewhite,0,,0,,,,0,0,0,1,0,0,0,0
Abley,0,,0,,,,0,0,0,1,0,0,0,0
Ablitt,0,,0,,,,0,0,1,1,0,0,0,0
Ablot,0,,0,,,,0,0,1,1,0,0,0,0
Ablott,0,,0,,,,0,0,1,1,0,0,0,0
Abner,0,,0,,,,0,0,0,1,0,0,0,0
Abnett,0,,0,,,,0,0,0,1,0,0,0,0
Abney,0,,0,,,,0,0,0,1,0,0,0,0
Aborn,0,,0,,,,0,0,0,1,0,0,0,0
Abowen,0,,0,,,,0,0,1,0,0,1,0,0
Abra,0,,0,,,,0,0,1,1,0,0,0,0
Abrahall,0,,0,,,,0,0,0,1,0,0,0,0
Abraham,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Abram,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Abrams,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Abrey,0,,0,,,,0,0,1,1,0,0,0,0
Absalom,0,,0,,,,0,0,0,1,0,0,0,0
Abshir,0,,0,,,,0,0,0,1,0,0,0,0
Abshire,0,,0,,,,0,0,0,1,0,0,0,0
Absolom,0,,0,,,,0,0,0,1,0,0,0,0
Absolon,0,,0,,,,0,0,0,1,0,0,0,0
Abson,0,,0,,,,0,0,0,1,0,0,0,0
Aburn,0,,0,,,,0,0,0,1,0,0,0,0
Aburrow,0,,0,,,,0,0,0,1,0,0,0,0
Aburrow,0,,0,,,,0,0,1,1,0,0,0,0
Aby,0,,0,,,,0,0,0,1,0,0,0,0
Acannane,0,,0,,,,0,1,1,1,0,0,0,0
Acannane,0,,0,,,,0,1,0,1,0,0,0,0
Acaster,0,,0,,,,0,0,0,1,0,0,0,0
Ace,0,,0,,,,0,0,0,1,0,0,0,0
Ace,0,,1,,,,1,0,1,1,0,0,0,0
Acerman,1,,0,,,,0,0,0,1,0,0,0,0
Acey,0,,0,,,,0,0,0,1,0,0,0,0
Acford,0,,0,,,,0,0,0,1,0,0,0,0
Acham,0,,0,,,,0,0,1,1,0,0,0,0
Achard,0,,0,,,,0,0,0,1,0,0,0,0
Achatour,1,,1,,,,0,0,0,1,0,0,0,0
Acheson,0,,0,,,,0,0,0,1,0,0,0,0
Acheson,0,,0,,,,0,0,0,1,0,0,0,0
Achet,0,,0,,,,0,0,1,1,0,0,0,0
Achurch,0,,0,,,,0,0,0,1,0,0,0,0
Ackarman,1,,0,,,,0,0,0,1,0,0,0,0
Ackary,0,,0,,,,0,0,0,1,0,0,0,0
Ackelane,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Ackenson,0,,0,,,,0,0,0,1,0,0,0,0
Acker,0,,1,,,,0,0,0,1,0,0,0,0
Ackerley,0,,0,,,,0,0,0,1,0,0,0,0
Ackerman,1,,0,,,,0,0,0,1,0,0,0,0
Ackers,0,,0,,,,0,0,0,1,0,0,0,0
Ackers,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Ackery,0,,0,,,,0,0,0,1,0,0,0,0
Acket,0,,0,,,,0,0,1,1,0,0,0,0
Acketts,0,,0,,,,0,0,0,1,0,0,0,0
Acketts,0,,0,,,,0,0,1,1,0,0,0,0
Ackford,0,,0,,,,0,0,0,1,0,0,0,0
Ackhurst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Acklam,0,,0,,,,0,0,0,1,0,0,0,0
Ackland,0,,0,,,,0,0,0,1,0,0,0,0
Ackland,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Acklande,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Ackley,0,,0,,,,0,0,0,1,0,0,0,0
Acklin,0,,0,,,,0,0,0,1,0,0,0,0
Acklin,0,,0,,,,0,0,0,1,0,0,0,0
Ackling,0,,0,,,,0,0,0,1,0,0,0,0
Ackling,0,,0,,,,0,0,0,1,0,0,0,0
Ackred,0,,0,,,,0,0,0,1,0,0,0,0
Ackrell,0,,0,,,,0,0,0,1,0,0,0,0
Ackrill,0,,0,,,,0,0,0,1,0,0,0,0
Ackroyd,0,,0,,,,0,0,0,1,0,0,0,0
Ackworth,0,,0,,,,0,0,0,1,0,0,0,0
Acland,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Aclane,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Aclond,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Acock,0,,0,,,,0,0,0,1,0,0,0,0
Acock,0,,0,,,,0,0,0,1,0,0,0,0
Acocks,0,,0,,,,0,0,0,1,0,0,0,0
Acocks,0,,0,,,,0,0,0,1,0,0,0,0
Acom,0,,1,,,,0,0,0,1,0,0,0,0
Acomb,0,,1,,,,0,0,0,1,0,0,0,0
Acombe,0,,1,,,,0,0,0,1,0,0,0,0
Acome,0,,1,,,,0,0,0,1,0,0,0,0
Aconley,0,,0,,,,0,0,0,1,0,0,0,0
Aconley,0,,0,,,,0,0,0,1,0,0,0,0
Acord,0,,0,,,,0,0,0,1,0,0,0,0
Acord,0,,0,,,,0,0,0,1,0,0,0,0
Acornley,0,,0,,,,0,0,0,1,0,0,0,0
Acors,0,,0,,,,0,0,0,1,0,0,0,0
Acott,0,,0,,,,0,0,0,1,0,0,0,0
Acott,0,,0,,,,0,0,0,1,0,0,0,0
Acourt,0,,0,,,,0,0,0,1,0,0,0,0
Acr,0,,1,,,,0,0,0,1,0,0,0,0
Acra,0,,0,,,,0,0,1,1,0,0,0,0
Acra,0,,1,,,,0,0,0,1,0,0,0,0
Acraman,1,,0,,,,0,0,0,1,0,0,0,0
Acre,0,,1,,,,0,0,0,1,0,0,0,0
Acree,0,,0,,,,0,0,0,1,0,0,0,0
Acreman,1,,0,,,,0,0,0,1,0,0,0,0
Acres,0,,0,,,,0,0,0,1,0,0,0,0
Acroyd,0,,0,,,,0,0,0,1,0,0,0,0
Acson,0,,0,,,,0,0,1,1,0,0,0,0
Acum,0,,1,,,,0,0,0,1,0,0,0,0
Acurst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Acutt,0,,0,,,,0,0,0,1,0,0,0,0
Acutt,0,,0,,,,0,0,0,1,0,0,0,0
Acworth,0,,0,,,,0,0,0,1,0,0,0,0
Adam,0,,0,,,,0,0,0,1,0,0,0,0
Adamman,1,,0,,,,0,0,1,1,0,0,0,0
Adams,0,,0,,,,0,0,0,1,0,0,0,0
Adamthwaite,0,,0,,,,0,0,0,1,0,0,0,0
Adas,0,,0,,,,0,0,1,1,0,0,0,0
Adaway,0,,1,,,,0,0,1,1,0,0,0,0
Adaway,0,,0,,,,0,0,0,1,0,0,0,0
Aday,0,,0,,,,0,0,0,1,0,0,0,0
Adburgham,0,,1,Abram,,Lancs,0,0,0,1,0,0,0,0
Adby,0,,0,,,,0,0,0,1,0,0,0,0
Adcock,0,,0,,,,0,0,0,1,0,0,0,0
Adcocks,0,,0,,,,0,0,0,1,0,0,0,0
Adcocks,0,,0,,,,0,0,0,1,0,0,0,0
Adcook,0,,0,,,,0,0,0,1,0,0,0,0
Adcroft,0,,0,,,,0,0,0,1,0,0,0,0
Adcroft,0,,0,,,,0,0,0,1,0,0,0,0
Addeler,0,,0,,,,0,0,1,1,0,0,0,0
Addelsee,0,,0,,,,0,0,0,1,0,0,0,0
Addenbrook,0,,0,,,,0,0,0,1,0,0,0,0
Addenbrooke,0,,0,,,,0,0,0,1,0,0,0,0
Adderley,0,,0,,,,0,0,0,1,0,0,0,0
Adderly,0,,0,,,,0,0,0,1,0,0,0,0
Adderson,0,,0,,,,0,0,0,1,0,0,0,0
Adderson,0,,0,,,,0,0,0,1,0,0,0,0
Adderson,0,,0,,,,0,0,1,1,0,0,0,0
Adderton,0,,0,,,,0,0,0,1,0,0,0,0
Addeson,0,,0,,,,0,0,1,1,0,0,0,0
Addey,0,,0,,,,0,0,1,1,0,0,0,0
Addiman,1,,0,,,,0,0,1,1,0,0,0,0
Addinall,0,,0,,,,0,0,0,1,0,0,0,0
Addington,0,,0,,,,0,0,0,1,0,0,0,0
Addis,0,,0,,,,0,0,1,1,0,0,0,0
Addis,0,,0,,,,0,0,0,1,0,0,0,0
Addis,0,,0,,,,0,0,0,1,0,0,0,0
Addison,0,,0,,,,0,0,0,1,0,0,0,0
Addison,0,,0,,,,0,0,1,1,0,0,0,0
Addisone,0,,0,,,,0,0,1,1,0,0,0,0
Addlesee,0,,0,,,,0,0,0,1,0,0,0,0
Addlesee,0,,0,,,,0,0,0,1,0,0,0,0
Addleton,0,,0,,,,0,0,0,1,0,0,0,0
Addley,0,,0,,,,0,0,0,1,0,0,0,0
Addley,0,,0,,,,0,0,0,1,0,0,0,0
Addley,0,,0,,,,0,0,0,1,0,0,0,0
Adds,0,,0,,,,0,0,0,1,0,0,0,0
Addy,0,,0,,,,0,0,1,1,0,0,0,0
Addyman,1,,0,,,,0,0,1,1,0,0,0,0
Addyson,0,,0,,,,0,0,1,1,0,0,0,0
Ade,0,,0,,,,0,0,0,1,0,0,0,0
Adeane,0,,0,,,,0,0,0,1,0,0,0,0
Adeane,1,,1,,,,1,0,1,1,0,0,0,0
Adeline,0,,0,,,,0,0,0,1,0,0,0,0
Adem,0,,0,,,,0,0,0,1,0,0,0,0
Ademan,1,,0,,,,0,0,1,1,0,0,0,0
Ades,0,,0,,,,0,0,0,1,0,0,0,0
Ades,0,,0,,,,0,0,0,1,0,0,0,0
Adeson,0,,0,,,,0,0,1,1,0,0,0,0
Adesoun,0,,0,,,,0,0,1,1,0,0,0,0
Adewald,0,,0,,,,0,0,1,1,0,0,0,0
Adey,0,,0,,,,0,0,0,1,0,0,0,0
Adgar,0,,0,,,,0,0,0,1,0,0,0,0
Adger,0,,0,,,,0,0,0,1,0,0,0,0
Adham,0,,0,,,,0,0,1,1,0,0,0,0
Adie,0,,0,,,,0,0,0,1,0,0,0,0
Adiesone,0,,0,,,,0,0,1,1,0,0,0,0
Adison,0,,0,,,,0,0,1,1,0,0,0,0
Adkin,0,,0,,,,0,0,0,1,0,0,0,0
Adkins,0,,0,,,,0,0,0,1,0,0,0,0
Adlam,0,,0,,,,0,0,0,1,0,0,0,0
