recipient_surname,recipient_surname_id,recipient_value,recipient_surname_count,match_surname,match_surname_id,match_value,match_surname_count
Haydon,1835,1010.5,63,Haydon,surname_count,1010.5,63
Haydon,1835,1010.5,63,Haydon,surname,1010.5,63
Haydon,1835,1010.5,63,Haydon,value,1010.5,63
Haydon,1835,1010.5,63,Haydon,surname_count,1010.5,63
Haydon,1835,1010.5,63,Haydon,surname,1010.5,63
Haydon,1835,1010.5,63,Haydon,value,1010.5,63
Haydon,1835,1010.5,63,Haydon,surname_count,1010.5,63
Haydon,1835,1010.5,63,Haydon,surname,1010.5,63
Haydon,1835,1010.5,63,Haydon,value,1010.5,63
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Drake,1293,579.0,84,Serle,surname_count,538.0,95
Drake,1293,579.0,84,Serle,surname,538.0,95
Drake,1293,579.0,84,Serle,value,538.0,95
Baker,185,829.5,192,Warren,surname_count,867.5,173
Baker,185,829.5,192,Warren,surname,867.5,173
Baker,185,829.5,192,Warren,value,867.5,173
Cate,725,63.0,10,Dorsett,surname_count,61.0,11
Cate,725,63.0,10,Dorsett,surname,61.0,11
Cate,725,63.0,10,Dorsett,value,61.0,11
Cate,725,63.0,10,Dorsett,surname_count,61.0,11
Cate,725,63.0,10,Dorsett,surname,61.0,11
Cate,725,63.0,10,Dorsett,value,61.0,11
Clarcke,834,709.0,148,Elyett,surname_count,723.5,160
Clarcke,834,709.0,148,Elyett,surname,723.5,160
Clarcke,834,709.0,148,Elyett,value,723.5,160
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Buttler,650,75.0,21,Clardfyld,surname_count,80.0,21
Buttler,650,75.0,21,Clardfyld,surname,80.0,21
Buttler,650,75.0,21,Clardfyld,value,80.0,21
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname_count,1458.5,287
Smyth,3598,1458.5,287,Smyth,surname,1458.5,287
Smyth,3598,1458.5,287,Smyth,value,1458.5,287
Harve,1903,349.0,58,William,surname_count,335.0,58
Harve,1903,349.0,58,William,surname,335.0,58
Harve,1903,349.0,58,William,value,335.0,58
Mayne,2671,343.5,77,Stone,surname_count,346.0,87
