page,note,category,line,hundred,text,eo_text,pt_text,new_text,forename,surname,type,title,value,new_pt_text,pt_forename,pt_surname,pt_type,pt_title,pt_value,new_eo_text,eo_forename,eo_surname,eo_type,eo_title,eo_value,gemini_forename,gemini_surname,year,person,forename_id,person_id,recipient_match,surname_match,surname_id
17,2,center_column,18,Axminster,James Haydon L 2,James Haydon L 2,James Haydon L 2,James Haydon 2,James,Haydon,L,,2.0,James Haydon 2,James,Haydon,L,,2.0,James Haydon 2,James,Haydon,L,,2.0,James,Haydon,1543,James Haydon,14,14_1835,0,1,1835
17,2,center_column,23,Axminster,John Haydon L 2,John Haydon L 2,John Haydon,John Haydon 2,John,Haydon,L,,2.0,John Haydon,John,Haydon,G,,,John Haydon 2,John,Haydon,L,,2.0,John,Haydon,1543,John Haydon,1,1_1835,0,1,1835
17,2,center_column,25,Axminster,Alan Haydon 2,Alan Haydon 2,Alan Haydon,Alan Haydon 2,Alan,Haydon,G,,2.0,Alan Haydon,Alan,Haydon,G,,,Alan Haydon 2,Alan,Haydon,G,,2.0,Alan,Haydon,1543,Alan Haydon,15,15_1835,0,1,1835
17,3,right_column,19,Axminster,Robert Smyth 3,Robert Smyth 3,Robert Smyth,Robert Smyth 3,Robert,Smyth,G,,3.0,Robert Smyth,Robert,Smyth,G,,,Robert Smyth 3,Robert,Smyth,G,,3.0,Robert,Smyth,1543,Robert Smyth,7,7_3598,0,1,3598
17,7,left_column,10,Axminster,John Drake gent 60,Uohn Drake 60 gent,John Drake gent 60,John Drake gent 60,John,Drake,G,,60.0,John Drake gent 60,John,Drake,G,,60.0,Uohn Drake 60 gent,Uohn,Drake,G,,,John,Drake,1543,John Drake,1,1_1293,0,1,1293
17,9,right_column,2,Axminster,William Baker 7,William Baker 7,William Baker,William Baker 7,William,Baker,G,,7.0,William Baker,William,Baker,G,,,William Baker 7,William,Baker,G,,7.0,William,Baker,1543,William Baker,3,3_185,0,1,185
18,2,center_column,6,Axminster,John Clarcke 2,Uohn Clarcke 2,John Clarcke,John Clarcke 2,John,Clarcke,G,,2.0,John Clarcke,John,Clarcke,G,,,Uohn Clarcke 2,Uohn,Clarcke,G,,2.0,John,Clarcke,1543,John Clarcke,1,1_834,0,1,834
18,3,right_column,13,Axminster,Elias Smyth 1,Elias Smyth 1,,Elias Smyth 1,Elias,Smyth,G,,1.0,,,,G,,,Elias Smyth 1,Elias,Smyth,G,,1.0,Elias,Smyth,1543,Elias Smyth,18,18_3598,0,1,3598
18,7,left_column,9,Axminster,Robert Buttler 16,Robert Buttler 16,Robert Buttler 16,Robert Buttler 16,Robert,Buttler,G,,16.0,Robert Buttler 16,Robert,Buttler,G,,16.0,Robert Buttler 16,Robert,Buttler,G,,16.0,Robert,Buttler,1543,Robert Buttler,7,7_650,0,1,650
18,8,center_column,3,Axminster,Henry Smyth 2,Henry Smyth 2,Henry SmythLN,Henry Smyth 2,Henry,Smyth,G,,2.0,Henry SmythLN,Henry,Smyth,G,,,Henry Smyth 2,Henry,Smyth,G,,2.0,Henry,Smyth,1543,Henry Smyth,22,22_3598,0,1,3598
19,1,left_column,4,Axminster,John Smyth sen 8,John Smyth sen 8,John Smyth sen,John Smyth 8,John,Smyth,G, sen ,8.0,John Smyth sen,John,Smyth,G,,,John Smyth 8,John,Smyth,G, sen ,8.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
19,1,left_column,7,Axminster,John Smyth jun 2,John Smyth jun 2,John Smyth jun,John Smyth 2,John,Smyth,G, jun ,2.0,John Smyth jun,John,Smyth,G,,,John Smyth 2,John,Smyth,G, jun ,2.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
19,2,center_column,12,Axminster,Roger Smyth 2,Roger Smyth 2,Roger Smyth,Roger Smyth 2,Roger,Smyth,G,,2.0,Roger Smyth,Roger,Smyth,G,,,Roger Smyth 2,Roger,Smyth,G,,2.0,Roger,Smyth,1543,Roger Smyth,16,16_3598,0,1,3598
19,3,right_column,1,Axminster,Tristram Smyth 4,Tristram Smyth 4,Tristram Smyth,Tristram Smyth 4,Tristram,Smyth,G,,4.0,Tristram Smyth,Tristram,Smyth,G,,,Tristram Smyth 4,Tristram,Smyth,G,,4.0,Tristram,Smyth,1543,Tristram Smyth,25,25_3598,0,1,3598
19,3,right_column,2,Axminster,Tristram Harve 2,Tristram Harve 2,Tristram Harve,Tristram Harve 2,Tristram,Harve,G,,2.0,Tristram Harve,Tristram,Harve,G,,,Tristram Harve 2,Tristram,Harve,G,,2.0,Tristram,Harve,1543,Tristram Harve,25,25_1903,0,1,1903
19,4,left_column,10,Axminster,John Mayne 16,Uohn Maye 16,John Mayne,John Mayne 16,John,Mayne,G,,16.0,John Mayne,John,Mayne,G,,,Uohn Maye 16,Uohn,Maye,G,,16.0,John,Mayne,1543,John Mayne,1,1_2671,0,1,2671
19,5,center_column,19,Axminster,Thomas Smyth 2,Thomas Smyth 2,Thomas Smyth,Thomas Smyth 2,Thomas,Smyth,G,,2.0,Thomas Smyth,Thomas,Smyth,G,,,Thomas Smyth 2,Thomas,Smyth,G,,2.0,Thomas,Smyth,1543,Thomas Smyth,0,0_3598,0,1,3598
19,9,right_column,14,Axminster,William Backer 3,William Backer 3,William Backer,William Backer 3,William,Backer,G,,3.0,William Backer,William,Backer,G,,,William Backer 3,William,Backer,G,,3.0,William,Backer,1543,William Backer,3,3_185,0,1,185
20,1,left_column,2,Axminster,Nicholas Davye 1,Nicholas Davye 1,Nicholas Davye,Nicholas Davye 1,Nicholas,Davye,G,,1.0,Nicholas Davye,Nicholas,Davye,G,,,Nicholas Davye 1,Nicholas,Davye,G,,1.0,Nicholas,Davye,1543,Nicholas Davye,2,2_1159,0,1,1159
20,1,left_column,3,Axminster,John Baker 8,John Baker 8,John Baker,John Baker 8,John,Baker,G,,8.0,John Baker,John,Baker,G,,,John Baker 8,John,Baker,G,,8.0,John,Baker,1543,John Baker,1,1_185,0,1,185
20,4,left_column,4,Axminster,William Smyth 4,William Smyth 4,William Smyth,William Smyth 4,William,Smyth,G,,4.0,William Smyth,William,Smyth,G,,,William Smyth 4,William,Smyth,G,,4.0,William,Smyth,1543,William Smyth,3,3_3598,0,1,3598
20,7,left_column,15,Axminster,John Northcote 12,John Northcote 12,John Northcote12,John Northcote 12,John,Northcote,G,,12.0,John Northcote12,John,Northcote,G,,12.0,John Northcote 12,John,Northcote,G,,12.0,John,Northcote,1543,John Northcote,1,1_2865,0,1,2865
20,7,left_column,17,Axminster,Henry Clerke 11,Henry Clerke 11,Henry Clerke,Henry Clerke 11,Henry,Clerke,G,,11.0,Henry Clerke,Henry,Clerke,G,,,Henry Clerke 11,Henry,Clerke,G,,11.0,Henry,Clerke,1543,Henry Clerke,22,22_834,0,1,834
20,7,left_column,33,Axminster,John Smyth 1,John Smyth 1,John Smyth,John Smyth 1,John,Smyth,G,,1.0,John Smyth,John,Smyth,G,,,John Smyth 1,John,Smyth,G,,1.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
20,7,left_column,41,Axminster,Richard Holmys 1,Richard Holmys 1,Richard Holmys,Richard Holmys 1,Richard,Holmys,G,,1.0,Richard Holmys,Richard,Holmys,G,,,Richard Holmys 1,Richard,Holmys,G,,1.0,Richard,Holmys,1543,Richard Holmys,17,17_2066,0,1,2066
20,7,left_column,42,Axminster,John Davye L 4,John Davye L 4,John Davye,John Davye 4,John,Davye,L,,4.0,John Davye,John,Davye,G,,,John Davye 4,John,Davye,L,,4.0,John,Davye,1543,John Davye,1,1_1159,0,1,1159
20,8,center_column,14,Axminster,Michael Gallowe 3,Michael Gallowe 3,Michael Gallowe,Michael Gallowe 3,Michael,Gallowe,G,,3.0,Michael Gallowe,Michael,Gallowe,G,,,Michael Gallowe 3,Michael,Gallowe,G,,3.0,Michael,Gallowe,1543,Michael Gallowe,47,47_1586,0,1,1586
20,8,center_column,35,Axminster,Henry Northcott 3,Henry Northcott 3,Henry Northcott3,Henry Northcott 3,Henry,Northcott,G,,3.0,Henry Northcott3,Henry,Northcott,G,,3.0,Henry Northcott 3,Henry,Northcott,G,,3.0,Henry,Northcott,1543,Henry Northcott,22,22_2865,0,1,2865
20,8,center_column,44,Axminster,Henry Hydon 2,Henry Hydon 2,Henry Hydon,Henry Hydon 2,Henry,Hydon,G,,2.0,Henry Hydon,Henry,Hydon,G,,,Henry Hydon 2,Henry,Hydon,G,,2.0,Henry,Hydon,1543,Henry Hydon,22,22_1835,0,1,1835
21,4,left_column,4,Axminster,John Smyth 20,John Smyth 20,John Smyth,John Smyth 20,John,Smyth,G,,20.0,John Smyth,John,Smyth,G,,,John Smyth 20,John,Smyth,G,,20.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
21,4,left_column,24,Axminster,Richard Smyth 6,Richara Smyth 6,Richard Smyth,Richard Smyth 6,Richard,Smyth,G,,6.0,Richard Smyth,Richard,Smyth,G,,,Richara Smyth 6,Richara,Smyth,G,,6.0,Richard,Smyth,1543,Richard Smyth,17,17_3598,0,1,3598
21,5,center_column,8,Axminster,Richard Backer 3,Richara Backer 3,Richard Backer,Richard Backer 3,Richard,Backer,G,,3.0,Richard Backer,Richard,Backer,G,,,Richara Backer 3,Richara,Backer,G,,3.0,Richard,Backer,1543,Richard Backer,17,17_185,0,1,185
21,8,center_column,4,Axminster,John Smyth 1,John Smyth 1,John Smyth,John Smyth 1,John,Smyth,G,,1.0,John Smyth,John,Smyth,G,,,John Smyth 1,John,Smyth,G,,1.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
23,1,left_column,6,Colyton,William Leonerd 10,William Leonerd 10,William Leonerd 10,William Leonerd 10,William,Leonerd,G,,10.0,William Leonerd 10,William,Leonerd,G,,10.0,William Leonerd 10,William,Leonerd,G,,10.0,William,Leonerd,1543,William Leonerd,3,3_2452,0,1,2452
23,1,left_column,9,Colyton,John Harvye 27,John Harvye 27,John Harvye,John Harvye 27,John,Harvye,G,,27.0,John Harvye,John,Harvye,G,,,John Harvye 27,John,Harvye,G,,27.0,John,Harvye,1543,John Harvye,1,1_1903,0,1,1903
23,3,right_column,19,Colyton,Thomas Knowles 2,Thomas Knowles 2,Thomas Knowles,Thomas Knowles 2,Thomas,Knowles,G,,2.0,Thomas Knowles,Thomas,Knowles,G,,,Thomas Knowles 2,Thomas,Knowles,G,,2.0,Thomas,Knowles,1543,Thomas Knowles,0,0_2342,0,1,2342
23,3,right_column,20,Colyton,John Knowles jun 1,John Knowles jun 1,John Knowles jun1,John Knowles 1,John,Knowles,G, jun ,1.0,John Knowles jun1,John,Knowles,G,,1.0,John Knowles 1,John,Knowles,G, jun ,1.0,John,Knowles,1543,John Knowles,1,1_2342,0,1,2342
23,3,right_column,21,Colyton,John Cotton 1,John Cotten 1,John Cotten,John Cotton 1,John,Cotton,G,,1.0,John Cotten,John,Cotten,G,,,John Cotten 1,John,Cotten,G,,1.0,John,Cotten,1543,John Cotton,1,1_1000,0,1,1000
