hundred,landowner,area_perches,gemini_surname,surname_id,count,tithe_max_value_rank
Axminster, ,142551.0,,,1,10.0
Axminster,Abraham Bowditch,12.0,Bowditch,482.0,1,894.0
Axminster,Abraham Larcombe,680.0,Larcombe,5056.0,1,570.0
Axminster,Abraham Orchard,266.0,Orchard,2902.0,1,704.0
Axminster,Albion Davey,5.0,Davey,1159.0,1,901.0
Axminster,"Alexander Hood, Sir",14105.0,Hood,2042.0,1,150.0
Axminster,Allhallows Charity,8.0,,,1,898.0
Axminster,Amelia Marsh and Eliza Marsh,687.0,,,1,568.0
Axminster,Amelia Whitty (Leasehold),1665.0,(Leasehold,,1,474.0
Axminster,Amelia Whitty and George Phippen (Leasehold),9285.0,,,1,206.0
Axminster,Amos Zeally,7806.0,Zeally,4399.0,1,239.0
Axminster,Amy Lee,44.0,Lee,2442.0,1,862.0
Axminster,Andrew Tucker Follett,13.0,Follett,1507.0,1,893.0
Axminster,"Andrew Tucker, Reverend",8299.0,Tucker,3871.0,1,224.0
Axminster,Ann Adams,21.0,Adams,12.0,1,885.0
Axminster,"Ann Adams, lifehold under The Honourable Sir John Talbot",147.0,Talbot,3778.0,1,776.0
Axminster,Ann Alexander,17949.0,Alexander,44.0,1,125.0
Axminster,Ann Baker,1271.0,Baker,185.0,1,504.0
Axminster,Ann Bentley,35064.0,Bentley,363.0,1,53.0
Axminster,Ann Brackney,25.0,Brackney,576.0,1,881.0
Axminster,Ann Bradley,3406.0,Bradley,210.0,1,366.0
Axminster,Ann Broom,62.0,Broom,541.0,1,845.0
Axminster,Ann Deane,4852.0,Deane,1145.0,1,313.0
Axminster,Ann Farwell Moly,76.0,Moly,2760.0,1,832.0
Axminster,Ann Gay,577.0,Gay,1624.0,1,593.0
Axminster,"Ann Harvey and Tristram Hine (Lessees), William Gillet, Charles Hugo, John Thompson and Henry Knight",3892.0,,,1,346.0
Axminster,Ann Hoare,29.0,Hoare,2089.0,1,877.0
Axminster,Ann Northam (Widow),176.0,Northam,2863.0,1,752.0
Axminster,Ann Prosser,2.0,Prosser,521.0,1,904.0
Axminster,Ann Snell,20.0,Snell,3603.0,1,886.0
Axminster,Ann Symon,970.0,Symon,3552.0,1,529.0
Axminster,Ann Templeman,190624.0,Templeman,5057.0,1,6.0
Axminster,Ann Turner,171.0,Turner,3895.0,1,755.0
Axminster,Anna Gatcombe,25467.0,Gatcombe,1678.0,1,82.0
Axminster,Anne Deane,19845.0,Deane,1145.0,1,106.0
Axminster,Anne Newbury,1353.0,Newbury,2839.0,1,496.0
Axminster,Aplin,104.0,,,1,807.0
Axminster,Arthur King,4606.0,King,2317.0,1,323.0
Axminster,Avice Seward,69.0,,,1,839.0
Axminster,Axminster School Feoffees,1289.0,,,1,501.0
Axminster,Baptist Chapel,3.0,,,1,903.0
Axminster,Barnard Hoare,576.0,,,1,594.0
Axminster,Benjamin Barker Smark,381.0,Smark,3487.0,1,654.0
Axminster,Benjamin Denning,31538.0,Denning,1196.0,1,67.0
Axminster,Benjamin Hodder,131.0,Hodder,1839.0,1,787.0
Axminster,Benjamin Isaac,2.0,Isaac,2179.0,1,904.0
Axminster,Benjamin Moore,179.0,Moore,2663.0,1,750.0
Axminster,Benjamin Salter,14.0,Salter,3403.0,1,892.0
Axminster,Benjamin Thorn,11142.0,Thorn,4611.0,1,183.0
Axminster,Benjamin Veryard,24.0,Veryard,4571.0,1,882.0
Axminster,Benjamin Ward,40.0,Ward,4138.0,1,866.0
Axminster,Benjamin Wyatt,6214.0,Wyatt,4373.0,1,280.0
Axminster,Bernard Colebert,2.0,Colebert,898.0,1,904.0
Axminster,Bernard Phillips,71.0,Phillips,3051.0,1,837.0
Axminster,Betsy Treby,52.0,Treby,3927.0,1,854.0
Axminster,Betty Gould,274.0,Gould,1751.0,1,697.0
Axminster,Betty Henley,28.0,Henley,1876.0,1,878.0
Axminster,Betty Major,127.0,Major,2687.0,1,790.0
Axminster,Betty Pratt,233.0,Pratt,3160.0,1,719.0
Axminster,Betty Wilmenton,108.0,Wilmenton,4333.0,1,804.0
Axminster,Bishop of Llandaff,2401.0,,,1,423.0
Axminster,Browne Eliza and Caroline Browne,392.0,Browne,524.0,1,649.0
Axminster,Caleb Case,37.0,,,1,869.0
Axminster,Catherine Denning,69.0,Denning,1196.0,1,839.0
Axminster,Catherine Enticott,16.0,Enticott,1379.0,1,890.0
Axminster,Cephas Cox,74.0,Cox,668.0,1,834.0
Axminster,Charity of Saint Margaret,2888.0,,,1,398.0
Axminster,Charles Anstice,360.0,Charles,771.0,1,660.0
Axminster,Charles Benjamin Tucker,36726.0,Tucker,3871.0,1,51.0
Axminster,Charles Bennett,19839.0,Bennett,307.0,1,107.0
Axminster,Charles Bond,7749.0,Bond,441.0,1,242.0
Axminster,Charles Calcott,3.0,Calcott,670.0,1,903.0
Axminster,Charles Cornish (Leasehold),449.0,Cornish,977.0,1,628.0
Axminster,Charles Dell Hayman,3806.0,Dell,1142.0,1,349.0
Axminster,Charles Dening,200.0,Dening,1196.0,1,736.0
Axminster,Charles Denning,316.0,Denning,1196.0,1,678.0
Axminster,Charles Driver,22480.0,Driver,1297.0,1,92.0
Axminster,Charles Driver (Leasehold),2257.0,Driver,1297.0,1,429.0
Axminster,"Charles Edward Band, Reverend",2.0,Band,202.0,1,904.0
Axminster,"Charles Edward Band, Reverend (Glebe)",7566.0,,,1,248.0
Axminster,Charles Helyar,25045.0,Helyar,1951.0,1,83.0
Axminster,Charles K. Sevewright,738.0,Sevewright,5058.0,1,561.0
Axminster,Charles Locock,9253.0,Locock,2513.0,1,207.0
Axminster,Charles Macalister,84.0,Macalister,5059.0,1,825.0
Axminster,Charles Northam,12.0,Northam,2863.0,1,894.0
Axminster,"Charles Northam and James Northam, Trustees for the will of Northam deceased, their Heirs and Assigns",1806.0,Assigns,5060.0,1,461.0
Axminster,Charles Pearce,26718.0,Pearce,2932.0,1,78.0
Axminster,Charles Pratt,185.0,Pratt,3160.0,1,745.0
Axminster,Charles Rockett,20.0,Rockett,3240.0,1,886.0
Axminster,Charles Sage,90.0,Sage,3389.0,1,820.0
Axminster,Charles Sanders,42.0,Sanders,3411.0,1,864.0
Axminster,Charles Summers,346.0,Summers,3617.0,1,667.0
Axminster,Charles Tucker,1892.0,Tucker,3871.0,1,457.0
Axminster,Charles Tucker and Marwood Tucker,660.0,,,1,577.0
Axminster,Charles White,142.0,White,4233.0,1,780.0
Axminster,"Charles Wickstead Ethelstone, Reverend",881.0,Ethelstone,5061.0,1,537.0
Axminster,"Charles Wicksted Ethelsone, Reverend (Glebe)",5727.0,Glebe,832.0,1,294.0
Axminster,Charles Wood,28.0,Wood,4323.0,1,878.0
Axminster,"Charles Woodcock, Reverend (Vicarial Glebe)",559.0,,,1,600.0
Axminster,Christopher Flood,39395.0,Flood,1495.0,1,46.0
Axminster,Christopher Flood and Philip Mules,3.0,,,1,903.0
Axminster,Christopher Samuel Flood,19304.0,Flood,1495.0,1,115.0
Axminster,Christopher Samuel Flood and Harry Buckland Lott,3063.0,,,1,384.0
Axminster,Christopher Samuel Flood under The Manor,2069.0,Flood,1495.0,1,443.0
Axminster,Clement Griffen,19837.0,Griffen,1784.0,1,108.0
Axminster,Clement Griffin,10489.0,,,1,192.0
Axminster,Commissioners of Chard Turnpike,54.0,,,1,852.0
Axminster,Daniel Beard,90.0,Beard,274.0,1,820.0
Axminster,Daniel Broughton,9504.0,Broughton,589.0,1,204.0
Axminster,Daniel Broughton and others,22.0,Broughton,589.0,1,884.0
Axminster,Daniel Flood,272.0,Flood,1495.0,1,699.0
Axminster,Daniel Pidgeon,544.0,Pidgeon,421.0,1,604.0
Axminster,David Bowditch,1055.0,Bowditch,482.0,1,521.0
Axminster,David Gratton,1345.0,Gratton,1764.0,1,497.0
Axminster,David Powell,124.0,Powell,2964.0,1,792.0
Axminster,David Reed,209.0,Reed,3242.0,1,732.0
Axminster,David Wakley and Henry Wakley,30.0,,,1,876.0
Axminster,"Dean and Chapter of Exeter,  John Gains Coplestone, Reverend (Lessee Rectorial Glebe)",14582.0,,,1,144.0
Axminster,"Deborah Symes, Amelia Symes and Mary Symes",4484.0,,,1,328.0
Axminster,Devisee in Trust of William Shepherd Matthew Stuart,120.0,Stuart,3703.0,1,795.0
Axminster,Dorothia Newberry,214.0,Newberry,2839.0,1,728.0
Axminster,Dr Butler,5369.0,,,1,302.0
Axminster,Edmund Stamp,369.0,,,1,655.0
Axminster,Edmund Stamp The Younger,50.0,Stamp,3676.0,1,856.0
Axminster,Edmund Stamp as Trustee For Bishop's Family,1653.0,,,1,478.0
Axminster,Edmund Vimpenny,415.0,,,1,636.0
Axminster,Edward Christopher Holland,28.0,Christopher,816.0,1,878.0
Axminster,Edward Donne,29329.0,Donne,1263.0,1,70.0
Axminster,Edward Forward Roberts,19652.0,Roberts,3321.0,1,112.0
Axminster,Edward Forward Roberts and Rawlin Mallock,258.0,,,1,707.0
Axminster,Edward Guppy and John Coffin,7949.0,,,1,235.0
Axminster,Edward Haycraft,1022.0,Haycraft,1921.0,1,524.0
Axminster,Edward John Honeywood,1667.0,Honeywood,1958.0,1,473.0
Axminster,"Edward Marwood Elton, Baronet, Sir",23520.0,Elton,1367.0,1,88.0
Axminster,"Edward Marwood Elton, Sir",342.0,Elton,1367.0,1,668.0
Axminster,Edward Morey,33.0,Morey,2663.0,1,873.0
Axminster,Edward Pratt,155.0,Pratt,3160.0,1,769.0
Axminster,Edward Rogers Lathey,12.0,Lathey,2419.0,1,894.0
Axminster,Edward Smith,5618.0,Smith,3598.0,1,299.0
Axminster,"Edward Wilson, Reverend",13.0,Wilson,4288.0,1,893.0
Axminster,Edward Woodman,160.0,Woodman,4347.0,1,765.0
Axminster,Edwin Domett,1717.0,Domett,1261.0,1,469.0
Axminster,Eleanor Newton,20.0,Newton,2845.0,1,886.0
Axminster,Eleanor Pearce,3953.0,Pearce,2932.0,1,341.0
Axminster,Eleazor Denning,3328.0,,,1,368.0
Axminster,Eli Enticott,366.0,,,1,657.0
Axminster,Eli Fowler,203.0,,,1,735.0
Axminster,Elias Elstone,299.0,Elstone,1367.0,1,686.0
Axminster,Eliza Ann Hayman,3148.0,,,1,376.0
Axminster,Eliza Bartlett,11864.0,Bartlett,235.0,1,173.0
Axminster,Eliza Browne and Caroline Browne,27.0,Browne,524.0,1,879.0
Axminster,Eliza Hall,140.0,,,1,781.0
Axminster,Eliza Parsons,67.0,,,1,840.0
Axminster,Eliza Symcoe,212.0,,,1,730.0
Axminster,Elizabeth Bentley,4748.0,Bentley,363.0,1,316.0
Axminster,Elizabeth Bently,15903.0,Bently,363.0,1,136.0
Axminster,Elizabeth Board,67.0,,,1,840.0
Axminster,Elizabeth Broomfield,19.0,Broomfield,579.0,1,887.0
Axminster,Elizabeth Broughton,693.0,Broughton,589.0,1,567.0
Axminster,Elizabeth Burrough,3474.0,Burrough,635.0,1,363.0
Axminster,Elizabeth Clarke,13471.0,Clarke,834.0,1,158.0
Axminster,Elizabeth Cox under The Manor,10493.0,Cox,668.0,1,191.0
Axminster,Elizabeth Darke,7329.0,Darke,1152.0,1,254.0
Axminster,"Elizabeth Darke, John Trood, James Moore, Viscount Lord Sidmouth and others",5637.0,,,1,297.0
Axminster,Elizabeth FORD,75.0,FORD,5062.0,1,833.0
Axminster,Elizabeth Graves,965.0,Graves,1796.0,1,530.0
Axminster,Elizabeth Harding,554.0,Harding,1883.0,1,601.0
Axminster,Elizabeth Hardy,986.0,Hardy,1885.0,1,527.0
Axminster,Elizabeth Holmyard,1949.0,Holmyard,5063.0,1,450.0
Axminster,Elizabeth Homeyard,775.0,Homeyard,5064.0,1,555.0
Axminster,Elizabeth Hurford,17.0,Hurford,1889.0,1,889.0
Axminster,Elizabeth Marsh,9.0,Marsh,2648.0,1,897.0
Axminster,Elizabeth Mayo,80.0,Mayo,2666.0,1,829.0
Axminster,Elizabeth Miller,258.0,Miller,2734.0,1,707.0
Axminster,Elizabeth Moorey,44.0,Moorey,2663.0,1,862.0
Axminster,Elizabeth Richards,48.0,Richards,4420.0,1,858.0
Axminster,Elizabeth Ridout,29.0,Ridout,3280.0,1,877.0
Axminster,Elizabeth Rowe,40.0,,,1,866.0
Axminster,Elizabeth Shiles and Sarah Shiles,19236.0,,,1,116.0
Axminster,Elizabeth Shiles and Sarah Shiles (copyhold),4704.0,,,1,318.0
Axminster,"Elizabeth Shiles, Sarah Shiles and William Tapp",120.0,,,1,795.0
Axminster,"Elizabeth Thorn, Benjamin White and Catherine White",72.0,,,1,836.0
Axminster,Elizabeth Veryard,6.0,Veryard,4571.0,1,900.0
Axminster,Elizabeth Wish,3.0,Wish,34.0,1,903.0
Axminster,"Elizabeth, Mary and Sarah Uttermere",19540.0,,,1,113.0
