seq_num,anc_cnty,anc_par,par_flag,wheat,barley,oats,b_and_o,potatoes,peas,beans,p_and_b,turnips,rape,t_or_r,rye,oth_crop,other,oth_crop_2,other_2,notes
1,BEDFORDSHIRE,ARLESEY,,276,200,260,,,82,13,,60,,,14,,,,,
2,BEDFORDSHIRE,ASTWICK,,85,107,28,,,43,,,4,,,,,,,,
3,BEDFORDSHIRE,BARTON-LE-CLAY,,331.25,236.5,226.5,,7,152,78.5,,30,,,11,,,,,
4,BEDFORDSHIRE,BATTLESDEN,,41,7,18,,0.25,17,8,,,,2,,,,,,
5,BEDFORDSHIRE,BEDFORD MARTIN ST PETER,,116,67,20,,1.5,,59,,,,15,,,,,,
6,BEDFORDSHIRE,BEDFORD ST CUTHBERT,,80,20,16,,,,30,,38,,,,TARES,20,,,
7,BEDFORDSHIRE,BEDFORD ST JOHN,,,,,,,,,,,,,,,,,,NO FIGURES
8,BEDFORDSHIRE,BEDFORD ST MARY,,80,123,12,,6,7,,,,,36,,,,,,
9,BEDFORDSHIRE,BEDFORD ST PAUL,,120,72,15,,3,40,50,,45,,,,,,,,
10,BEDFORDSHIRE,BILLINGTON,,144.5,54.25,3.5,,,,201,,,,,,,,,,
11,BEDFORDSHIRE,BLETSOE,,164.5,183.25,89,,1,,34,,,,14,,,,,,
12,BEDFORDSHIRE,BLUNHAM,,403,294,70,,14,100,50,,,,48,30,,,,,
13,BEDFORDSHIRE,BOLNHURST,,160,69,207,,0.75,8,,,,,4,,,,,,
14,BEDFORDSHIRE,CAMPTON,,165,102,71,,4,61,46,,44,,,15,TARES ,7,,,
15,BEDFORDSHIRE,CARDINGTON,,707,346,902,,3,135,,,,,195,,,,,,
16,BEDFORDSHIRE,CHALGRAVE,,323,179,88,,,68,200,,,,63,,,,,,
17,BEDFORDSHIRE,CLAPHAM,,173,99,93,,2.5,30,44.5,,53.5,,,,,,,,
18,BEDFORDSHIRE,CLOPHILL,,135,100,68,,7,50,61,,100,,,35,,,,,
19,BEDFORDSHIRE,COLMWORTH,,357,177,251,,,,,126,,,,,,,,,
20,BEDFORDSHIRE,COPLE,,252,181,186,,,61,14,,,,69,3,,,,,
21,BEDFORDSHIRE,DEAN,,,,,,,,,,,,,,,,,,NO FIGURES
22,BEDFORDSHIRE,DUNTON,,426,337,90,,,,,132,35,,,,,,,,
23,BEDFORDSHIRE,EATON BRAY,,252,120,113,,2,75,165,,,,,8.5,,,,,
24,BEDFORDSHIRE,EATON SOCON,,1200,1100,600,,30,400,500,,,,400,40,,,,,
25,BEDFORDSHIRE,EDWORTH,,137,125,123,,,66,5,,,,,,,,,,
26,BEDFORDSHIRE,EGGINGTON,,263,97.5,19,,13,,356.5,,,,16.5,,,,,,
27,BEDFORDSHIRE,ELSTOW,,228.5,156,63,,3,42,54,,77,,,4,,,,,
28,BEDFORDSHIRE,EVERSHOLT,,120,93,67,,8,56,32,,,,67,41,,,,,
29,BEDFORDSHIRE,EVERTON,,206,145,93,,24,,,58,,,25,57.5,,,,,
30,BEDFORDSHIRE,EYWORTH,,108,95,55,,,15,15,,,,,,,,,,
31,BEDFORDSHIRE,FARNDISH,,37,93,31,,0.25,25,36,,26,,,,,,,,
32,BEDFORDSHIRE,FLITTON WITH SILSOE,,297,150.25,112.25,,11.5,72.25,154.75,,62,,,28.25,,,,,
33,BEDFORDSHIRE,FLITWICK ,,117,69.5,130.5,,9,28,13,,119.5,,,81.5,,,,,
34,BEDFORDSHIRE,GOLDINGTON,,294,158.5,110.75,,1,58.5,91,,84,,,,,,,,
35,BEDFORDSHIRE,GREAT BARFORD,,344,226,304,,6,163,141,,58,,,,,,,,
36,BEDFORDSHIRE,HARLINGTON,,175.75,65,95,,,72.75,57,,,,23.75,,,,,,
37,BEDFORDSHIRE,HARROLD,,214,68,71,,22,20,33,,,,39,,,,,,
38,BEDFORDSHIRE,HAYNES,,235.5,145,174.5,,,100,50,,100,,,50,,,,,
39,BEDFORDSHIRE,HEATH AND REACH,,260,90,40,,,25,260,,,,,,,,,,
40,BEDFORDSHIRE,HENLOW,,310.5,243,91,,1,122.5,35,,,,117,21.5,,,,,
41,BEDFORDSHIRE,HOCKLIFFE,,37.5,11.5,9,,,,25.25,,,,,,,,,,
42,BEDFORDSHIRE,HOUGHTON CONQUEST,,174.5,94,17,,,11,235,,,,,,,,,,
43,BEDFORDSHIRE,HULCOTE,,25,6,18,,,,14,,,,,,,,,,
44,BEDFORDSHIRE,KEMPSTON,,585,266,169,,3,177,348,,,,130,19,,,,,
45,BEDFORDSHIRE,KEYSOE,,,,,,,,,,,,,,,,,,NO FIGURES
46,BEDFORDSHIRE,KNOTTING,,148,40,15.5,,,,,51,,,27,,,,,,
47,BEDFORDSHIRE,LANGFORD,,285,215.5,177,,5.5,89,45.5,,,,107.5,26,,,,,
48,BEDFORDSHIRE,LEIGHTON BUZZARD,,250,100,25,,120,160,215,,,,45,,VETCHES,45,,,
49,BEDFORDSHIRE,LIDLINGTON,,215,120,84,,5,92,89,,63,,,15,,,,,
50,BEDFORDSHIRE,LITTLE BARFORD,,160,60,10,,,46,37,,,,30,,,,,,
51,BEDFORDSHIRE,LITTLE STAUGHTON,,228,107,133,,1,,,170,,,,,TARES,2,,,
52,BEDFORDSHIRE,MAULDEN,,172.25,149,139.5,,50.5,49.75,65,,,,135,87.5,,,,,
53,BEDFORDSHIRE,MEPPERSHALL,,435,250,210,,5,80,60,,,,30,6,,,,,
54,BEDFORDSHIRE,MILTON BRYAN,,143,51,95,,6,39,100,,15,,,1,,,,,
55,BEDFORDSHIRE,NORTHILL,,526.5,453,218.5,,17.25,176.5,84.5,,,,190.5,21,,,,,
56,BEDFORDSHIRE,OAKLEY,,233,132,115,,3,171,36,,,,77,,,,,,
57,BEDFORDSHIRE,ODELL,,188,136,163,,,,,111,,,20,,,,,,
58,BEDFORDSHIRE,OLD WARDEN,,328,304,156,,20,124,76,,,,165,53,VETCHES,30,,,
59,BEDFORDSHIRE,PERTENHALL,,127,68,50.25,,,,116.5,,,,,,TARES,7.5,,,
60,BEDFORDSHIRE,POTSGROVE,,40,15,14.5,,0.5,5,42,,,,2.5,,,,,,
61,BEDFORDSHIRE,POTTON,,252,291,188,,120,,,198,132,,,223,,,,,
62,BEDFORDSHIRE,RAVENSDEN,,304,115,231,,2,104,50,,,,,,,,,,
63,BEDFORDSHIRE,RENHOLD,,212,89,156,,,84,69,,,,,,,,,,
64,BEDFORDSHIRE,RIDGMONT,,200,93.5,84,,7,32,10,,,,20.5,69,,,,,
65,BEDFORDSHIRE,RISELEY,,310,220,193,,3,77,52,,24,,,3,,,,,
66,BEDFORDSHIRE,ROXDON,,328,274,251,,10,139,117,,,,118,,,,,,
67,BEDFORDSHIRE,SALFORD,,148,30,75,,,50,21,,19,,,,,,,,
68,BEDFORDSHIRE,SANDY,,214,168,123,,,,,125,88,,,40,,,,,
69,BEDFORDSHIRE,SHARNBROOK,,250,150,120,,,,,280,,,30,,,,,,
70,BEDFORDSHIRE,SHEFFORD,,1,10,17,,1,4,,,8,,,,TARES,9,,,
71,BEDFORDSHIRE,SHELTON,,90,65,68,,,12,54,,,,,,TARES,3,,,
72,BEDFORDSHIRE,SOULDROP,,130,87,28,,,,,66,,,,,,,,,
73,BEDFORDSHIRE,SOUTHILL,,676,526,277,,14,198,41,,344,,,152,,,,,
74,BEDFORDSHIRE,STANBRIDGE,,253.5,84,37,,,17,280,,,,,,,,,,
75,BEDFORDSHIRE,STEPPINGLEY,,98,86,102,,3,7,39,,91,,,61,,,,,
76,BEDFORDSHIRE,STEVINGTON,,257,90,100,,2,10,200,,,,,,,,,,
77,BEDFORDSHIRE,STOTFOLD,,234,218,107,,,77,65,,41,,,10,,,,,
78,BEDFORDSHIRE,STREATLEY,,255,239,195,,,74,16,,,,48,,,,,,
79,BEDFORDSHIRE,STUDHAM,,317,138,330.5,,2,83,,,,,99.5,,,,,,
80,BEDFORDSHIRE,SUNDON,,264,203,177,,,89,19,,,,62,,,,,,
81,BEDFORDSHIRE,SUTTON,,247,204,137,,4,136,12,,,,121,39,,,,,
82,BEDFORDSHIRE,TEMPSFORD,,177,159,98,,3,,,124,51,,,,,,,,
83,BEDFORDSHIRE,THURLEIGH,,350,150,282,,,106,105,,,,6,3,,,,,
84,BEDFORDSHIRE,TILBROOK,,100,200,61,,1.5,6,91,,,,4,,,,,,
85,BEDFORDSHIRE,TINGRITH,,89,38,31,,3,13,4,,,,19,15,,,,,
86,BEDFORDSHIRE,TOTTERNHOE,,323,144,277,,,97,28,,17,,,,,,,,
87,BEDFORDSHIRE,TURVEY,,362,183,194,,0.5,9,129,,,,62,,,,,,
88,BEDFORDSHIRE,UPPER GRAVENHURST,,108,87,25,,,27,30,,,,277,,,,,,
89,BEDFORDSHIRE,WESTONING,,243.5,72,78,,,6,193,,,,37,65.5,,,,,
90,BEDFORDSHIRE,WHIPSNADE,,170,59,85,,,32.5,18,,,,30,,,,,,
91,BEDFORDSHIRE,WILDEN,,373,71.5,258,,1,,,172,10,,,,TARES,11,,,
92,BEDFORDSHIRE,WILLINGTON,,209,123,114,,,,,51,,,,,,,,,
93,BEDFORDSHIRE,WILSHAMSTEAD,,313,140,125,,,126,259,,,,,,,,,,
94,BEDFORDSHIRE,WOOTTON,,337,155,56,,,,352,,6.5,,,,,,,,
95,BEDFORDSHIRE,WRESTLINGWORTH,,241,172,224,,,,,146,,,,,,,,,
96,BEDFORDSHIRE,WYMINGTON,,103,117,158,,,41,109,,,,,,,,,,
97,BEDFORDSHIRE,YELDEN,,175,116,57,,,,142,,,,,,,,,,
98,BERKSHIRE,ABINGDON SS. HELEN AND NICHOLAS,,415,390,60,,,60,225,,,,60,,,,,,
99,BERKSHIRE,LETCOMBE BASSETT,,215,140,240,,1,42,50,,,,142,,,,,,
100,BERKSHIRE,LETCOMBE REGIS,,169.5,140,94,,3,42,122,,,,3.5,,,,,,
101,BERKSHIRE,READING,,,,,,,,,,,,,,,,,,NO FIGURES
102,BERKSHIRE,STRATFIELD MORTIMER,,,,,,,,,,,,,,,,,,NO FIGURES
103,BERKSHIRE,WALLINGFORD ST LEONARD,,179,139.75,37.5,,1.75,17,102,,,,20.25,,,,,,
104,BUCKINGHAMSHIRE,AKELEY CUM STOCKHOLT,,78,19,20,,,9,12,,,,10,,,,,,
105,BUCKINGHAMSHIRE,AMERSHAM,,,,,,,,,,,,,,,,,,NO FIGURES
106,BUCKINGHAMSHIRE,ASHENDON,,122,57.5,92.5,,,26.5,73,,,,,,,,,,
107,BUCKINGHAMSHIRE,ASTON ABBOTTS,,84,60,39,,,45,39,,47,,,,,,,,
108,BUCKINGHAMSHIRE,ASTON SANDFORD,,130,9,10,,0.5,20,130,,,,,,,,,,
109,BUCKINGHAMSHIRE,BARTON HARTSHORN,,50,12,20,,,,,46,,,,,,,,,
110,BUCKINGHAMSHIRE,BEAUCHAMPTON,,30,21,25,,,5,17,,,,,,,,,,
111,BUCKINGHAMSHIRE,BEACONSFIELD,,482,385,184,,9,114,8,,168,,,15,,,,,
112,BUCKINGHAMSHIRE,BIERTON (WITH ITS HAMLETS),,734,198,243,,4,140,554.5,,17.5,,,,,,,,
113,BUCKINGHAMSHIRE,BLEDLOW,,,,,,,,,,,,,,,,,,NO FIGURES
114,BUCKINGHAMSHIRE,BLETCHLEY,,139,69,29,,,,,220,,,,,,,,,
115,BUCKINGHAMSHIRE,BOW BRICKHILL,,107,41,129,,,17,55,,,,4,18,,,,,
116,BUCKINGHAMSHIRE,BRADENHAM,,99.5,104.5,106,,,37,,,,,54.5,,VETCHES,3,,,
117,BUCKINGHAMSHIRE,BRADWELL,,132,38,49,,0.5,4,39,,,,16,,,,,,
118,BUCKINGHAMSHIRE,BROUGHTON,,43,8.5,46,,9,,,13.5,,,15,,,,,,
119,BUCKINGHAMSHIRE,BUCKINGHAM,,327,110,106,,,23,152,,,,,,,,,,
120,BUCKINGHAMSHIRE,CALVERTON,,253.75,95,182,,,30.5,100.5,,,,41,,VETCHES,13.5,,,
121,BUCKINGHAMSHIRE,CASTLETHORPE,,147,104,58,,4,,86,,41,,,,,,,,
122,BUCKINGHAMSHIRE,CHACKMORE,,,,,,,,,,,,,,,,,,SEE RADCLIVE
123,BUCKINGHAMSHIRE,CHALFONT ST PETER,,626,269,510,,7,107,15,,,,150,3,,,,,
124,BUCKINGHAMSHIRE,CHEARSLEY,,144,31.5,21,,0.25,20,149,,,,,,,,,,
125,BUCKINGHAMSHIRE,CHEDDINGTON,,227.5,30.25,12,,,9,240.75,,,,,,,,,,
126,BUCKINGHAMSHIRE,CHETWODE,,30,9,8,,,,,32,,,,,,,,,
127,BUCKINGHAMSHIRE,CHICHELEY,,170,64,73,,,14,67,,,,,,,,,,
128,BUCKINGHAMSHIRE,CHILTON,,183,58,64,,2,32,108,,,,2,,,,,,
129,BUCKINGHAMSHIRE,CHOLESBURY,,27,1.5,20,,0.5,,,,5,,,,,,,,
130,BUCKINGHAMSHIRE,COLD BRAYFIELD,,,,,,,,,,,,,,,,,,SEE LAVENDON
131,BUCKINGHAMSHIRE,CUBLINGTON,,100,60,10,,1,,,150,,,,,,,,,
132,BUCKINGHAMSHIRE,DATCHET,,256,188,26,,,50,102,,7,,,,,,,,
133,BUCKINGHAMSHIRE,DINTON,,350,149,61,,,42,230,,20,,,,,,,,
134,BUCKINGHAMSHIRE,DORNEY,,229.25,132.25,185.5,,3.5,32,52.25,,,,38,2,TARES,3,,,
135,BUCKINGHAMSHIRE,DORTON,,13.5,,30,,2,3,7.5,,,,,,,,,,
136,BUCKINGHAMSHIRE,DRAYTON BEAUCHAMP,,300,200,60,,,59,40,,,,10,,,,,,
137,BUCKINGHAMSHIRE,DRAYTON PARSLOW,,188,35,127,,,14,41,,,,5,,,,,,
138,BUCKINGHAMSHIRE,EAST CLAYDON,,26.25,14,23,,,3.25,19.5,,,,,,,,,,
139,BUCKINGHAMSHIRE,EDGCOTT,,104,,5,,,,100,,,,,,,,,,
140,BUCKINGHAMSHIRE,ELLESBOROUGH,,504,146,151,,,115,222,,50,,,,,,,,
141,BUCKINGHAMSHIRE,ETON,,120,108,10,,,27,14,,,,,,,,,,
142,BUCKINGHAMSHIRE,FENNY STRATFORD,,52,17,25,,4,3,6,,,,,,,,,,
143,BUCKINGHAMSHIRE,FLEET MARSTON,,39,19,19,,,8,26,,,,,,VETCHES,1,,,
144,BUCKINGHAMSHIRE,FOSCOTT,,36,23,6,,,,32,,,,,,VETCHES,6,,,
145,BUCKINGHAMSHIRE,FULMER,,70,42,62.5,,3,26,3.5,,38.5,,,2,,,,,
146,BUCKINGHAMSHIRE,GAYHURST,,45,27,26,,,,25,,7,,,,,,,,
147,BUCKINGHAMSHIRE,GRANBOROUGH,,133,9,65,,2,13,48,,,,,,,,,,
148,BUCKINGHAMSHIRE,GREAT KIMBLE,,295,85,39,,,39.5,234,,,,26,,,,,,
149,BUCKINGHAMSHIRE,GREAT LINFORD,,80.5,52,42,,1.25,10,33,29,24,,,,,,,,
150,BUCKINGHAMSHIRE,GREAT MISSENDEN,,807.25,274,771.5,,5,137.5,,,,,156.5,4.75,,,,,
151,BUCKINGHAMSHIRE,GREAT WOOLSTONE,,63,21,43,,,,36,,,,6,,,,,,
152,BUCKINGHAMSHIRE,GRENDON UNDERWOOD,,140,,135,,,,121,,,,,,,,,,
153,BUCKINGHAMSHIRE,HALTON,,170,24,58,,,,120,,,,,,,,,,
154,BUCKINGHAMSHIRE,HAMBLEDEN,,627,618,596,,,193,12,,40,,,,VETCHES,7,,,
155,BUCKINGHAMSHIRE,HANSLOPE,,549,264,37,,12,45,364,,10,,,,,,,,
156,BUCKINGHAMSHIRE,HARTWELL,,28,33,8,,0.25,6,1,,,,1,,,,,,
157,BUCKINGHAMSHIRE,HAWRIDGE,,83,17,52,,,19,,,,,7,,,,,,
158,BUCKINGHAMSHIRE,HEDGERLEY,,74.5,57,73.5,,,16,8,,,,73,,,,,,
159,BUCKINGHAMSHIRE,HEDSOR,,10.5,34.5,20.25,,1.5,4,5.25,,,,31,,,,,,
