id_1327,id_1332,id_1334,county,county2,old_unit,oth_unit,old_hund,hundred,docname,modname,nameinfo,Taxpayers 1327,Taxpayers 1332,"£1,327",shillings 1327,pence 1327,"£1,332",shillings 1332,pence 1332,"£1,334",shillings 1334,penc 1334,gridref,gridx,gridy,townyear,townpage,rtownpage
40250,40250,40250,SHROPSHIRE,,,,UNKNOWN,UNKNOWN,SUBTAXERS,SUBTAXERS,,0,6,0,0,0,2,0,0,0,0,0,,0,0,,0,0
0,90,90,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,SANDEYES,SANDY,,0,47,0,0,0,5,12,0,6,8,8,TL174491,517400,249100,,0,0
0,100,100,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,DUNTON',DUNTON,,0,33,0,0,0,3,3,4.25,3,12,6.25,TL238442,523800,244200,,0,0
0,200,200,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,MULNHO,MILLOW,,0,29,0,0,0,4,0,0.25,4,8,8,TL229433,522900,243300,,0,0
0,300,300,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,HATTELE,COCKAYNE HATLEY,,0,34,0,0,0,5,5,2,5,12,2,TL256496,525600,249600,,0,0
0,400,400,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,LANGEFORD,LANGFORD,,0,28,0,0,0,3,14,11,4,6,3.75,TL185413,518500,241300,,0,0
0,500,500,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,POTTON',POTTON,,0,27,0,0,0,5,0,0,5,8,8,TL223491,522300,249100,,0,0
0,600,600,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,EDWORTH',EDWORTH,,0,18,0,0,0,2,1,0,2,5,0.75,TL222406,522200,240600,,0,0
0,700,700,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,SUTTON',SUTTON,,0,31,0,0,0,5,2,4,5,14,4,TL222473,522200,247300,,0,0
0,800,800,BEDFORDSHIRE,,,,HD. BIKELESWAD,BIGGLESWADE HUNDRED,BIKELESWAD,BIGGLESWADE,,0,39,0,0,0,5,2,6,5,11,2.5,TL182446,518200,244600,1132,65,0
