Parish,User-selected,Hundred,Hundred code,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Vancouver District,Vancouver Order,Houses occupied 1801,Families 1801,Agric empl 1801,Mftg (etc) empl 1801,Other occ 1801,Popn 1801,Family size,Ag/Popn,Ind (etc)/ Popn,Other/Popn,Ind (etc)/ Ag,Other/Ag + Ind (etc),Parish as % of Devon,Popn 1811,Popn 1821,Popn 1831,Popn11/ Popn01,Popn21/ Popn11,Popn31/ Popn21,Popn31/ Popn01,Popn 1815 (est),Property value 1815,Value (£ per capita),Val/cap as % of Devon av
Abbots Bickington,,Black Torrington,3,,,Holsworthy,9,Torridge,9,3,1,10,12,30,0,38,68,5.67,44.10%,0.00%,55.90%,0,1.27,0.02%,72,75,77,105.90%,104.20%,102.70%,113.20%,73,£424,£5.79,123%
Abbotsham,,Shebbear,23,,,Hartland,8,Torridge,9,1,2,59,59,305,8,0,313,5.31,97.40%,2.60%,0.00%,0.03,0,0.09%,321,386,387,102.60%,120.20%,100.30%,123.60%,347,"£2,481",£7.15,152%
Abbotskerswell,,Haytor,16,,,Ipplepen,11,Teignbridge,5,4,4,95,95,101,122,166,389,4.09,26.00%,31.40%,42.70%,1.21,0.74,0.11%,379,437,442,97.40%,115.30%,101.10%,113.60%,402,"£2,902",£7.22,153%
Alphington,,Wonford,32,,,Kenn,12,Exeter,1,6,2,98,184,114,42,689,845,4.59,13.50%,5.00%,81.50%,0.37,4.42,0.25%,911,"1,070","1,236",107.80%,117.50%,115.50%,146.30%,975,"£6,999",£7.18,153%
Alverdiscott,,Fremington,12,,,Hartland,8,Torridge,9,1,3,52,52,161,7,110,278,5.35,57.90%,2.50%,39.60%,0.04,0.65,0.08%,257,334,339,92.40%,130.00%,101.50%,121.90%,288,"£1,431",£4.97,106%
Alwington,,Shebbear,23,,,Hartland,8,Torridge,9,1,1,56,61,83,21,206,310,5.08,26.80%,6.80%,66.50%,0.25,1.98,0.09%,359,386,486,115.80%,107.50%,125.90%,156.80%,370,"£2,303",£6.23,132%
Arlington,,Shirwell,24,,,Shirwell,17,North Devon,10,1,5,37,42,87,24,96,207,4.93,42.00%,11.60%,46.40%,0.28,0.86,0.06%,157,177,235,75.80%,112.70%,132.80%,113.50%,165,"£1,709",£10.36,220%
Ashburton,,Teignbridge,28,Yes,,Moreton,13,Teignbridge,5,4,3,369,664,141,267,"2,672","3,080",4.64,4.60%,8.70%,86.80%,1.89,6.55,0.89%,"3,053","3,403","4,165",99.10%,111.50%,122.40%,135.20%,"3,193","£7,848",£2.46,52%
Ashbury,,Black Torrington,3,,,Okehampton,14,West Devon,8,3,3,4,4,20,0,21,41,10.25,48.80%,0.00%,51.20%,0,1.05,0.01%,72,74,74,175.60%,102.80%,100.00%,180.50%,73,£508,£6.98,148%
Ashcombe,,Exminster,11,,,Kenn,12,Teignbridge,5,6,1,51,57,124,8,148,280,4.91,44.30%,2.90%,52.90%,0.06,1.12,0.08%,272,283,320,97.10%,104.00%,113.10%,114.30%,276,"£1,341",£4.85,103%
