Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
Abbots Bickington,,Black Torrington,3,1,,,Holsworthy,9,Torridge,9,13,14,77,19,2,0,17,0,0,0,0,0,0,11%,0%,89%,0%,0%,0%,0%,0%,0%,1.05,100%,0%,0%,0%,0.3,61%,,,
Abbotsham,,Shebbear,24,1,,,Hartland,8,Torridge,9,75,76,387,87,17,3,37,0,11,2,10,7,0,20%,3%,43%,0%,13%,2%,11%,8%,0%,0.96,66%,24%,2%,8%,0.41,84%,,GPI weighting factors (value to local economy compared to an agricultural labourer),
Abbotskerswell,,Haytor,17,1,,,Ipplepen,11,Teignbridge,5,93,93,442,92,12,7,51,0,16,6,0,0,0,13%,8%,55%,0%,17%,7%,0%,0%,0%,0.89,76%,17%,7%,0%,0.43,87%,,1,Agricultural labourers
Alphington,,Wonford,32,1,,Medium,Kenn,12,Exeter,1,237,258,"1,236",325,25,17,93,0,84,44,41,13,8,8%,5%,29%,0%,26%,14%,13%,4%,2%,1.12,42%,41%,14%,4%,0.69,141%,,3,Farmers who employed labourers
Alverdiscott,,Fremington,13,1,,,Hartland,8,Torridge,9,67,67,339,83,17,3,38,0,9,2,11,3,0,20%,4%,46%,0%,11%,2%,13%,4%,0%,1.04,70%,24%,2%,4%,0.45,92%,,2,Farmers who did not employ labourers
Alwington,,Shebbear,24,2,,,Hartland,8,Torridge,9,85,86,486,111,8,6,46,0,22,3,10,16,0,7%,5%,41%,0%,20%,3%,9%,14%,0%,0.97,54%,29%,3%,14%,0.4,81%,,1.5,Industrial workers
Arlington,,Shirwell,25,1,,,Shirwell,17,North Devon,10,39,40,235,61,13,7,14,0,10,4,2,4,7,21%,11%,23%,0%,16%,7%,3%,7%,11%,1.1,56%,31%,7%,7%,0.6,123%,,2.5,Craft and retail trade workers
Ashburton,,Teignbridge,29,1,Yes,,Moreton,13,Teignbridge,5,513,797,"4,165","1,046",69,24,262,130,306,67,134,45,9,7%,2%,25%,12%,29%,6%,13%,4%,1%,1.07,34%,55%,6%,4%,0.55,112%,,8,"Professionals, entrepreneurs etc"
Ashbury,,Black Torrington,3,2,,,Okehampton,14,West Devon,8,8,9,74,12,4,1,6,0,0,1,0,0,0,33%,8%,50%,0%,0%,8%,0%,0%,0%,0.69,92%,0%,8%,0%,0.38,77%,,1.5,Non-agricultural labourers
Ashcombe,,Exminster,12,1,,,Kenn,12,Teignbridge,5,51,61,320,97,7,0,57,0,26,1,0,5,1,7%,0%,59%,0%,27%,1%,0%,5%,1%,1.29,66%,28%,1%,5%,0.49,101%,,1,"Others (incl retired, sick etc)"
Ashford,,Braunton,4,1,,,Shirwell,17,North Devon,10,24,24,99,25,12,0,11,0,2,0,0,0,0,48%,0%,44%,0%,8%,0%,0%,0%,0%,1.07,92%,8%,0%,0%,0.53,107%,,1.5,Servants
Ashprington,,Coleridge,8,1,,,Totnes,24,South Hams,4,115,118,549,115,14,1,49,0,21,5,15,6,4,12%,1%,43%,0%,18%,4%,13%,5%,3%,0.89,56%,35%,4%,5%,0.4,82%,,,
Ashreigney / Ring Ash,,North Tawton & Winkleigh,28,1,,Medium,Torrington,23,Torridge,9,206,208,"1,038",247,47,15,137,0,39,0,8,1,0,19%,6%,55%,0%,16%,0%,3%,0%,0%,1.01,81%,19%,0%,0%,0.4,82%,,,
Ashton,,Exminster,12,2,,,Dunsford,7,Teignbridge,5,50,57,333,88,19,12,26,0,15,1,15,0,0,22%,14%,30%,0%,17%,1%,17%,0%,0%,1.12,65%,34%,1%,0%,0.53,107%,,,
Ashwater,,Black Torrington,3,3,,,Holsworthy,9,Torridge,9,159,159,862,233,67,3,122,0,31,1,9,0,0,29%,1%,52%,0%,13%,0%,4%,0%,0%,1.15,82%,17%,0%,0%,0.5,101%,,,
Atherington,,North Tawton & Winkleigh,28,2,,,Barnstaple,2,North Devon,10,114,117,592,147,28,0,71,0,34,1,6,5,2,19%,0%,48%,0%,23%,1%,4%,3%,1%,1.06,67%,29%,1%,3%,0.45,91%,,,
Aveton Gifford,,Ermington,11,1,,,Woodleigh,25,South Hams,4,178,180,939,217,22,9,118,0,51,3,1,5,8,10%,4%,54%,0%,24%,1%,0%,2%,4%,0.98,69%,28%,1%,2%,0.4,81%,,,
Awliscombe,,Hemyock,18,1,,,Dunkeswell,6,East Devon,6,103,115,598,166,29,11,89,0,25,5,0,0,7,17%,7%,54%,0%,15%,3%,0%,0%,4%,1.18,78%,19%,3%,0%,0.52,106%,,,
Axminster (incl Beerhall),1,Axminster,1,1,Yes,,Honiton,10,East Devon,6,522,562,"2,719",597,67,32,218,1,167,37,15,33,27,11%,5%,37%,0%,28%,6%,3%,6%,5%,0.93,53%,35%,6%,6%,0.48,97%,,,
Axmouth (incl Horsedown),4,Axminster,1,2,,,Honiton,10,East Devon,6,91,112,646,137,20,5,75,0,17,2,5,11,2,15%,4%,55%,0%,12%,1%,4%,8%,1%,0.9,73%,18%,1%,8%,0.35,71%,,,
Aylesbeare (excl Newton Poppleford),,East Budleigh,5,1,,,Aylesbeare,1,East Devon,6,78,78,437,145,20,50,48,0,19,1,5,2,0,14%,34%,33%,0%,13%,1%,3%,1%,0%,1.41,81%,17%,1%,1%,0.62,128%,,,
Bampton,,Bampton,2,1,Yes,,Tiverton,22,Mid Devon,7,368,407,"1,961",491,49,22,184,9,134,12,51,26,4,10%,4%,37%,2%,27%,2%,10%,5%,1%,1.07,52%,40%,2%,5%,0.47,97%,,,
Barnstaple,,Braunton,4,2,Yes,,Barnstaple,2,North Devon,10,"1,081","1,357","6,840","1,445",6,4,53,86,865,108,187,109,27,0%,0%,4%,6%,60%,7%,13%,8%,2%,0.9,4%,81%,7%,8%,0.54,109%,,,
