year,cpi,,
1209,6.5,,
1210,6.7,,
1211,7.5,,
1212,6.6,,
1213,6.4,,
1214,6.2,,
1215,6.6,,
1216,7.0,,
1217,8.1,,
1218,9.4,,
1219,9.1,,
1220,8.0,,
1221,8.9,,
1222,7.6,,
1223,6.4,,
1224,7.0,,
1225,10.5,,
1226,9.5,,
1227,9.5,,
1228,9.3,,
1229,9.2,,
1230,9.0,,
1231,8.8,,
1232,8.7,,
1233,8.1,,
1234,8.2,,
1235,8.3,,
1236,8.1,,
1237,8.9,,
1238,8.6,,
1239,8.4,,
1240,8.2,,
1241,8.0,,
1242,7.7,,
1243,7.5,,
1244,7.3,,
1245,7.0,,
1246,8.1,,
1247,10.7,,
1248,10.6,,
1249,7.8,,
1250,8.6,,
1251,8.0,,
1252,8.2,,
1253,9.5,,
1254,7.2,,
1255,7.4,,
1256,9.5,,
1257,11.0,,
1258,10.8,,
1259,10.3,,
1260,9.2,,
1261,9.7,,
1262,9.9,,
1263,8.9,,
1264,9.0,,
1265,9.4,,
1266,9.4,,
1267,10.1,,
1268,8.6,,
1269,10.3,,
1270,10.1,,
1271,12.7,,
1272,13.4,,
1273,11.1,,
1274,12.6,,
1275,12.3,,
1276,11.0,,
1277,12.4,,
1278,10.8,,
1279,9.9,,
1280,11.3,,
1281,10.5,,
1282,12.1,,
1283,11.7,,
1284,11.8,,
1285,9.9,,
1286,10.7,,
1287,9.6,,
1288,7.9,,
1289,8.5,,
1290,9.9,,
1291,11.6,,
1292,10.9,,
1293,10.9,,
1294,12.7,,
1295,13.3,,
1296,12.6,,
1297,10.8,,
1298,11.7,,
1299,11.7,,
1300,12.0,,
1301,11.3,,
1302,10.8,,
1303,10.2,,
1304,9.8,,
1305,10.9,,
1306,11.1,,
1307,10.6,,
1308,11.8,,
1309,13.6,,
1310,14.3,,
1311,14.5,,
1312,11.8,,
1313,11.5,,
1314,12.5,,
1315,13.4,,
1316,19.0,,
1317,19.3,,
1318,14.3,,
1319,10.8,,
1320,12.1,,
1321,13.0,,
1322,17.5,,
1323,15.1,,
1324,12.9,,
1325,13.9,,
1326,11.7,,
1327,10.2,,
1328,11.1,,
1329,12.3,,
1330,12.4,,
1331,13.3,,
1332,13.6,,
1333,11.2,,
1334,10.6,,
1335,10.5,,
1336,11.0,,
1337,10.3,,
1338,9.3,,
1339,8.5,,
1340,11.1,,
1341,9.4,,
1342,9.9,,
1343,9.7,,
1344,10.8,,
1345,9.5,,
1346,10.0,,
1347,12.3,,
1348,12.3,,
1349,9.8,,
1350,11.7,,
1351,13.9,,
1352,15.8,,
1353,12.5,,
1354,11.8,,
1355,12.4,,
1356,13.0,,
1357,13.4,,
1358,13.6,,
1359,12.8,,
1360,12.9,,
1361,12.8,,
1362,12.3,,
1363,14.2,,
1364,15.2,,
1365,13.8,,
1366,12.7,,
1367,12.9,,
1368,14.2,,
1369,14.1,,
1370,19.7,,
1371,14.6,,
1372,13.3,,
1373,14.6,,
1374,12.8,,
1375,15.1,,
1376,14.9,,
1377,11.6,,
1378,10.9,,
1379,10.4,,
1380,12.5,,
1381,12.7,,
1382,11.7,,
1383,11.6,,
1384,11.6,,
1385,11.2,,
1386,11.9,,
1387,11.1,,
1388,10.3,,
1389,9.6,,
1390,12.2,,
1391,14.3,,
1392,11.6,,
1393,10.1,,
1394,10.4,,
1395,10.7,,
1396,10.8,,
1397,12.6,,
1398,12.4,,
1399,11.8,,
1400,12.1,,
1401,12.9,,
1402,14.6,,
1403,12.9,,
1404,11.4,,
1405,11.2,,
