hundred,houses,families,agric,mfg,other,pop01,pop_fam,agriculture_share,industrial_share,other_share,ind_ag_ratio,other_ag_ind_ratio,pct_devon,pop11,pop21,pop31,pop11_01,pop21_11,pop31_21,pop31_01,pop15,prop_val_15,gbp_pc,gbp_pc_index
Axminster,2051,2211,4031,2807,3730,10568,4.78,0.38,0.27,0.35,0.7,0.55,0.03,11394,13282,13939,1.08,1.17,1.05,1.32,12149,70784,5.83,1.24
Bampton,1043,1120,1703,1841,1663,5207,4.65,0.33,0.35,0.32,1.08,0.47,0.02,5496,6089,6500,1.06,1.11,1.07,1.25,5733,31102,5.42,1.15
Black Torrington,2336,2578,6994,1382,5052,13428,5.21,0.52,0.1,0.38,0.2,0.6,0.04,14935,17536,19492,1.11,1.17,1.11,1.45,15975,63334,3.96,0.84
Braunton,2440,2799,3925,1515,7937,13377,4.78,0.29,0.11,0.59,0.39,1.46,0.04,14287,17927,21974,1.07,1.26,1.23,1.64,15743,68679,4.36,0.93
Cliston,581,604,1770,263,528,2561,4.24,0.69,0.1,0.21,0.15,0.26,0.01,2763,3032,3482,1.08,1.1,1.15,1.36,2871,24098,8.39,1.79
Coleridge,2552,3452,3511,3208,8555,15274,4.42,0.23,0.21,0.56,0.91,1.27,0.04,16529,19018,20319,1.08,1.15,1.07,1.33,17525,86633,4.94,1.05
Colyton,1036,1201,1455,480,3950,5885,4.9,0.25,0.08,0.67,0.33,2.04,0.02,6088,6971,7374,1.03,1.15,1.06,1.25,6441,42681,6.63,1.41
Crediton,1993,2047,3289,4520,2283,10092,4.93,0.33,0.45,0.23,1.37,0.29,0.03,10648,11407,12237,1.06,1.07,1.07,1.21,10952,43081,3.93,0.84
East Budleigh,2578,2794,4538,2431,6189,13158,4.71,0.35,0.19,0.47,0.54,0.89,0.04,14701,18250,20266,1.12,1.24,1.11,1.54,16121,92072,5.71,1.21
Ermington,1339,1464,2492,1465,3914,7871,5.38,0.32,0.19,0.5,0.59,0.99,0.02,8671,10364,10524,1.1,1.2,1.02,1.34,9348,65245,6.98,1.48
Exminster,2260,2564,2829,1221,7171,11221,4.38,0.25,0.11,0.64,0.43,1.77,0.03,13071,16023,18232,1.17,1.23,1.14,1.63,14252,72016,5.05,1.07
Fremington,1143,1283,2242,564,3686,6492,5.06,0.35,0.09,0.57,0.25,1.31,0.02,6587,7841,8844,1.02,1.19,1.13,1.36,7089,26714,3.77,0.8
Halberton,558,634,1505,621,933,3059,4.82,0.49,0.2,0.31,0.41,0.44,0.01,3247,3375,3473,1.06,1.04,1.03,1.14,3298,18610,5.64,1.2
Hartland,617,663,1325,285,1819,3429,5.17,0.39,0.08,0.53,0.22,1.13,0.01,3970,4373,4646,1.16,1.1,1.06,1.36,4131,16927,4.1,0.87
Hayridge,2120,2375,3126,2349,5553,11028,4.64,0.28,0.21,0.5,0.75,1.01,0.03,10847,12315,13444,0.98,1.14,1.09,1.22,11434,66296,5.8,1.23
