place_id	struct_idx	county	phillimore	borough_place	holding	units	value
20	1	KEN	D1	Dover		-	
40	2	KEN	D2	Dover		-	
60	3	KEN	D3	Dover		-	
80	4	KEN	D4	Dover		-	
100	5	KEN	D5	Dover		-	
120	6	KEN	D6	Dover		-	
140	7	KEN	D7	Dover		value	54
160	8	KEN	D8	Dover	19	messuages	
180	8	KEN	D8	Dover	10	houses	
200	9	KEN	D9	Dover	2	messuages	
220	9	KEN	D9	Dover	1	houses	
240	10	KEN	D10	Dover	1	mills	
260	11	KEN	D11	Dover		-	
280	12	KEN	D12	Dover		-	
300	13	KEN	D13	Dover		-	
320	14	KEN	D14	Dover		-
340	15	KEN	D15	Dover		-
360	16	KEN	D16	Dover		-
380	17	KEN	D17	Dover		-
400	18	KEN	D18	{Goslaches}		-
420	18	KEN	D18	Buckland		-
440	18	KEN	D18	other Buckland		-
460	18	KEN	D18	third Buckland		-
480	18	KEN	D18	Hurst		-
500	18	KEN	D18	Oare		-
520	18	KEN	D18	Harty		-
540	18	KEN	D18	{Schildricheham}		-
560	18	KEN	D18	Macknade		-
580	18	KEN	D18	Arnolton		-
600	18	KEN	D18	{Oslachintone}		-
620	18	KEN	D18	Perry [Court]		-
640	18	KEN	D18	Perry [Wood]		-
660	18	KEN	D18	Throwley		-
680	18	KEN	D18	Ospringe		-
700	18	KEN	D18	Horton		-
720	18	KEN	D18	Dover		-
740	19	KEN	D19	Dover		-
760	20	KEN	D20	Dover		-
780	21	KEN	D21	Dover		-
800	22	KEN	D22	Canterbury		-
820	22	KEN	D22	Sandwich		-
840	22	KEN	D22	Dover		-
860	23	KEN	D23	Penenden		-
880	23	KEN	D23	Dover		-
900	24	KEN	D24	{Briseuuei}	1	escorts
920	24	KEN	D24	{Sophis}	1	escorts
940	24	KEN	D24	`Northborough'	1	escorts
960	24	KEN	D24	Dean [Court]		payments	0.07
980	24	KEN	D24	{Gara}	1	escorts	
1000	24	KEN	D24	Wye		-	
1020	24	KEN	D24	Canterbury		-	
1040	24	KEN	D24	Sandwich		-	
1060	24	KEN	D24	Dover		-	
1080	25	KEN	D25	Dover		-	
1100	51	KEN	C1	Canterbury	231	burgesses	
1120	51	KEN	C1	Canterbury		value	59.5
1140	51	KEN	C1	Canterbury	8	acres of meadow	0.75
1160	51	KEN	C1	Canterbury	1000	acres of woodland	1.2
1180	51	KEN	C1	Canterbury	3	mills	5.4
1200	51	KEN	C1	Canterbury		toll	3.4
1220	51	KEN	C1	Canterbury	21	houses	
1240	52	KEN	C2	Canterbury		-	
1260	53	KEN	C3	Canterbury	45	messuages	
1280	53	KEN	C3	Canterbury	85	acres	
1300	54	KEN	C4	Canterbury	4	messuages	
1320	55	KEN	C5	Canterbury	11	messuages	
1340	56	KEN	C6	Canterbury		-	
1360	57	KEN	C7	Canterbury		-	
1380	58	KEN	C8	Canterbury		-	
1400	59	KEN	R1	Rochester		value	40
1420	1913	HAM	S1	Southampton	79	men	7
1440	1914	HAM	S2	Southampton	6	houses	
1460	1914	HAM	S2	Southampton	65	Frenchmen	2.72
1480	1914	HAM	S2	Southampton	31	Englishmen	1.3
1500	1915	HAM	S3	Southampton	48	houses	
1520	1915	HAM	S3	Southampton	1	fisheries	0.05
1540	2027	BRK	B1	Wallingford	269	sites	11.32
1560	2027	BRK	B1	Blewbury		-	
1580	2027	BRK	B1	Reading		-	
1600	2027	BRK	B1	Sutton [Courtenay]		-	
1620	2027	BRK	B1	Benson		-	
1640	2027	BRK	B1	[Long] Wittenham	1	acres	
1660	2027	BRK	B1	Wallingford	22	messuages	0.32
1680	2027	BRK	B1	Wallingford	14	acres	
1700	2028	BRK	B2	Brightwell	27	sites	1.25
1720	2028	BRK	B2	Oxford	7	messuages	0.2
1740	2028	BRK	B2	Newnham [Murren]	20	messuages	0.61
1760	2028	BRK	B2	Newnham [Murren]	6	sites	
1780	2028	BRK	B2	Haseley	6	messuages	0.18
1800	2028	BRK	B2	[North] Stoke	1	messuages	0.05
1820	2028	BRK	B2	Chalgrove	1	messuages	4.17E-03
1840	2028	BRK	B2	Sutton [Courtenay]	6	messuages	0.05
1860	2028	BRK	B2	Bray	11	messuages	0.15
1880	2028	BRK	B2	Wallingford		-	
1900	2029	BRK	B3	Albury	11	messuages	0.1
1920	2029	BRK	B3	Wallingford	22	messuages	0.52
1940	2029	BRK	B3	Wallingford	10	sites	0.17
1960	2029	BRK	B3	Wallingford	1	land	0.01
1980	2030	BRK	B4	Ilsley	3	messuages	0.01
2000	2030	BRK	B4	Wallingford	5	messuages	0.08
2020	2030	BRK	B4	Wallingford	17	sites	0.16
2040	2031	BRK	B5	Aldermaston	2	sites	0.02
2060	2031	BRK	B5	Wallingford	5	sites	0.1
2080	2032	BRK	B6	Wallingford	28	sites	0.52
2100	2033	BRK	B7	Wallingford		-	
2120	2034	BRK	B8	Wallingford		value	82.15
2140	2035	BRK	B9	Wallingford		-	
2160	2035	BRK	B9	Newington	4	houses	0.3
2180	2035	BRK	B9	Dorchester	2	houses	0.25
2200	2035	BRK	B9	Ewelme	3	houses	0.35
2220	2035	BRK	B9	Pyrton	1	houses	0.15
