struct_idx	county	phillimore	text_type
1	KEN	D1	U
2	KEN	D2	U
3	KEN	D3	U
4	KEN	D4	U
5	KEN	D5	U
6	KEN	D6	U
7	KEN	D7	U
8	KEN	D8	U
9	KEN	D9	U
10	KEN	D10	U
11	KEN	D11	U
12	KEN	D12	U
13	KEN	D13	U
14	KEN	D14	U
15	KEN	D15	U
16	KEN	D16	U
17	KEN	D17	U
18	KEN	D18	U
19	KEN	D19	U
20	KEN	D20	U
21	KEN	D21	U
22	KEN	D22	U
23	KEN	D23	U
24	KEN	D24	U
25	KEN	D25	U
51	KEN	C1	U
52	KEN	C2	U
53	KEN	C3	U
54	KEN	C4	U
55	KEN	C5	U
56	KEN	C6	U
57	KEN	C7	U
58	KEN	C8	U
59	KEN	R1	U
1913	HAM	S1	U
1914	HAM	S2	U
1915	HAM	S3	U
2027	BRK	B1	U
2028	BRK	B2	U
2029	BRK	B3	U
2030	BRK	B4	U
2031	BRK	B5	U
2032	BRK	B6	U
2033	BRK	B7	U
2034	BRK	B8	U
2035	BRK	B9	U
2036	BRK	B10	U
2037	BRK	B11	U
2410	WIL	M1	U
2411	WIL	M2	U
2412	WIL	M3	U
2413	WIL	M4	U
2414	WIL	M5	U
2415	WIL	M6	U
2416	WIL	M7	U
2417	WIL	M8	U
2418	WIL	M9	U
2419	WIL	M10	U
2420	WIL	M11	U
2421	WIL	M12	U
2422	WIL	M13	U
2423	WIL	M14	U
2424	WIL	M15	U
2425	WIL	M16	U
2426	WIL	M17	U
2430	WIL	B1	C
2431	WIL	B2	C
2432	WIL	B3	C
2433	WIL	B4	C
2434	WIL	B5	C
3086	DOR	B1	U
3087	DOR	B2	U
3088	DOR	B3	U
3089	DOR	B4	U
4442	DEV	C1	U
4443	DEV	C2	U
4444	DEV	C3	U
4445	DEV	C4	U
4446	DEV	C5	U
4447	DEV	C6	U
4448	DEV	C7	U
6123	HRT	B1	U
6124	HRT	B2	U
6125	HRT	B3	U
6126	HRT	B4	U
6127	HRT	B5	U
6128	HRT	B6	U
6129	HRT	B7	U
6130	HRT	B8	U
6131	HRT	B9	U
6132	HRT	B10	U
6133	HRT	B11	U
6511	BUK	B1	U
6512	BUK	B2	U
6513	BUK	B3	U
6514	BUK	B4	U
6515	BUK	B5	U
6516	BUK	B6	U
6517	BUK	B7	U
6518	BUK	B8	U
6519	BUK	B9	U
6520	BUK	B10	U
6521	BUK	B11	U
6522	BUK	B12	U
6523	BUK	B13	U
6975	OXF	B1	U
6976	OXF	B2	U
6977	OXF	B3	U
6978	OXF	B4	U
6979	OXF	B5	U
6980	OXF	B6	U
6981	OXF	B7	U
6982	OXF	B8	U
6983	OXF	B9	U
6984	OXF	B10	U
6985	OXF	B11	U
7427	GLS	G1	U
7428	GLS	G2	U
7429	GLS	G3	U
7430	GLS	G4	U
7453	GLS	B1	U
7935	WOR	C1	U
7936	WOR	C2	U
7937	WOR	C3	U
7938	WOR	C4	U
7939	WOR	C5	U
8242	HEF	C1	U
8243	HEF	C2	U
8244	HEF	C3	U
8245	HEF	C4	U
8246	HEF	C5	U
8247	HEF	C6	U
8248	HEF	C7	U
8249	HEF	C8	U
8250	HEF	C9	U
8251	HEF	C10	U
8252	HEF	C11	U
8253	HEF	C12	U
8254	HEF	C13	U
8255	HEF	C14	U
8256	HEF	C15	U
8258	HEF	A1	C
8259	HEF	A2	C
8260	HEF	A3	C
8261	HEF	A4	C
8262	HEF	A5	C
