bruce_id	struct_idx	sub_idx	county	phillimore	tenant_in_chief	area	hundred	vill	geld	g_code	notes	places_idx
20	15528	1	YB	3.10E+02	Robert of Brus	East Riding	Burton	Burton [Agnes]	44	geld	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	11966
40	15528	2	YB	3.10E+02	Robert of Brus	East Riding	Burton	Harpham		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	29686
60	15528	3	YB	3.10E+02	Robert of Brus	East Riding	Burton	Gransmoor		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	27471
80	15528	4	YB	3.10E+02	Robert of Brus	East Riding	Burton	Haisthorpe		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	28461
100	15528	5	YB	3.10E+02	Robert of Brus	East Riding	Burton	Thornholme		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	62556
120	15528	6	YB	3.10E+02	Robert of Brus	East Riding	Hunthow	Foxholes		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	25651
140	15528	7	YB	3.10E+02	Robert of Brus	East Riding	Burton	Thwing		recorded elsewhere	geld for Burton Agnes and its 6 jurisdictions recorded under Burton	63626
160	15529	2	YB	3.10E+03	Robert of Brus	East Riding	Burton	Thwing	10	geld		63626
180	15529	3	YB	3.10E+03	Robert of Brus	East Riding	Burton	Rudston	8	geld		52956
200	15529	1	YB	3.10E+03	Robert of Brus	East Riding	{Toreshou}	[East] Heslerton	10.75	geld	geld shared between the 2 Heslertons	31401
220	15529	4	YB	3.10E+03	Robert of Brus	East Riding	{Toreshou}	[West] Heslerton		recorded elsewhere	geld shared between the 2 Heslertons	31406
240	15529	5	YB	3.10E+03	Robert of Brus	East Riding	{Scard}	Scampston	5	geld		54156
260	15530	1	YB	3.10E+04	Robert of Brus	East Riding	Driffield	[Kirk]burn	32.25	geld	geld shared between Kirkburn & Tibthorpe. Part of land is Robert Fossard's Holding	36651
280	15530	2	YB	3.10E+04	Robert of Brus	East Riding	Driffield	Tibthorpe		recorded elsewhere	geld shared between Kirkburn & Tibthorpe	63661
300	15531	1	YB	3.10E+05	Robert of Brus	East Riding	Welton	Brantingham	9.12	geld	"geld shared between the Brantingham, North Cave and Hotham"	9431
320	15531	2	YB	3.10E+05	Robert of Brus	East Riding	Cave	[North] Cave		recorded elsewhere	"geld shared between the Brantingham, North Cave and Hotham"	13606
340	15531	3	YB	3.10E+05	Robert of Brus	East Riding	Cave	Hotham		recorded elsewhere	"geld shared between the Brantingham, North Cave and Hotham"	33516
360	15532	3	YB	3.10E+06	Robert of Brus	East Riding	Cave	[South] Cliffe	0.25	geld		16066
380	15532	1	YB	3.10E+06	Robert of Brus	East Riding	Warter	Kilnwick [Percy]	16	geld		36086
400	15532	2	YB	3.10E+06	Robert of Brus	East Riding	Warter	Millington	0.75	geld		43141
420	15533	3	YB	3.10E+07	Robert of Brus	East Riding	{Scard}	Birdsall	2	geld		7146
440	15533	1	YB	3.10E+07	Robert of Brus	East Riding	Acklam	Garrowby [Hall]	6	geld		26441
460	15533	2	YB	3.10E+07	Robert of Brus	East Riding	Acklam	Eddlethorpe	4	geld		22461
480	15534	1	YB	3.10E+08	Robert of Brus	East Riding	Acklam	Thornthorpe	1.75	geld	Not in DB	62571
500	15535	3	YB	3.10E+09	Robert of Brus	East Riding	Acklam	Firby	2	geld	Not in DB	24981
520	15535	1	YB	3.10E+09	Robert of Brus	East Riding	{Scard}	[North] Grimston	4.25	geld		27896
540	15535	2	YB	3.10E+09	Robert of Brus	East Riding	Acklam	Burythorpe	3	geld		12181
560	15536	3	YB	31W1	Robert of Brus	West Riding	`Burghshire'	Allerton [Mauleverer]	6	geld		1126
