claims_id	struct_idx	county	phillimore	vill	holding	ten_in_chief	lord_86	overlord_66	lord_66	claimant	defendant	jurors	xref	notes	text
40	9402	HC	D1	Huntingdon	1 church & its land	Eustace the sheriff	Burgred & Thorkil	Abbey of Thorney	Burgred and Thorkil	Burgred & Thorkil	Eustace the sheriff	['Hurstingstone' Hundred]	"B12. 19,9"	"Burgred and Thorkil re-state their claim in B12; on the fief of Eustace the sheriff (19,9) they are represented as tenants."	"The men who have sworn in Huntingdon say that the Church of St Mary in the Borough and the land that belongs to it was the Church of Thorney's; but the Abbot gave it in pledge to the burgesses. However, King Edward gave it to Vitalis and Bernard, his priests; they sold it to Hugh, King Edward's chamberlain. But Hugh sold it to two priests of Huntingdon, for which they have King Edward's seal. Eustace ^[the sheriff]^ now has it without deliverer, without writ and without installer."
60	9403	HC	D2	Huntingdon	1 house	Eustace the sheriff	Oger of London	-	Alwin the sheriff	Leofeva	Eustace the sheriff	['Hurstingstone' Hundred]	B10	"Leofeva may be the widow of Aelfric the sheriff, whose wife and children were deprived of their residence by Eustace despite confirmation by royal grant (B10). Oger is not recorded elsewhere in Huntingdonshire."	Eustace [* the sheriff *] took Leofeva's house by force and gave it to Oger of London.
80	9404	HC	D3	Huntingdon	3 hides & 16 houses	Countess Judith	Countess Judith	King Edward	Hunef <of Stukeley> & Gos	Eustace the sheriff	Countess Judith	['Hurstingstone' Hundred]	"B14. 20,3"	"The title of Countess Judith had apparently been challenged, perhaps by Eustace who claimed the manor (20,3) to which these houses were probably attached."	"They testify that the land of Hunef <of Stukeley> and Gos was in King Edward's hands on the day of his death, and that they held from him, not from the Earl [* Waltheof *]. But they say that they heard that King William should have given it to [* Earl *] Waltheof."
100	9405	HC	D4	Broughton	5 hides	Abbey of Ramsey	Abbey of Ramsey	Abbey of Ramsey	Freemen	Eustace the sheriff	Abbey of Ramsey	['Hurstingstone' Hundred]	"6,3"	"Eustace claimed 5 hides in 6,3, probably these 5. This entry sets out the grounds on which Ramsey held the disputed 5 hides, without mentioning Eustace."	"Concerning the 5 hides at Broughton, they say that it was Freemen's land in King Edward's time, but that the same king gave the land and the jurisdiction over them to St Benedict's of Ramsey, because of a service which Abbot Alwin did for him in Saxony; and that since then [the Abbey] has always had it."
120	9406	HC	D5	[Huntingdon]	reeveland	King William	King William	King Edward	Brictmer Balehorn	Borough of Huntingdon?	King William	['Hurstingstone' Hundred]	-	Brictmer does not occur elsewhere in DB Huntingdonshire. The entry is apparently concerned to establish that the reeveland should contribute to the farm of the borough paid to the king and earl.	The County testifies that the land of Brictmer Balehorn was reeveland before 1066 and belonged to the [Borough] revenue.
140	9407	HC	D6	[Huntingdon]	land	Abbey of Ramsey?	Abbey of Ramsey?	Abbey of Ramsey?	Alwin the priest	Abbey of Ramsey?	King William?	['Hurstingstone' Hundred]	-	"Alwin the priest does not occur elsewhere in DB Huntingdonshire, and no Alwin occurs on the land of any abbey. The entry is apparently concerned to establish the status of the land Alwin had held. The reeve's land may refer back to D5."	They testify that the land of Alwin the priest was the Abbot's; and that each was the priest's and the reeve's land respectively.
160	9408	HC	D7	Yelling & Hemingford [Grey]	16 hides	Aubrey de Vere	Ralph son of Osmund	Abbey of Ramsey	Aelfric <of Yelling>	Abbey of Ramsey	Aubrey de Vere	[Toseland Hundred]	"22,1-2"	"The abbey held in both vills (6,15-16). Boxted in Essex was held by an Aelfric (20,37), presumably the same man, although there is no mention of the abbey's claim there. There are no other traceable connections between Aubrey, Aelfric or the abbey."	"They testify that the lands of Aelfric <of Yelling> in Yelling and Hemingford [Grey] were St Benedict's ^[of Ramsey]^; and that they were granted to Aelfric for his lifetime on this condition that after his death they should have returned to the church, and Boxted with them. However Aelfric himself was killed in the battle at Hastings, and the Abbot recovered his lands, until Aubrey de Vere dispossessed him."
180	9409	HC	D8	Hemingford [Abbots]	2 hides	Abbey of Ramsey	Ralph son of Osmund	Abbey of Ramsey	Alwin Black & Godric	Abbey of Ramsey	Ralph son of Osmund	[Toseland Hundred]	"6,17.  27,1"	"Godric's hide, and the abbey's title and claim, is recorded in 6,17; the other, waste, hide constituted Ralph's fief, entered at 27,1 without comment. Ralph held in Hemingford Grey & Yelling (22,1-2), also claimed by the abbey: see D7."	"Concerning the 2 hides which Ralph son of Osmund holds in Hemingford [Abbots], they say that one of them was [part] of the lordship of the Church of Ramsey in King Edward's day and that he holds it against the Abbot's will. Concerning the other hide, they say that Godric held it from the Abbot, but when the Abbot was in Denmark, Ralph's father, Osmund, seized it from Saewin the falconer, to whom the Abbot had given it out of [his] love for the King."
200	9410	HC	D9	Waresley	1/2 hide	Eustace the sheriff	Roger	Thorulf	Sumarlithi <of Waresley>	King William?	Eustace the sheriff	[Toseland Hundred]	"19,26"	"Sumarlithi was the predecessor of Eustace but the jurors deny that this conferred title. Neither Thorulf or Sumarlithi appear elsewhere in Huntingdonshire so it is not apparent on whose behalf this statement was made, unless it be the king."	"Concerning Sumarlithi <of Waresley>, they say that he held his land ^[in Waresley]^ from Thorulf, who gave it to him, and afterwards from his sons, and that they had full jurisdiction over him."
220	9411	HC	D10	[Hail] Weston	2 hides	Robert (son of) Fafiton	Robert (son of) Fafiton	Earl Harold	Young Wulfwin	William of Warenne?	Robert (son of) Fafiton	[Toseland Hundred]	"25,1"	"The jurors presumably mean that this holding should not descend with Kimbolton, held by William of Warenne in 1086 (13,1), implicitly supporting Robert's title: see also D17-18."	"They say that the land of Young Wulfwin in [Hail] Weston was a manor in its own right, and did not belong to Kimbolton; but that nevertheless he was Earl Harold's man."
