county	circuit	county_name
BDF	3	Bedfordshire
BRK	1	Berkshire
BUK	3	Buckinghamshire
CAM	3	Cambridgeshire
CHS	5	Cheshire
CON	2	Cornwall
DBY	6	Derbyshire
DEV	2	Devon
DOR	2	Dorset
ESS	7	Essex
GLS	5	Gloucestershire
HAM	1	Hampshire
HEF	5	Herefordshire
HRT	3	Hertfordshire
HUN	6	Huntingdonshire
KEN	1	Kent
LAN	6	Lancashire
LEC	4	Leicestershire
LIN	6	Lincolnshire
MDX	3	Middlesex
NFK	7	Norfolk
NTH	4	Northamptonshire
NTT	6	Nottinghamshire
OXF	4	Oxfordshire
RUT	6	Rutland
SHR	5	Shropshire
SOM	2	Somerset
STS	4	Staffordshire
SUF	7	Suffolk
SUR	1	Surrey
SUS	1	Sussex
WAR	4	Warwickshire
WIL	2	Wiltshire
WOR	5	Worcestershire
YKS	6	Yorkshire
