struct_idx	county	phillimore	text_type
1	KEN	D1	U
2	KEN	D2	U
3	KEN	D3	U
4	KEN	D4	U
5	KEN	D5	U
6	KEN	D6	U
7	KEN	D7	U
8	KEN	D8	U
9	KEN	D9	U
10	KEN	D10	U
11	KEN	D11	U
12	KEN	D12	U
13	KEN	D13	U
14	KEN	D14	U
15	KEN	D15	U
16	KEN	D16	U
17	KEN	D17	U
18	KEN	D18	U
19	KEN	D19	U
20	KEN	D20	U
21	KEN	D21	U
22	KEN	D22	U
23	KEN	D23	U
24	KEN	D24	U
25	KEN	D25	U
27	KEN	M1	E
28	KEN	M2	E
29	KEN	M3	E
30	KEN	M4	E
31	KEN	M5	E
32	KEN	M6	E
33	KEN	M7	E
34	KEN	M8	E
35	KEN	M9	E
36	KEN	M10	E
37	KEN	M11	E
38	KEN	M12	E
39	KEN	M13	E
40	KEN	M14	E
41	KEN	M15	E
42	KEN	M16	E
43	KEN	M17	E
44	KEN	M18	E
45	KEN	M19	E
46	KEN	M20	E
47	KEN	M21	E
48	KEN	M22	E
49	KEN	M23	E
50	KEN	M24	E
51	KEN	C1	U
52	KEN	C2	U
53	KEN	C3	U
54	KEN	C4	U
55	KEN	C5	U
56	KEN	C6	U
57	KEN	C7	U
58	KEN	C8	U
59	KEN	R1	U
61	KEN	P1	E
62	KEN	P2	E
63	KEN	P3	E
64	KEN	P4	E
65	KEN	P5	E
66	KEN	P6	E
67	KEN	P7	E
68	KEN	P8	E
69	KEN	P9	E
70	KEN	P10	E
71	KEN	P11	E
72	KEN	P12	E
73	KEN	P13	E
74	KEN	P14	E
75	KEN	P15	E
76	KEN	P16	E
77	KEN	P17	E
78	KEN	P18	E
79	KEN	P19	E
80	KEN	P20	E
84	KEN	"1,1"	E
85	KEN	"1,2"	E
86	KEN	"1,3"	E
87	KEN	"1,4"	E
89	KEN	"2,1"	E
90	KEN	"2,2"	E
91	KEN	"2,3"	E
92	KEN	"2,4"	E
93	KEN	"2,5"	E
94	KEN	"2,6"	E
95	KEN	"2,7"	E
96	KEN	"2,8"	E
97	KEN	"2,9"	E
98	KEN	"2,10"	E
99	KEN	"2,11"	E
100	KEN	"2,12"	E
101	KEN	"2,13"	E
102	KEN	"2,14"	E
103	KEN	"2,15"	E
104	KEN	"2,16"	E
105	KEN	"2,17"	E
106	KEN	"2,18"	E
107	KEN	"2,19"	E
108	KEN	"2,20"	E
109	KEN	"2,21"	E
110	KEN	"2,22"	E
111	KEN	"2,23"	E
112	KEN	"2,24"	E
113	KEN	"2,25"	E
114	KEN	"2,26"	E
115	KEN	"2,27"	E
117	KEN	"2,28"	E
118	KEN	"2,29"	E
119	KEN	"2,30"	E
120	KEN	"2,31"	E
121	KEN	"2,32"	E
122	KEN	"2,33"	E
123	KEN	"2,34"	E
124	KEN	"2,35"	E
125	KEN	"2,36"	E
126	KEN	"2,37"	E
127	KEN	"2,38"	E
128	KEN	"2,39"	E
129	KEN	"2,40"	E
130	KEN	"2,41"	E
131	KEN	"2,42"	E
132	KEN	"2,43"	E
134	KEN	"3,1"	E
135	KEN	"3,2"	E
136	KEN	"3,3"	E
137	KEN	"3,4"	E
138	KEN	"3,5"	E
139	KEN	"3,6"	E
140	KEN	"3,7"	E
141	KEN	"3,8"	E
142	KEN	"3,9"	E
143	KEN	"3,10"	E
144	KEN	"3,11"	E
145	KEN	"3,12"	E
146	KEN	"3,13"	E
147	KEN	"3,14"	E
