struct_idx	county	phillimore	hundred	vill	m_type	holding	units	waste_86
1	KEN	D1	Bewsbury	Dover	U		-	N
2	KEN	D2	Bewsbury	Dover	U		-	N
7	KEN	D7	Bewsbury	Dover	U		-	N
10	KEN	D10	Bewsbury	Dover	U		-	N
27	KEN	M1	Canterbury	Canterbury	-	0.16	adjusted	N
28	KEN	M2	Bewsbury	Charlton	M	1	geld	N
29	KEN	M3	Bewsbury	Charlton	X	1	geld	N
30	KEN	M4	Bewsbury	Buckland	X	1	geld	N
31	KEN	M5	Bewsbury	Guston	X	0.45	geld	N
32	KEN	M6	Bewsbury	St Margaret's [at Cliffe]	X	1	geld	N
33	KEN	M7	Bewsbury	St Margaret's [at Cliffe]	X	1	geld	N
34	KEN	M8	Bewsbury	St Margaret's [at Cliffe]	X	1	geld	N
35	KEN	M9	Bewsbury	St Margaret's [at Cliffe]	X	1	geld	N
36	KEN	M10	Bewsbury	St Margaret's [at Cliffe]	X	1	geld	N
37	KEN	M11	`Cornilo'	-	-	0.5	geld	N
37	KEN	M11	Bewsbury	St Margaret's [at Cliffe]	X	0.5	geld	N
38	KEN	M12	Bewsbury	St Margaret's [at Cliffe]	X	0.7	geld	N
39	KEN	M13	`Cornilo'	-	-	0.7	geld	N
40	KEN	M14	`Cornilo'	Deal	X	1.41	geld	N
40	KEN	M14	Bewsbury	St Margaret's [at Cliffe]	D	0.41	geld	N
41	KEN	M15	`Cornilo'	Deal	X	0.4	geld	N
41	KEN	M15	Bewsbury	Sibertswold	X	0.6	geld	N
42	KEN	M16	Bewsbury	Sibertswold	X	1	geld	N
43	KEN	M17	`Cornilo'	Deal	X	0.75	geld	N
44	KEN	M18	`Cornilo'	Deal	X	1	geld	N
45	KEN	M19	`Cornilo'	Deal	X	0.62	geld	N
46	KEN	M20	Bewsbury	Sibertswold	X	0.37	geld	N
47	KEN	M21	Bewsbury	St Margaret's [at Cliffe]	X	0.37	geld	N
48	KEN	M22	Bewsbury	Farthingloe	X	1	geld	N
49	KEN	M23	Bewsbury	[Church and West] Hougham	X	1	geld	N
50	KEN	M24	Bewsbury	Buckland	X	1	geld	N
51	KEN	C1	Canterbury	Canterbury	U		-	N
53	KEN	C3	Canterbury	Canterbury	U	0.98	geld	N
59	KEN	R1	Rochester	Rochester	U		-	N
61	KEN	P1	-	-	X	1.33	adjusted	N
62	KEN	P2	`Blackbourne'	-	X	1	geld	N
63	KEN	P3	Street	Stansted	X	1	geld	N
64	KEN	P4	Bircholt	Stansted	X	1	geld	N
65	KEN	P5	`Aloesbridge'	Brenzett	X		-	N
66	KEN	P6	Newchurch	Norwood	X		-	N
66	KEN	P6	`Aloesbridge'	Brenzett	X		-	N
66	KEN	P6	`Langport'	Ripe	X		-	N
67	KEN	P7	-	-	B		-	N
68	KEN	P8	Bewsbury	St Margaret's [at Cliffe]	X		-	N
69	KEN	P9	Bewsbury	Dover	U		-	N
70	KEN	P10	Bewsbury	Dover	U		-	N
71	KEN	P11	Bewsbury	Dover	U		-	N
71	KEN	P11	Bewsbury	Mederclive	X		-	N
72	KEN	P12	Bewsbury	Sibertswold	X		-	N
73	KEN	P13	-	-	X		-	N
74	KEN	P14	-	{Scortebroc}	X		-	N
75	KEN	P15	-	-	X		-	N
76	KEN	P16	-	-	-	2.5	adjusted	N
77	KEN	P17	`Langport'	Ripe	X	0.83	adjusted	N
78	KEN	P18	Newchurch	Norwood	X	0.41	adjusted	N
78	KEN	P18	`Aloesbridge'	Brenzett	X	0.83	adjusted	N
79	KEN	P19	-	-	-		-	N
80	KEN	P20	-	{Merclesham}	X		-	N
80	KEN	P20	-	Hawkhurst	X		-	N
84	KEN	"1,1"	`Axton'	Dartford	M	1.5	geld	N
85	KEN	"1,2"	Larkfield	Aylesford	M	1	geld	N
86	KEN	"1,3"	Milton	Milton [Regis]	M	80	geld	N
87	KEN	"1,4"	Faversham	Faversham	M	7	geld	N
89	KEN	"2,1"	Canterbury	Canterbury	U		-	N
90	KEN	"2,2"	Sandwich	Sandwich	U		-	N
91	KEN	"2,3"	`Axton'	Darenth	[M]	2	geld	N
92	KEN	"2,4"	`Codsheath'	Otford	[M]	8	geld	N
93	KEN	"2,5"	`Codsheath'	Sundridge	[M]	1.5	geld	N
94	KEN	"2,6"	{Helmestrei}	Bexley	[M]	3	geld	N
95	KEN	"2,7"	`Litlelee'	Crayford	[M]	4	geld	N
96	KEN	"2,8"	Larkfield	[East and West] Malling	[M]	2	geld	N
97	KEN	"2,9"	Tollingtrough	Northfleet	M	6	geld	N
98	KEN	"2,10"	Wrotham	Wrotham	M	8	geld	N
99	KEN	"2,11"	Maidstone	Maidstone	M	9.5	geld	N
99	KEN	"2,11"	Maidstone	{Burgericestune}	D	0.5	geld	N
100	KEN	"2,12"	Chatham	Gillingham	M	6	geld	N
101	KEN	"2,13"	Reculver	Reculver	M	8	geld	N
102	KEN	"2,14"	Reculver	Stourmouth	[M]	0.5	geld	N
102	KEN	"2,14"	Whitstable	Whitstable	M	9.65	geld	N
102	KEN	"2,14"	Thanet	Minster	D	2.75	geld	N
102	KEN	"2,14"	Reculver	Makinbrook	D	0.1	geld	N
103	KEN	"2,15"	Petham	Swarling	D	0.5	geld	N
103	KEN	"2,15"	Petham	Petham	M	6.5	geld	N
104	KEN	"2,16"	`Stursete'	Thanington	D	1	geld	N
104	KEN	"2,16"	Canterbury	Nackington	D	0.75	geld	N
104	KEN	"2,16"	`Stursete'	{Wic}	D	0.25	geld	N
104	KEN	"2,16"	Canterbury	Milton	D	0.5	geld	N
104	KEN	"2,16"	`Stursete'	Westgate	M	4.5	geld	N
105	KEN	"2,17"	Barham	Bishopsbourne	[M]	6	geld	N
106	KEN	"2,18"	Boughton	Boughton [under Blean]	[M]	5	geld	N
107	KEN	"2,19"	Calehill	Charing	[M]	8	geld	N
108	KEN	"2,20"	Calehill	Pluckley	[M]	1	geld	N
109	KEN	"2,21"	Wingham	Wingham	M	39	geld	N
109	KEN	"2,21"	Wingham	Fleet	D	1	geld	N
110	KEN	"2,22"	Longbridge	Mersham	[M]	6	geld	N
111	KEN	"2,23"	Bircholt	Aldington	[M]	21	geld	N
112	KEN	"2,24"	`Stursete'	St Martin's	D	1	geld	N
113	KEN	"2,25"	Bircholt	Aldington	M	0.09	geld	N
113	KEN	"2,25"	Street	Lympne	D	0.15	geld	N
113	KEN	"2,25"	Stowting	Stowting	D	1.5	geld	N
114	KEN	"2,26"	`Loningborough'	Lyminge	M	7	geld	N
115	KEN	"2,27"	Silverden	Newenden	[M]	1	geld	N
117	KEN	"2,28"	`Axton'	Farningham	M	1	geld	N
118	KEN	"2,29"	`Axton'	Eynsford	M	6	geld	N
119	KEN	"2,30"	{Helmestrei}	Orpington	D	0.75	geld	N
120	KEN	"2,31"	Westerham	Brasted	M	1.5	geld	N
121	KEN	"2,32"	Eyhorne	Ulcombe	M	2.5	geld	N
122	KEN	"2,33"	Eyhorne	Boughton [Malherbe]	D	0.5	geld	N
123	KEN	"2,34"	Faversham	Leaveland [Court]	[M]	1	geld	N
124	KEN	"2,35"	Boughton	Graveney	[M]	1	geld	N
125	KEN	"2,36"	Calehill	[East] Lenham	[M]	2	geld	N
126	KEN	"2,37"	Teynham	Sheppey	X	0.5	geld	N
127	KEN	"2,38"	Eastry	third Buckland	X	0.25	geld	N
128	KEN	"2,39"	Eastry	Statenborough	D	0.5	geld	N
128	KEN	"2,39"	Eastry	Finglesham	[M]	0.5	geld	N
129	KEN	"2,40"	Eastry	Tilmanstone	[M]	1	geld	N
130	KEN	"2,41"	Heane	Saltwood	M	7	geld	N
131	KEN	"2,42"	Street	Berwick	M	0.5	geld	N
132	KEN	"2,43"	`Langport'	Langport	M	1.5	geld	N
134	KEN	"3,1"	{Helmestrei}	Keston	D	0.5	geld	N
134	KEN	"3,1"	{Helmestrei}	Orpington	[M]	2.5	geld	N
135	KEN	"3,2"	`Littlefeld'	[East] Peckham	M	5.5	geld	N
135	KEN	"3,2"	`Littlefeld'	`Stokenbury'	[M]	0.5	geld	N
136	KEN	"3,3"	Eyhorne	Hollingbourne	M	6	geld	N
137	KEN	"3,4"	Tollingtrough	Meopham	[M]	10	geld	N
138	KEN	"3,5"	Maidstone	[East] Farleigh	M	6	geld	N
139	KEN	"3,6"	`Shamwell'	Cliffe	M	3.5	geld	N
140	KEN	"3,7"	Thanet	Monkton	[M]	20	geld	N
141	KEN	"3,8"	`Downhamford'	Ickham	[M]	3	geld	N
141	KEN	"3,8"	Ham	Ruckinge	[M]	1	geld	N
142	KEN	"3,9"	Canterbury	Northgate	[M]	1	geld	N
143	KEN	"3,10"	Whitstable	Seasalter	U	2	ploughlands	N
144	KEN	"3,11"	Faversham	[South] Preston	[M]	1	geld	N
145	KEN	"3,12"	Felborough	Chartham	[M]	4	geld	N
146	KEN	"3,13"	Felborough	Godmersham	[M]	8	geld	N
147	KEN	"3,14"	Chart	[Great] Chart	[M]	3	geld	N
