struct_idx	county	phillimore	overlord_66	lord_66	holding	units	value_66	v_66_code	waste_66	idx_overlord_66	idx_lord_66
1	KEN	D1	King Edward	Earl Godwin		-	3	-	N	171350	244550
1	KEN	D1	King Edward	"Dover (St Martin), canons of"		-	9	-	N	171350	149950
1	KEN	D1	-	King Edward		-	6	-	N		171350
2	KEN	D2	-	King Edward		-		-	N		171350
7	KEN	D7	-	King Edward		-		1086 value	N		171350
10	KEN	D10	-	King Edward		-		-	N		171350
27	KEN	M1	-	"Dover (St Martin), canons of"	0.16	adjusted		-	N		149950
28	KEN	M2	"Dover (St Martin), canons of"	Leofwin	1	geld	5	-	N	149950	341150
29	KEN	M3	"Dover (St Martin), canons of"	Sired (the canon)	1	geld	12	-	N	149950	492810
30	KEN	M4	"Dover (St Martin), canons of"	Alwin	1	geld	5	-	N	149950	66950
31	KEN	M5	"Dover (St Martin), canons of"	Alric	0.45	geld	0.5	-	N	149950	52600
32	KEN	M6	"Dover (St Martin), canons of"	Sired (the canon)'s father	1	geld	4	-	N	149950	492900
33	KEN	M7	"Dover (St Martin), canons of"	Alric	1	geld	4	-	N	149950	52600
34	KEN	M8	"Dover (St Martin), canons of"	Alred's father	1	geld	1	-	N	149950	51900
35	KEN	M9	"Dover (St Martin), canons of"	"Smelt, King Edward's chaplain"	1	geld	1	-	N	149950	498400
36	KEN	M10	"Dover (St Martin), canons of"	Sigar <of Sibertswold>	1	geld	3.5	-	N	149950	489920
37	KEN	M11	"Dover (St Martin), canons of"	Goldstan	0.5	geld	2	equal	N	149950	249900
37	KEN	M11	"Dover (St Martin), canons of"	Sigar <of Sibertswold>	0.5	geld	2	equal	N	149950	489920
38	KEN	M12	-	"Dover (St Martin), canons of"	0.7	geld		-	N		149950
39	KEN	M13	"Dover (St Martin), canons of"	Edwin	0.7	geld	4	-	N	149950	174600
40	KEN	M14	"Dover (St Martin), canons of"	Archbishop Stigand	1.83	geld	7	-	N	149950	505050
41	KEN	M15	-	"Dover (St Martin), canons of"	1	geld	4	-	N		149950
42	KEN	M16	"Dover (St Martin), canons of"	Wulfwin	1	geld	5	-	N	149950	627300
43	KEN	M17	"Dover (St Martin), canons of"	Aethelwold	0.75	geld	3	-	N	149950	19450
44	KEN	M18	"Dover (St Martin), canons of"	"Canterbury (St Augustine), abbey of"	1	geld	2	-	N	149950	135200
45	KEN	M19	"Dover (St Martin), canons of"	Deoring son of Sired	0.62	geld	2	-	N	149950	146700
46	KEN	M20	"Dover (St Martin), canons of"	Sigar <of Sibertswold>'s father	0.37	geld	1.75	-	N	149950	489925
47	KEN	M21	"Dover (St Martin), canons of"	Spirtes (the priest)	0.37	geld	1.25	-	N	149950	500500
48	KEN	M22	"Dover (St Martin), canons of"	Sired (the canon)	1	geld	6	-	N	149950	492810
49	KEN	M23	"Dover (St Martin), canons of"	Edwin {brother of Baldwin}	1	geld	5	-	N	149950	175950
50	KEN	M24	"Dover (St Martin), canons of"	Oswy Wild the priest	1	geld	8	-	N	149950	396700
51	KEN	C1	-	King Edward		-	51	-	N		171350
53	KEN	C3	-	King Edward	0.98	geld		-	N		171350
59	KEN	R1	King Edward	"Rochester (St Andrew), bishop of"		-	5	-	N	171350	460700
61	KEN	P1	-	"Dover (St Martin), canons of"	1.33	adjusted		-	N		149950
62	KEN	P2	-	"Dover (St Martin), canons of"	1	geld		-	N		149950
63	KEN	P3	-	"Dover (St Martin), canons of"	1	geld		-	N		149950
64	KEN	P4	-	"Dover (St Martin), canons of"	1	geld		-	N		149950
65	KEN	P5	-	"Dover (St Martin), canons of"		-	10	-	N		149950
66	KEN	P6	-	"Dover (St Martin), canons of"		-		-	N		149950
67	KEN	P7	-	"Dover (St Martin), canons of"		-		-	N		149950
68	KEN	P8	-	"Dover (St Martin), canons of"		-		-	N		149950
69	KEN	P9	-	"Dover (St Martin), canons of"		-		-	N		149950
70	KEN	P10	-	"Dover (St Martin), canons of"		-		-	N		149950
71	KEN	P11	-	"Dover (St Martin), canons of"		-		-	N		149950
72	KEN	P12	-	"Dover (St Martin), canons of"		-		-	N		149950
73	KEN	P13	-	"Dover (St Martin), canons of"		-		-	N		149950
74	KEN	P14	-	"Dover (St Martin), canons of"		-		-	N		149950
75	KEN	P15	-	"Dover (St Martin), canons of"		-		-	N		149950
76	KEN	P16	-	"Dover (St Martin), canons of"	2.5	adjusted		-	N		149950
77	KEN	P17	-	"Dover (St Martin), canons of"	0.83	adjusted		-	N		149950
78	KEN	P18	-	"Dover (St Martin), canons of"	1.25	adjusted	60	-	N		149950
79	KEN	P19	-	"Dover (St Martin), canons of"		-		-	N		149950
80	KEN	P20	"Dover (St Martin), canons of"	Alnoth the noble (of Kent)		-		-	N	149950	51275
84	KEN	"1,1"	King Edward	Osward (of Norton)	0.21	geld		not separately valued	N	171350	395060
84	KEN	"1,1"	-	King Edward	1.28	geld	60	-	N		171350
85	KEN	"1,2"	-	King Edward	1	geld	15	-	N		171350
86	KEN	"1,3"	-	King Edward	80	geld	200	at face value	N		171350
87	KEN	"1,4"	-	King Edward	7	geld	59.75	-	N		171350
89	KEN	"2,1"	-	"Canterbury (Christ Church), archbishop of"		-		-	N		135500
90	KEN	"2,2"	-	"Canterbury (Christ Church), archbishop of"		-	15	-	N		135500
91	KEN	"2,3"	-	"Canterbury (Christ Church), archbishop of"	2	geld	14	-	N		135500
92	KEN	"2,4"	-	"Canterbury (Christ Church), archbishop of"	8	geld		1086 value	N		135500
93	KEN	"2,5"	-	(Earl) Godwin	1.5	geld	12	-	N		244600
94	KEN	"2,6"	-	"Canterbury (Christ Church), archbishop of"	3	geld	12	-	N		135500
95	KEN	"2,7"	"Canterbury (Christ Church), archbishop of"	Osward (of Norton)	4	geld	12	-	N	135500	395060
96	KEN	"2,8"	-	"Canterbury (Christ Church), archbishop of"	2	geld	9	-	N		135500
97	KEN	"2,9"	-	"Canterbury (Christ Church), archbishop of"	6	geld	10	-	N		135500
98	KEN	"2,10"	-	"Canterbury (Christ Church), archbishop of"	8	geld	15	-	N		135500
99	KEN	"2,11"	-	"Canterbury (Christ Church), archbishop of"	10	geld	14	-	N		135500
100	KEN	"2,12"	-	"Canterbury (Christ Church), archbishop of"	6	geld	15	-	N		135500
101	KEN	"2,13"	-	"Canterbury (Christ Church), archbishop of"	8	geld	14	-	N		135500
102	KEN	"2,14"	-	"Canterbury (Christ Church), archbishop of"	13	geld	24.25	-	N		135500
103	KEN	"2,15"	-	"Canterbury (Christ Church), archbishop of"	7	geld	17.31	-	N		135500
104	KEN	"2,16"	-	"Canterbury (Christ Church), archbishop of"	6.5	geld	19.62	-	N		135500
104	KEN	"2,16"	"Canterbury (Christ Church), archbishop of"	Alfred Bicga	0.5	geld	5	-	N	135500	35550
105	KEN	"2,17"	-	"Canterbury (Christ Church), archbishop of"	6	geld	20	-	N		135500
106	KEN	"2,18"	-	"Canterbury (Christ Church), archbishop of"	5	geld	15.81	-	N		135500
107	KEN	"2,19"	-	"Canterbury (Christ Church), archbishop of"	8	geld	24	-	N		135500
108	KEN	"2,20"	-	"Canterbury (Christ Church), archbishop of"	1	geld	12	-	N		135500
109	KEN	"2,21"	-	"Canterbury (Christ Church), archbishop of"	40	geld	77	-	N		135500
110	KEN	"2,22"	-	"Canterbury (Christ Church), archbishop of"	6	geld	10	-	N		135500
111	KEN	"2,23"	-	"Canterbury (Christ Church), archbishop of"	21	geld	62	-	N		135500
