struct_idx	county	phillimore	ten_in_chief	lord_86	demesne_86	holding	units	value_86	v_86_code	waste_86
1	KEN	D1	King William	King William	Y		-		-	N
2	KEN	D2	King William	King William	Y		-		-	N
7	KEN	D7	King William	King William	Y		-	24	20d to the ora	N
7	KEN	D7	King William	Bishop Odo of Bayeux	N		-	30	at face value	N
10	KEN	D10	King William	Herbert's nephew	N		-		-	N
27	KEN	M1	Canons of Dover	Canons of Dover	Y	0.16	adjusted		-	N
28	KEN	M2	Canons of Dover	Ralph of St Samson	N	1	geld	3.5	-	N
29	KEN	M3	Canons of Dover	William son of Oger	N	1	geld	6	-	N
30	KEN	M4	Canons of Dover	Alwin	N	1	geld	4	-	N
31	KEN	M5	Canons of Dover	Wulfric	N	0.45	geld	1	-	N
32	KEN	M6	Canons of Dover	Sired (the canon)	N	1	geld	5	-	N
33	KEN	M7	Canons of Dover	Ralph	N	1	geld	3.45	-	N
34	KEN	M8	Canons of Dover	Alred	N	1	geld	3	-	N
35	KEN	M9	Canons of Dover	Robert Blaec	N	1	geld	1.5	-	N
36	KEN	M10	Canons of Dover	Walter {of Cambremer}	N	1	geld	3	-	N
37	KEN	M11	Canons of Dover	Turbat	N	0.5	geld	1.5	equal	N
37	KEN	M11	Canons of Dover	Robert	N	0.5	geld	1.5	equal	N
38	KEN	M12	Canons of Dover	Edwin	N	0.7	geld		-	N
39	KEN	M13	Canons of Dover	Edwin	N	0.64	geld	3	-	N
39	KEN	M13	Canons of Dover	Wulfric of Oxford	N	0.06	geld		not separately valued	N
40	KEN	M14	Canons of Dover	Ansketil the archdeacon	N	1.83	geld	8	-	N
41	KEN	M15	Canons of Dover	William of Poitou	N	1	geld	2.75	-	N
42	KEN	M16	Canons of Dover	Wulfstan son of Wulfwin	N	1	geld	3	-	N
43	KEN	M17	Canons of Dover	Aethelwold	N	0.75	geld	3	-	N
44	KEN	M18	Canons of Dover	Abbey of Canterbury	N	1	geld	1.5	-	N
45	KEN	M19	Canons of Dover	William son of Theodwald	N	0.62	geld	3	-	N
46	KEN	M20	Canons of Dover	Sigar <of Sibertswold>	N	0.37	geld	1.25	-	N
47	KEN	M21	Canons of Dover	Nigel the doctor	N	0.37	geld	1	-	N
48	KEN	M22	Canons of Dover	William son of Geoffrey	N	1	geld	4	-	N
49	KEN	M23	Canons of Dover	Baldwin	N	1	geld	4	-	N
50	KEN	M24	Canons of Dover	Godric {the interpreter}	N	1	geld	6	-	N
51	KEN	C1	King William	King William	Y		-	50	at face value;weighed	N
51	KEN	C1	King William	Abbey of Canterbury	N		-		not separately valued	N
51	KEN	C1	King William	Archbishop of Canterbury	N		-		not separately valued	N
53	KEN	C3	King William	Ranulf of Colombières	N	0.98	geld		-	N
59	KEN	R1	Bishop of Rochester	Bishop of Rochester	Y		-	20	-	N
61	KEN	P1	Canons of Dover	Sired (the canon)	N	0.44	adjusted		-	N
61	KEN	P1	Canons of Dover	Godric the canon	N	0.44	adjusted		-	N
61	KEN	P1	Canons of Dover	Sewen the canon	N	0.44	adjusted		-	N
62	KEN	P2	Canons of Dover	Canons of Dover	Y	1	geld		-	N
63	KEN	P3	Canons of Dover	Canons of Dover	Y	1	geld		-	N
64	KEN	P4	Canons of Dover	Canons of Dover	Y	1	geld		-	N
65	KEN	P5	Canons of Dover	Canons of Dover	Y		-	10	-	N
66	KEN	P6	Canons of Dover	Canons of Dover	Y		-		-	N
67	KEN	P7	Canons of Dover	Canons of Dover	Y		-		-	N
68	KEN	P8	Canons of Dover	Canons of Dover	Y		-		-	N
69	KEN	P9	Canons of Dover	Canons of Dover	Y		-		-	N
70	KEN	P10	Canons of Dover	Canons of Dover	Y		-		-	N
71	KEN	P11	Canons of Dover	Canons of Dover	Y		-		-	N
72	KEN	P12	Canons of Dover	Canons of Dover	Y		-		-	N
73	KEN	P13	Canons of Dover	Canons of Dover	Y		-		-	N
74	KEN	P14	Canons of Dover	Canons of Dover	Y		-		-	N
75	KEN	P15	Canons of Dover	Canons of Dover	Y		-		-	N
76	KEN	P16	Canons of Dover	Canons of Dover	Y	2.5	adjusted		-	N
77	KEN	P17	Canons of Dover	Canons of Dover	Y	0.83	adjusted		-	N
78	KEN	P18	Canons of Dover	Canons of Dover	Y	1.25	adjusted	47.31	-	N
79	KEN	P19	Canons of Dover	Ralph of Courbépine	N		-		-	N
79	KEN	P19	Canons of Dover	Wadard <of Cogges>	N		-		-	N
79	KEN	P19	Canons of Dover	Lambert	N		-		-	N
79	KEN	P19	Canons of Dover	Herbert son of Ivo	N		-		-	N
79	KEN	P19	Canons of Dover	Ranulf of Colombières	N		-		-	N
79	KEN	P19	Canons of Dover	Robert of Romney	N		-		-	N
80	KEN	P20	Canons of Dover	Robert of Romney	N		-		-	N
84	KEN	"1,1"	King William	Helto the steward's nephew	N	0.1	equal		not separately valued	N
84	KEN	"1,1"	King William	King William	Y	1.28	geld	60	20d to the ora;at face value;weighed	N
84	KEN	"1,1"	King William	Helto the steward	N	0.1	equal		not separately valued	N
84	KEN	"1,1"	King William	Bishop of Rochester	N		-	3	-	N
85	KEN	"1,2"	King William	King William	Y	1	geld	20	-	N
85	KEN	"1,2"	King William	Ansgot (of Rochester)	N		-	7	-	N
85	KEN	"1,2"	King William	Haimo the sheriff	N		-	3	-	N
85	KEN	"1,2"	King William	Bishop of Rochester	N		-	0.86	-	N
86	KEN	"1,3"	King William	King William	Y	71.75	geld	178	at face value	N
86	KEN	"1,3"	King William	Haimo the sheriff	N		-	12	at face value	N
86	KEN	"1,3"	King William	Abbey of Canterbury	N		-	2	at face value	N
86	KEN	"1,3"	King William	Hugh of Port	N	8.25	geld	20	at face value	N
86	KEN	"1,3"	King William	Wadard <of Cogges>	N		-	0.06	-	N
87	KEN	"1,4"	King William	King William	Y	7	geld	80	-	N
89	KEN	"2,1"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-		-	N
90	KEN	"2,2"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-	50	-	N
91	KEN	"2,3"	Archbishop of Canterbury	Richard of Tonbridge	N		-	0.5	-	N
91	KEN	"2,3"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	15.5	-	N
92	KEN	"2,4"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6.5	geld	60	-	N
92	KEN	"2,4"	Archbishop of Canterbury	Haimo	N	0.5	equal	3.5	-	N
92	KEN	"2,4"	Archbishop of Canterbury	Richard of Tonbridge	N		-	10	-	N
92	KEN	"2,4"	Archbishop of Canterbury	Geoffrey of Rots	N	0.5	equal	4.25	equal	N
92	KEN	"2,4"	Archbishop of Canterbury	Robert the interpreter	N	0.5	equal	4.25	equal	N
93	KEN	"2,5"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1.5	geld	18	-	N
94	KEN	"2,6"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	20	-	N
95	KEN	"2,7"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	16	-	N
96	KEN	"2,8"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	9	-	N
97	KEN	"2,9"	Archbishop of Canterbury	Richard of Tonbridge	N		-	1.5	-	N
97	KEN	"2,9"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	27	-	N
98	KEN	"2,10"	Archbishop of Canterbury	Richard of Tonbridge	N		-	15	-	N
98	KEN	"2,10"	Archbishop of Canterbury	Geoffrey of Rots	N	1	geld	3	-	N
98	KEN	"2,10"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.62	geld	24	-	N
98	KEN	"2,10"	Archbishop of Canterbury	"Farman, {a man-at-arms}"	N	0.37	geld	5	-	N
98	KEN	"2,10"	Archbishop of Canterbury	"William the bursar, a man-at-arms"	N	1	geld	3	-	N
99	KEN	"2,11"	Archbishop of Canterbury	Wulfric	N	0.25	geld		-	N
99	KEN	"2,11"	Archbishop of Canterbury	Abbey of Canterbury	N		-	1	-	N
99	KEN	"2,11"	Archbishop of Canterbury	Ansketil of Rots	N	1	geld	3	-	N
99	KEN	"2,11"	Archbishop of Canterbury	William brother of Bishop Gundulf	N	2	geld	10	-	N
99	KEN	"2,11"	Archbishop of Canterbury	Ralph	N	1	geld	2.5	-	N
99	KEN	"2,11"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.5	geld	20	-	N
99	KEN	"2,11"	Archbishop of Canterbury	Cola	N	0.25	geld		-	N
100	KEN	"2,12"	Archbishop of Canterbury	Robert Brutin	N		-	1	equal	N
100	KEN	"2,12"	Archbishop of Canterbury	Ansketil of Rots	N		-	1	equal	N
100	KEN	"2,12"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	23	-	N
101	KEN	"2,13"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	35	-	N
102	KEN	"2,14"	Archbishop of Canterbury	Archbishop of Canterbury	Y	9.65	geld	51.7	-	N
102	KEN	"2,14"	Archbishop of Canterbury	Vitalis {of Canterbury}	N	3.35	geld	14.32	-	N
103	KEN	"2,15"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.25	geld	20	-	N
103	KEN	"2,15"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	6.55	-	N
103	KEN	"2,15"	Archbishop of Canterbury	Abbey of Canterbury	N		-	0.45	-	N
103	KEN	"2,15"	Archbishop of Canterbury	Nigel	N	1.25	geld	2	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Godfrey {the steward}	N	1	geld	5	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Alward	N	0.75	geld	2	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Robert of Hardres	N	0.25	geld	1.5	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Haimo the sheriff	N	0.5	geld	5	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Vitalis	N	0.25	geld	1	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	40	-	N
104	KEN	"2,16"	Archbishop of Canterbury	Aethelwold (the chamberlain)	N	0.25	geld	1.5	-	N
105	KEN	"2,17"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	30	-	N
106	KEN	"2,18"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5	geld	30.81	-	N
107	KEN	"2,19"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	34	-	N
108	KEN	"2,20"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	15	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Vitalis	N	1	geld	2.25	-	N
109	KEN	"2,21"	Archbishop of Canterbury	William of Arques	N	1	geld	2	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Archbishop of Canterbury	Y	32.55	geld	100	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Godfrey the arblaster	N	1.5	geld	5	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Heringod	N	0.95	geld	2	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Wibert	N	1.5	geld	6	-	N
109	KEN	"2,21"	Archbishop of Canterbury	Arnold	N	1.5	geld	6	-	N
110	KEN	"2,22"	Archbishop of Canterbury	Hugh de Montfort	N	6	geld	20	-	N
111	KEN	"2,23"	Archbishop of Canterbury	Archbishop of Canterbury	Y	21	geld	101	-	N
112	KEN	"2,24"	Archbishop of Canterbury	Ralph {the chamberlain}	N	0.5	geld	2	proportional	N
112	KEN	"2,24"	Archbishop of Canterbury	Archbishop of Canterbury	Y	0.5	geld	2	proportional	N
113	KEN	"2,25"	Archbishop of Canterbury	Archbishop of Canterbury	Y	0.25	geld	12	-	N
113	KEN	"2,25"	Archbishop of Canterbury	Count of Eu	N	1.5	geld	10	-	N
114	KEN	"2,26"	Archbishop of Canterbury	Robert son of Watson	N	2	geld	8.38	proportional	N
114	KEN	"2,26"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4.37	geld	40	-	N
114	KEN	"2,26"	Archbishop of Canterbury	Osbern Paisforiere	N	0.12	geld	0.52	proportional	N
114	KEN	"2,26"	Archbishop of Canterbury	Robert of Hardres	N	0.5	geld	2.09	proportional	N
115	KEN	"2,27"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	10	-	N
117	KEN	"2,28"	Archbishop of Canterbury	Ansgot {of Rots}	N	1	geld	7	-	N
117	KEN	"2,28"	Archbishop of Canterbury	Richard of Tonbridge	N		-		-	N
117	KEN	"2,28"	Archbishop of Canterbury	Abbey of Canterbury	N		-	4	-	N
118	KEN	"2,29"	Archbishop of Canterbury	Richard of Tonbridge	N		-	3	-	N
118	KEN	"2,29"	Archbishop of Canterbury	Ralph son of Ospak	N	6	geld	20	-	N
119	KEN	"2,30"	Archbishop of Canterbury	Mauger	N	0.75	geld	2.5	-	N
120	KEN	"2,31"	Archbishop of Canterbury	Haimo the sheriff	N	1.5	geld	17	-	N
121	KEN	"2,32"	Archbishop of Canterbury	Count of Eu	N	2.5	geld	11	-	N
122	KEN	"2,33"	Archbishop of Canterbury	Ralph son of Turold	N	0.5	geld	2	-	N
123	KEN	"2,34"	Archbishop of Canterbury	Richard {the constable}	N	1	geld	1	-	N
124	KEN	"2,35"	Archbishop of Canterbury	Richard {the constable}	N	1	geld	5	-	N
124	KEN	"2,35"	Archbishop of Canterbury	Abbey of Canterbury	N		-	1	-	N
125	KEN	"2,36"	Archbishop of Canterbury	Godfrey {the steward}	N	2	geld	8	-	N
126	KEN	"2,37"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	4	-	N
127	KEN	"2,38"	Archbishop of Canterbury	Osbern son of Ledhard	N	0.25	geld	0.5	-	N
128	KEN	"2,39"	Archbishop of Canterbury	William Follet	N	1	geld	1.5	-	N
129	KEN	"2,40"	Archbishop of Canterbury	William Follet	N	1	geld	1.5	-	N
130	KEN	"2,41"	Archbishop of Canterbury	Hugh de Montfort	N	7	geld	29.31	-	N
131	KEN	"2,42"	Archbishop of Canterbury	William of Adisham	N	0.5	geld	7	-	N
132	KEN	"2,43"	Archbishop of Canterbury	Robert of Romney	N	1.5	geld	16	-	N
134	KEN	"3,1"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2.5	geld	25	-	N
134	KEN	"3,1"	Archbishop of Canterbury	Deormann (of London)	N	0.5	geld		not separately valued	N
135	KEN	"3,2"	Archbishop of Canterbury	Richard of Tonbridge	N	2.25	geld	4	-	N
135	KEN	"3,2"	Archbishop of Canterbury	1 man	N	0.5	geld		-	N
135	KEN	"3,2"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3.25	geld	8	-	N
136	KEN	"3,3"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	30	-	N
136	KEN	"3,3"	Archbishop of Canterbury	Bishop Odo of Bayeux	N	0.5	carucates		not separately valued	N
137	KEN	"3,4"	Archbishop of Canterbury	Archbishop of Canterbury	Y	10	geld	26	-	N
137	KEN	"3,4"	Archbishop of Canterbury	Richard of Tonbridge	N		-	0.92	-	N
138	KEN	"3,5"	Archbishop of Canterbury	Richard (of Tonbridge)	N		-	4	-	N
138	KEN	"3,5"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4.5	geld	22	-	N
138	KEN	"3,5"	Archbishop of Canterbury	Abel {the monk}	N	1	geld	6	-	N
138	KEN	"3,5"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	9	-	N
139	KEN	"3,6"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3.5	geld	16	-	N
140	KEN	"3,7"	Archbishop of Canterbury	Archbishop of Canterbury	Y	20	geld	40	-	N
141	KEN	"3,8"	Archbishop of Canterbury	William of Adisham	N	1	geld	7	-	N
141	KEN	"3,8"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	32	-	N
142	KEN	"3,9"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	17	-	N
143	KEN	"3,10"	Archbishop of Canterbury	Blize	N	2	ploughlands	5	-	N
144	KEN	"3,11"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	15	-	N
145	KEN	"3,12"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	25	-	N
146	KEN	"3,13"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	20	-	N
147	KEN	"3,14"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	20	-	N
148	KEN	"3,15"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2.5	geld	8.41	-	N
148	KEN	"3,15"	Archbishop of Canterbury	William {son of Ermenfrid}	N	0.5	geld	2	-	N
149	KEN	"3,16"	Archbishop of Canterbury	Archbishop of Canterbury	Y	7	geld	24.01	-	N
150	KEN	"3,17"	Archbishop of Canterbury	Archbishop of Canterbury	Y	7.79	geld	36.51	-	N
151	KEN	"3,18"	Archbishop of Canterbury	Robert son of Watson	N	2	geld	7	-	N
151	KEN	"3,18"	Archbishop of Canterbury	Archbishop of Canterbury	Y	14	geld	46.81	-	N
151	KEN	"3,18"	Archbishop of Canterbury	Roger	N	1	geld	4	-	N
152	KEN	"3,19"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	3	-	N
153	KEN	"3,20"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	16.87	-	N
154	KEN	"3,21"	Archbishop of Canterbury	Robert of Romney	N	1	geld	4	-	N
155	KEN	"3,22"	Archbishop of Canterbury	Robert son of Watson	N	0.75	geld	3.15	-	N
155	KEN	"3,22"	Archbishop of Canterbury	William Follet	N	0.25	geld	0.5	-	N
156	KEN	"3,23"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-		-	N
158	KEN	"4,1"	Bishop of Rochester	Richard of Tonbridge	N		-	1	-	N
158	KEN	"4,1"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	21	-	N
159	KEN	"4,2"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	16	-	N
159	KEN	"4,2"	Bishop of Rochester	Richard of Tonbridge	N		-	0.75	-	N
160	KEN	"4,3"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	8	-	N
161	KEN	"4,4"	Bishop of Rochester	Ansketil the priest	N	1	geld	5	-	N
162	KEN	"4,5"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	18	-	N
163	KEN	"4,6"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	12	-	N
164	KEN	"4,7"	Bishop of Rochester	Bishop of Rochester	Y	3	geld	4	-	N
165	KEN	"4,8"	Bishop of Rochester	Bishop of Rochester	Y	3	geld	7	-	N
166	KEN	"4,9"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	9	-	N
167	KEN	"4,10"	Bishop of Rochester	Bishop of Rochester	Y	2.5	geld	10.5	-	N
168	KEN	"4,11"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	7.75	-	N
169	KEN	"4,12"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	16	-	N
169	KEN	"4,12"	Bishop of Rochester	Richard (of Tonbridge)	N		-	0.35	-	N
170	KEN	"4,13"	Bishop of Rochester	Bishop of Rochester	Y	10	geld	25	-	N
170	KEN	"4,13"	Bishop of Rochester	Richard (of Tonbridge)	N		-	0.5	-	N
171	KEN	"4,14"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	10	-	N
172	KEN	"4,15"	Bishop of Rochester	Bishop of Rochester	Y	0	-	8	-	N
173	KEN	"4,16"	Bishop of Rochester	Bishop of Rochester	Y	5	geld	8.08	-	N
175	KEN	"5,1"	Bishop Odo of Bayeux	Hugh of Port	N	0.33	geld	15	20d to the ora	N
175	KEN	"5,1"	Bishop Odo of Bayeux	Wilfred	N	0.16	geld	0.25	-	N
176	KEN	"5,2"	Bishop Odo of Bayeux	Richard (of Tonbridge)	N		-	0.2	-	N
176	KEN	"5,2"	Bishop Odo of Bayeux	Helto (the steward)	N	10	geld	32	-	N
177	KEN	"5,3"	Bishop Odo of Bayeux	Ralph son of Turold	N	1	geld	5	-	N
178	KEN	"5,4"	Bishop Odo of Bayeux	Ralph	N	0.5	geld	4	-	N
179	KEN	"5,5"	Bishop Odo of Bayeux	Ansgot of Rochester	N	0.5	geld	5.5	-	N
180	KEN	"5,6"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	4.5	-	N
180	KEN	"5,6"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-		not separately valued	N
