county	geld	land	lords_ploughs	mens_ploughs	total_ploughs	villagers	smallholders	slaves	ancill	freemen	free_men	priests	cotts	burgesses	other	misc	mills	m_value	val_66	val_qr	val_86	churches	ch_land
BDF	1205.11	1579.06	392.56	832.5	1404.68	1849	1146	474	0	30	0	0	0	0	0	2	101.5	76.47	1339.25	870.75	1108.47	6	10.5
BRK	2495.8	1929.12	517	1352.75	1882.75	2685	1844	793	0	0	0	4	750	0	22	84	164.49	106.7	2568.46	1531.83	2631.4	62	25.12
BUK	2130.57	2295.5	559.5	1367	2058	2903	1323	847	0	16	0	0	10	54	0	9	135	68.14	1887.05	1319.7	1913.01	4	
CAM	1339.1	1701.25	452	916.5	1512.5	1951.5	1421	568	0	122	0	3	785	30	0	34	130.16	89.11	2024.07	1442.57	1917.33	5	0.37
CHS	1025.84	1083.83	214	379.45	634.45	797	662	214	14	0	0	34	0	61	175	242	25	2.36	596.05	144.9	522.3	25	11.75
CON	427.72	2573	348.62	865.75	1225.12	1705	2411	1155	0	0	0	0	0	68	0	89	6	2.95	0.47	580.02	666.42		
DBY	699.28	748.74	221.5	701.37	926.87	1849	738	20	0	128	0	47	0	140	0	49	70	16.58	622.48		461.1	47	6
DEV	1138.16	7906	1493.25	4189.25	5760.25	8428	4868	3316	1	0	0	1	19	263	371	172	96.5	29.47	100	1996.74	3147.96	8	3.3
DOR	2351.98	2224.25	659	1049.25	1840.25	2625	2955	1233	3	0	0	2	203	164	209	111	282	113.25	4.33	1650.85	3105.26	14	9.54
ESS	2754.24		1392	2325.75	3944.75	4130	7200	1833	0	601	431	28	0	53	0	71	237	0.75	3838.36	1959.15	5203.01	16.25	4.92
GLS	2502.66	166.5	1001.75	2812.5	3827.25	3843.5	1947	2166	215	0	17	50	0	115	0	305	265.5	85.59	2390.6	164	3271.28	14	11.35
HAM	2586.72	2768	830.62	1894	2750.75	3903	4004	1764	0	0	0	4	0	20	0	292	339.53	170.07	3364.76	2357.67	3387.06	129	17.75
HEF	1275.99	311.5	663.37	1993.37	2660.25	1889	1339	760	137	0	15	41	19	28	132	506	108.33	43.44	781.14	244.66	1251.15	19	12.62
HRT	1118.51	1728	381.75	891.5	1370.25	1784.5	1114	597	0	20	8	51	855	137	0	119	132	65.09	1912.17	1358	1583.9	4	1
HUN	813.5	1119.62	247.37	760.12	1008.12	1935	489	0	0	21	0	48	0	256	0	14	36	43.94	891.26		873.1	60	0.5
KEN	1156.55	2218.75	694.5	2446.37	3153.37	6788	3411	1175	4	26	0	12	309	840	0	446	359.75	181.02	3787.85	3056.81	5198.51	184.5	
LEC	2541.72	1591	478	1392.37	1876.37	2653	1379	399	23	1925	6	43	0	65	0	69	129	30.42	71	388.78	932.62	6	1.75
LIN	4384.26	5018.95	1239	3640.75	4887.25	7221	3466	0	0	10841	0	121.5	0	305	0	66	433.37	158.28	3128.76	0	3634.43	243.31	18.67
MDX	880.25	676.25	125	397.5	546.5	1163	364	112	0	0	0	18	464	46	0	54	33.5	26.37	913.22	549.72	763.37		8.12
NFK	2453.71	4	1242.87	3668.87	5000.87	4612	10025	986	0	5407.5	5185.75	10.5	0	1654	0	206	506.27	1.63	2428.4	1497.88	4232.23	276.08	45.51
NTH	1368.07	2834.37	725.5	1747	2553.5	3992	2066	779	59	966	3	68	0	87	0	26	261.5	105.02	1116.28	61.75	1772.07	3	2.75
NTT	566.47	1189.62	398.25	1572.37	1975.37	2635	1180	24	2	1704	0	67	0	56	0	136	128.08	59.9	888.85	0	780.55	82.25	9.38
OXF	2434.6	2550.25	808.5	1642	2458	3549	1883	963	0	0	26	1	0	1	0	66	195	146.07	2166.85	636.75	3015.17	2	
RUT	38	140	42.62	188.5	247.12	730	109	0	0	5	0	7	0	0	0	0	7	2.53	202		249	8	1.56
SHR	1449	2739.87	636.25	1118	1775.62	1814.5	1152	929	87	0	20	53	15	82	0	799	94	18.69	961.65	118.01	1237.89	24	3.25
SOM	2986.99	4793.25	1289.5	2606	3934	5283	4837	2120	0	1	0	3	329	518	208	170	380	596.06	629.49	2433.09	4223.44	18	19.31
STS	525.1	1362.25	274	764.75	1051	1763	925	230	1	0	16	33	0	90	0	14	66.5	14.23	246.04	3.2	471.64	1.5	1.5
SUF	2391.92		1085.12	3340	4524.75	3065.5	6417.5	877	0	858	7640.5	33.5	0	792	0	417	235.26	0.36	2621.74	1375.96	3980.41	438.61	89.5
SUR	2005.25	1018.37	260	1008.75	1275.62	2389	936	503	0	0	0	0	276	32	0	177	119	91.42	1396.85	728.05	1575.63	68	3.83
SUS	3204.2	2780.5	736.25	2426.5	3177.37	5890	2522	413	0	0	0	5	783	391	0	11	164.83	72.16	3557.49	1874.32	3299.4	109	7.87
WAR	1312.83	2175.5	484.5	1543.25	2058.25	3569	1840	802	36	0	19	68	0	32	0	72	124.5	54.65	940.21	256	1397.08		
WIL	4113.86	3460.25	1016.75	1853.5	3039.25	3506	2798	1595	0	0	0	4	287	296	1409	382	429.25	272.08	698	2298.56	5068.46	29.5	52.37
WOR	1187.6	460.12	476.12	1474.75	1958.87	1533	1764	690	116	0	4	61	59	150	0	159	113.5	46.09	985.68	113.75	1018.74	6	6.5
YKS	10507.5	5724.75	767.87	2182	2962.87	5104	1865	0	0	453	2	136	16	110	0	94	117.5	37.81	3507.77	0	1185.36	176.25	11
