county	geld	land	l_ploughs	m_ploughs	total_ploughs	villagers	smallholders	slaves	free_men	priests	cotts	other	misc	mills	m_value	burgesses	val_66	val_qr	val_86	churches	ch_land
BDF	1204.11	1579.06	392.56	832.5	1404.68	1849	1146	474	0	0	0	0	2	101.5	76.47	0	1339.25	870.75	1108.47	5	9.5
BRK	2493.8	1929.12	517	1352.75	1882.75	2685	1844	793	0	4	750	0	62	164.49	106.7	0	2527.46	1491.83	2557.9	62	25.12
BUK	2129.57	2283.5	557.5	1363.5	2048.5	2900	1309	845	0	0	0	0	9	133	66.94	1	1870.05	1313.7	1891.01	4	
CAM	1239.1	1701.25	452	916.5	1512.5	1951.5	1421	568	0	2	785	0	34	126.16	89.11	10	2009.98	1442.57	1903.23	5	0.37
CHS	975.84	1083.83	214	379.45	634.45	797	662	214	0	34	0	175	242	25	2.36	61	596.05	144.9	390.3	25	11.75
CON	427.72	2573	348.62	865.75	1225.12	1705	2411	1155	0	0	0	0	89	6	2.95	68	0.47	580.02	666.42		
DBY	680.9	737.74	221.5	699.37	924.87	1840	738	20	0	47	0	0	49	59	16.58	0	598.48		431.1	43	5
DEV	1138.16	7894	1493.25	4189.25	5760.25	8428	4868	3316	0	1	19	371	172	96.5	29.47	263	100	1996.74	3135.96	8	3.3
DOR	2306.98	2224.25	659	1049.25	1840.25	2625	2955	1233	0	2	203	209	111	282	113.25	13		1650.85	3102.01	14	9.54
ESS	2728.61		1390	2325.75	3940.75	4127	7186	1829	431	28	0	0	71	234	0.75	36	3813.59	1953.35	5091.26	15.25	4.92
GLS	2502.66	166.5	1001.75	2812.5	3827.25	3843.5	1947	2166	17	50	0	0	305	265.5	85.59	115	2348.6	144	3163.28	14	11.35
HAM	2586.72	2768	830.62	1894	2750.75	3903	4004	1764	0	4	0	0	117	339.53	170.07	20	3357.76	2357.67	3380.06	129	17.75
HEF	1275.99	311.5	663.37	1993.37	2660.25	1889	1339	760	15	41	19	132	506	108.33	43.44	28	763.14	244.66	1191.15	19	12.62
HRT	1108.51	1728	381.75	891.5	1370.25	1784.5	1114	597	8	51	855	0	119	129	55.09	119	1904.67	1343	1563.9	2	1
HUN	763.5	1119.62	247.37	760.12	1008.12	1935	389	0	0	48	0	0	11	35	40.94	0	849.26		833.26	58	0.5
KEN	1155.57	2218.75	694.5	2446.37	3153.37	6788	3411	1175	0	12	309	0	26	355.75	175.62	609	3713.85	3000.81	5088.51	183.5	
LEC	2535.72	1591	477	1389.37	1872.37	2653	1379	399	6	43	0	0	69	128.5	30.16	27	41	388.78	868.12	2	1.75
LIN	4212.76	5018.95	1239	3640.75	4886.25	7221	3466	0	0	121.5	0	0	45	429.87	154.03	203	3061.76	0	3447.93	235.31	18.67
MDX	880.25	676.25	125	397.5	546.5	1163	364	112	0	18	464	0	54	33.5	26.37	46	913.22	549.72	763.37		8.12
NFK	2453.71	4	1242.87	3668.87	5000.87	4612	10025	986	5185.75	10.5	0	0	206	506.27	1.63	1654	2428.4	1497.88	4232.23	276.08	45.51
NTH	1368.07	2834.37	725.5	1747	2553.5	3992	2066	779	3	68	0	0	26	261.5	105.02	0	1085.78	61.75	1711.57	3	2.75
NTT	558.47	1187.62	398.25	1554.37	1957.37	2624	1152	24	0	67	0	0	10	128.08	59.9	56	867.85	0	732.55	81.25	9.34
OXF	2434.6	2550.25	808.5	1642	2458	3549	1883	963	26	1	0	0	66	194	146.07	1	2136.85	636.75	2955.17		
RUT	38	140	42.62	188.5	247.12	730	109	0	0	7	0	0	0	7	2.53	0	202		249	8	1.56
SHR	1349	2739.87	636.25	1118	1775.62	1814.5	1152	929	20	53	15	0	799	94	18.69	0	923.98	118.01	1197.89	24	3.25
SOM	2986.99	4793.25	1289.5	2606	3934	5283	4837	2120	0	3	329	208	170	380	596.06	518	629.49	2433.09	4223.44	18	19.31
STS	525.1	1362.25	274	764.75	1051	1763	925	230	16	33	0	0	14	66.5	14.23	72	237.04	3.2	464.64	1.5	1.5
SUF	2391.92		1085.12	3340	4524.75	3065.5	6417.5	877	7640.5	33.5	0	0	417	235.26	0.36	792	2621.74	1375.96	3980.41	438.61	89.5
SUR	2005.25	1018.37	260	1008.75	1275.62	2389	936	503	0	0	276	0	177	119	91.42	32	1396.85	728.05	1575.63	68	3.83
SUS	3204.2	2780.5	736.25	2426.5	3177.37	5890	2522	413	0	5	783	0	11	164.83	72.16	391	3557.49	1874.32	3299.4	109	7.87
WAR	1312.83	2175.5	484.5	1543.25	2058.25	3569	1840	802	19	68	0	0	72	124.5	54.65	13	875.21	256	1252.08		
WIL	4113.86	3460.25	1016.75	1853.5	3039.25	3506	2798	1595	0	4	287	1400	382	427.75	271.58	296	685	2276.56	4892.95	29.5	52.37
WOR	1172.6	460.12	476.12	1474.75	1958.87	1533	1764	690	4	61	59	0	159	113.5	46.09	150	967.68	113.75	962.49	6	6.5
YKS	10343.5	5682.75	760.37	2170.5	2942.87	5079	1855	0	2	136	16	0	92	117.5	37.81	110	3447.12		1081.22	168.25	11
