tre_id	struct_idx	sub_idx	county	phillimore	overlord_66	lord_66	idx_overlord_66	idx_lord_66	holding	units	value_66	value_66_qr_86	v_66_code	waste_66	overlord_code
10	1	1	KEN	D1	-	King Edward		171350		-	6	6	-	N	
12	1	2	KEN	D1	King Edward	Earl Godwin	171350	244550		-	3	3	-	N	
14	1	3	KEN	D1	King Edward	"Dover (St Martin), canons of"	171350	149950		-	9	9	-	N	
20	2	1	KEN	D2	-	King Edward		171350		-			-	N	
70	7	1	KEN	D7	-	King Edward		171350		-		40	1086 value	N	
100	10	1	KEN	D10	-	King Edward		171350		-			-	N	
270	27	1	KEN	M1	-	"Dover (St Martin), canons of"		149950	0.16	adjusted			-	N	
280	28	1	KEN	M2	"Dover (St Martin), canons of"	Leofwin	149950	341150	1	geld	5	5	-	N	
290	29	1	KEN	M3	"Dover (St Martin), canons of"	Sired (the canon)	149950	492810	1	geld	12	12	-	N	
300	30	1	KEN	M4	"Dover (St Martin), canons of"	Alwin	149950	66950	1	geld	5	5	-	N	
310	31	1	KEN	M5	"Dover (St Martin), canons of"	Alric	149950	52600	0.45	geld	0.5	0.5	-	N	
320	32	1	KEN	M6	"Dover (St Martin), canons of"	Sired (the canon)'s father	149950	492900	1	geld	4	4	-	N	
330	33	1	KEN	M7	"Dover (St Martin), canons of"	Alric	149950	52600	1	geld	4	4	-	N	
340	34	1	KEN	M8	"Dover (St Martin), canons of"	Alred's father	149950	51900	1	geld	1	1	-	N	
350	35	1	KEN	M9	"Dover (St Martin), canons of"	"Smelt, King Edward's chaplain"	149950	498400	1	geld	1	1	-	N	
360	36	1	KEN	M10	"Dover (St Martin), canons of"	Sigar <of Sibertswold>	149950	489920	1	geld	3.5	3.5	-	N
380	37	2	KEN	M11	"Dover (St Martin), canons of"	Goldstan	149950	249900	0.5	geld	2	2	equal	N
390	37	1	KEN	M11	"Dover (St Martin), canons of"	Sigar <of Sibertswold>	149950	489920	0.5	geld	2	2	equal	N
400	38	1	KEN	M12	-	"Dover (St Martin), canons of"		149950	0.7	geld			-	N
410	39	1	KEN	M13	"Dover (St Martin), canons of"	Edwin	149950	174600	0.7	geld	4	4	-	N
420	40	1	KEN	M14	"Dover (St Martin), canons of"	Archbishop Stigand	149950	505050	1.83	geld	7	7	-	N
430	41	1	KEN	M15	-	"Dover (St Martin), canons of"		149950	1	geld	4	4	-	N
440	42	1	KEN	M16	"Dover (St Martin), canons of"	Wulfwin	149950	627300	1	geld	5	5	-	N
450	43	1	KEN	M17	"Dover (St Martin), canons of"	Aethelwold	149950	19450	0.75	geld	3	3	-	N
460	44	1	KEN	M18	"Dover (St Martin), canons of"	"Canterbury (St Augustine), abbey of"	149950	135200	1	geld	2	2	-	N
470	45	1	KEN	M19	"Dover (St Martin), canons of"	Deoring son of Sired	149950	146700	0.62	geld	2	2	-	N
480	46	1	KEN	M20	"Dover (St Martin), canons of"	Sigar <of Sibertswold>'s father	149950	489925	0.37	geld	1.75	1.75	-	N
490	47	1	KEN	M21	"Dover (St Martin), canons of"	Spirtes (the priest)	149950	500500	0.37	geld	1.25	1.25	-	N
500	48	1	KEN	M22	"Dover (St Martin), canons of"	Sired (the canon)	149950	492810	1	geld	6	6	-	N
510	49	1	KEN	M23	"Dover (St Martin), canons of"	Edwin {brother of Baldwin}	149950	175950	1	geld	5	5	-	N
520	50	1	KEN	M24	"Dover (St Martin), canons of"	Oswy Wild the priest	149950	396700	1	geld	8	8	-	N
530	51	1	KEN	C1	-	King Edward		171350		-	51	51	-	N
550	53	1	KEN	C3	-	King Edward		171350	0.98	geld			-	N
610	59	1	KEN	R1	King Edward	"Rochester (St Andrew), bishop of"	171350	460700		-	5	5	-	N
630	61	1	KEN	P1	-	"Dover (St Martin), canons of"		149950	1.33	adjusted			-	N
640	62	1	KEN	P2	-	"Dover (St Martin), canons of"		149950	1	geld			-	N
650	63	1	KEN	P3	-	"Dover (St Martin), canons of"		149950	1	geld			-	N
660	64	1	KEN	P4	-	"Dover (St Martin), canons of"		149950	1	geld			-	N
670	65	1	KEN	P5	-	"Dover (St Martin), canons of"		149950		-	10	10	-	N
680	66	1	KEN	P6	-	"Dover (St Martin), canons of"		149950		-			-	N
690	67	1	KEN	P7	-	"Dover (St Martin), canons of"		149950		-			-	N
700	68	1	KEN	P8	-	"Dover (St Martin), canons of"		149950		-			-	N
710	69	1	KEN	P9	-	"Dover (St Martin), canons of"		149950		-			-	N
720	70	1	KEN	P10	-	"Dover (St Martin), canons of"		149950		-			-	N
730	71	1	KEN	P11	-	"Dover (St Martin), canons of"		149950		-			-	N
740	72	1	KEN	P12	-	"Dover (St Martin), canons of"		149950		-			-	N
750	73	1	KEN	P13	-	"Dover (St Martin), canons of"		149950		-			-	N
760	74	1	KEN	P14	-	"Dover (St Martin), canons of"		149950		-			-	N
770	75	1	KEN	P15	-	"Dover (St Martin), canons of"		149950		-			-	N
780	76	1	KEN	P16	-	"Dover (St Martin), canons of"		149950	2.5	adjusted			-	N
790	77	1	KEN	P17	-	"Dover (St Martin), canons of"		149950	0.83	adjusted			-	N
800	78	1	KEN	P18	-	"Dover (St Martin), canons of"		149950	1.25	adjusted	60	60	-	N
810	79	1	KEN	P19	-	"Dover (St Martin), canons of"		149950		-			-	N
820	80	1	KEN	P20	"Dover (St Martin), canons of"	Alnoth the noble (of Kent)	149950	51275		-			-	N
870	84	2	KEN	"1,1"	King Edward	Osward (of Norton)	171350	395060	0.21	geld			not separately valued	N
890	84	1	KEN	"1,1"	-	King Edward		171350	1.28	geld	60	60	-	N
900	85	1	KEN	"1,2"	-	King Edward		171350	1	geld	15	15	-	N
910	86	1	KEN	"1,3"	-	King Edward		171350	80	geld	200	200	at face value	N
940	87	1	KEN	"1,4"	-	King Edward		171350	7	geld	59.75	59.75	-	N
960	89	1	KEN	"2,1"	-	"Canterbury (Christ Church), archbishop of"		135500		-			-	N
970	90	1	KEN	"2,2"	-	"Canterbury (Christ Church), archbishop of"		135500		-	15	15	-	N
980	91	1	KEN	"2,3"	-	"Canterbury (Christ Church), archbishop of"		135500	2	geld	14	14	-	N
1000	92	1	KEN	"2,4"	-	"Canterbury (Christ Church), archbishop of"		135500	8	geld		82	1086 value	N
1010	93	1	KEN	"2,5"	-	(Earl) Godwin		244600	1.5	geld	12	12	-	N
1020	94	1	KEN	"2,6"	-	"Canterbury (Christ Church), archbishop of"		135500	3	geld	12	12	-	N
1030	95	1	KEN	"2,7"	"Canterbury (Christ Church), archbishop of"	Osward (of Norton)	135500	395060	4	geld	12	12	-	N
1040	96	1	KEN	"2,8"	-	"Canterbury (Christ Church), archbishop of"		135500	2	geld	9	9	-	N
