trw_id	struct_idx	sub_idx	county	phillimore	ten_in_chief	lord_86	demesne_86	holding	units	value_86	v_86_code	waste_86
30	1	1	KEN	D1	King William	King William	Y		-		-	N
60	2	1	KEN	D2	King William	King William	Y		-		-	N
210	7	1	KEN	D7	King William	King William	Y		-	24	20d to the ora	N
220	7	2	KEN	D7	King William	Bishop Odo of Bayeux	N		-	30	at face value	N
300	10	1	KEN	D10	King William	Herbert's nephew	N		-		-	N
810	27	1	KEN	M1	Canons of Dover	Canons of Dover	Y	0.16	adjusted		-	N
840	28	1	KEN	M2	Canons of Dover	Ralph of St Samson	N	1	geld	3.5	-	N
870	29	1	KEN	M3	Canons of Dover	William son of Oger	N	1	geld	6	-	N
900	30	1	KEN	M4	Canons of Dover	Alwin	N	1	geld	4	-	N
930	31	1	KEN	M5	Canons of Dover	Wulfric	N	0.45	geld	1	-	N
960	32	1	KEN	M6	Canons of Dover	Sired (the canon)	N	1	geld	5	-	N
990	33	1	KEN	M7	Canons of Dover	Ralph	N	1	geld	3.45	-	N
1020	34	1	KEN	M8	Canons of Dover	Alred	N	1	geld	3	-	N
1050	35	1	KEN	M9	Canons of Dover	Robert Blaec	N	1	geld	1.5	-	N
1080	36	1	KEN	M10	Canons of Dover	Walter {of Cambremer}	N	1	geld	3	-	N
1110	37	1	KEN	M11	Canons of Dover	Turbat	N	0.5	geld	1.5	equal	N
1140	37	2	KEN	M11	Canons of Dover	Robert	N	0.5	geld	1.5	equal	N
1170	38	1	KEN	M12	Canons of Dover	Edwin	N	0.7	geld		-	N
1200	39	1	KEN	M13	Canons of Dover	Edwin	N	0.64	geld	3	-	N
1210	39	2	KEN	M13	Canons of Dover	Wulfric of Oxford	N	0.06	geld		not separately valued	N
1230	40	1	KEN	M14	Canons of Dover	Ansketil the archdeacon	N	1.83	geld	8	-	N
1260	41	1	KEN	M15	Canons of Dover	William of Poitou	N	1	geld	2.75	-	N
1290	42	1	KEN	M16	Canons of Dover	Wulfstan son of Wulfwin	N	1	geld	3	-	N
1320	43	1	KEN	M17	Canons of Dover	Aethelwold	N	0.75	geld	3	-	N
1350	44	1	KEN	M18	Canons of Dover	Abbey of Canterbury	N	1	geld	1.5	-	N
1380	45	1	KEN	M19	Canons of Dover	William son of Theodwald	N	0.62	geld	3	-	N
1410	46	1	KEN	M20	Canons of Dover	Sigar <of Sibertswold>	N	0.37	geld	1.25	-	N
1440	47	1	KEN	M21	Canons of Dover	Nigel the doctor	N	0.37	geld	1	-	N
1470	48	1	KEN	M22	Canons of Dover	William son of Geoffrey	N	1	geld	4	-	N
1500	49	1	KEN	M23	Canons of Dover	Baldwin	N	1	geld	4	-	N
1530	50	1	KEN	M24	Canons of Dover	Godric {the interpreter}	N	1	geld	6	-	N
1560	51	1	KEN	C1	King William	King William	Y		-	50	at face value;weighed	N
1565	51	2	KEN	C1	King William	Archbishop of Canterbury	N		-		not separately valued	N
1570	51	3	KEN	C1	King William	Abbey of Canterbury	N		-		not separately valued	N
1620	53	1	KEN	C3	King William	Ranulf of Colombières	N	0.98	geld		-	N
1800	59	1	KEN	R1	Bishop of Rochester	Bishop of Rochester	Y		-	20	-	N
1860	61	1	KEN	P1	Canons of Dover	Sired (the canon)	N	0.44	adjusted		-	N
1865	61	3	KEN	P1	Canons of Dover	Godric the canon	N	0.44	adjusted		-	N
1870	61	2	KEN	P1	Canons of Dover	Sewen the canon	N	0.44	adjusted		-	N
1890	62	1	KEN	P2	Canons of Dover	Canons of Dover	Y	1	geld		-	N
1920	63	1	KEN	P3	Canons of Dover	Canons of Dover	Y	1	geld		-	N
1950	64	1	KEN	P4	Canons of Dover	Canons of Dover	Y	1	geld		-	N
1980	65	1	KEN	P5	Canons of Dover	Canons of Dover	Y		-	10	-	N
2010	66	1	KEN	P6	Canons of Dover	Canons of Dover	Y		-		-	N
2040	67	1	KEN	P7	Canons of Dover	Canons of Dover	Y		-		-	N
2070	68	1	KEN	P8	Canons of Dover	Canons of Dover	Y		-		-	N
2100	69	1	KEN	P9	Canons of Dover	Canons of Dover	Y		-		-	N
2130	70	1	KEN	P10	Canons of Dover	Canons of Dover	Y		-		-	N
2160	71	1	KEN	P11	Canons of Dover	Canons of Dover	Y		-		-	N
2190	72	1	KEN	P12	Canons of Dover	Canons of Dover	Y		-		-	N
2220	73	1	KEN	P13	Canons of Dover	Canons of Dover	Y		-		-	N
2250	74	1	KEN	P14	Canons of Dover	Canons of Dover	Y		-		-	N
2280	75	1	KEN	P15	Canons of Dover	Canons of Dover	Y		-		-	N
2310	76	1	KEN	P16	Canons of Dover	Canons of Dover	Y	2.5	adjusted		-	N
