statistics_id	struct_idx	county	phillimore	tenant_in_chief	riding	wapentake	vill	carucates	g_code	notes	phillimore_ref
20	17599	YS	"SN,Y1"	Archbishop of York	West Riding	York	York	6	geld	84 carucates in total.	2B2
40	17600	YS	"SN,Y2"	Archbishop of York	North Riding	`Bulford'	Osbaldwick	6	geld		C23
60	17600	YS	"SN,Y2"	Archbishop of York	North Riding	`Bulford'	Murton	4	geld		C23
80	17601	YS	"SN,Y3"	Archbishop of York	North Riding	`Bulford'	Stockton [on the Forest]	3	geld		C24
100	17601	YS	"SN,Y3"	Archbishop of York	North Riding	`Bulford'	Stockton [on the Forest]	3	geld		C24
120	17601	YS	"SN,Y3"	Archbishop of York	North Riding	`Bulford'	Sandburn [House]	3	geld		C25
140	17602	YS	"SN,Y4"	Archbishop of York	West Riding	York	Heworth	3	geld		C26. 23N36
160	17602	YS	"SN,Y4"	Count Alan	West Riding	York	Heworth	3	geld		C26
180	17602	YS	"SN,Y4"	Count Alan	West Riding	York	[Gate] Fulford	10	geld		C28. 6W5
200	17603	YS	"SN,Y5"	Archbishop of York	West Riding	York	Clifton	8.5	geld		C30
220	17603	YS	"SN,Y5"	Count Alan	West Riding	York	Clifton	9.5	geld		C30. 6W6
240	17603	YS	"SN,Y5"	Archbishop of York	West Riding	York	Clifton		no assessment	37 acres of meadow only.	C30
260	17604	YS	"SN,Y6"	Archbishop of York	North Riding	`Bulford'	Rawcliffe	3	geld	"Saxfrith (the deacon) had 2 carucates, assumed now held by archbishop: see C31."	C31
270	17604	YS	"SN,Y6"	King William	North Riding	`Bulford'	Rawcliffe	1	geld		1W1
280	17604	YS	"SN,Y6"	Count Alan	North Riding	`Bulford'	Overton	5	geld		6W2
300	17605	YS	"SN,Y7"	Archbishop of York	North Riding	`Bulford'	Skelton	3.5	geld		C33
320	17605	YS	"SN,Y7"	King William	North Riding	`Bulford'	Skelton	2.75	geld		1W2
330	17605	YS	"SN,Y7"	Count Alan	North Riding	`Bulford'	Skelton	2.75	geld		6W2
340	17606	YS	"SN,Y8"	Arnketil	North Riding	`Bulford'	{Mortun}	3	geld	Arnketil had 3 carucates; possibly now the archbishop's: see C34.	C34
360	17606	YS	"SN,Y8"	Archbishop of York	North Riding	`Bulford'	Wigginton	3	geld	This holding is not recorded in the main text.	-
380	17606	YS	"SN,Y8"	Thorfinnr	West Riding	York	York	3	geld	Thorfinnr and Thorkil had 3 carucates; possibly now the archbishop's: see C29.	C29
400	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Otley	60.75	geld	60.75 carucates total for manor and dependencies.	2W4
420	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Pool		recorded elsewhere	60.75 carucates total for Otley and dependencies.	2W4
440	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Guiseley		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
460	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Hawksworth		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
480	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	`[Little] Hawksworth'		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
500	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Baildon		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
520	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Menston		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
540	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Burley [in Wharfedale]		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
560	17607	YS	"SW,Sk1"	Archbishop of York	West Riding	`Skyrack'	Ilkley		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
580	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Otley		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
600	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Stubham		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
620	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Farnley		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
640	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Middleton		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
660	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	[Nether] Timble		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
680	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Denton		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
700	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	{Estone}		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
720	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	Clifton		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
740	17608	YS	"SW,Sk2"	Archbishop of York	West Riding	`Skyrack'	{Bicherun}		recorded elsewhere	60.75 carucates total for manor and dependencies.	2W4
760	17609	YS	"SW,Sk3"	Ligulfr	West Riding	`Skyrack'	[East] Rigton	3	geld		29W24
780	17609	YS	"SW,Sk3"	Gospatric (son of Arnketil)	West Riding	`Skyrack'	Weardley	4	geld	Ambiguous reference to 'half these' [carucates] belonging to Gospatric; in 28W30 he holds 5 carucates.	28W30
800	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Kippax	9	equal	69.5 carucates in all for manor and dependencies: see 9W1 which gives 71.5 carucates but includes 2 carucates in Cowthwaite (not recorded here).	9W1
820	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Ledston	9	equal		9W1
840	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Allerton [Bywater]	6	geld	9W1 gives the breakdown.	9W1
860	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	[Great and Little] Preston	6	geld	9W1 gives the breakdown.	9W1
880	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Swillington	3	geld	9W1 gives the breakdown.	9W1
900	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Garforth	1.5	geld		9W1
920	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Skelton [Grange]	3	geld	9W1 gives the breakdown.	9W1
940	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Coldcotes	2	geld	9W1 gives the breakdown.	9W1
960	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Colton	2	geld	9W1 gives the breakdown.	9W1
980	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Austhorpe	4	geld	9W1 gives the breakdown.	9W1
1000	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Manston	4	geld	9W1 gives the breakdown.	9W1
1020	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Barwick [in Elmet]	8	geld	9W1 gives the breakdown.	9W1
1040	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Kiddal [Hall]	3	geld	9W1 gives the breakdown.	9W1
1060	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Potterton	2	geld	9W1 gives the breakdown.	9W1
1080	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Parlington	6	geld	9W1 gives the breakdown.	9W1
1100	17610	YS	"SW,Sk4"	Ilbert of Lacy	West Riding	`Skyrack'	Gipton	1	geld	9W1 gives the breakdown.	9W1
1120	17611	YS	"SW,Sk5"	Ilbert of Lacy	West Riding	`Skyrack'	Garforth	7	geld		9W2
1140	17611	YS	"SW,Sk5"	Ilbert of Lacy	West Riding	`Skyrack'	Swillington	9	geld		9W1
1160	17611	YS	"SW,Sk5"	Ilbert of Lacy	West Riding	`Skyrack'	Sturton [Grange]	5	geld		9W5
1180	17612	YS	"SW,Sk6"	Ilbert of Lacy	West Riding	`Skyrack'	Shippen [House]	4	geld	4 carucates with Sturton in the main text.	9W4
1200	17612	YS	"SW,Sk6"	Ilbert of Lacy	West Riding	`Skyrack'	Sturton [Grange]		recorded elsewhere	4 carucates with Shippen in the main text.	9W4
1220	17612	YS	"SW,Sk6"	Ilbert of Lacy	West Riding	`Skyrack'	Kiddal [Hall]	3	geld	3 carucates with Parlington in the main text.	9W9
1240	17612	YS	"SW,Sk6"	Ilbert of Lacy	West Riding	`Skyrack'	Parlington		recorded elsewhere	3 carucates with Kiddal in the main text.	9W9
1260	17613	YS	"SW,Sk7"	Ilbert of Lacy	West Riding	`Skyrack'	Cowthwaite	2	geld		9W1
1280	17613	YS	"SW,Sk7"	Ilbert of Lacy	West Riding	`Skyrack'	Halton	6	geld		9W10
1300	17613	YS	"SW,Sk7"	Ilbert of Lacy	West Riding	`Skyrack'	Seacroft	8	geld		9W11
1320	17614	YS	"SW,Sk8"	Ilbert of Lacy	West Riding	`Skyrack'	Thorner	8	geld		9W12
1340	17614	YS	"SW,Sk8"	Ilbert of Lacy	West Riding	`Skyrack'	Birkby [Hill]	2	geld	2 carucates with Wheatcrof in the main text.	9W13
1360	17614	YS	"SW,Sk8"	Ilbert of Lacy	West Riding	`Skyrack'	`Wheatcroft'		recorded elsewhere	2 carucates with Birkby in the main text.	9W13
1380	17615	YS	"SW,Sk9"	Ilbert of Lacy	West Riding	`Skyrack'	[Chapel] Allerton	6	geld		9W14
1400	17615	YS	"SW,Sk9"	Ilbert of Lacy	West Riding	`Skyrack'	Gipton	4.5	geld	4.5 carucates with Colton in the main text.	9W1
1420	17615	YS	"SW,Sk9"	Ilbert of Lacy	West Riding	`Skyrack'	Colton		recorded elsewhere	4.5 carucates with Gipton in the main text.	9W15
1440	17616	YS	"SW,Sk10"	King William	West Riding	`Skyrack'	Shadwell	6	geld		1W7
1460	17616	YS	"SW,Sk10"	Ilbert of Lacy	West Riding	`Skyrack'	[Temple] Newsam	8	geld		9W16
1480	17616	YS	"SW,Sk10"	Ilbert of Lacy	West Riding	`Skyrack'	Thorpe [Stapleton]	4	geld		9W17
1500	17617	YS	"SW,Sk11"	Ilbert of Lacy	West Riding	`Skyrack'	Leeds	10.75	geld		9W6
1520	17617	YS	"SW,Sk11"	Ilbert of Lacy	West Riding	`Skyrack'	Headingley	7	geld		9W7
1540	17617	YS	"SW,Sk11"	King William	West Riding	`Skyrack'	[East and West] Morton	4	geld		1W5
1560	17618	YS	"SW,Sk12"	Ilbert of Lacy	West Riding	`Skyrack'	{Snitertun}	8	geld		9W18
1580	17618	YS	"SW,Sk12"	King William	West Riding	`Skyrack'	Wothersome	4	geld		1W3
1600	17618	YS	"SW,Sk12"	King William	West Riding	`Skyrack'	Bardsey	2	geld		1W4
1620	17619	YS	"SW,Sk13"	King William	West Riding	`Skyrack'	Riddlesden	1	geld		1W6
1640	17619	YS	"SW,Sk13"	King William	West Riding	`Skyrack'	Harewood	10	geld	10 carucates between Harewood and an unnamed outlier (Newhall) in the text.	1W9
1660	17619	YS	"SW,Sk13"	King William	West Riding	`Skyrack'	{Newhall}		recorded elsewhere	10 carucates between Harewood and an unnamed outlier (Newhall) in the text.	1W12
1680	17620	YS	"SW,Sk14"	King William	West Riding	`Skyrack'	[East] Keswick	5	geld		1W10
1700	17620	YS	"SW,Sk14"	King William	West Riding	`Skyrack'	Stockton	5.75	geld	6.75 carucates in all. 1W11 gives the breakdown.	1W11
1720	17620	YS	"SW,Sk14"	King William	West Riding	`Skyrack'	{Newhall}	1	geld	1W12 gives this breakdown.	1W12
1740	17621	YS	"SW,Sk15"	King William	West Riding	`Skyrack'	Lofthouse	2	geld		1W14
1760	17621	YS	"SW,Sk15"	King William	West Riding	`Skyrack'	Stub House	1	geld		1W15
1780	17621	YS	"SW,Sk15"	King William	West Riding	`Skyrack'	Alwoodley	5	geld		1W16
1800	17622	YS	"SW,Sk16"	King William	West Riding	`Skyrack'	Wike	6	geld		1W13
1820	17622	YS	"SW,Sk16"	Gilbert Tison	West Riding	`Skyrack'	Bramhope	8	geld		21W1
1840	17622	YS	"SW,Sk16"	Robert Malet	West Riding	`Skyrack'	[East] Carlton	3	geld		11W1
1860	17623	YS	"SW,Sk17"	King William	West Riding	`Skyrack'	Horsforth	6	geld		1W17
1880	17623	YS	"SW,Sk17"	King William	West Riding	`Skyrack'	Rawdon	3	geld		1W18
1900	17623	YS	"SW,Sk17"	King William	West Riding	`Skyrack'	Yeadon	4	geld		1W19
1920	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Bingley	4	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
1940	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Baildon	2	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
1960	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Eldwick	1	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
1980	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Marley	1	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
2000	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Cottingley	2	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
2020	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	`Halton'	1	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W21
2040	17624	YS	"SW,Sk18"	Erneis of Buron	West Riding	`Skyrack'	Micklethwaite	1	geld	12 carucates in all for Erneis: 24W1 gives the breakdown.	24W1
2060	17624	YS	"SW,Sk18"	William of Percy	West Riding	`Skyrack'	Ilkley	3	geld		13W5
2080	17624	YS	"SW,Sk18"	Count of Mortain	West Riding	`Skyrack'	Adel	1.5	geld		5W2
2100	17625	YS	"SW,Sk19"	Count of Mortain	West Riding	`Skyrack'	Arthington	3.31	geld		5W1
2120	17625	YS	"SW,Sk19"	Count of Mortain	West Riding	`Skyrack'	Cookridge	3	geld		5W3
2140	17626	YS	"SW,Sk20"	Count of Mortain	West Riding	`Skyrack'	Burden [Head]	2	geld		5W4
2160	17626	YS	"SW,Sk20"	Count of Mortain	West Riding	`Skyrack'	Eccup	1	geld		5W5
2180	17627	YS	"SW,BA1"	Archbishop of York	West Riding	Barkston	Sherburn [in Elmet]	96	geld	96 with outliers: see 2B1.	2B1
2200	17628	YS	"SW,BA2"	Archbishop of York	West Riding	Barkston	Ulleskelf	12.87	geld	12.875 with outliers: see 2W6.	2W6
2220	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Clifford	6	geld		5W6
2240	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Bramham	12	geld	18 carucates in all for the Count: 5W7 gives the breakdown.	5W7
2260	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Monk [Hay Stile]	1	geld	18 carucates in all for the Count: 5W7 gives the breakdown.	5W7
2280	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Toulston	3	geld	18 carucates in all for the Count: 5W7 gives the breakdown.	5W7
2300	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Newton [Kyme]	1	geld	18 carucates in all for the Count: 5W7 gives the breakdown.	5W7
2320	17629	YS	"SW,BA3"	Count of Mortain	West Riding	Barkston	Oglethorpe [Hall]	1	geld	18 carucates in all for the Count: 5W7 gives the breakdown.	5W7
2340	17629	YS	"SW,BA3"	William of Percy	West Riding	Barkston	Hazelwood [Castle]	3	geld		13W13
2360	17630	YS	"SW,BA4"	William of Percy	West Riding	Barkston	{Saxhale}	4	geld		13W4
2380	17630	YS	"SW,BA4"	William of Percy	West Riding	Barkston	Stutton	1.5	geld		13W2
2400	17630	YS	"SW,BA4"	Osbern of Arques	West Riding	Barkston	Stutton	1.5	geld		25W28
2420	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Saxton	15.25	geld	15.25 carucates total for Saxton and 4 following places. Saxton (9W8) was 6 carucates and Grimston (9W29) 1.625 carucates; but the assessment of Stutton is not recorded and Towton does not appear in the main text.	9W8
2440	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Stutton		recorded elsewhere	15.25 carucates total for Saxton and 4 following places. Saxton (9W8) was 6 carucates and Grimston (9W29) 1.625 carucates; but the assessment of Stutton is not recorded and Towton does not appear in the main text.	-
2460	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Grimston [Grange]		recorded elsewhere	15.25 carucates total for Saxton and 4 following places. Saxton (9W8) was 6 carucates and Grimston (9W29) 1.625 carucates; but the assessment of Stutton is not recorded and Towton does not appear in the main text.	9W29
2480	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Towton		recorded elsewhere	15.25 carucates total for Saxton and 4 following places. Saxton (9W8) was 6 carucates and Grimston (9W29) 1.625 carucates; but the assessment of Stutton is not recorded and Towton does not appear in the main text.	-
2500	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Kirkby [Wharfe]		recorded elsewhere	15.25 carucates total for Saxton and 4 following places. Saxton (9W8) was 6 carucates and Grimston (9W29) 1.625 carucates; but the assessment of Stutton is not recorded and Towton does not appear in the main text.	9W30
2520	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Lead	2	geld		9W19
2540	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Burton [Hall]	3.75	geld	"3.75 carucates total for Burton, Brayton & Thorpe: 9W20 gives 3.5."	9W20
2560	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Brayton		recorded elsewhere	"3.75 carucates total for Burton, Brayton & Thorpe: 9W20 gives 3.5."	9W20
2580	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Thorpe [Willoughby]		recorded elsewhere	"3.75 carucates total for Burton, Brayton & Thorpe: 9W20 gives 3.5."	9W20
2600	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	{Hunchilhuses}	1	geld		9W21
2620	17631	YS	"SW,BA5"	Ilbert of Lacy	West Riding	Barkston	Barkston	1	geld		9W22
2640	17632	YS	"SW,BA6"	Ilbert of Lacy	West Riding	Barkston	[Church and Little] Fenton	0.37	geld		9W23
2660	17632	YS	"SW,BA6"	Ilbert of Lacy	West Riding	Barkston	Ryther	2	geld		9W24
2680	17632	YS	"SW,BA6"	Ilbert of Lacy	West Riding	Barkston	Hambleton	3	geld		9W25
2700	17633	YS	"SW,BA7"	Ilbert of Lacy	West Riding	Barkston	Birkin	1	geld		9W26
2720	17633	YS	"SW,BA7"	King William	West Riding	Barkston	Carlton	6	geld		29W1
2740	17633	YS	"SW,BA7"	Ernwin the priest	West Riding	Barkston	Camblesforth	1	geld		29W2
2760	17634	YS	"SW,BA8"	Ilbert of Lacy	West Riding	Barkston	`Newton [Wallis]'	3	geld		9W27
2780	17634	YS	"SW,BA8"	Osbern of Arques	West Riding	Barkston	Toulston	7.87	geld	"7.875 total for Toulston, Newton and Oglethorpe: see 25W29."	25W29
2800	17634	YS	"SW,BA8"	Osbern of Arques	West Riding	Barkston	Newton [Kyme]		recorded elsewhere	"7.875 total for Toulston, Newton and Oglethorpe: see 25W29."	25W29
2820	17634	YS	"SW,BA8"	Osbern of Arques	West Riding	Barkston	Oglethorpe [Hall]		recorded elsewhere	"7.875 total for Toulston, Newton and Oglethorpe: see 25W29."	25W29
2840	17634	YS	"SW,BA8"	Ilbert of Lacy	West Riding	Barkston	Grimston [Grange]	1.62	geld		9W29
2860	17634	YS	"SW,BA8"	Ilbert of Lacy	West Riding	Barkston	{Neuhuse}	2	geld		9W31
2880	17635	YS	"SW,BA9"	Ilbert of Lacy	West Riding	Barkston	Kirkby [Wharfe]	0.5	geld		9W30
2900	17635	YS	"SW,BA9"	Ilbert of Lacy	West Riding	Barkston	[North] Milford [Hall]	2	geld		9W33
2920	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Drax	5.12	geld	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2940	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	[Little] Airmyn		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2960	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Camblesforth		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2980	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Barlow		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
3000	17636	YS	"SW,BA10"	Ilbert of Lacy	West Riding	Barkston	Fairburn	2.5	geld		9W28
3020	17637	YS	"SW,BA11"	Ilbert of Lacy	West Riding	Barkston	Ledsham	2	geld		9W28
3040	17638	YS	"SW,BA12"	William of Percy	West Riding	Barkston	Tadcaster	8	geld		13W1
3060	17639	YS	"SW,BA13"	Osbern of Arques	West Riding	Barkston	Newton [Kyme]	3	geld	3 carucates with Toulston in the main text.	25W30
3080	17640	YS	"SW,Sf1"	William of Warenne	West Riding	Strafforth	Conisbrough	91.5	geld	"91 carucates, 3 bovates and 15 acres with the outliers: see 12W1 which names the dependencies and their assessments."	12W1
3100	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Laughton [en le Morthen]	9	equal	54 carucates in all for manor and dependencies: see 10W1.	10W1
3120	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Throapham	9	equal	10W1 gives the breakdown.	10W1
3140	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Dinnington	4	geld	10W1 gives the breakdown.	10W1
3160	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[South] Anston	6	geld	10W1 gives the breakdown.	10W1
3180	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[North] Anston	10	geld	10W1 gives the breakdown.	10W1
3200	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Thorpe [Salvin]	6	geld	10W1 gives the breakdown.	10W1
3220	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Wales	3.5	geld	10W1 gives the breakdown.	10W1
3240	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[Slade] Hooton	3	geld	10W1 gives the breakdown.	10W1
3260	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Newhall [Grange]	3.5	geld	10W1 gives the breakdown.	10W1
3280	17642	YS	"SW,Sf3"	Roger of Bully	West Riding	Strafforth	Wadworth	12	geld		10W2
