struct_idx	OldPhillimore	NewPhillimore
13868	C1a	C1a
13869	C1b	C1b
13870	C2	C2
13871	C3	C3
13872	C4	C4
13873	C5	C5
13874	C6	C6
13875	C7	C7
13876	C8	C8
13877	C9	C9
13878	C10	C10
13879	C11	C11
13880	C12	C12
13881	C13	C13
13882	C14	C14
13883	C15	C15
13884	C16	C16
13885	C17	C17
13886	C18	C18
13887	C19	C19
13888	C20	C20
13889	C21	C21
13890	C22	C22
13891	C23	C23
13892	C24	C24
13893	C25	C25
13894	C26	C26
13895	C27	C27
13896	C28	C28
13897	C29	C29
13898	C30	C30
13899	C31	C31
13900	C32	C32
13901	C33	C33
13902	C34	C34
13903	C35	C35
13904	C36	C36
13905	C37	C37
13906	C38	C38
13907	C39	C39
13908	C40	C40
13909	****	****
13910	****	****
13911	****	****
13912	1	1
13913	1Y1	"1,1"
13914	1Y2	"1,2"
13915	1Y3	"1,3"
13916	1Y4	"1,4"
13917	1Y5	"1,5"
13918	1Y6	"1,6"
13919	1Y7	"1,7"
13920	1Y8	"1,8"
13921	1Y9	"1,9"
13922	1Y10	"1,10"
13923	1Y11	"1,11"
13924	1Y12	"1,12"
13925	1Y13	"1,13"
13926	1Y14	"1,14"
13927	1Y15	"1,15"
13928	1Y16	"1,16"
13929	1Y17	"1,17"
13930	1Y18	"1,18"
13931	1Y19	"1,19"
13932	1N1	"1,20"
13933	1N2	"1,21"
13934	1N3	"1,23"
13935	1N4	"1,24"
13936	1N5	"1,25"
13937	1N6	"1,26"
13938	1N7	"1,27"
13939	1N8	"1,28"
13940	1N9	"1,29"
13941	1N10	"1,30"
13942	1N11	"1,31"
13943	1N12	"1,32"
13944	1N13	"1,33"
13945	1N14	"1,34"
13946	1N15	"1,35"
13947	1N16	"1,36"
13948	1N17	"1,37"
13949	1N18	"1,38"
13950	1N19	"1,39"
13951	1N20	"1,22"
13952	1N21	"1,47"
13953	1N22	"1,40"
13954	1N23	"1,41"
13955	1N24	"1,42"
13956	1N25	"1,43"
13957	1N26	"1,44"
13958	1N27	"1,45"
13959	1N28	"1,46"
13960	1N29	"1,48"
13961	1N30	"1,49"
13962	1N31	"1,50"
13963	1N32	"1,51"
13964	1N33	"1,52"
13965	1N34	"1,53"
13966	1N35	"1,54"
13967	1N36	"1,55"
13968	1N37	"1,56"
13969	1N38	"1,57"
13970	1N39	"1,58"
13971	1N40	"1,59"
13972	1N41	"1,60"
13973	1N42	"1,61"
13974	1N43	"1,62"
13975	1N44	"1,63"
13976	1N45	"1,64"
13977	1N46	"1,65"
13978	1N47	"1,66"
13979	1N48	"1,67"
13980	1N49	"1,68"
13981	1N50	"1,69"
13982	1N51	"1,70"
13983	1N52	"1,71"
13984	1N53	"1,72"
13985	1N54	"1,73"
13986	1N55	"1,74"
13987	1N56	"1,75"
13988	1N57	"1,76"
13989	1N58	"1,77"
13990	1N59	"1,78"
13991	1N60	"1,79"
13992	1N61	"1,80"
13993	1N62	"1,81"
13994	1N63	"1,82"
13995	1N64	"1,83"
13996	1N65	"1,84"
13997	1N66	"1,85"
13998	1N67	"1,86"
13999	1N68	"1,87"
14000	1N69	"1,88"
14001	1N70	"1,89"
14002	1N71	"1,90"
14003	1N72	"1,91"
14004	1N73	"1,92"
14005	1N74	"1,93"
14006	1N75	"1,94"
14007	1N76	"1,95"
14008	1N77	"1,96"
14009	1N78	"1,97"
14010	1N79	"1,98"
14011	1N80	"1,99"
14012	1N81	"1,100"
14013	1N82	"1,101"
14014	1N83	"1,102"
14015	1N84	"1,103"
14016	1N85	"1,104"
14017	1N86	"1,105"
14018	1N87	"1,106"
14019	1N88	"1,107"
14020	1N89	"1,108"
14021	1N90	"1,109"
14022	1N91	"1,110"
14023	1N92	"1,111"
14024	1N93	"1,112"
14025	1N94	"1,113"
14026	1N95	"1,114"
14027	1N96	"1,115"
14028	1N97	"1,116"
14029	1N98	"1,117"
14030	1N99	"1,118"
14031	1N100	"1,119"
14032	1N101	"1,120"
14033	1N102	"1,121"
14034	1N103	"1,122"
14035	1N104	"1,123"
14036	1N105	"1,124"
14037	1N106	"1,125"
14038	1N107	"1,126"
14039	1N108	"1,127"
14040	1N109	"1,128"
14041	1N110	"1,129"
14042	1N111	"1,130"
14043	1N112	"1,131"
14044	1N113	"1,132"
14045	1N114	"1,133"
14046	1N115	"1,134"
14047	1N116	"1,135"
14048	1N117	"1,136"
14049	1N118	"1,137"
14050	1N119	"1,138"
14051	1N120	"1,139"
14052	1N121	"1,140"
14053	1N122	"1,141"
14054	1N123	"1,142"
14055	1N124	"1,143"
14056	1N125	"1,144"
14057	1N126	"1,145"
14058	1N127	"1,146"
14059	1N128	"1,147"
14060	1N129	"1,148"
14061	1N130	"1,149"
14062	1N131	"1,150"
14063	1N132	"1,151"
14064	1N133	"1,152"
14065	1N134	"1,153"
14066	1N135	"1,154"
14067	1N136	"1,155"
14068	1N137	"1,156"
14069	1.00E+01	"1,157"
14070	1.00E+02	"1,158"
14071	1.00E+03	"1,159"
14072	1.00E+04	"1,160"
14073	1.00E+05	"1,161"
14074	1.00E+06	"1,162"
14075	1.00E+07	"1,163"
14076	1.00E+08	"1,164"
14077	1.00E+09	"1,165"
14078	1.00E+10	"1,166"
14079	1.00E+11	"1,167"
14080	1E11a	"1,168"
14081	1.00E+12	"1,169"
14082	1.00E+13	"1,170"
14083	1.00E+14	"1,171"
14084	1.00E+15	"1,172"
14085	1.00E+16	"1,173"
14086	1.00E+17	"1,174"
14087	1.00E+18	"1,175"
14088	1.00E+19	"1,176"
14089	1.00E+20	"1,177"
14090	1.00E+21	"1,178"
14091	1.00E+22	"1,179"
14092	1.00E+23	"1,180"
14093	1.00E+24	"1,181"
14094	1.00E+25	"1,182"
14095	1.00E+26	"1,183"
14096	1.00E+27	"1,184"
14097	1.00E+28	"1,185"
14098	1.00E+29	"1,186"
14099	1.00E+30	"1,187"
14100	1.00E+31	"1,188"
14101	1.00E+32	"1,189"
14102	1.00E+33	"1,190"
14103	1.00E+34	"1,191"
14104	1.00E+35	"1,192"
14105	1.00E+36	"1,193"
14106	1.00E+37	"1,194"
14107	1.00E+38	"1,195"
14108	1.00E+39	"1,196"
14109	1.00E+40	"1,197"
14110	1.00E+41	"1,198"
14111	1.00E+42	"1,199"
14112	1.00E+43	"1,200"
14113	1.00E+44	"1,201"
14114	1.00E+45	"1,202"
14115	1.00E+46	"1,203"
14116	1.00E+47	"1,204"
14117	1.00E+48	"1,205"
14118	1.00E+49	"1,206"
14119	1.00E+50	"1,207"
14120	1.00E+51	"1,208"
14121	1.00E+52	"1,209"
14122	1.00E+53	"1,210"
14123	1.00E+54	"1,211"
14124	1.00E+55	"1,212"
14125	1.00E+56	"1,213"
14126	1.00E+57	"1,214"
14127	1.00E+58	"1,215"
14128	1.00E+59	"1,216"
14129	1.00E+60	"1,217"
14130	1W1	"1,218"
14131	1W2	"1,219"
14132	1W3	"1,220"
14133	1W4	"1,221"
14134	1W5	"1,222"
14135	1W6	"1,223"
14136	1W7	"1,224"
14137	1W8	"1,225"
14138	1W9	"1,226"
