struct_idx	phillimore	county	text_type
17599	"SN,Y1"	YS	E
17600	"SN,Y2"	YS	E
17600	"SN,Y2"	YS	E
17601	"SN,Y3"	YS	E
17601	"SN,Y3"	YS	E
17601	"SN,Y3"	YS	E
17602	"SN,Y4"	YS	E
17602	"SN,Y4"	YS	E
17602	"SN,Y4"	YS	E
17603	"SN,Y5"	YS	E
17603	"SN,Y5"	YS	E
17603	"SN,Y5"	YS	E
17604	"SN,Y6"	YS	E
17604	"SN,Y6"	YS	E
17604	"SN,Y6"	YS	E
17605	"SN,Y7"	YS	E
17605	"SN,Y7"	YS	E
17605	"SN,Y7"	YS	E
17606	"SN,Y8"	YS	E
17606	"SN,Y8"	YS	E
17606	"SN,Y8"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17607	"SW,Sk1"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17608	"SW,Sk2"	YS	E
17609	"SW,Sk3"	YS	E
17609	"SW,Sk3"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17610	"SW,Sk4"	YS	E
17611	"SW,Sk5"	YS	E
17611	"SW,Sk5"	YS	E
17611	"SW,Sk5"	YS	E
17612	"SW,Sk6"	YS	E
17612	"SW,Sk6"	YS	E
17612	"SW,Sk6"	YS	E
17612	"SW,Sk6"	YS	E
17613	"SW,Sk7"	YS	E
17613	"SW,Sk7"	YS	E
17613	"SW,Sk7"	YS	E
17614	"SW,Sk8"	YS	E
17614	"SW,Sk8"	YS	E
17614	"SW,Sk8"	YS	E
17615	"SW,Sk9"	YS	E
17615	"SW,Sk9"	YS	E
17615	"SW,Sk9"	YS	E
17616	"SW,Sk10"	YS	E
17616	"SW,Sk10"	YS	E
17616	"SW,Sk10"	YS	E
17617	"SW,Sk11"	YS	E
17617	"SW,Sk11"	YS	E
17617	"SW,Sk11"	YS	E
17618	"SW,Sk12"	YS	E
17618	"SW,Sk12"	YS	E
17618	"SW,Sk12"	YS	E
17619	"SW,Sk13"	YS	E
17619	"SW,Sk13"	YS	E
17619	"SW,Sk13"	YS	E
17620	"SW,Sk14"	YS	E
17620	"SW,Sk14"	YS	E
17620	"SW,Sk14"	YS	E
17621	"SW,Sk15"	YS	E
17621	"SW,Sk15"	YS	E
17621	"SW,Sk15"	YS	E
17622	"SW,Sk16"	YS	E
17622	"SW,Sk16"	YS	E
17622	"SW,Sk16"	YS	E
17623	"SW,Sk17"	YS	E
17623	"SW,Sk17"	YS	E
17623	"SW,Sk17"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17624	"SW,Sk18"	YS	E
17625	"SW,Sk19"	YS	E
17625	"SW,Sk19"	YS	E
17626	"SW,Sk20"	YS	E
17626	"SW,Sk20"	YS	E
17627	"SW,BA1"	YS	E
17628	"SW,BA2"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17629	"SW,BA3"	YS	E
17630	"SW,BA4"	YS	E
17630	"SW,BA4"	YS	E
17630	"SW,BA4"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17631	"SW,BA5"	YS	E
17632	"SW,BA6"	YS	E
17632	"SW,BA6"	YS	E
17632	"SW,BA6"	YS	E
17633	"SW,BA7"	YS	E
17633	"SW,BA7"	YS	E
17633	"SW,BA7"	YS	E
17634	"SW,BA8"	YS	E
17634	"SW,BA8"	YS	E
17634	"SW,BA8"	YS	E
17634	"SW,BA8"	YS	E
17634	"SW,BA8"	YS	E
17634	"SW,BA8"	YS	E
17635	"SW,BA9"	YS	E
17635	"SW,BA9"	YS	E
17635	"SW,BA9"	YS	E
17635	"SW,BA9"	YS	E
17635	"SW,BA9"	YS	E
17635	"SW,BA9"	YS	E
17636	"SW,BA10"	YS	E
17637	"SW,BA11"	YS	E
17638	"SW,BA12"	YS	E
17639	"SW,BA13"	YS	E
17640	"SW,Sf1"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17641	"SW,Sf2"	YS	E
17642	"SW,Sf3"	YS	E
17642	"SW,Sf3"	YS	E
17643	"SW,Sf4"	YS	E
17643	"SW,Sf4"	YS	E
17643	"SW,Sf4"	YS	E
17643	"SW,Sf4"	YS	E
17644	"SW,Sf5"	YS	E
17644	"SW,Sf5"	YS	E
17644	"SW,Sf5"	YS	E
17645	"SW,Sf6"	YS	E
17645	"SW,Sf6"	YS	E
17646	"SW,Sf7"	YS	E
