RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 17207	09.08.1995	Notts AO EA 110/1/2	NTT	Newark	Newark-on-Trent		P	K		SK800538	126 NE		0.062	2163.79	X	Glebe exchange under CTIC auspices, between Duke of Newcastle and Rev W.F.J. Kaye, Master of Hospital of St Leonards, Newark: 236+63 sq yds.  Scale 5/8 inch to 10 ft (1:192).	02.02.1861	0.24	CTIC				M	C	P	45 X 75	CE	G				K				X - side lengths of exchanged areas.											P														A - kitchin garden.																										Y	1		Garden paths, steps to buildings, bay windows, side lengths of exchanged areas in feet and inches.  Walls by double lines.	
PRO 16470	03.03.1995	Borthwick CC /Amp.9 Hes.1	YOE	St Lawrence Heslington	York [ - ]		T	K		SE612513	63 SW		0.287	1478.78	X	Exchange under CTIC auspices: 2 X 0:0:23 [= 0:1:6].  1 inch to 33 feet.	02.02.1861	0.5	CTIC				M	C	P	66 X 56	O	G+				RK				B																																																			Y	1		Church dedication, boundary lengths in feet and inches.  Possibly our smallest yet.	
PRO 17156	28.07.1995	ERRO PE 77/60	YOE	Brandsburton	Brandesburton		T and P	K		TA119477	72 NE		0.537	4671.67	X	Glebe exchange via CTIC.  Map drawn onto corner of text, but only covers 0:2:6: the other 47:2:10 is not mapped, but includes 11:2:38 involved in 17155.	02.02.1873	3	CTIC				M	C	C	20 X 18 (map area only).	L	G				RWK															R			Y																																P					Y	1			
PRO 16778	07.06.1995	Leeds RO Armley parish 69	YOW	Armley	Armley	Leeds	T	K		SE273336	70 SW		0.632	961.03	X	Glebe exchange under CTIC auspices: 3057 square yards, not readily located.  Photocopy only: drawn direct onto deed.	02.02.1875	2					M	C	C	29 X 21 (map area only).	OC	G				RK				RX - locational distances; both in feet.																																														Y						2			
PRO 18123	28.11.1995	LAO Lind. Dep. 3/12	LIN	Barkston	Barkston		P	K		SK932415	127 SW		0.819	2118.06	X	No glebe this time: 0:2:0 + 0:1:11.  Usual CTIC job.	02.02.1857	0.875	CTIC				M	C	C	101 X 45	OC	G				RKP - `barkston' in title infilled grey.							Q - + rock ornament.														Y																																		Y	1		North Lodge, Boundary Stone (pictorial), Mere, Beginning and End of Cutting.	
PRO 15475	09.09.1994	Lancs RO PR 280	LNC	Halsall	Halsall		T	K		SD371102	83 NE		0.881	6994.79	X	Exchange, under CTIC auspices.  2 x 0:1:31.  Map drawn direct on deed.	02.02.1860	3	CTIC				M	C	C	35 X 19	L	G				RWK				F														Y																														R					R			2		A few fence lengths, in links.  Areas 2295-6, 2431a, 2432-5 on tithe map.	
PRO 15394	23.08.1994	Denbigh RO QSD/DE/31	DEN	Minera	Minera		-	E		SJ269520	121 NE		1	17958.15	X	Enclosure by agreement, not in Chapman, of about 1 acre, not locatable on OS.  [OSA is for Wrexham parish.]	02.02.1768	1			A		M	A	C	20 X 20 (map area only).	X	G-				B - grey.																			P																												L									1			
PRO 15476	09.09.1994	Lancs RO DDM 41/20	LNC	Lidiate	Lydiate		M	E		SD363057	83		1	1995.40	X	Deed in respect of lands taken from waste for which a quit-rent is payable; about 1 acre.  Not placeable on NS-2.  CAT = T on OS 6-inch 1st edition.	02.02.1790	2			A		M	A	C	18 X 13 (map area only).	O	G																						Y																						Y																1		Mr Hird's House.	
PRO 15477	09.09.1994	Lancs RO DDM 38/71	LNC	Litherland	Litherland		-	E		SJ341976	83 SE		1	1204.93	X	Enclosure of land, about 17 x 20 yds, adjoining green; not in Tate & Turner, and a bit marginal even for us.  Scale 1 inch to 10 yards.  CAT = T on OS 6-inch 1st edition.	02.02.1791	0.455			A		M	A	C	17 X 15 (map area only).	O	G								F																																											L									1		Side lengths in yards, steps to building.	
PRO 13811	09.12.1993	GHL M.455/PAN	LON	St Pancrass Soper Lane	St Pancras		P	P		TQ325811	L.62.SE.2		1.172	1.17	Y		01.01.1791	0.208333333	Richd Wooding, Architect & Surveyor, Princes St, Spittal Fields				M	X	C	60 X 45	X	G				BRX - site of church, vignetted blue-grey; small wedge of blue, in this parish, belonging to house in adjoining parish, see reference.																																																		Y				XRQX - Title has roccoco surround with drapes, all tinted pale blue, with coloured flowers at bottom.  Reference to parish property, &c, is on scroll, with pins.		1	Drapes, flowers: in title.	Site of church before great fire; several yards.  Reference explains colours and numbering, and names churchwardens.  House numbers.  Attested before a Middlesex J.P.	
