Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	AMPTHILL	BEDFORDSHIRE	England	5037	2382						"In the 1334 lay subsidy, Ampthill and Millbrook, Bedfordshire (q.v.) were valued together at £159. (Glasscock, p. 3) "	Y	"Everitt, p. 174"	"VCH Bedfordshire, iii, p. 268"	GO	Thurs	1		mercatum		1219	29-Jan	K Hen III		Nicholas Poinz and Johanna his wife		C 60/11 m.9						"To be held at the manor. Mandate to the sh of Bedfordshire. (C 60/11 m.9) Nova Oblata: they owed 5m.. (PR, 3 Hen III, p. 58) It is possible that this Johanna was the same woman as the Joan de Albiniaco who was granted the market below in 1242. (VCH Bedfordshire, iii, p. 211 n. 47)"	GC	Thurs	1				1242	06-May	K Hen III		Joan de Albiniaco		"CChR, 1226-57, p. 274"						"To be held at the manor. (CChR, 1226-57, p. 274) Market held by Peter de Sancta Cruce and Almaricus de Sancto Amando (who was under age and in the king's custody), heirs of Joan Albiniaco, recorded in 1330. (QW, p. 66) Mandate to the justices in eyre to permit Eleanor de Keynes to hold her Thurs market at the town as was the custom, notwithstanding the eyre, dated 11 Jul 1330. Eleanor held the town at farm from the king on account of the minority of the heir of John de Sancto Amando, deceased. (CCR, 1330-33, p. 145) Thurs market continued in the twentieth century. (VCH Bedfordshire, iii, p. 268)"																				Y	GC	vfm	Mary Magdalene	22-Jul	3				1242	06-May	K Hen III		Joan de Albiniaco		"CChR, 1226-57, p. 274"						"To be held at the manor. (CChR, 1226-57, p. 274) In 1330, the fair was held by Peter de Sancta Cruce and Almaricus de Sancto Amando (who was under age and in the king's custody), heirs of Joan Albiniaco. (QW, p. 66) "																																											"23 Apr (Harrison, p. 393)"	
2	ARLESEY	BEDFORDSHIRE	England	5192	2375					131.5				"VCH Bedfordshire, ii, p. 263"	P		1	1086	mercatum								"Darby, p. 369"						The market was worth 10s..	GC	Wed	1				1270	03-Aug	K Hen III		Stephen de Eddeworth		"CChR, 1257-1300, p. 149"						"To be held at the manor. (CChR, 1257-1300, p. 149) There is no evidence of the market after the thirteenth century. (VCH Bedfordshire, ii, p. 263)"																				Y	GC	vfm	Peter and Paul	29-Jun	3				1270	03-Aug	K Hen III		Stephen de Eddeworth		"CChR, 1257-1300, p. 149"						"To be held at the manor. (CChR, 1257-1300, p. 149) There is no evidence of the fair after the thirteenth century. (VCH Bedfordshire, ii, p. 263)"																																												
3	ASPLEY GUISE	BEDFORDSHIRE	England	4942	2363					64.06					GC	Fri	1				1267	20-Apr	K Hen III		Anselm de Gyse		"CChR, 1257-1300, p. 74"						"To be held at the manor. (CChR, 1257-1300, p. 74) Market held by John de Gyse recorded in 1330. (QW, p. 38)"																																							Y	GC	vf+2	Botolph	17-Jun	4				1267	20-Apr	K Hen III		Anselm de Gyse		"CChR, 1257-1300, p. 74"						"To be held at the manor. (CChR, 1257-1300, p. 74) Fair held by John de Gyse recorded in 1330. (QW, p. 38) "																																												
4	BEADLOW	BEDFORDSHIRE	England	5105	2385									"Beadlow (Beaulieu) priory eschated to the Crown in 1434, after which the buildings decayed. Beadlow is the modern name for Beaulieu. (A. Mawer and F.M. Stenton, 'The Place Names of Bedfordshire and Huntingdonshire' (Cambridge, 1926) p. 147; VCH Bedfordshire, i, p. 351)"																																																										Y	GC	vfm	James	25-Jul	3				1293	28-Nov	K Edw I		P and C of Beaulieu		"CChR, 1257-1300 p. 432"						"To be held at the manor. (CChR, 1257-1300, p. 432) Fair held by the P of Beaulieu recorded in 1330. (QW, p. 26)"																																												
5	BEDFORD	BEDFORDSHIRE	England	5049	2497	Y	915	"BF, p. 65"	Edmund/Edgar-1154	195.79	"K Edw the Elder obtained the borough in 915. Borough in Domesday Book. (BF, p. 65; Darby, p. 364)"	Y	"Everitt, p. 174"	"VCH Bedfordshire, iii, p. 21"	PB PM		1	25 Apr 1225	mercatum	K Hen III							"RLC, ii, p. 26"						"Market was alleged to be damaged by that at Shefford, Bedfordshire (q.v.). The profits of the market were 20s. 4d. in the mid fifteenth century. (VCH Bedfordshire, iii, p. 21) "																																																																																																							"24 Jun; 1 Aug; 10 Aug; 21 Sept (Harrison, pp. 394-6)"	
6	BIGGLESWADE	BEDFORDSHIRE	England	5182	2446	Y	1247	"BF, p. 65"		83.41		Y	"Everitt, p. 174"		GO		1	gr 1199x22 Nov 1214			9		K John		H bp of Lincoln		"RLC, i, p. 179b"						"The text of this grant does not survive. The grant was presumably that referred to in the notice to the sh of Lincolnshire on 22 Nov 1214, which stated that the king had granted to H bp of Lincoln and his successors the right to have a market once a week on all of their manors, where they wished, without damaging neighboring markets. (RLC, i, p. 179b) K Hen III granted the market to Hugh bp of Lincoln on 30 Apr 1227, as it had been granted by K John, to be held freely and without interruption. (CChR, 1226-57, p. 33) K Hen III granted the market to Hugh bp of Lincoln on 15 May 1229, as it had been granted by K John. (CChR, 1226-57, p. 105) Mandate to the sh of Bedfordshire to restore to R. bp of Lincoln the market, which had been taken into the King's hands, 5 May 1251. (CR, 1247-51, p. 438) Market held by Oliver, bp of Lincoln recorded in 1287; Mon market held by Henry, bp of Lincoln recorded in 1330. (QW, pp. 13, 42) Mandate to the justices in eyre to permit Henry, bp of Lincoln to hold his Mon market as he was accustomed, notwithstanding the eyre, 26 Jun 1330. (CCR, 1330-33, p. 144)"																																							Y	P	f	Assumption of Mary	15-Aug		feria	20 Jul 1229	H. bp of Lincoln							"CR, 1227-31, p. 193"						"On 20 Jul 1229, the date of the feast was changed from Assumption of Mary to Exaltation of Holy Cross (14 Sept). The fair was held at the manor. Mandate to the sh of Bedfordshire to proclaim the fair and cause it to be held. (CR, 1227-31, p. 193) Fair held by Oliver, bp of Lincoln recorded in 1287; fair held on vf Exaltation of Holy Cross held by Henry, bp of Lincoln recorded in 1330. (QW, pp. 13, 42) "																																											"2 Feb; 9 Apr; Mon in Whit week; 22 Jul, 23 Oct. (Harrison, pp. 392-6)"	
7	BLUNHAM	BEDFORDSHIRE	England	5153	2511					74.75				"VCH Bedfordshire, iii, p. 229"	GC	Wed	1				1314	17-Jul	K Edw II		John de Hastynges		"CChR, 1300-26, p. 239"						"To be held at the manor. (CChR, 1300-26, p. 239) The latest evidence for the market dates from the fourteenth century. (VCH Bedfordshire, iii, p. 229)"																																							Y	GC	vfm	James	25-Jul	3				1314	17-Jul	K Edw II		John de Hastynges		"CChR, 1300-26, p. 239"						"To be held at the manor. (CChR, 1300-26, p. 239) The latest evidence for the fair dates from the fourteenth century. (VCH Bedfordshire, iii, p. 229)"																																												
8	CAMPTON	BEDFORDSHIRE	England	5130	2381						"In the 1334 Lay Subsidy, Campton was valued with Shefford at £107.50."				GL 	Fri	1		mercatum		1215	23-Jul	K John		Henry fitz Gerold		"RLC, i, p. 222"						"To be held at the manor. Mandate to the sh of Bedfordshire to cause him to have it. (RLC, i, p. 222) The grant to Henry fitz Gerold is mentioned in the Pipe roll of 1230. (PR, 14 Hen III, p. 125)"																																							Y	GL	f+1	Michael	29-Sep	2	feria			1215	23-Jul	K John		Henry fitz Gerold		"RLC, i, p. 222"						To be held at the manor. Mandate to the sh of Bedfordshire to cause him to have it.																																												
9	DUNSTABLE	BEDFORDSHIRE	England	5022	2219	Y	c.1114	"BF, p. 66"		211.62	"Established by K Hen I c.1114. (BF, p. 66)"	Y	"Everitt, p. 174"		PB		1	1131x33		Ca of St Peter of Dunstable							"Regesta, ii, no. 1827"						"Between 1131x33, K Hen I issued a general notification of his grant of Dunstable with its market and other liberties to the Ca of St Peter of Dunstable. (Regesta, ii, no. 1827) In 1287, the P of Dunstable held Wed and Sat markets, which he claimed by right of a charter granted by K Ric I on 3 Jul 1190. (QW, p. 14)"																																							Y	P						1189	Ca of Dunstable							"Monasticon, vi, part i, p. 405"						"In 1189, K Ric I granted a fair at Royston, Hertfordshire (q.v.) for the week on Pentecost (Easter Dep) to Royston priory, which included all the customs of the fairs of the Ca of Dunstable. (Monasticon, vi, part i, p. 405) In 1287, the P of Dunstable claimed a fair (feria) on the f Peter ad Vincula (1 Aug) from time immemorial. (QW, pp. 72-3)"	GC	10 May+2	10-May	10-May	3				1203	01-Jul	K John		P and Ca of Dunstable		"RCh, p. 107"						"To be held at the vill. (RCh, p. 107) The P of Dunstable was holding the fair in 1286 and 1330. (QW, pp. 14, 73)"																						"9 May; 1 Aug (Harrison, pp. 394-5)"	
26	EATON SOCON	BEDFORDSHIRE	England	5170	2589					159				"VCH Bedfordshire, iii, p. 199"	GC	Wed	1	gr 1227x72	mercatum		9		K Hen III		William de Bello Campo		"QW, p. 51"						"In 1330, Roger de Bello Campo claimed a Wed market by charter of K Hen III. It was stated that while the market had been active immediately after the grant, during Roger de Bello Campo's time it had been discontinued because none came to buy."																																							Y	GC	vfm	Peter and Paul	29-Jun	3	feria	gr 1227x72		9		K Hen III		William de Bello Campo		"QW, p. 51"						"In 1330, Roger de Bello Campo claimed the fair on vfm Peter and Paul by charter of K Hen III. It was stated that while the fair had been active immediately after the grant, during Roger de Bello Campo's time it had been discontinued because none came to buy."																																												
