Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
10	ABINGDON	BERKSHIRE	England	4497	1972	Y	1225	"BF, p. 67"		268.97	"Benedictine abbey from the seventh century, refounded in the tenth. In 1086, Domesday Book notes ten traders ('mercatores') in front of the church door, owing 40d.. (Darby, p. 369)"	Y	"Everitt, p. 473"	"VCH Berkshire, iv, pp. 437-41"	PB		1	1127		"ch, A Vincent and M of Abingdon"							"Regesta, ii, no. 1478"						"K Hen I notified the bp of Salisbury and the sh of Berkshire that he had confirmed the market at Abingdon to the ch of Abingdon, A Vincent and the M. (Regesta, ii, no. 1478) Abingdon Abbey had an earlier and more general right to hold markets in connection with shipping on the river Thames: between 1107 and 1110 K Hen I commanded that the church and monks should have their customs in passing boats, namely in receiving herring (presumably as toll) and in making markets (in mercatis faciendis), as in the time of Edward the Confessor, Wil I and Wil II (Regesta, ii, no. 937). In 1139x54, K Steph confirmed the market to the ch of Abingdon, A Ingulfus and the M. (Regesta, iii, no. 5) Between Jan-Mar 1159, K Hen II gave notification that the A of Abingdon was to hold the market as in the time of K Hen I. (C.F. Slade and G. Lambrick ed., 'Two Cartularies of Abingdon Abbey', Oxford Historical Society, new series, xxxii, (Oxford, 1990), i, p. 61) A long-running dispute with the men of Wallingford, Berkshire (q.v.) is evidenced between 1159-1189. It was alleged that the A of Abingdon had enlarged his market, which during the reign of K Hen I had sold just bread and ale. K Hen II eventually decided that Abingdon had the right to hold a market. (J. Stevenson ed., 'Chronicon Monasterii de Abingdon', Rolls Series, ii, (London, 1858), ii, pp. 227-9) "																																							Y	P					nundinae	29 Aug 1249								"CR, 1247-51, p. 198"							GC	vfm+5	Trans of Edmund	09-Jun	8				1290	08-Jun	K Edw I		A and C of Abingdon		"CChR, 1257-1300, p. 353"						"To be held at their chapel of St Edmund the bishop in the town of Abingdon. (CChR, 1257-1300, p. 353)"																						"Ash Wednesday (Harrison, p. 393)"	
11	ALDERMASTON	BERKSHIRE	England	4596	1650	Y	1299	"BF, p. 67"		110	"The manor passed from the Achard family to the de la Mare family c.1361. (VCH Berkshire, iii, pp. 388-9)"			"VCH Berkshire, iii, p. 388"	GC	Fri	1				1292	11-Sep	K Edw I		Robert Achard		"CChR, 1257-1300, p. 424"						"To be held at the manor. (CChR, 1257-1300, p. 424) On 10 May 1403, K Hen IV inspected and confirmed the charter of K Edw I granting a market to Robert Achard. It was confirmed to Thomas de la Mare, kinsman and heir of Robert Achard. (CPR, 1401-5, p. 223) The market was held until the nineteenth century. (VCH Berkshire, iii, p. 388)"																																							Y	GC	vfm	Trans of Thomas the Martyr	07-Jul	3				1292	11-Sep	K Edw I		Robert Achard		"CChR, 1257-1300, p. 424"						"To be held at the manor. (CChR, 1257-1300, p. 424) On 10 May 1403, K Hen IV inspected and confirmed the charter of K Edw I granting a fair to Robert Achard. It was confirmed to Thomas de la Mare, kinsman and heir of Robert Achard. (CPR, 1401-5, p. 223) Fair held until the nineteenth century. (VCH Berkshire, iii, p. 388)"																																												
14	BASILDON	BERKSHIRE	England	4612	1793					101.42				"VCH Berkshire, iii, p. 458"	GC	Mon	1				1309	22-Jun	K Edw II		Thomas le Botiller		"CChR, 1300-26, p. 129"						To be held at the manor. 																																							Y	GC	vfm	Barnabas	11-Jun	3				1309	22-Jun	K Edw II		Thomas le Botiller		"CChR, 1300-26, p. 129"						To be held at the manor. 																																												"A market and fair held at the manor are mentioned in the eighteenth century. (VCH Berkshire, iii, p. 458) It is not clear whether this is the same market and fair."
28	BAULKING	BERKSHIRE	England	4317	1906					68.69	"VCH Berkshire, iv, p. 544"				GL	Thurs	1		mercatum		1218	23-Sep	K Hen III		Henry son of Gerold		"RLC, i, p. 370"						"Mandate to the sh of Berkshire to cause Henry son of Gerold to have the market. (RLC, i, p. 370) Mandate to the sh of Berkshire that the day of Henry son of Gerold's market was henceforth to be changed from Thurs to Tues, dated 18 Jan 1219. (RLC, i, p. 386)"	GC	Tues	1		mercatum		1254	15-Jun	K Hen III		Warin son of Gerold		"Roles Gascons, 1242-54, no. 3799; CPR, 1247-58, p. 307"						To be held at the manor. 																				Y	GC	vfm	Trans of Nicholas in May	09-May	3	feria			1254	15-Jun	K Hen III		Warin son of Gerold		"Roles Gascons, 1242-54, no. 3799; CPR, 1247-58, p. 307"						To be held at the manor. 																																												
22	BRAY	BERKSHIRE	England	4902	1796	Y	1225	"BF, p. 67"		165.59	"Beresford identifies Bray as a borough, but the evidence for its urban status is slight."				PB																		No further information for the market.																																																																																																								
13	CATMORE	BERKSHIRE	England	4453	1803					22.5				"VCH Berkshire, iv, pp. 9-10"	GC	Mon	1				1306	16-Oct	K Edw I		Rogo Gascelyn		"CChR, 1300-26, p. 70"						To be held at the manor. 																																							Y	GC	vfm	Margaret	20-Jul	3				1306	16-Oct	K Edw I		Rogo Gascelyn		"CChR, 1300-26, p. 70"						"To be held at the manor. (CChR, 1300-26, p. 70) The fair had fallen into disuse by the late eighteenth century. (VCH Berkshire, iv, p. 9)"																																												
16	COOKHAM	BERKSHIRE	England	4896	1855	Y	1225	"BF, p. 67"		136	"An important early estate centre and minster belonging to the Archbishop of Canterbury as described as 'urbs' in the 490s. (N. Brooks, 'The Early History of the Church of Canterbury', (Leicester, 1984), pp. 103-4; J. Blair, 'The minsters of the Thames' in J. Blair and B. Golding eds., 'The Cloister and the World', (Oxford, 1996), pp. 5-28)"			"VCH Berkshire, iii, p. 125"	PB		1	1086	mercatum								"Darby, p. 369"						"Of the new market ... 20s.. (Darby, p. 369)"																																																																																																								"VCH states that fairs were held on 16 May and 11 Oct, but gives no dates for their operation, other than that they fell into disuse in the nineteenth century. (VCH Berkshire, iii, p. 125) "
12	EAST GARSTON	BERKSHIRE	England	4361	1771					75.55				"VCH Berkshire, iv, p. 248"	GC	Fri	1				1238		K Hen III		Henry de Turberville		"VCH Berkshire, iv, p. 248"						There is no subsequent evidence for the market. 																																							Y	GC	vfm	All Saints	01-Nov	3				1238		K Hen III		Henry de Turberville		"VCH Berkshire, iv, p. 248"						There is no subsequent evidence for the fair. 																																												
34	EAST HENDRED	BERKSHIRE	England	4460	1888					85.35	"East Hendred was transferred from Berkshire to Oxfordshire in 1974. (Guide, i, p. 19)"				GO		1	1413x22			9		K Hen V		P of Sheen		"VCH Berkshire, iv, p. 294"						The day of the weekly market granted by K Hen V to the P of Sheen is not given by VCH. The market never flourished.																																							Y	GO						1413x22		9		K Hen V		P of Sheen		"VCH Berkshire, iv, p. 294"						Details of the fair granted by K Hen V to the P of Sheen are not given by VCH.	GO						1413x22		9		K Hen V		P of Sheen		"VCH Berkshire, iv, p. 294"						Details of the fair granted by K Hen V to the P of Sheen are not given by VCH.																							
33	EAST ILSLEY	BERKSHIRE	England	4489	1812						"By the mid thirteenth century, the manor had passed from Sewat de Osevill to Ralph de St Amand, father of Amaury de St Amand. East Ilsely was also known as Chipping Ilsley in the late thirteenth and fifteenth centuries and as Market Ilsley in the mid seventeenth century. (VCH Berkshire, iv, pp. 1, 25, 28, 242-3; M. Gelling ed., 'The Place Names of Berkshire', ii, (Cambridge, 1974), p. 503)"	Y	"Everitt, p. 473"	"VCH Berkshire, iv, pp. 1, 25, 28, 242-3 "	GO	Tues	1		mercatum		1222	17-Mar	K Hen III		Sewat de Osevill		C 60/16 m.6						"Sewat gave one palfrey for the market at 'Hildest', to be held until the king came of age. (C 60/16 m.6) In 1276, Almeric de Sancto Amando claimed a Tues market by charter of K Hen III. The market was alleged to be damaging the king's market at Wallingford, Berkshire (q.v.). (RH, i, p. 18)"																																																																																																								
