Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	AMERSHAM	BUCKINGHAMSHIRE	England	4958	1973	Y	1227	"BF, p. 70"		77.5		Y	"Everitt, p. 175"		GC	Fri	1		mercatum		1200	18-Jul	K John		"Geoffrey fitz Peter, earl of Essex"		"RCh, p. 73b"						"Cancelled. (RCh, p. 73b) Granted again on 9 Apr 1201. (RCh, p. 92b)"																																							Y	GC	vf	Nativity of Mary	08-Sep	2	feria			1200	18-Jul	K John		"Geoffrey fitz Peter, earl of Essex"		"RCh, p. 73b"						"Cancelled. (RCh, p. 73b) Granted again on 9 Apr 1201. (RCh, p. 92b)"																																												
2	AYLESBURY	BUCKINGHAMSHIRE	England	4817	2139	Y	1227	"BF, p. 70"	c.979-1066	126.67	"An important centre, probably from the seventh century and a royal estate from 971 to 1204. Succeeded Buckingham (q.v.) as county town by the thirteenth century."	Y	"Everitt, p. 175"	"VCH Buckinghamshire, iii, pp. 2-11"	PB PM		1	1086									"BF, p. 70"						Toll worth £10 recorded in Domesday Book.																																							Y	P						1227								"J.G. Jenkins ed., 'Calendar of the Roll of the Justices in Eyre, 1227', Records Branch of the Buckinghamshire Archaeological Society, (Bedford, 1945), vi, no. 597 "						"Feast not given. The grant of 1239 (below) mentions the 'old fair ... on the feast of St Osyth in the Summer' (3 Jun) which was to be retained. (CChR, 1226-57, p. 243) It is possible that it was this 3 Jun fair that was recorded in 1227."	GC	f+3	Osyth	07-Oct	4				1239	30-May	K Hen III		John fitz Geoffrey		"CChR, 1226-57, p. 243"						To be held at the manor.																							
3	BEACONSFIELD	BUCKINGHAMSHIRE	England	4945	1900					50	"Burnham abbey was founded by Richard, K of Almain and earl of Cornwall in 1266. Richard was the younger brother of K Hen III. The town of Beaconsfield was a member of the manor of Burnham, Buckinghamshire (q.v.) which Richard granted to the abbey. (Medieval Religious Houses, p. 279; CChR, 1341-1417, p. 467)"	Y	"Everitt, p. 175"		GC	Tues	1				1255	06-Feb	K Hen III		"Richard, earl of Cornwall"		"CChR, 1226-57, p. 441"						To be held at the manor of Beaconsfield.																																							Y	GC	vf+6	Ascension		8				1269	10-May	K Hen III		As and N of Burnham		"CChR, 1257-1300, p. 122"						"On 23 Apr 1414, it was stated that the As and C of Burnham had held the fair on vf Ascension at Beaconsfield from time immemorial, without any grant from any King. K Hen V therefore granted the As and C of Burnham the fair on vf Ascension. (CChR, 1341-1417, p. 467) In view of the 1269 grant, this appears to have been a misconception regarding the origin of the fair."																																												
40	BIDDLESDEN	BUCKINGHAMSHIRE	England	4631	2402										GC	Mon	1				1314	10-Feb	K Edw II		A and C of Biddlesden		"CChR, 1300-26, p. 247"						To be held at the manor.																																							Y	GC	vf+6	Margaret	20-Jul	8				1314	10-Feb	K Edw II		A and C of Biddlesden		"CChR, 1300-26, p. 247"						To be held at the manor.																																												
23	BRILL	BUCKINGHAMSHIRE	England	4657	2138	Y	1227	"BF, p. 70"		80					PB		1	3 Aug 1252		lord of the manor of Brill							"H.E. Slater ed., 'Boarstall Cartulary', Oxford Historical Society, 88 (Oxford, 1930) no. 608)"						"In an extent of the manor of Brill on 3 Aug 1252, the market and fair were worth 36s.. In 1314-17, receipts from the market are recorded. (H.E. Slater ed., 'Boarstall Cartulary', Oxford Historical Society, 88 (Oxford, 1930) nos. 608, 629)"																																							Y	P					nundinas	3 Aug 1252	lord of the manor of Brill							"H.E. Slater ed., 'Boarstall Cartulary', Oxford Historical Society, 88 (Oxford, 1930) no. 608"						"In an extent of the manor of Brill on 3 Aug 1252, the fair and market were worth 36s.. In 1314-17, receipts from the fair of Peter ad Vincula (1 Aug) are recorded. Presumably, this was the same fair as that recorded in 1252. (H.E. Slater ed., 'Boarstall Cartulary', Oxford Historical Society, 88 (Oxford, 1930) nos. 608, 629)"	GC	vfm	Trans of Thomas the Martyr	07-Jul	3				1347	30-May	K Edw III		John de Moleyns		"CChR, 1341-1417, p. 55"						To be held at the manor. 																							
5	BUCKINGHAM	BUCKINGHAMSHIRE	England	4694	2338	Y	914	"BF, p. 70"	Edmund/Edgar-1066	60	"Borough in Domesday Book. (Darby, p. 364) Buckingham, the original county town, subsequently gave way to Aylesbury, Buckinghamshire (q.v.) in the thirteenth century."	Y	"Everitt, p. 175"		PB PM			18 Mar 1305		"Giles de Brewosa, lately deceased"							"CIPM, iv, no. 317"																																													Y	P				2	feria	18 Mar 1305	"Giles de Brewosa, lately deceased"							"CIPM, iv, no. 317"																																																		
24	BURNHAM	BUCKINGHAMSHIRE	England	4931	1823					120	"Burnham abbey was founded by Richard, K of Almain and earl of Cornwall in 1266. Richard was the younger brother of K Hen III. Richard granted the manor of Burnham, of which Beaconsfield, Buckinghamshire (q.v.) was a member, to the abbey. (Medieval Religious Houses, p. 279; CChR, 1341-1417, p. 467)"				GC	Thurs	1				1271	29-Jul	K Hen III		As and C of Burnham		"CChR, 1257-1300, p. 175"						"To be held at the manor. (CChR, 1257-1300, p. 175) On 23 Apr 1414, K Hen V granted the Thurs market to the As and C of Burnham and their successors since the As and C of Burnham and their predecessors had had a Thurs market at Burnham granted to them by his great-grandfather ('proavus noster': K Edw III, but identified in the CChR as K Edw II). No other record of such a grant by either king is known. (CChR, 1341-1417, p. 467) "																																							Y	GC	vfm	Matthew	21-Sep	3				1271	29-Jul	K Hen III		As and C of Burnham		"CChR, 1257-1300, p. 175"						"To be held at the manor. (CChR, 1257-1300, p. 175) On 23 Apr 1414, K Hen V granted a fair on vfm Matthias the apostle (24 Feb) to the As and C of Burnham and their successors since the As and C of Burnham and their predecessors had had a fair on vfm Matthias the apostle (24 Feb) at Burnham granted to them by his great-grandfather ('proavus noster': K Edw III, but identified in the CChR as K Edw II). No other record of such a grant by either king is known. (CChR, 1341-1417, p. 467) It seems likely that this was a scribal error, mistaking Matthias for Matthew, as opposed to the As and C having two fairs."																																												
41	CHALFONT ST PETER	BUCKINGHAMSHIRE	England	5002	1908					52.5				"VCH Buckinghamshire, iii, p. 195"	GL	Wed	1				1229	23-Apr	K Hen III		Ranulf Briton		"CR, 1227-31, p. 169"						To be held at the manor. Mandate to the sh of Buckinghamshire to proclaim the market and cause it to be held.																																							Y	GL	vf	Peter and Paul	29-Jun	2				1229	23-Apr	K Hen III		Ranulf Briton		"CR, 1227-31, p. 169"						To be held at the manor. Mandate to the sh of Buckinghamshire to proclaim the fair and cause it to be held.																																												
21	CHESHAM	BUCKINGHAMSHIRE	England	4957	2015					105					GC	Wed	1				1257	15-Sep	K Hen III		"Hugh de Vere, earl of Oxford"		"CChR, 1226-57, p. 475"						"To be held at the manor. (CChR, 1226-57, p. 475) Market held by Robert de Veer, earl of Oxford, on 7 Sept 1296. (CIPM, iii, no. 367)"																																							Y	GC	vfm	Assumption	15-Aug	3				1257	15-Sep	K Hen III		"Hugh de Vere, earl of Oxford"		"CChR, 1226-57, p. 475"						To be held at the manor.																																												
25	CHETWOOD	BUCKINGHAMSHIRE	England	4641	2298					30																																																														Y	GC	vfm	Nativity of Mary	08-Sep	3				1290	11-Aug	K Edw I		P and C of Chetwood		"CChR, 1257-1300, p. 370"						To be held at the priory.																																												
41	DATCHET	BUCKINGHAMSHIRE	England	4988	1772					55																																																														Y	GC	vfm	Assumption of Mary	15-Aug	3				1335	24-Sep	K Edw III		John de Molyns		"CChR, 1327-41, p. 342"						To be held at the manor.																																												
6	DENHAM	BUCKINGHAMSHIRE	England	5043	1870					40	"First recorded as a borough in 1556. (BF, supplement, p. 61)"				GC	Mon	1				1227	16-Mar	K Hen III		Henry de Capella		"CChR, 1226-57, p. 22"						"Letter to sh of Buckinghamshire regarding the market dated 10 Apr 1227. (RLC, ii, p. 181b)"																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1227	16-Mar	K Hen III		Henry de Capella		"CChR, 1226-57, p. 22"						"Letter to sh of Buckinghamshire regarding the fair dated 10 Apr 1227. (RLC, ii, p. 181b)"																																												
36	ETON	BUCKINGHAMSHIRE	England	4966	1775	Y	1217	"BF, supplement, p. 61"		82.5					GC	Wed	1				1452	20-Jun	K Hen VI		provost and royal college of St Mary of Eton by Windsor		"CChR, 1427-1516, p. 117"						To be held in a place assigned by the provost or the college.																																							Y	GC	three weekly and workable days next after Ash Wed	Ash Wed		3				1443	24-Dec	K Hen VI		"provost and king's college of St Mary, Eton by Windsor"		"CChR, 1427-1516, p. 39"						To be held on their land called 'Michelmylwardeshey'.	GC	three weekly and workable days next after the Assumption	15-Aug	15-Aug	3				1443	24-Dec	K Hen VI		"provost and king's college of St Mary, Eton by Windsor"		"CChR, 1427-1516, p. 39"						To be held on their land called 'Michelmylwardeshey'.																							
7	FENNY STRATFORD	BUCKINGHAMSHIRE	England	4883	2341	Y	1370	"BF, p. 71"			"The Caux family held an interest in Fenny Stratford from 1212. By 1235, the manor had passed to the Grey family. (VCH Buckinghamshire, iv, p. 278)"			"VCH Buckinghamshire, iv, p. 276"	GO	Mon	1				1204		[not given]		Roger de Caux		"VCH Buckinghamshire, iv, p. 276"						"VCH does not provide the name of the grantee; presumably, it was K John. (VCH Buckinghamshire, iv, p. 276) Mon market mentioned in 1323, in an inquisition into the lands of the recently deceased John de Grey. (CIPM, vi, no. 517)"																																							Y	GC	vf+6	Nativity of the Virgin	08-Sep	8				1252	16-Dec	K Hen III		John de Grey		"CChR, 1226-57, p. 412"						To be held at the manor.																																												
35	GREAT HORWOOD	BUCKINGHAMSHIRE	England	4771	2312					70					GC	Wed	1				1447	03-Jul	K Hen VI		"Nicholas Oselbury, the warden, and the scholars of the college of St Mary of Winchester in Oxford (New College)"		"CChR, 1427-1516, p. 72"						To be held in the town.																																							Y	GC	vfm	James the Apostle	25-Jul	3				1447	03-Jul	K Hen VI		"Nicholas Oselbury, the warden, and the scholars of the college of St Mary of Winchester in Oxford (New College)"		"CChR, 1427-1516, p. 72"																																																		
13	GREAT MARLOW	BUCKINGHAMSHIRE	England	4852	1863	Y	1183	"BF, p. 71"		23.33	"Described as 'Chepyng Merlawe' from 1304. Great Marlow belonged to the Clare family from 1217. On the death of Gilbert de Clare, earl of Gloucester and Hertford without issue in 1314, Great Marlow passed to Hugh le Despenser junior. (VCH Buckinghamshire, iii, p. 70)"	Y	"Everitt, p. 175"		PB		1	1227		earl of Gloucester							"J.G. Jenkins ed., 'Calendar of the Roll of the Justices on Eyre, 1227', The Records Branch of the Buckinghamshire Archaeological Society, (Bedford, 1942), vi, p. 53 "						"Market mentioned in a case in 1228, which implies that trading had taken place there for some time. (CRR, xiii, no. 740) In 1284x86, the countess of Gloucester held a market (the day of which was not given) at Marlow, by reason of her dower from the earl of Gloucester. (FA, i, p. 76) A market at Great Marlow, the day of which was not given, was mentioned in 1307, amongst the property of the recently deceased Joan, wife of Gilbert de Clare, earl of Gloucester and Hertford. (CIPM, iv, p. 316) An unspecified market was recorded on 18 Nov 1376, held by the recently deceased Edward le Despenser, kn. (CIPM, xiv, p. 216)"																																							Y	P	Wed in Whit week	Whit week				1307	"Joan, wife of Gilbert de Clare, earl of Gloucester and Hertford."							"CIPM, iv, p. 316"						"The fair was amongst the property of the recently deceased Joan, wife of Gilbert de Clare, earl of Gloucester and Hertford. (CIPM, iv, p. 316) On 10 Jun 1325, K Edw II granted an extension of the fair to Wed+2 Whit week to Hugh le Despenser, the younger. (CChR, 1300-26, p. 477) "	P	f	Luke	18-Oct	1		1307	"Joan, wife of Gilbert de Clare, earl of Gloucester and Hertford"							"CIPM, iv, p. 316"						"A fair was amongst the property of the recently deceased Joan, wife of Gilbert de Clare, earl of Gloucester and Hertford."																							"An unspecified fair was held by the recently deceased Edward le Despenser, kn on 18 Nov 1376. (CIPM, xiv, p. 216)"
32	GREAT MISSENDEN	BUCKINGHAMSHIRE	England	4900	2010					60					GO	Tues	1	gr 1227x72			9		K Hen III		Joan late the wife of Hugh de Sanford		"CChR, 1341-1417, p. 208"						"On 12 Feb 1367, it was stated that K Hen III had granted a Tues market by charter to Joan late the wife of Hugh de Sanford, but that Joan and her heirs never used the market. K Edw III therefore granted the Tues market to Thomas de Mussenden, king's sergeant, tenant of the manor. "																																							Y	GO	vf	Assumption	15-Aug	2		gr 1227x72		9		K Hen III		Joan late the wife of Hugh de Sanford		"CChR, 1341-1417, p. 208"						"On 12 Feb 1367, it was stated that K Hen III had granted a fair on vf Assumption by charter to Joan late the wife of Hugh de Sanford, but that Joan and her heirs never used the market. K Edw III therefore granted the fair on vf Assumption to Thomas de Mussenden, king's sergeant, tenant of the manor. "																																												
27	HADDENHAM	BUCKINGHAMSHIRE	England	4741	2080					150					GC	Thurs	1				1295	10-Sep	K Edw I		P and C of Rochester		"CChR, 1257-1300, p. 461"						"To be held at the manor. (CChR, 1257-1300, p. 461) In 1302, the charter was withdrawn at the request of John Dalderby, bp of Lincoln, presumably because the market was detrimental to his own at Thame, Oxfordshire (q.v.). (VCH Oxfordshire, vii, p. 179)"																																							Y	GC	vfm	Assumption	15-Aug	3				1295	10-Sep	K Edw I		P and C of Rochester		"CChR, 1257-1300, p. 461"						To be held at the manor.																																												
30	HAMBLEDEN	BUCKINGHAMSHIRE	England	4783	1866					75	"After the death of Bartholomew de Baddlesmere in 1322, the manor escheated to the Crown. In the following year it was granted by K Edw II to Hugh le Despenser the younger. (VCH Buckinghamshire, III, p. 48)"			"VCH Buckinghamshire, iii, p. 49"	GC	Mon	1				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						To be held at the manor.																																							Y	GC	vfm	Bartholomew	24-Aug	3				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						"To be held at the manor. (CChR, 1300-26, p. 283) On 10 Jun 1325, K Edw II granted Hugh le Despenser son of Hugh le Despenser, earl of Winchester, an extension of the fair at the manor from f Bartholomew to f+2 Bartholomew. (CChR, 1300-26, p. 477) "																																												
26	HANSLOPE	BUCKINGHAMSHIRE	England	4803	2467					183.38					GC	Thurs	1				1292	10-May	K Edw I		"William de Bello campo, earl of Warwick"		"CChR, 1257-1300, p. 428"						To be held at the manor.																																							Y	GC	vfm+12	James	25-Jul	15				1292	10-May	K Edw I		"William de Bello Campo, earl of Warwick"		"CChR, 1257-1300, p. 428"						To be held at the manor.																																												
