Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
14	ABINGTON PIGOTTS	CAMBRIDGESHIRE	England	5304	2446					48				"VCH Cambridgeshire, viii, p. 8"	GC	Fri	1				1335	10-Oct	K Edw III		Warin de Bassingburn		"CChR, 1327-41, p. 339"						"To be held at the town. (CChR, 1327-41, p. 339) There is no further evidence for the market. (VCH Cambridgeshire, viii, p. 8)"																																																																																																								
31	BABRAHAM	CAMBRIDGESHIRE	England	5509	2505					114	"John, duke of Brittany and earl of Richmond died in 1341. John of Gaunt, son of K Edw III, was then made earl of Richmond. (GEC, x, pp. 818-20)"			"VCH Cambridgeshire, vi, p. 27"	GC	Mon	1				1335	28-Dec	K Edw III		John duke of Brittany and earl of Richmond		"CChR, 1327-1341, p. 350"						"To be held at the manor. (CChR, 1327-41, p. 350) K Edw III granted the market to John of Gaunt, earl of Richmond on 11 Jul 1344. (CChR, 1341-1417, p. 32) "																																																																																																								
1	BALSHAM	CAMBRIDGESHIRE	England	5588	2508					70				"VCH Cambridgeshire, vi, p. 132"	GC	Mon	1				1245	16-Aug	K Hen III		"Hugh, bp of Ely"		"CChR, 1226-57, p. 287"						Mandate in pursuance to the sh of Cambridgeshire.	GC	Wed	1				1318	14-Nov	K Edw II		"John bp of Ely, the chancellor"		"CChR, 1300-26, p. 393"						"To be held at the manor. (CChR, 1300-26, p. 393) It has been suggested that the Wed market replaced that on Mon. Market had fallen into disuse by the mid eighteenth century. (VCH Cambridgeshire, vi, p. 132)"																				Y	GC	vfm	Holy Trinity		3				1245	16-Aug	K Hen III		"Hugh, bp of Ely"		"CChR, 1226-57, p. 287"						"Mandate in pursuance to the sh of Cambridgeshire. (CChR, 1226-57, p. 287) Fair survived until the early nineteenth century. (VCH Cambridgeshire, vi, p. 132)"																																												
20	BARHAM	CAMBRIDGESHIRE	England	5573	2461						"In the 1334 Lay Subsidy Barham, Little Linton and Linton, Cambridgeshire (q.v.) were assessed together at £127.5. (Glasscock, p. 27)"			"VCH Cambridgeshire, vi, p. 96"	GC	Fri	1				1282	15-Nov	K Edw I		Simon de Forneus		"CChR, 1257-1300, p. 262"						"To be held at the manor. (CChR, 1257-1300, p. 262) The market does not appear to have been successfully established. (VCH Cambridgeshire, vi, p. 96)"																																							Y	GC	vfm	Margaret the Virgin	20-Jul	3				1282	15-Nov	K Edw I		Simon de Forneus		"CChR, 1257-1300, p. 262"						"To be held at the manor. (CChR, 1257-1300, p. 262) The fair is not recorded in the fifteenth or sixteenth centuries. (VCH Cambridgeshire, vi, p. 96)"																																												
33	BARRINGTON	CAMBRIDGESHIRE	England	5396	2500					180				"VCH Cambridgeshire, v, p. 148"	GC	Mon	1				1335	03-Feb	K Edw III		Thomas de Heselarton		"CChR, 1327-41, p. 328"						To be held at the manor. 																																							Y	GC	vfm	Margaret	20-Jul	3				1335	03-Feb	K Edw III		Thomas de Heselarton		"CChR, 1327-41, p. 328"						"To be held at the manor. (CChR, 1327-41, p. 328) Fair continued until the nineteenth century. (VCH Cambridgeshire, v, p. 148)"																																												
3	BASSINGBOURN	CAMBRIDGESHIRE	England	5338	2442					142.5	"Peter de Savoy, earl of Richmond died in 1268. K Hen III subsequently granted the earldom to the dukes of Brittany. John duke of Brittany and earl of Richmond died in 1341. John of Gaunt, son of K Edw III, was then made earl of Richmond. (GEC, x, pp. 118-20, 809)"			"VCH Cambridgeshire, viii, p. 23"	GC	Mon	1				1253	11-Mar	K Hen III		Peter of Savoy		"CChR, 1226-57, p. 421"						"To be held at the manor. (CChR, 1226-57, p. 421) On 28 Dec 1335, the Mon market was granted by K Edw III to John, duke of Brittany, earl of Richmond, lord of the manor, with the grant that he would not be impeded in his enjoyment of the market by reason of any non-user in the past. (CChR, 1327-41, p. 350) On 11 Jul 1344, the Mon market was granted by K Edw III to John of Gaunt, earl of Richmond, the king's son, to be held at the manor. (CChR, 1341-1417, p. 32) The market had fallen into disuse before 1435. (VCH Cambridgeshire, viii, p. 23)"																																							Y	GC	vf+6	Peter and Paul in the month of June	29-Jun	8				1253	11-Mar	K Hen III		Peter of Savoy		"CChR, 1226-57, p. 421"						"To be held at the manor. (CChR, 1226-57, p. 421) On 28 Dec 1335, the fair was granted by K Edw III to John, duke of Brittany, earl of Richmond, lord of the manor, with the grant that he would not be impeded in his enjoyment of the fair by reason of any non-user in the past. (CChR, 1327-41, p. 350) On 11 Jul 1344, the fair was granted by K Edw III to John of Gaunt, earl of Richmond, the king's son, to be held at the manor. (CChR, 1341-1417, p. 32)"																																												
29	BOTTISHAM	CAMBRIDGESHIRE	England	5545	2605					172.5					P	Mon	1	1298-9	mercatum	"Ralph de Monte Hermeri, earl of Gloucester and Hertfordshire and Johanna his wife"							"QW, p. 100"						"Ralph and Johanna claimed the market for the lifetime of Johanna, of the inheritance of Gilbert son of Gilbert de Clare, who was under age. "																																																																																																								
10	BRINKLEY	CAMBRIDGESHIRE	England	5629	2549					99				"VCH Cambridgeshire, vi, p. 138"	GC	Wed	1		mercatum		1253	11-Dec	K Hen III		William de Mohun		"Roles Gascons, 1242-54, no. 2295; CPR, 1247-58, p. 262"						"To be held at the manor. (Roles Gascons, 1242-54, no. 2295; CPR, 1247-58, p. 262) On 8 Aug 1261, K Hen III granted William de Mohun a Tues market at his manor in lieu of the market granted to him there on Wed. (CChR, 1257-1300, p. 37) Market fell into disuse by 1807. (VCH Cambridgeshire, vi, p. 138)"																																							Y	GC	vfm	Michael	29-Sep	3	feria			1253	11-Dec	K Hen III		William de Mohun		"Roles Gascons, 1242-54, no. 2295; CPR, 1247-58, p. 262 "						"To be held at the manor. (Roles Gascons, 1242-54, no. 2295; CPR, 1247-58, p. 262) Granted again by K Hen III to William de Mohun on 8 Aug 1261. (CChR, 1257-1300, p. 37) No later record of this fair has been found. (VCH Cambridgeshire, vi, p. 138)"																																												
18	BURWELL	CAMBRIDGESHIRE	England	5589	2660					112.5					GC	Wed	1				1277	28-Nov	K Edw I		Robert Tybotot		"CChR, 1257-1300, p. 206"						To be held at the manor. 																																							Y	GC	f+14	Mon in Whitsun week		15				1277	28-Nov	K Edw I		Robert Tybotot		"CChR, 1257-1300, p. 206"						To be held at the manor.																																												
13	CAMBRIDGE	CAMBRIDGESHIRE	England	5448	2585	Y	1066	"BF, p. 72"	970s-1135	466.09	"Roman fortified town. Perhaps a commercial settlement from the eighth century; Danish stronghold c.875-921; shire town and centre of business by c.970. (M.D. Lobel, 'Cambridge' in M.D. Lobel ed., 'The Atlas of Historic Towns', (London, 1975), ii; E.O. Blake ed., 'Liber Eliensis', Camden third series 92 (1962), p. 100) The burgesses of Cambridge established rights in two of the three fairs in the liberty of the town and in the fair at Reach, Cambridgeshire (q.v.). Reach was ten miles from Cambridge and outside the liberty of the town. In the 1334 Lay Subsidy, Barnwell ward was assessed at £20.17. It was listed under the wards of the borough of Cambridge. (Glasscock, p. 22)"	Y	"Everitt, p. 175"	"VCH Cambridgeshire, ii, p. 308; iii, p. 89"	PB PM		1	28 Dec 1242	mercatum	K Hen III							"CR, 1242-7, p. 7"						"Market was held on Sat in 1347. (VCH Cambridgeshire, iii, p. 89)"																																							Y	GO	vf	Assumption of Mary	15-Aug	2		1135x54		9		K Steph		Ps and N of SS Mary and Radegund of the town of Cambridge		"RH, ii, p. 359"						"Fair recorded in 1279. (RH, ii, p. 359) On 15 Mar 1438, K Hen VI granted the Ps and N of SS Mary and Radegund a yearly fair on the vfm of the Assumption of Mary to be held in Cambridge. (CChR, 1427-1516, p. 2) Fair was held on land belonging to St Radegund's, at the junction of Jesus Lane and Park Street, formerly Garlic Lane. After the Dissolution, the fair was held by Jesus college, Cambridge. It survived until the early nineteenth century. (VCH Cambridgeshire, iii, p. 89)"	GO	vf	Exaltation of the Cross	14-Sep	2	feria	gr 1199x1216		9		K John		leper hospital of St Mary Magdalen		"RH, ii, pp. 359-60"						"The fair was established at Stourbridge to support the leper hospital of St Mary Magdalen. Fair recorded in 1279. It was stated that the hospital had 24.5 acres in the fields of Cambridge for the sustenance of the lepers. (RH, ii, pp. 359-60) In 1376 the burgesses of Cambridge had established their rights to the profits of the fair. (VCH Cambridgeshire, iii, pp. 92- 3) On 3 Sept 1382, Stourbridge fair was recorded in the suburbs of Cambridge. (CCR, 1381-85, p. 152) By 1516, Stourbridge fair was held from 24 Aug to 29 Sept. By the sixteenth century this was one of the largest fairs in England. (VCH Cambridgeshire, iii, pp. 92-3) "	GC	vf+2	Etheldreda	23-Jun	4				1229	18-Aug	K Hen III		"ch of St Giles, Barnwell and the Ca"		"CChR, 1226-57, p. 98"						"Mandate to sh of Cambridge to proclaim the fair and cause it to be established, Aug 1229. (CR, 1227-31, p. 200) Fair recorded in 1232. (CRR, xiiii, no. 2136) On 6 Oct 1232, the P and Ca of Barnwell agreed to pay the town of Cambridge half a mark per annum for the right to hold the fair. (J. Clark ed., 'Liber Memorandorum Ecclesie de Bernewelle', (Cambridge, 1907), p. 88) In 1279, the P and Ca of Barnwell claimed a fair on the Nativity of John the Baptist (24 Jun) by the gift of K John and the confirmation of K Hen III. (RH, ii, p. 358) This must surely be the same fair as that on vf+2 Etheldreda, especially since the P and Ca of Barnwell continued to pay half mark per annum to Cambridge. Fair held by P of Barnwell recorded in 1298-9; it was stated to have been granted by a charter of K Hen 'proavus' of K Edw I. (QW, p. 99) The 'proavus' of K Edw I should be K Hen II; no evidence has been found of such a grant. On 16 Oct 1388, K Ric II granted that the fair be extended to 7+f+6 Etheldreda. (CChR, 1341-1417, p. 312) The fair was known as Midsummer Fair. The burgesses of Cambridge took a yearly lease of the fair in 1496. In 1506, the burgesses of Cambridge made an agreement with Barnwell priory in which they acquired full rights over the fair. (VCH Cambridgeshire, iii, p. 92)"	"24 Jun [Barnwell], 15 Aug, 8 Sept [Stourbridge] (Harrison, pp. 394-5)"	
