Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ALDFORD	CHESHIRE	England	3417	3590										GC	Tues	1		mercatum		1254	22-Mar	K Hen III		Wakelin de Arderne		"Roles Gascons, 1242-54, no. 4151; CPR, 1247-58, p. 339"																																													Y	GC	v+2	Holy Cross	14-Sep	3	feria			1254	22-Mar	K Hen III		Wakelin de Arderne		"Roles Gascons, 1242-54, no. 4151; CPR, 1247-58, p. 339"																																																		It is assumed that the feast of the fair was the Exaltation of the Cross.
7	ALTRINCHAM	CHESTER	England	3771	3882	Y	c.1290	"BF, p. 73"				Y	"Everitt, p. 470"		GC	Tues	1				1290	10-Jul	K Edw I		Hamo de Mascy		"CChR, 1257-1300, p. 370"						To be held at the manor.																																							Y	GC	vfm	Assumption of Mary	15-Aug	3				1290	10-Jul	K Edw I		Hamo de Mascy		"CChR, 1257-1300, p. 370"						"To be held at the manor. (CChR, 1257-1300, p. 370) On 4 Jul 1318, K Edw II granted Hamo de Mascy a fair on vfm James (25 Jul) in lieu. (CChR, 1300-26, p. 411)"																																											"25 Jul (Harrison, p. 395)"	
8	AUDLEM	CHESHIRE	England	3662	3436										GC	Thurs	1				1295	13-Jul	K Edw I		Thomas de Aldelym		"CChR, 1257-1300, p. 460"						To be held at the manor.																																							Y	GC	vfm	James the Apostle	25-Jul	3				1295	13-Jul	K Edw I		Thomas de Aldelym		"CChR, 1257-1300, p. 460"						To be held at the manor.																																												
1	BROMBOROUGH	CHESHIRE	England	3353	3819										GC	Mon	1				1278	05-Feb	K Edw I		A and C of Chester		"CChR, 1257-1300, p. 207"						To be held at the manor.																																							Y	GC	vfm	Barnabas	11-Jun	3				1278	05-Feb	K Edw I		A and C of Chester		"CChR, 1257-1300, p. 207"						To be held at the manor.																																												
9	BURTON	CHESHIRE	England	3510	3640						In Tarvin.	Y	"Everitt, p. 470"		GC	Thurs	1				1299	18-Sep	K Edw I		"Walter de Langeton, bp of Coventry and Lichfield"		"CChR, 1257-1300, p. 479"						To be held at the manor.																																							Y	GC	vfm	James the Apostle	25-Jul	3				1299	18-Sep	K Edw I		"Walter de Langeton, bp of Coventry and Lichfield"		"CChR, 1257-1300, p. 479"						To be held at the manor.																																												
10	CHESTER	CHESHIRE	England	3404	3667	Y	1086	"BF, p. 73"	924-1154		Roman fortress and town and probably an important British centre in the seventh century. It was 'restored' in 907 and by the time of Domesday Book was a prosperous commercial 'civitas' with some 500 houses. 	Y	"Everitt, p. 470"		PB PM																		No further information for the market. 																																							Y	P				3		twelfth century	St Werburgh's abbey							"G. Barraclough ed., 'The Charters of the Anglo-Norman Earls of Chester, c.1071-1237', Record Society of Lancashire and Cheshire, 126, (Gloucester, 1988), pp. 6, 9"						"The M of St Werburgh claimed that they had been granted a three day fair, the feast of which was not given, by Earl Hugh of Chester in 1093. However, this claim is probably spurious. It is more likely that the grant was made in the time of Earl Ranulph I, between 1120 and 1129. "	P					nundinae	1295-6	"Henry de Lacy, earl of Lincoln"							"'Rev. P.A. Lyons, ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society, (1884), p. 45"						The feast of the fair was not given. 																							
4	CONGLETON	CHESHIRE	England	3854	3631	Y	1272x74	"BF, p. 73"				Y	"Everitt, p. 470"		GC	Sat	1				1282	04-Jan	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 260"						"To be held at the manor. (CChR, 1257-1300, p. 260) Market held by Henry de Lacy, earl of Lincoln in 1295-6. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society, (1884), p. 54)"																																							Y	GC	vfm	Holy Trinity		3				1282	04-Jan	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 260"						To be held at the manor.	GC	vfm	Martin the bp	11-Nov	3				1282	04-Jan	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 260"						To be held at the manor.																						"1 May, 2 Jul (Harrison, pp. 393-4)"	"A fair, the feast of which was not given, was being held by Henry de Lacy, earl of Lincoln in 1295-6. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society, (1884), p. 54) Presumably, this could relate to either of these two fairs."
11	FRODSHAM	CHESHIRE	England	3520	3774	Y	1208x15	"G. Barraclough ed., 'The Charters of the Anglo-Norman Earls of Chester, c.1071-1237', Record Society of Lancashire and Cheshire, 126, (Gloucester, 1988), no. 371"			"K Edw I granted the manor to David son of Griffin for life on 28 Sept 1278. (CPR, 1272-8, p. 279)"	Y	"Everitt, p. 470"		PB	Sun	1	14 Oct 1278 		David son of Griffin							"CCR, 1272-9, p. 478"						"Mandate to the justice of Chester to proclaim a Tues market as he was wont to have on Sun, to be held at the manor."																																																																																																								
12	HALTON	CHESHIRE	England	3538	3823	Y	1351x61	"BF, p. 74"			"On the death of Alice de Lacy, countess of Lincoln in 1349, the Lacy lands passed to Henry, earl of Lancaster. (GEC, vii, p. 688)"				PB			1351x61		"Henry, duke of Lancaster"							"BF, p. 74"																																													Y	P					nundinae	1241								"PR, 26 Hen III, p. 121"						"In 1295-6, Henry de Lacy, earl of Lincoln was holding a fair. In 1296, the toll of the fair, the feast of which was not given, was £16 11s. 6d.. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society, (1884), p. 47) Fair held by Henry, duke of Lancaster recorded in 1351x61. (BF, p. 74)"																																											"the three Lady days [presumably 25 Mar, 15 Aug and 8 Sept] (Harrison, p. 395)"	
13	KNUTSFORD	CHESHIRE	England	3753	3783	Y	c.1292	"BF, p. 74"				Y	"Everitt, p. 470"		GO	Sat	1				1292	03-Aug	K Edw I		William de Tabbeleye		"CChR, 1327-41, p. 263"						"To be held at the manor. On 14 Feb 1332, K Edw III confirmed the market to William de Tabbeleye son and heir of the grantee. (CChR, 1327-41, p. 263)"	GC	Fri	1				1332	14-Feb	K Edw III		William de Tabbeleye son and heir of the said William		"CChR, 1327-41, p. 263"						"Granted as 'another' weekly market, implying the Sat market was still in use. "																				Y	GC	vfm	Peter and Paul	29-Jun	3				1292	03-Aug	K Edw I		William de Tabbeleye		"CChR, 1327-41, p. 263"						"To be held at the manor. On 14 Feb 1332, K Edw III confirmed the fair to William de Tabbeleye son and heir of the grantee. (CChR, 1327-41, p. 263)"																																												
