Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
32	BODMIN	CORNWALL	England	2072	670	Y	1086	"Alecto Historical Editions, 'The Cornwall Domesday' (London, 1988), p. 8, f120v "		200	"A monastic or clerical settlement associated with the cult of St Petroc, possibly from before 800 but otherwise from the tenth century. (L. Olson, 'Early Monasteries in Cornwall', (Woodbridge, 1989), pp. 66-78) The ch was well endowed with lands by 1066. Domesday Book and the Exon Summaries record 68 houses or burgesses and a market belonging to St Petroc at Bodmin, which was evidently a small town by 1086. The borough is next recorded in 1201. ; Augustinian canons were established at the ch c.1124. (Alecto Historical Editions, 'The Cornwall Domesday' (London, 1988), p. 8, f120v; Darby, p. 364; BF, p. 76) "	Y	"Everitt, p. 470"		PB		1	1086	mercatum	St Petroc [Bodmin church]							"Darby, p. 369; BF, p. 76"						"Market recorded in 1201 and 1302, when the day was stated to be Sat. (J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), pp. 88, 259) In 1302, the P of Bodmin successfully claimed that he and his predecessors had held the market from time out of mind. (QW, p. 110) "																																							Y	P		Exaltation of Holy Cross	14-Sep			1274								"J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), p. 88"						Known as the Longfair; it was held in the king's highway.	P					feria	1302	P of Bodmin							"QW, p. 110"						"The P of Bodmin successfully claimed that he and his predecessors had held the fair from time out of mind. (QW, p. 110) It is possible that this is the same fair as either that recorded in 1274, or as either of those recorded in 1302."	P	vf	Michael	29-Sep	2		1302								"J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), p. 259"							"13 Mar (Harrison, p. 393)"	"Fair 4: P Wed before Pentecost (Easter dep); recorded by 1302. (J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), p. 259)"
26	BOSCASTLE	CORNWALL	England	2096	908	Y	1306	"BF, p. 76"		6	"The market granted at the manor of Tolcarne, Cornwall (q.v.) reflects an earlier phase of economic development at Boscastle. (Beresford, p. 402)"	Y	"Everitt, p. 470"		GC	Wed	1				1312	16-Aug	K Edw II		William son of William de Botereux		"CChR, 1300-26, p. 194"						"To be held at the manor. (CChR, 1300-26, p. 194) On 8 Feb 1399, K Ric II confirmed the charter to Elizabeth, late the wife of William le Botreaux, kn, the tenant of the manor. (CPR, 1396-99, p. 472)"																																							Y	P					feria	1302	William de Botereus							"QW, p. 108"						William successfully claimed that his ancestors had held the fair from time out of mind.	GC	vfm	James the Apostle	25-Jul	3				1312	16-Aug	K Edw II		William son of William de Botereux		"CChR, 1300-26, p. 194"						"To be held at the manor. (CChR, 1300-26, p. 194) On 8 Feb 1399, K Ric II confirmed the charter to Elizabeth, late the wife of William le Botreaux, kn, the tenant of the manor. (CPR, 1396-99, p. 472)"																							
33	BOSSINEY	CORNWALL	England	2064	889	Y	1227x56	"BF, p. 76"			"Beresford states that Bossiney was 'joined' with the adjacent Tintagel, Cornwall (q.v.) and that they were considered one borough. (Beresford, p. 414)"				PB																		No further information for the market.																																																																																																								
27	BOSWORGEY	CORNWALL	England	1901	634						In St Columb Major.																																																													Y	GC	vf	Mary Magdalen	22-Jul	2				1312	16-Aug	K Edw II		William son of William de Botereux		"CChR, 1300-26, p. 194"						"To be held at the manor. (CChR, 1300-26, p. 194) On 8 Feb 1399, K Ric II confirmed the fair to Elizabeth, late the wife of William le Botreaux, kn, the tenant of the manor. (CPR, 1396-99, p. 472)"																																												
12	CALLINGTON	CORNWALL	England	2359	696										GC	Wed	1				1267	10-Nov	K Hen III		Reginald de Ferrariis		"CChR, 1257-1300, p. 84"						"To be held at the manor. (CChR, 1257-1300, p. 84) Market held by Reginald de Ferariis recorded in 1302. (QW, p. 110)"																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1267	10-Nov	K Hen III		Reginald de Ferrariis		"CChR, 1257-1300, p. 84"						"To be held at the manor. (CChR, 1257-1300, p. 84) Fair held by Reginald de Ferariis recorded in 1302. (QW, p. 110)"																																												
5	CAMELFORD	CORNWALL	England	2105	836	Y	ante 12 Jun 1260	"BF, p. 77"		4.5	"On 12 Jun 1260, it was stated that Richard, K of Almain had lately made the town of Camelford a free borough. (CChR, 1257-1300, p. 26) As Richard had been elected K of Almain in Jan 1257, this grant may have been made in the intervening three years. Camelford was created in the manor of Helstone in Trigg, in the parish of Lanteglos. (Beresford, pp. 400, 403)"	Y	"Everitt, p. 470"		GC	Fri	1	ante 12 Jun 1260			9		"Richard, K of Almain"				"CChR, 1257-1300, p. 26"						K Hen III confirmed this grant on 12 Jun 1260. 																																							Y	GC	vfm	Swithun	02-Jul	3		ante 12 Jun 1260		9		"Richard, K of Almain"				"CChR, 1257-1300, p. 26"						"K Hen III confirmed this grant on 12 Jun 1260. (CChR, 1257-1300, p. 26) In 1302, it was stated that there was an annual fair, the profit of which was currently taken by the king, as the earldom was in the king's hands. (J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), p. 259)"																																												
24	CARGOLL	CORNWALL	England	1816	563						"It is possible that the market and fair were held at St Newlyn East, Cornwall (q.v.) which was the main focus of the manor of Cargoll. "				GC	Thurs	1				1311	23-Aug	K Edw II		"Walter, bp of Exeter"		"CChR, 1300-26, p. 183"						To be held at the manor of Caergaul.																																							Y	GC	vfm	Matthew	21-Sep	3				1311	23-Aug	K Edw II		"Walter, bp of Exeter"		"CChR, 1300-26, p. 183"						To be held at the manor of Caergaul.																																												
2	EAST LOOE	CORNWALL	England	2256	533	Y	1201	"Beresford, p. 406"		15	"East Looe was a new town founded on the river bank within the parish of St Martin and the manor of Pendrym. By the sixteenth century the ch of St Martin, which was two miles away from East Looe, was also dedicated to St Keyne and there was probably a non-parochial chapel in the town. According to Beresford, the town's fair was dedicated to St Keyne, but the date at which this was the case is not clear. It seems more likely that the original fair of St Michael came later to be associated with St Keyne, than that there were two fairs. The market and fair were probably held in the town. (Beresford, pp. 400, 405-6; N. Orme, 'The Saints of Cornwall', (Oxford, 2000), pp. 125, 162-3)"	Y	"Everitt, p. 470"		GC	Fri	1				1237	24-Mar	K Hen III		Henry de Bodregan		"CChR, 1226-57, p. 227"						"To be held at the manor of Pendrun (sic for Pendrim). Mandate to the sh of Cornwall to proclaim the market and cause it to be held, 15 Mar 1237. (CR, 1234-7, p. 426) In 1302, the market was being held for life by William de Bodrygan, from Henry de Bodrigan, grandson of the grantee. It was stated to be held in the vill. (QW, p. 110)"																																							Y	GC	vfm	Michael	29-Sep	3				1237	24-Mar	K Hen III		Henry de Bodregan		"CChR, 1226-57, p. 227"						"To be held at the manor of Pendrun (sic for Pendrim). Mandate to the sh of Cornwall to proclaim the fair and cause it to be held, 15 Mar 1237. (CR, 1234-7, p. 426) In 1302, the fair was being held for life by William de Bodrygan, from Henry de Bodrigan, grandson of the grantee. It was stated to be held in the vill. (QW, p. 110) Given the proximity of the feast of St Michael to that of St Keyne (8 Oct), it seems likely that the fair later came to be associated with the latter saint, whose cult was adopted at the parish ch (cf. Beresford, p. 406)."																																												
18	FOWEY	CORNWALL	England	2125	517	Y	1190x1225	"BF, p. 78"		34.17	"Across the river from Polruan, Cornwall (q.v.)"	Y	"Everitt, p. 470"		GC	Mon	1				1316	12-May	K Edw II		P and C of Tywardreth		"CChR, 1300-26, p. 306"						To be held at the manor.																																							Y	GC	vfm	Barri	25 Sept (?)	3				1316	12-May	K Edw II		P and C of Tywardreth		"CChR, 1300-26, p. 306"						To be held at the manor.	GC	vfm	Lucy	13-Dec	3				1316	12-May	K Edw II		P and C of Tywardreth		"CChR, 1300-26, p. 306"						To be held at the manor.																							
42	GOLDSITHNEY	CORNWALL	England	1544	306					30	"Previously known as Merther Sithney. The fair was known as the fair of St James outside the Mount (St Michael's Mount). The history of the place and of the fair is complex and unclear. It is probable that this was the same fair (feria) as that described as 'of Eggulf' in which the sh of Cornwall claimed expenses in 1198 and 1201. (PR, 10 Ric I, p. 172; PR, 3 John, p. 188) "																																																													Y	P					feria	1140	"A[lan] count of Brittany, earl of Cornwall and Richmond"							"P.L. Hull ed., 'The Cartulary of St Michael's Mount', Devon and Cornwall record society, ns vol. v, (Torquay, 1962), no. 5"						"Alan granted 10s. rent from the fair to the ch of St Michael of the Mount in the sea. In c.1227-42, Richard, count of Poitou and earl of Cornwall stated that he had previously received 10s. rent from William de Walebreans for the fair of St James (25 Jul) beyond the Mount, but that henceforth the rent was to be paid to P and M of St Michael's Mount in Cornwall. In 1290, this grant was confirmed by Edmund, son of Richard K of Almain and earl of Cornwall. Merther Sithney fair was recorded in 1284. The fair was often specified as a place to pay quarterly rents in documents of the twelfth and thirteenth centuries. (P.L. Hull ed., 'The Cartulary of St Michael's Mount', Devon and Cornwall record society, ns vol. v, (Torquay, 1962), p. xx, nos. 4, 5, 6; J. Whetter, 'Cornwall in the Thirteenth Century: a study in social and economic history', (Gorran, 1998), p. 88)"																																												
