Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
17	ARTHURET	CUMBERLAND	England	3379	5677					23.94					GC	Thurs	1				1307	16-Feb	K Edw I		"Joan, late the wife of John Wak and Thomas, son and heir of the said John and the heirs of the said John"		"CChR, 1300-26, p. 81"						To be held at the manor.																																							Y	GC	vf+2	Giles	01-Sep	4				1307	16-Feb	K Edw I		"Joan, late the wife of John Wak and Thomas, son and heir of the said John and the heirs of the said John"		"CChR, 1300-26, p. 81"						To be held at the manor.																																												"Britnell suggests that the market (mercatum) and two fairs (feria) held by William de Stutevill at an unnamed place in Cumberland, noted in the Pipe Roll of 1200, may have been at Arthuret. It is also possible that they were at Kirkoswald, Cumberland (q.v.) or Longtown, Cumberland. (R.H. Britnell, 'Boroughs, markets and trade in northern England, 1000- 1216', in R.H. Britnell and J. Hatcher (eds.), ' Progress and Problems in Medieval England: Essays in Honour of Edward Miller', (Cambridge, 1996), p. 65; PR, 2 John, p. 244) William had not paid his fine for the market and fairs by 1208. (PR, 3 John, p. 252; PR, 4 John, p. 255; PR, 5 John, p. 254; PR, 9 John, p. 127; PR, 10 John, p. 43)"
11	BEWCASTLE	CUMBERLAND	England	3565	5746					37.41					GC	Mon	1				1279	06-Jul	K Edw I		John de Swyneburn		"CChR, 1257-1300, p. 213"						"To be held at the manor. (CChR, 1257-1300, p. 213) In 1292, John de Swinburne, the grantee, was holding the market. (QW, p. 128)"																																							Y	GC	vfm+2	Nativity of Mary	08-Sep	5				1279	06-Jul	K Edw I		John de Swyneburn		"CChR, 1257-1300, p. 213"						"To be held at the manor. (CChR, 1257-1300, p. 213) In 1292, John de Swinburne, the grantee, was holding the fair. (QW, p. 128)"	GC	vfm+2	Barnabas	11-Jun	5				1279	06-Jul	K Edw I		John de Swyneburn		"CChR, 1257-1300, p. 213"						"To be held at the manor. (CChR, 1257-1300, p. 213) In 1292, John de Swinburne, the grantee, was holding the fair. (QW, p. 128)"																							
18	BOOTLE	CUMBERLAND	England	3107	4884							Y	"Everitt, p. 468"		GC	Wed	1				1347	24-Oct	K Edw III		John de Hudleston		"CChR, 1341-1417, p. 64"						To be held at the manor.																																							Y	GC	vf+2	Exaltation of the Cross	14-Sep	4				1347	24-Oct	K Edw III		John de Hudleston		"CChR, 1341-1417, p. 64"						To be held at the manor.																																												
1	BRAMPTON	CUMBERLAND	England	3528	5610					99.16		Y	"Everitt, p. 468"		GC	Tues	1				1252	31-Oct	K Hen III		Thomas de Muletone and Maud his wife		"CChR, 1226-57, p. 407"						"To be held at the manor of Braunton. (CChR, 1226-57, p. 407) In 1292, Matilda de Multon de Gyleslaund, the grantee, was holding the market. (QW, p. 126)"																																							Y	GC	vf	Decollation of John the Baptist	29-Aug	2				1252	31-Oct	K Hen III		Thomas de Muletone and Maud his wife		"CChR, 1226-57, p. 407"						"To be held at the manor of Braunton. (CChR, 1226-57, p. 407) In 1292, Matilda de Multon de Gyleslaund, the grantee, was holding the fair. (QW, p. 126)"																																												
19	CARLISLE	CUMBERLAND	England	3399	5562	Y	1130	"BF, p. 83"	1100-54	133.33	"Roman city. Monastic and probably a commercial centre in the seventh to ninth centuries, subsequently with an important church. In 1092, K Wil II occupied and restored the town, bringing it under English rule. The priory of St Mary was founded in or after 1122 and became the seat of a new bishopric in 1133. Carlisle's fortunes rested on its role as a frontier city, as a centre for silver mining and as a regional market. (H. Summerson, 'Medieval Carlisle: the city and the borders from the late eleventh to the mid-sixteenth century', Cumberland and Westmorland Archaeological Society Extra Series, 25 (1993) pp. 24-38)"	Y	"Everitt, p. 468"	"H. Summerson, 'Medieval Carlisle: the city and the borders from the late eleventh to the mid-sixteenth century', Cumberland and Westmorland Archaeological Society Extra Series, 25 (1993)"	PB PM			1292	mercatum	burgesses of Carlisle							"QW, p. 121"						"In 1292, the mayor and community of Carlisle unsuccessfully claimed that they had held the market since the reign of K Hen II. The market was taken into the king's hands. (QW, p. 121) On 7 Feb 1352, it was stated that the citizens of Carlisle held and had held markets on Wed and Sat. K Edw III granted that the citizens and their heirs and successors should hold this and other liberties for ever. (CPR, 1350-4, pp. 232-3)"																																							Y	P					nundinae	c.1180								"J. Wilson ed., 'The Register of the Priory of St. Bees', Surtees Society Publications, 126, (1915) pp. 539-40"						"An undated grant by William de Lancaster to Gospatric son of Orm mentions the fair; Summerson dates this to c.1180. (J. Wilson ed., 'The Register of the Priory of St. Bees', Surtees Society Publications, 126, (1915) pp. 539-40; H. Summerson, 'Medieval Carlisle: the city and the borders from the late eleventh to the mid-sixteenth century', Cumberland and Westmorland Archaeological Society Extra Series, 25 (1993), p. 64) Fair mentioned 1197 and 1202; the feast was not given. (PR, 9 Ric I, p. 14; PR, 4 John, p. 243) Fair held by the burgesses of Carlisle recorded in 1292, which the mayor and community unsuccessfully claimed that they had held since the reign of K Hen II. The fair was taken into the king's hands. (QW, p. 121) On 7 Feb 1352, it was stated that the citizens of Carlisle held and had held a fair on the f+15 Assumption (15 Aug). K Edw III granted that the citizens and their heirs and successors should hold this and other liberties for ever. (CPR, 1350-4, pp. 232-3)"																																											"15 Aug (Harrison, p. 395)"	
2	COCKERMOUTH	CUMBERLAND	England	3123	5306	Y	1260	"BF, p. 83"		42.86	"Possibly a borough from c.1210, when the free men of Cockermouth were granted certain liberties. (R.H. Britnell, 'Boroughs, markets and trade in northern England, 1000-1216', in R.H. Britnell and J. Hatcher eds, 'Progress and Problems in Medieval England', (Cambridge, 1996), p. 51 n. 11)"	Y	"Everitt, p. 468"		GL	Sat	1		mercatum		1221	19-May	K Hen III		W[illiam] count of Aumale		"RLC, i, p. 458b"						"To be held at the manor until the king came of age. Notice to the sh of Cumberland. (RLC, i, p. 458b) On 20 Nov 1221, the day of W. earl of Albermarle's market was changed from Sat to Mon. (RLC, i, p. 481b) On 3 Sept 1227, K Hen III granted William de Forz, earl of Aumale a Mon market by charter. (CChR, 1226-57, p. 58) Order to sh of Cumberland to cause him to have the market, 5 Sept 1227. (RLC, ii, p. 199b) In 1292, Isabella de Fortibus, countess of Albermarle was holding the market in dower, by right of her late husband William de Fortibus, earl of Albemarle. (QW, p. 119) In 1306 the farmers of the tolls at Cockermouth complained that every Sunday there was a gathering of people at Crosthwaite (also an Aumale possession, q.v.) buying and selling without paying any dues to the abiliffs of Cockermouth (L.F. Salzman, 'The legal status of markets', The Cambridge Historical Journal 2.3 (1928), 205-12, esp. 207)"																																							Y	P					feria	1292	"Isabella de Fortibus, countess of Albermarle"							"QW, p. 119"						"Isabella was holding the fair in dower, by right of her late husband William de Fortibus, earl of Albemarle. No details of the fair were given. "																																											"Mon in Whit week; 29 Sept (Harrison, pp. 394, 396)"	
25	"CROSTHWAITE		"	"CUMBERLAND	"	England	3437	4915						"In the thirteenth century this was an Aumale possession and a dependency of Cockermouth (q.v.), more than 50 km away."				"P	"			"1292	"									"(L.F. Salzman, 'The legal status of markets', The Cambridge Historical Journal 2.3 (1928), 205-12, esp. 207)"						"In 1292 the Countess of Aumale claimed that she did not have a market here, but that on feast days the men of the neighbourhood gathered at the church and sold meat, fish and other goods; she did not take toll, stallage or any profit (QW, 115). This informal market was still active in 1306 when the farmers of the tolls at Cockermouth complained that the traders did not pay any dues to Cockermouth; on that occasion the 'market' at Crosthwaite was abolished (L.F. Salzman, 'The legal status of markets', The Cambridge Historical Journal 2.3 (1928), 205-12, esp. 207)."																																																																																																								
7	EGREMONT	CUMBERLAND	England	3011	5105	Y	c.1202	"BF, p. 83"		112.8	"Thomas son of Lambert de Multon had inherited the manor from the Lucy family. (QW, pp. 113-14)"	Y	"Everitt, p. 468"		GC	Wed	1				1267	20-May	K Hen III		Thomas son of Lambert de Moleton		"CChR, 1257-1300, p. 75"						"To be held at the manor. (CChR, 1257-1300, p. 75) Market held by Thomas son of Lambert de Multon recorded in 1292. (QW, p. 114) On 4 Apr 1322, a third of the market was assigned to Eleanor, late the wife of Thomas de Multon of Egremont, in dower. The day of the market was not recorded. (CCR, 1318-22, p. 567)"																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1267	20-May	K Hen III		Thomas son of Lambert de Moleton		"CChR, 1257-1300, p. 75"						"To be held at the manor. (CChR, 1257-1300, p. 75) Fair held by Thomas son of Lambert de Multon recorded in 1292. (QW, p. 114) On 4 Apr 1322, a third of the fair was assigned to Eleanor, late the wife of Thomas de Multon of Egremont, in dower. The feast of the fair was not recorded. (CCR, 1318-22, p. 567)"																																												
3	GREYSTOKE	CUMBERLAND	England	3443	5307	Y	1289	"A.J.L. Winchester, 'Landscape and Society in Medieval Cumbria', (Edinburgh, 1987), p. 122"		55.47	"Burgesses were recorded in 1359, but in 1472 only one burgage is evident. (A.J.L. Winchester, 'Landscape and Society in Medieval Cumbria', (Edinburgh, 1987), p. 122)"				GC	Mon	1				1245	28-Oct	K Hen III		Thomas son of William de Craystock		"CChR, 1226-57, p. 288"						"To be held at the manor. Mandate in pursuance to the sh of Cumberland. (CChR, 1226-57, p. 288) In 1292, the market was held by John de Craystok, son of the grantee. (QW, p. 119)"																																							Y	GC	vfm	Trans of Edward	13-Oct	3				1245	28-Oct	K Hen III		Thomas son of William de Craystock		"CChR, 1226-57, p. 288"						"To be held at the manor. Mandate in pursuance to the sh of Cumberland. (CChR, 1226-57, p. 288) In 1292, the fair was held by John de Craystok, son of the grantee. (QW, p. 119)"																																												
10	HAYTON	CUMBERLAND	England	3508	5577					19.73	Identified in the indes of the 'Calendar of Charter Rolls' as Hayton in Aspatria.				GC	Tues	1				1278	18-Jan	K Hen III		Robert de Molecastre		"CChR, 1257-1300, p. 206"						"To be held at the manor. (CChR, 1257-1300, p. 206) In 1292, the Crown was contesting the right of William de Mulcastr to hold the market; William showed the charter and claimed to be the heir of the grantee. (QW, p. 126)"																																							Y	GC	vfm	Mary Magdalen	22-Jul	3				1278	18-Jan	K Edw I		Robert de Molecastre		"CChR, 1257-1300, p. 206"						"To be held at the manor. (CChR, 1257-1300, p. 206) In 1292, the Crown was contesting the right of William de Mulcastr to hold the fair; William showed the charter and claimed to be the heir of the grantee. (QW, p. 126)"																																												
