Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ALFRETON	DERBYSHIRE	England	4409	3558					37.94		Y	"Everitt, p. 175"		GC	Mon	1				1252	16-Jul	K Hen III		Robert de Lathun and Thomas de Chaworthe and their heirs		"CChR, 1226-57, p. 400"						"In 1330, Thomas de Chauworth, grandson of Thomas de Chaworthe the grantee, was holding the market, which had been held since the grant of the charter. (QW, p. 134)"																																							Y	GC	vfm	Margaret	20-Jul	3				1252	16-Jul	K Hen III		Robert de Lathun and Thomas de Chaworthe and their heirs		"CChR, 1226-57, p. 400"						"In 1330, Thomas de Chauworth, grandson of Thomas de Chaworthe the grantee, was holding the fair on vf Margaret. The fair had been held since the grant of the charter. (QW, p. 134)"																																												
2	ASHBOURNE	DERBYSHIRE	England	4180	3470	Y	c.1200	"BF, p. 85"		98.37		Y	"Everitt, p. 175"		PB			1222	mercatum	"William de Ferr', earl of Derby"							"CRR, x, p. 283"						"Held at the manor, which William held at farm from the king. The market at Clifton, Derbyshire (q.v.) was alleged to be detrimental to this market. (CRR, x, p. 283) A market, of which no details are given, was recorded on 31 Aug 1297, held by Sir Edmund, the king's brother. (CIPM, iii, no. 423) In 1330, Henry, earl of Lancaster was holding a Sat market, which he claimed by prescriptive right as an appurtenance of the manor. The manor had been granted to Edmund, earl of Lancaster in an exchange with K Edw I. (QW, p. 152)"																																							Y	P						31 Aug 1297	"Sir Edmund, the king's brother"							"CIPM, iii, no. 423"						"In 1330, Henry, earl of Lancaster was holding a fair on vfm Nativity of John the Baptist (24 Jun), which he claimed by prescriptive right as an appurtenance of the manor. The manor had been granted to Edmund, earl of Lancaster in an exchange with K Edw I. (QW, p. 152)"	P						31 Aug 1297	"Sir Edmund, the king's brother"							"CIPM, iii, no. 423"						"In 1330, Henry, earl of Lancaster was holding a fair on vfm Oswald (5 Aug), which he claimed by prescriptive right as an appurtenance of the manor. The manor had been granted to Edmund, earl of Lancaster in an exchange with K Edw I. (QW, p. 152)"																						"24 Jun; 29 Sept (Harrison, pp. 394, 396)"	"A mandate to the barons of the Exchequer to discharge Edmund, earl of Lancaster, the king's brother, of the issues of markets and fairs pertaining to the manor of Ashbourne was issued on 27 Jan 1288. (CCR, 1279-88, p. 499)"
3	ASTON UPON TRENT	DERBYSHIRE	England	4414	3293					26.06					GC	Tues	1				1257	15-Sep	K Hen III		"A and C of St Werburgh, Chester"		"CChR, 1226-57, p. 473"						"Market held by the A of Chester at the manor of Aston recorded in 1281. (A.M. Hopkinson ed., 'The Rolls of the 1281 Derbyshire Eyre', Derbyshire Record Society vol. xxvii (Chesterfield, 2000), no. 714) In 1330, the A of St Werburgo, Cestr [St Werburgh, Chester] was holding the market, but it was stated that on the day of the market there was no regular flow of buyers and sellers ('frequens accessus ementium seu vendentium'). (QW, p. 144)"																																							Y	GC	vfm	Peter ad Vincula	01-Aug	3				1257	15-Sep	K Hen III		"A and C of St Werburgh, Chester"		"CChR, 1226-57, p. 473"						"Fair held by the A of Chester at the manor of Aston recorded in 1281. (A.M. Hopkinson ed., 'The Rolls of the 1281 Derbyshire Eyre', Derbyshire Record Society vol. xxvii (Chesterfield, 2000), no. 714) In 1330, the A of St Werburgo, Cestr [St Werburgh, Chester] was holding the fair, but it was stated that on the day of the fair there was no regular flow of buyers and sellers ('frequens accessus ementium seu vendentium'). (QW, p. 144)"																																												
4	BAKEWELL	DERBYSHIRE	England	4215	3685	Y	1286	"BF, p. 85"		82.56		Y	"Everitt, p. 175"		PB	Mon	1	1330	mercatum	"John son of William Gernoun, kn"							"QW, p. 140"						"Held in the town. John successfully claimed that he and his ancestors had held the market from time out of mind. (QW, p. 140)"																																							Y	GC	vf+13	Philip and James the Apostles	01-May	15	feria			1254	29-Feb	K Hen III		William Gernun		"Roles Gascons, 1242-54, no. 2609; CPR, 1247-58, p. 295"						"To be held at the manor. (Roles Gascons, 1242-54, no. 2609; CPR, 1247-58, p. 295) In 1330, the fair, claimed by John Gernom, was taken into the king's hands. (QW, p. 138)"	P	vfm	Assumption of Mary	15-Aug	3	feria	1330	"John son of William Gernoun, kn"							"QW, p. 140"						Held in the town. John successfully claimed that he and his ancestors had held the fair from time out of mind.																							"In 1281, a fair was recorded at Bakewell; no details of the feast were given. (A.M. Hopkinson ed., 'The Rolls of the 1281 Derbyshire Eyre', Derbyshire Record Society vol. xxvii (Chesterfield, 2000), no. 643)"
5	BOLSOVER	DERBYSHIRE	England	4475	3704					55.13		Y	"Everitt, p. 175"		GL	Fri	1		mercatum		1226	20-Jul	K Hen III				"RLC, ii, p. 130"						To be held at the manor until the king came of age.	GL	Fri	1		mercatum		1251	15-Dec	K Hen III				"CR, 1251-3, pp. 25-6"						To be held at the royal manor. Mandate to sh of Derby to proclaim the market and cause it to be held.	GL	Thurs	1		mercatum		1258	09-Mar	K Hen III				"CR, 1256-9, p. 201"						To be held at the royal manor. Mandate to the sh of Nottingham to proclaim the market and cause it to be held.	Y	GL	vfm	Laurence	10-Aug	3	feria			1251	15-Dec	K Hen III				"CR, 1251-3, p. 25"						"To be held at the royal manor. Mandate to sh of Derby to proclaim the fair and cause it to be held. (CR, 1251-3, p. 25) Mandate to the sh of Derby to proclaim a fair on vf+2 Laurence at the king's manor, 18 Aug 1312. (CCR, 1307- 13, p. 475)"																																												"Market 4: GL Mandate to sh of Derby to proclaim a Mon market at the king's manor, 18 Aug 1312. (CCR, 1307-13, p. 475)"
6	CASTLETON	DERBYSHIRE	England	4150	3829	Y	1196	"BF, p. 85"			"Also known as Peak. The first reference to the borough of High Peak dates from 1196. (BF, p. 85) The borough is below the castle. In the 1334 lay subsidy, Castleton and Bradwell were valued together at £55."				GL	Wed	1		mercatum		1223	06-May	K Hen III				"RLC, i, p. 544b"						"To be held in the royal town called Peak. Notice to the sh of Derbyshire to proclaim the market and cause it to be held. (RLC, i, p. 544b) Mandate to the sh of Nottingham to make it known throughout his baliwick that henceforth the day of the market was changed to Thurs, 2 Nov 1245. (CR, 1242-7, p. 368)"																																							Y	P					nundine	1215								"PR, 17 John, p. 12"						"On account of the war, an unspecified number of fairs were not held. (PR, 17 John, p. 12) A fair was recorded on 15 Jun 1254. (CR, 1253-4, p. 76)"																																												
7	CHAPEL-EN-LE-FRITH	DERBYSHIRE	England	4065	3809							Y	"Everitt, p. 175"		P			c.1497		"K Hen VII, as duke of Lancaster"							"I.S.W. Blanchard ed., 'The Duchy of Lancaster's Estates in Derbyshire, 1485-1540', Derbyshire Archaeological Society record series, vol iii for 1967 (1971), p. 26"																																																																																																													"Ascension day; 27 Jul (Harrison, pp. 393, 395)"	"C.R. Hart records a market and three fairs here in 1254; the source has not been identified. (C.R. Hart, 'The North Derbyshire Archaeological Survey to A.D. 1500', (Chesterfield, 1981), fig. 10.8)"
8	CHARLESWORTH	DERBYSHIRE	England	4009	3929										GC	Wed	1				1328	21-Feb	K Edw III		A and C of Basingwerk		"CChR, 1327-41, p. 68"						"To be held at the manor. (CChR, 1327-41, p. 68) In 1330, the A of Bassingwerk was holding the market. (QW, p. 155)"																																							Y	GC	vfm	Mary Magdalen	22-Jul	3				1328	21-Feb	K Edw III		A and C of Basingwerk		"CChR, 1327-41, p. 68"						"To be held at the manor. (CChR, 1327-41, p. 68) In 1330, the A of Bassingwerk was holding the fair. (QW, p. 155)"																																												
9	CHESTERFIELD	DERBYSHIRE	England	4385	3712	Y	1204	"BF, p. 85"		67.79	"Royal manor granted to William Briwerr on 27 Sept 1204, creating a free borough. (RCh, p. 139a)"	Y	"Everitt, p. 175"		PB		1	1165	forum								"PR II Hen II, p. 87"						"Market noted as a source of royal revenue. Market noted in 1166-72, 1174-75, 1184, 1186-7, 1194, 1196 and 1207. (PR, 12 Hen II, p. 52; PR, 13 Hen II, p. 136; PR, 14 Hen II, p. 96; PR, 15 Hen II, p. 60; PR, 16 Hen II, p. 81; PR, 17 Hen II, p. 49; PR, 18 Hen II, p. 7; PR, 20 Hen II, p. 57; PR, 21 Hen II, p. 30; PR, 30 Hen II, p. 96; PR, 32 Hen III, p. 102; PR, 33 Hen II, p. 166; PR, 6 Ric I, p. 81; Chancellor's Roll, 8 Ric I, p. 266; PR, 9 John, p. 125) Whilst count of Mortain (i.e. before 1199) K John granted St Leonard and the sick men of Chesterfield the toll of the market. (RCh, p. 167; CChR, 1226-57, p. 177)"	GC	Tues and Sat	2		mercatum		1204	27-Sep	K John		William Briw		"RCh, p. 139"						"K John confirmed the Tues and Sat markets to Richard Briwer son of W. Briw' on 10 Dec 1213 and to William Briewerr on 16 Aug 1215. (RCh, pp. 195b, 217b) On 4 Feb 1328, K Edw III confirmed a grant by William son of William Briwerr to the Ca of Wellebec that they should be quit of toll in his market of Chesterfield. (CChR, 1327-41, p. 71) In 1330, Thomas le Wake, lord of Lydell, claimed the Sat market. (QW, p. 138) "																				Y	P					feria	1196	leprous brothers of Chesterfield							"Chancellor's Roll, 8 Ric I, p. 266"						"Fair noted in 1197-8 and 1207. (PR, 9 Ric I, p. 144; PR, 10 Ric I, p. 111; PR, 9 John, p. 124) Whilst count of Mortain (i.e. before 1199) K John granted St Leonard and the sick men of Chesterfield the toll of the fair. (RCh, p. 167)."	GC		Exaltation of Holy Cross	14-Sep	8	feria			1204	27-Sep	K John		William Brewer		"RCh, p. 139"						"K John confirmed the fair on Exaltation Holy Cross to Richard Briwer son of W. Briw' on 10 Dec 1213 and to William Briewerr on 16 Aug 1215. (RCh, pp. 195b, 217b) On 4 Feb 1328, K Edw III confirmed a grant by William son of William Briwerr to the Ca of Wellebec that they should be quit of toll in his fair of Chesterfield. (CChR, 1327- 41, p. 71) In 1330, Thomas le Wake, lord of Lydell, claimed the fair. (QW, p. 138)"	P	v+7	Palm Sunday		8	feria	1330	"Thomas le Wake, lord of Lydell"							"QW, p. 138"						Held at the manor.	"14 Sept (Harrison, p. 396)"	
10	CLIFTON	DERBYSHIRE	England	4165	3448					35.25					P			1222	mercatum	"Roger de Hilton, Roger Kide, Richard Cuble, Philip le Mercer and Richard Fabrum"							"CRR, x, p. 283"						"They were alleged to have set up the market to the detriment of that at Ashbourne, Derbyshire (q.v.). The market was held in the vill. (CRR, x, p. 283) The case continued in 1224. (CRR, xi, 36)"																																																																																																								
