Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
80	ALPHINGTON	DEVON	England	2919	899	Y	1304	"BF, p. 86"		28.5					PB			1350									"Kowaleski, 'Local Markets', p. 360"						"In 1350, a fish market was recorded here."																																																																																																								
61	ASHBURTON	DEVON	England	2755	698	Y	1238	"BF, p. 86"		33.46	Stannary town.	Y	"Everitt, p. 471"		PB			ante 1176-7	forum								"F.C. Hingeston-Randolph ed., 'The Register of John de Grandisson, Bishop of Exeter', (London, 1894-99), iii, p. 1570"						"This reference is to a market in a charter of Henry de Nunant and an earlier charter of of his father Roger. It probably concerns the period before 1176-7, when Roger de Nonant died."	GC	Sat	1				1309	12-Dec	K Edw II		"Walter, bp of Exeter"		"CChR, 1300-26, p. 133"						To be held at the manor. 																				Y	GC	vfm	Lawrence	10-Aug	3				1309	12-Dec	K Edw II		"Walter, bp of Exeter"		"CChR, 1300-26, p. 133"						To be held at the manor.	GC	vfm	Martinmas	11-Nov	3				1313	16-Nov	K Edw II		"Walter, bp of Exeter"		"CChR, 1300-26, p. 224"						To be held at the manor.																							
124	ASHPRINGTON	DEVON	England	2818	571					18.75					P			c.1134-8		Roger de Nunant son of Wido son of Roger seigneur de Nunant							"H.R. Watkin ed., 'The History of Totnes Priory and Medieval Town, Devonshire: together with the sister priory of Tywardreath, Cornwall', (Torquay, 1914) i, pp. 35-6"						"In c.1134-8, Roger de Nunant son of Wido son of Roger seigneur de Nunant granted to the ch of St Mary de Tototenesia [Totnes priory] and the M the fish market that he had made on the land of the M at Asprintona."																																																																																																								
45	AVETON GIFFORD	DEVON	England	2693	478	Y	1384	"BF, p. 86"		40					GC	Tues	1				1290	04-Jan	K Edw I		Robert de Dynham		"CChR, 1257-1300, p. 341"						To be held at the manor.																																							Y	GC	vfm	Invention of the Cross	03-May	3				1290	04-Jan	K Edw I		Robert de Dynham		"CChR, 1257-1300, p. 341"						To be held at the manor.	GC	vfm	Nativity of John the Baptist	24-Jun	3				1290	04-Jan	K Edw I		Robert de Dynham		"CChR, 1257-1300, p. 341"						To be held at the manor.																							
51	AWLISCOMBE	DEVON	England	3133	1018					10					GC	Wed	1				1292	10-Jul	K Edw I		Matthew Giffard		"CChR, 1257-1300, p. 423"						To be held at the manor.																																							Y	GC	vfm	Michael	29-Sep	3				1292	10-Jul	K Edw I		Matthew Giffard		"CChR, 1257-1300, p. 423"						To be held at the manor.																																												
81	AXMINSTER	DEVON	England	3297	985	Y	1209	"BF, p. 86"		50	"K John granted the royal manor of Axminster to William Brewer on 27 Sept 1204. (RCh, p. 139) The grant included a market, but not a fair (cf. Kowaleski, 'Local Markets', p. 360, which suggests that a fair was granted)."	Y	"Everitt, p. 471"		FP	Sun	1	27 Sept 1204	mercatum								"RCh, p. 139"						"On 27 Sept 1204, K John granted William Briwer the market as it was accustomed to be in that place ('sicut ibi esse consuevit'). This was part of the grant of the manor. (RCh, p. 139) The market was confirmed by K John on 16 Aug 1215. (RCh, p. 217b) In 1220, William Brewer alleged that the market was being damaged by the markets at Sidmouth, Devon and Lyme Regis, Dorset (q.v.). (CRR, ix, p. 212) In 1224, William de Breus' brought a suit against the Ca of Exeter and their market at Teignmouth (East), Devon (q.v.). (CRR, xi, no. 641) "																																																																																																								
21	BAMPTON	DEVON	England	2957	1223	Y	1180x1210; c.1200	"BF, p. 87; BF, supplement, p. 62"		57.44	There appear to have been two fairs (or two parts of the same fair belonging to separate owners) on the feast of St Luke: one associated with the manor and the other with the chapel of St Luke outside the main settlement.	Y	"Everitt, p. 471"		GC	Sat	1				1267	08-Sep	K Hen III		John Cogan		"CChR, 1257-1300, p. 80"						"To be held at the manor. (CChR, 1257-1300, p. 80) On 15 Jul 1321, K Edw II granted Richard de Kogan a Wed market in lieu. (CChR, 1300-26, p. 436)"																																							Y	FP	vfm	Luke	18-Oct	3		14 Jun 1258								"CChR, 1257-1300, p. 12"						"On 14 Jun 1258, K Hen III granted Master Osmund, rector of the ch of Bampton, a yearly fair at the chapel of St Luke without the town of Bampton, as enjoyed by his predecessors. On 17 Dec 1267, this charter was renewed at the instance of Master Osmond, rector of the ch of Bampton. (CChR, 1257-1300, pp. 12, 85) "	GC	vfm	Luke	18-Oct	3				1267	08-Sep	K Hen III		John Cogan		"CChR, 1257-1300, p. 80"						"To be held at the manor. (CChR, 1257-1300, p. 80) On 6 May 1302, John de Cogan was holding a fair on f Luke. (CIPM, iv, no. 89) "	GC	"Wed, Thurs, Fri in Whit week"	Whit week		3				1267	08-Sep	K Hen III		John Cogan		"CChR, 1257-1300, p. 80"						"To be held at the manor. (CChR, 1257-1300, p. 80) On 6 May 1302, John de Cogan was holding a fair on Thurs in Whit week. (CIPM, iv, no. 89)"		
82	BARNSTAPLE	DEVON	England	2560	1334	Y	c.1018	"BF, p. 87"	Edmund/Edgar-1135	187	"Borough in Domesday Book. (Darby, p. 364) See also the entries for Pilton and Newport, Devon (q.v.). Barnstaple was the second most important market centre in medieval Devon after Exeter, Devon (q.v.). (Kowaleski, 'Local Markets', p. 69)"	Y	"Everitt, p. 471"		PB PM	Fri	1	1274		"Henry de Tracy, lately deceased"							"J.R. Chanter and T. Wainwright eds, 'Reprint of the Barnstaple Records', (Barnstaple, 1900), i, p. 105"						"The market produced 60s. in 1274. Fri was the market day in 1689. (J.R. Chanter and T. Wainwright eds, 'Reprint of the Barnstaple Records', (Barnstaple, 1900), i, pp. 97, 105) This was the most successful market in Barnstaple. (Kowaleski, 'Local Markets', p. 69)"	PB PM	Wed	1	1344									"Kowaleski, 'Local Markets', pp. 69, 360"						The Wed market was established after that on Fri. It may date from before 1272. 																				Y	P	vfm	Nativity of Mary	08-Sep	2		1154								"Kowaleski, 'Local Markets', table A2.1, p. 360"						"In 1274, Henry de Tracy, lately deceased, was holding a fair from 9 o'clock on the v of the Blessed [Mary] Virgin until vespers on the f. The fair produced 10s. per year. (J.R. Chanter and T. Wainwright eds, 'Reprint of the Barnstaple Records', (Barnstaple, 1900), i, p. 105) It was one of the most important fairs in Devon. (Kowaleski, 'Local Markets', p. 59)"	GP	vf+2	Mary Magdalene	22-Jul	4				1343	18-May	K Edw III		burgesses of Barnstaple		"CPR, 1343-5, p. 90"						"The fair was not successful. (Kowaleski, 'Local Markets', p. 69)"																							
55	BERE FERRERS	DEVON	England	2458	634	Y	1305	"BF, p. 87"		17.5	"Kowaleski identified the site of this market and fair as Bere Alston, which in the fourteenth century was a hamlet of Bere Ferrers. (Kowaleski, 'Local Markets', p. 360; J.E.B. Gover, A. Mawer and F.M. Stenton eds., 'The Place-Names of Devon', (Cambridge, 1932), i, p. 223)"	Y	"Everitt, p. 471"		GC	Wed	1				1295	28-Dec	K Edw I		Reginald de Ferrariis		"CChR, 1257-1300, p. 463"						To be held at the manor.																																							Y	GC	vfm	Andrew	30-Nov	3				1295	28-Dec	K Edw I		Reginald de Ferrariis		"CChR, 1257-1300, p. 463"						To be held at the manor.																																												
38	BIDEFORD	DEVON	England	2453	1265	Y	1204x17	"BF, p. 87"		72.5		Y	"Everitt, p. 471"		PB	Fri	1	26 Aug 1218	mercatum								"RLC, i, p. 369"						"On 26 Aug 1218, the sh of Devon was ordered that henceforth the day of market was to be changed from Fri to Wed."	GC	Mon	1				1272	25-May	K Hen III		Richard de Greyvill		"CChR, 1257-1300, p. 181"						"To be held at the manor. (CChR, 1257-1300, p. 181) In 1274-5, Richard de Greyvile was holding a Mon market in the borough of Bideford. (RH, i, p. 64)"																				Y	GC	vf+3	Margaret	20-Jul	5				1272	25-May	K Hen III		Richard de Greyvill		"CChR, 1257-1300, p. 181"						"To be held at the manor. (CChR, 1257-1300, p. 181) In 1274-5, Richard de Greyvile was holding a fair on vf Margaret the virgin in the manor of Bideford. (RH, i, p. 64)"																																												
