Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ABBOTSBURY	DORSET	England	3578	852					66.39	"Abbey from tenth century; the settlement had a guild and guildhall in the eleventh century. (D. Whitelock ed., 'English Historical Documents: c.500-1042', second edition (London, 1979), pp. 605-6)."	Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 11-14"	P	Sun	1	1274-5	mercatum	A of Abbotsbury							"RH, i, p. 103"						"In 1274-5, the burgesses of Bridport alleged that the A of Abbotsbury's market was damaging that at Bridport, Dorset (q.v.) by 30s. per annum. They claimed that the market was held without warrant. (RH, i, p. 103) In 1278, the A of Abbotsbury was called to answer by what warrant he held a market to the detriment of the king's borough at Bridport, Dorset (q.v.). However, the A denied that he claimed a market at Abbotsbury. (QW, p. 185)"	GC	Fri	1				1281	23-May	K Edw I		A and C of Abbotsbury		"CChR, 1257-1300, p. 250"						To be held at the manor. 																																																																																					
38	ASHLEY	DORSET	England	3554	907						Grid references refer to Litton Cheney which incorporates Ashley.				P			8 May 1382		A and M of St Edward now called Lettele [Netley Abbey]							"CCR, 1381-5, p. 58"						"The abbey was to have its markets and the markets of its men at Ashley and at other places, implying that there was at least one market at Ashley. (CCR, 1381-5, p. 58) For the other places, see Friar Waddon, Dorset; East Wellow, Hound, Netley, Totton, Hampshire; North Leigh, Oxfordshire; Gomshall, Surrey and Kingston Deverill, Latton, Wiltshire (q.v.)."																																																																																																								
23	BEAMINSTER	DORSET	England	3479	1012					49.5		Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 15-18"	GC	Thurs	1				1284	13-Jun	K Edw I		"Master William de Ewell and Thomas de Rupton, Ca of the ch of St Mary, Salisbury, and their successors"		"CChR, 1257-1300, p. 275"						To be held at their prebends of Beaminster.																																							Y	GC	vfm	Nativity of Mary	08-Sep	3				1284	13-Jun	K Edw I		"Master William de Ewell and Thomas de Rupton, Ca of the ch of St Mary, Salisbury, and their successors"		"CChR, 1257-1300, p. 275"						To be held at their prebends of Beaminster.																																												
8	BERE REGIS	DORSET	England	3848	948					123		Y	"Everitt, p. 471"		GL	Wed	1		mercatum		1215	13-Jul	K John		men of Bere		"RLC, i, p. 220b"							GC	Wed	1				1267	24-May	K Hen III		John de Turbervill		"CChR, 1257-1300, p. 75"						To be held at the manor.																				Y	GC	v+7	Assumption of Mary	15-Aug	8				1267	24-May	K Hen III		John de Turbervill		"CChR, 1257-1300, p. 75"						To be held at the manor.																																												
34	BLANDFORD FORUM	DORSET	England	3886	1063	Y	1244	"BF, p. 101"		21.5		Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 19-22"	PB	Sun	1	24 Aug 1218	mercatum								"RLC, i, p. 368b"						Mandate to the sh of Dorset that the day of the market was henceforth to be changed from Sun to Sat.																																							Y	GC	vfm	Peter and Paul	29-Jun	3				1307	04-Feb	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1300-26, p. 78"						To be held at the manor.	P	All Saints	01-Nov				8 Jun 1415	"K Hen V [previously by the dukes of Lancaster, who had succeeded to the estates of Henry de Lacy]"							"CChR, 1341-1417, p. 483"						"On 8 Jun 1415, K Hen V granted that in future the fair would be held on f Simon and Jude (28 Oct) in lieu. "																							
46	BRIDPORT	DORSET	England	3466	928	Y	early tenth century	"Defence, pp. 192-3"	c.979-1100	99.71	"References to 'Brydian' as an Anglo-Saxon burgh in the Burghal Hidage and to a mint at 'Bridia' in 924-39 probably relate to Bridport, although they could relate to Long Bredy, Dorset. (Defence, p. 192; Challis, pp. 42, 47) In 1274-5, the borough of Bridport was allegedly being damaged by the markets at Charminster and Abbotsbury, Dorset (q.v.); these were causing 20s. and 30s. worth of damage each year respectively. (RH, i, p. 103) In 1278, the A of Abbotsbury was called to answer by what warrant he held a market at Abbotsbury, Dorset (q.v.), raised to the detriment of the king's borough at Bridport. The A denied that he claimed a market at Abbotsbury. (QW, p. 185)"	Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 23-9"	PB PM	"Wed, Sat"	2	1278	mercatum	K Edw I							"QW, p. 182"						"In 1278, it was alleged that the king's market at Bridport was being damaged by the market at Charminster, Dorset (q.v.). In the same year, it was alleged that the king's market, held on Wed and Sat, was being damaged by that at Lyme Regis, Dorset (q.v.), which was meant to be held on Mon, but was being held on every day of the week. The distance between Bridport and Lyme Regis was stated to be more than 5 but less than 6 miles [Bridport is 8 miles from Lyme Regis, across Lyme bay]. The case is not complete. (QW, p. 185) "																																																																																																								
13	CERNE ABBAS	DORSET	England	3666	1012					76.06		Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 30-1"	GC		1		forum		1175		K Hen II		A of Cerne		"Cartae Antiquae, 11-20, no. 495"						"To be held in the town. (Cartae Antiquae, 11-20, no. 495) Market, the day of which was not given, mentioned in 1228. (CRR, xiii, no. 1139) On 23 May 1270, K Hen III inspected and confirmed a charter of K Hen II granting the A of Cerne a market, the day of which was not given, in the town of Cerne. (CChR, 1257-1300, p. 143). "																																							Y	GC	f+4	"Augustine the archbp the apostle of the English, in May"	26-May	5				1459	28-Apr	K Hen VI		"John Van', A of Cerne and the C"		"CChR, 1427-1516, p. 130"																																																		
47	CHARMINSTER	DORSET	England	3679	927					18.5					P	Sun	1	1274-5	mercatum	bp of Salisbury							"RH, i, p. 103"						"The burgesses of Bridport, Dorset (q.v.) alleged that the bp of Salisbury's market was damaging their borough to the value of 20s. each year. (RH, i, p. 103) In 1278, it was alleged that the market of the bp of Salisbury at Charminster was damaging the king's market at Bridport. However, the bp denied that he had or claimed a market. (QW, p. 182)"																																																																																																								
18	CHARMOUTH	DORSET	England	3365	935	Y	1320	"BF, p. 102"						"Historic Towns in Dorset, pp. 34-5"	PB	Mon	1	2 May 1278		A and C of Ford							"CChR, 1257-1300, p. 213"						"On 2 May 1278, K Edw I granted the A and C of Ford a Wed market in lieu of that on Mon."																																							Y	P	vfm	Peter ad Vincula	01-Aug	3		2 May 1278	A and C of Ford							"CChR, 1257-1300, p. 213"						"On 2 May 1278, K Edw I granted the A and C of Ford a fair on the vfm Matthew (21 Sept) in lieu of that on the vfm Peter ad Vincula."																																												
1	CORFE	DORSET	England	3961	820	Y	1268	"BF, p. 102"		21.5	Royal town associated with the castle built by K Wil I.	Y	"Everitt, p. 471"	"Historic Towns in Dorset, pp. 44-8"	GP	Sat	1		mercatum		1215	01-Feb	K John		men of Corfe		"RLP, i, p. 127"						To be held in the royal town.	GC	Mon	1				1248	20-Oct	K Hen III		men of Corfe		"CChR, 1226-57, p. 334"																										Y	GC	vf	Edward the martyr in the month of March	18-Mar	2				1248	20-Oct	K Hen III		men of Corfe		"CChR, 1226-57, p. 334"																																																		
