Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
3	BARNARD CASTLE	DURHAM	England	4051	5166	Y	c.1175	"BF, p. 105"				Y	"Everitt, p. 468"		PB		1	1293	mercatum	"John, K of Scotland"							"QW, p. 604"						Within the liberties of the bp of Durham.																																							Y	P					feria	1293	"John, K of Scotland"							"QW, p. 604"						Within the liberties of the bp of Durham.																																												"On 16 Jul 1440, it was alleged that markets and fairs set up at several places in Yorkshire and Durham, including Barnard Castle, were detrimental to the burgesses at Richmond, Yorkshire (q.v.). (CPR, 1436-41, p. 452)"
4	BISHOP AUCKLAND	DURHAM	England	4210	5290	Y	1242-3	"BF, p. 105"				Y	"Everitt, p. 468"		PB			Jan 1307		bp of Durham							"C.M. Fraser, 'Records of Anthony Bec, Bishop and Patriarch, 1283-1311', The Surtees Society, clxii, (1947), p. 123"						"In Jan 1307, it was stated that the royal keeper took an unspecified number of markets into royal hands, during the confiscation of the bp of Durham's liberty. "																																																																																																								
13	CHESTER-LE-STREET	DURHAM	England	4272	5517						"Seat of bishopric from 883, when transferred from Holy Island, Northumberland (q.v.), until 990, when transferred to Durham, Durham (q.v.). As the seat of a bishopric this was probably a focus of commerce; no record of a medieval market has been found, but there was one there after 1500. (T. Corfe, D. Wilcock, B.K. Roberts eds., 'An Historical Atlas of County Durham', (Hexham, 1992))"																																																																																																																														
5	DARLINGTON	DURHAM	England	4291	5145	Y	1183	"BF, p. 105"				Y	"Everitt, p. 468"		PB		1	1293	mercatum	bp of Durham							"QW, p. 604"						"In Jan 1307, it was stated that the royal keeper took an unspecified number of markets into royal hands, during the confiscation of the bp's liberty. (C.M. Fraser, 'Records of Anthony Bec, Bishop and Patriarch, 1283-1311', The Surtees Society, clxii, (1947), p. 123)"																																							Y	P					feria	1293	bp of Durham							"QW, p. 604"																																																		
6	DURHAM	DURHAM	England	4274	5420	Y	1130	"BF, p. 106; BF, supplement, p. 62"	1066-1154		"Natural fortress on peninsula site overlooking river Wear. Traditionally, the site was settled c.995 by the community of St Cuthbert. It subsequently became one of the most important centres of pilgrimage in England. See of the bishopric was transferred from Chester-le-Street, Durham (q.v.) to Durham in 990. The city was administrative centre of the largely autonomous region that the bps controlled and its principal market town. By 1200 there were four boroughs at Durham. The Bishop's borough (also known as the borough of Durham), was held by the bp. The burgesses of the borough of Durham are first recorded in 1130; in c.1179, Bp Hugh du Puiset granted them the free customs of Newcastle upon Tyne, Northumberland (q.v.). The three other boroughs were first recorded in the twelfth century. Old Borough (also called Crossgate) was held by Durham priory. The borough of Elvet (or New Elvet) was developed by Bp Puisset but granted to the priory; the burgesses of the new borough of Elvethalge were granted a charter by Prior Bertram and the convent in 1188x1219. The fourth borough, that of St Giles, first recorded in c.1180, was originally held by the bp, who granted it to Kepier hospital. Whilst these boroughs were physically separate when established, they subsequently developed and merged together. Only the bp's borough had a market; the other three were unusual boroughs, in that they did not have markets. (M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), pp. 9-10, 26-9, pp. 41-9; R.H. Britnell, 'Boroughs, markets and trade in northern England, 1000-1216' in R.H. Britnell, R.H. Hatcher eds., 'Progress and Problems in Medieval England', (Cambridge, 1996), p. 51; BF, pp. 106- 7, supplement, p. 62)"	Y	"Everitt, p. 468"		PB PM		1	1040	forum								"M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), p. 26; Beresford, p. 432"						"The market may have been held on the neck of the peninsula, or in the area later known as the 'placea'. (M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), p. 26) The bp of Durham was holding a market in 1293. (QW, p. 604) In Jan 1307, it was stated that the royal keeper took an unspecified number of markets at Durham into royal hands, during the confiscation of the bp's liberty. (C.M. Fraser, 'Records of Anthony Bec, Bishop and Patriarch, 1283-1311', The Surtees Society, clxii, (1947), p. 123) "																																							Y	P		Cuthbert	20-Mar			twelfth century								"M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), pp. 10, 32"							P		Trans of Cuthbert	04-Sep			twelfth century								"M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), pp. 10, 32"																												"20 Mar (Harrison, p. 393)"	"The fairs may have begun as a result of the translation of the saint's body in 1104. (M. Bonney, 'Lordship and the Urban Community: Durham and its Overlords 1250-1540', (Cambridge, 1990), pp. 10, 32) Fair held by the bp of Durham recorded in 1293. (QW, p. 604)"
7	GATESHEAD	DURHAM	England	4246	5605	Y	1153x95	"BF, p. 106"							PB																		No further information for the market.																																																																																																								
2	GREATHAM	DURHAM	England	4495	5275									"VCH Durham, iii, p. 242"	GC	Wed	1				1445	15-Dec	K Hen VI		hospital of Greatham		"CChR, 1427-1516, p. 46"						"There is no further evidence for the market. (VCH Durham, iii, p. 242)"																																							Y	GC	vf+2	George	23-Apr	4				1445	15-Dec	K Hen VI		hospital of Greatham		"CChR, 1427-1516, p. 46"						"There is no further evidence for the fair. (VCH Durham, iii, p. 242)"	GC	vf+2	Exaltation of the Holy Cross	14-Sep	4				1445	15-Dec	K Hen VI		hospital of Greatham		"CChR, 1427-1516, p. 46"						"There is no further evidence for the fair. (VCH Durham, iii, p. 242)"																							
1	HARTLEPOOL	DURHAM	England	4504	5324	Y	1162x85	"BF, p. 106"			"Monastic site in the seventh to ninth centuries, with some evidence of specialised economic activity."	Y	"Everitt, p. 468"	"VCH Durham, iii, pp. 270-1"	GO	Wed	1		mercatum		1201		K John		William de Brus		"PR, 3 John, pp. 249-50 "						"William owed 20m. for having a market and fair. (PR, 3 John, pp. 249-50) On 26 Jun 1215, Philip de Ulecot was notified that K John had granted Robert de Brus, son and heir of William de Brus, a Wed market, as it was set out in the charter. (RLC, i, p. 217) On 11 Nov 1218, an agreement between Robert Brus and Patrick, earl of Dunbar and C. the countess, records that Patrick was to retain one third of the market. (Calendar of Documents relating to Scotland, i, 1108-1272, p. 123, no. 700) In 1293, Robert de Brus had a market in Hartlepool, within the liberties of the bp of Durham. (QW, p. 604) "	GO	Tues	1				1230		"Richard le Poor, bp of Durham"		burgesses of Hartlepool		"VCH Durham, iii, p. 270"						"On 2 July 1234, K Hen III confirmed the charter of Richard [le Poor], bp of Durham. The charter of K Hen III was confirmed on 28 Jan 1365 by K Edw III. (CChR, 1341-1417, p. 191) Market held by Maud, widow of Roger Clifford on 12 Mar 1403. (CIPM, xviii, no. 775) Tues market recorded in 1592-3; it had fallen into disuse by 1720. (VCH Durham, iii, pp. 272, 275)"	PB	Fri	1	12 Mar 1403		"Maud, widow of Roger Clifford "							"CIPM, xviii, no. 775"							Y	GO				3	feria			1201		K John		William de Brus		"PR, 3 John, pp. 249-50"						"William owed 20m. for having a market and a fair lasting three days. (PR, 3 John, pp. 249-50) On 26 Jun 1215, Philip de Ulecot was notified that K John had granted Robert de Brus, son and heir of William de Brus, a fair on f+2 Laurence (10 Aug), as it was set out in the charter. (RLC, i, p. 217) On 11 Nov 1218, an agreement between Robert Brus and Patrick, earl of Dunbar and C. the countess, records that Patrick was to retain one third of the fair. (Calendar of Documents relating to Scotland, i, 1108-1272, p. 123, no. 700) In 1293, Robert de Brus had a fair in Hartlepool, within the liberties of the bp of Durham. (QW, p. 604)"	GC	f+14	Laurence	10-Aug	15				1230		"Richard le Poor, bp of Durham"		burgesses of Hartlepool		"VCH Durham, iii, p. 270"						"On 2 July 1234, K Hen III confirmed the charter of Richard [le Poor], bp of Durham. The charter of K Hen III was confirmed on 28 Jan 1365 by K Edw III. (CChR, 1341-1417, p. 191) Fair on f Lawrence was held by Maud, widow of Roger de Clifford in 1403. (CIPM, xviii, no. 775) Fair of Lawrence recorded in 1592-3. (VCH Durham, iii, p. 272)"	P	f	Invention of the Holy Cross	03-May	1		12 Mar 1403	"Maud, widow of Roger de Clifford"							"CIPM, xviii, no. 775"								
12	NORTON	DURHAM	England	4443	5222									"VCH Durham, iii, p. 305"	GO	Sun	1				1109		K Hen I		"Ranulph, bp of Durham"		"Regesta, ii, no. 925"						Possibly granted in 1109. 																																																																																																								
11	SEDGEFIELD	DURHAM	England	4356	5286									"VCH Durham, iii, p. 321"	GC	Fri	1				1312	22-Nov	"Richard [de Kellawe], bp of Durham"		vill of Sedgefield		"T.D. Hardy ed., 'Registrum Palatinum Dunelmense', Rolls Series, (London, 1874), ii, pp. 1180-1"						"To be held in the vill. (T.D. Hardy ed., 'Registrum Palatinum Dunelmense', Rolls Series, (London, 1874), ii, pp. 1180-1) Market had fallen into disuse before 1343, when illegal trading was taking place on Sun. (VCH Durham, iii, p. 321)"																																							Y	GC	vf+3	Edmund the archbp	16-Nov	5				1312	22-Nov	"Richard [de Kellawe], bp of Durham"		vill of Sedgefield		"T.D. Hardy ed., 'Registrum Palatinum Dunelmense', Rolls Series, (London, 1874), ii, pp. 1180-1"						"To be held in the vill. (T.D. Hardy ed., 'Registrum Palatinum Dunelmense', Rolls Series, (London, 1874), ii, pp. 1180-1) It is assumed that the fair was held on the feast of Edmund, rather than on the translation (9 Jun)."																																												
