Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
29	ALKERTON	GLOUCESTERSHIRE	England	3774	2053					16.88				"VCH Gloucestershire, x, p. 133"	GC	Tues	1				1304	28-Jul	K Edw I		William de Wauton		"CChR, 1300-26, p. 47"						"In 1402, tolls were leased from the manor. There is no further evidence for the market. (VCH Gloucestershire, x, p. 133)"																																							Y	GC	vfm	Kenelm the Martyr	17-Jul	3				1304	28-Jul	K Edw I		William de Wauton		"CChR, 1300-26, p. 47"						"In 1402, tolls were leased from the manor. There is no further evidence for the fair. (VCH Gloucestershire, x, p. 133)"																																												
24	ALMONDSBURY	GLOUCESTERSHIRE	England	3603	1841					46.5					GC	Wed	1				1285	08-May	K Edw I		"A and C of St Augustine, Bristol [St Augustine's abbey, Bristol]"		"CChR, 1257-1300, p. 285"						To be held at the manor.																																							Y	GC	f+5	Whit Mon		6				1285	08-May	K Edw I		"A and C of St Augustine, Bristol [St Augustine's abbey, Bristol]"		"CChR, 1257-1300, p. 285"						To be held at the manor.																																												
1	ALVINGTON	GLOUCESTERSHIRE	England	3603	2007					75				"VCH Gloucestershire, v, p. 12"	GC	Mon	1				1265	04-Sep	K Hen III		"P and C of Lanthony without Gloucester [priory of Llanthony Secunda, by Gloucester]"		"CChR, 1257-1300, p. 56"						"VCH provides no further evidence for the market and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12) It seems likely that it was superseded by the Tues market."	GC	Tues	1				1267	16-Nov	K Hen III		"P and C of Lawntouney without Gloucester [priory of Llanthony Secunda, by Gloucester]"		"CChR, 1257-1300, p. 84"						"To be held at the manor. (CChR, 1257-1300, p. 84) It seems likely that this superseded the Mon market. On 3 Sept 1394, K Ric II granted the market to the P and C of St Mary and St John the Baptist of Lanthony by Gloucester. (CChR, 1341-1417, pp. 348-9) VCH provides no further evidence for the market and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12)"																				Y	GC	vfm	Assumption	15-Aug	3				1265	04-Sep	K Hen III		"P and C of Lanthony without Gloucester [priory of Llanthony Secunda, by Gloucester]"		"CChR, 1257-1300, p. 56"						"VCH provides no further evidence for the fair and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12) It is probable that this was superseded by the fair granted in 1267."	GC	vfm	Laurence	10-Aug	3				1267	16-Nov	K Hen III		"P and C of Lawntouney without Gloucester [priory of Llanthony Secunda, by Gloucester]"		"CChR, 1257-1300, p. 84"						"To be held at the manor. (CChR, 1257-1300, p. 84) VCH provides no further evidence for the fair and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12) It is probable that this superseded the fair granted in 1265."	GC	Tues and Wed in Whit week			2				1394	03-Sep	K Ric II		"P and C of St Mary and St John the Baptist of Lanthony [priory of Llanthony Secunda, by Gloucester]"		"CChR, 1341-1417, pp. 348-49"						"To be held at the town. (CChR, 1341-1417, pp. 348-9) VCH provides no further evidence for the fair and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12)"		"Fair 4: GC vf Nativity of Mary (8 Sept); gr 3 Sept 1394 by K Ric II to P and C of St Mary and St John the Baptist of Lanthony [priory of Llanthony Secunda, by Gloucester]. To be held at the town. (CChR, 1341-1417, pp. 348-9) VCH provides no further evidence for the fair and suggests that if established, it had fallen into disuse by 1539. (VCH Gloucestershire, v, p. 12)"
58	ASHLEY	GLOUCESTERSHIRE	England	3931	1947						"Transferred from Wiltshire to Gloucestershire in 1931. (Guide, i, p. 162) In the 1334 Lay Subsidy, Ashley and Poole Keynes, Gloucestershire (q.v.) were valued together at £46. (Glasscock, p. 337)"				GC	Sun	1				1304	28-Jul	K Edw I		Henry de Urtiaco		"CChR, 1300-26, p. 44"						To be held at the manor.																																							Y	GC	vfm	James	25-Jul	3				1304	28-Jul	K Edw I		Henry de Urtiaco		"CChR, 1300-26, p. 44"						To be held at the manor.																																												
56	BEACHLEY	GLOUCESTERSHIRE	England	3551	1911									"VCH Gloucestershire, x, pp. 64, 73"	GC	Wed	1				1294	13-May	"Roger le Bygod, earl of Norfolk"		John ap Adam		"I.H. Jeayes ed., 'Descriptive Catalogue of the Charters and Muniments in the possession of the Rt. Hon. Lord Fitzhardinge at Berkeley Castle', (Bristol, 1892) no. 459"						"To be held at the manor. (I.H. Jeayes ed., 'Descriptive Catalogue of the Charters and Muniments in the possession of the Rt. Hon. Lord Fitzhardinge at Berkeley Castle', (Bristol, 1892) no. 459) There is no further evidence for the market. (VCH Gloucestershire, x, p. 73)"																																							Y	GC	vfm	Margaret the virgin	20-Jul	3				1294	13-May	"Roger le Bygod, earl of Norfolk"		John ap Adam		"I.H. Jeayes ed., 'Descriptive Catalogue of the Charters and Muniments in the possession of the Rt. Hon. Lord Fitzhardinge at Berkeley Castle', (Bristol, 1892) no. 459"						"To be held at the manor. (I.H. Jeayes ed., 'Descriptive Catalogue of the Charters and Muniments in the possession of the Rt. Hon. Lord Fitzhardinge at Berkeley Castle', (Bristol, 1892) no. 459) There is no further evidence for the fair. (VCH Gloucestershire, x, p. 73)"																																												
41	BERKELEY	GLOUCESTERSHIRE	England	3683	1993	Y	1190x1200	"BF, p. 111"	1042-66	53.77	"See also the entry for Newport, Gloucestershire (q.v.)."	Y	"Everitt, p. 471"		PB PM		1	1086	forum								"Darby, p. 369"						"Seventeen men were living in the market in 1086. (Darby, p. 369) In 1153, Henry duke of Aquitaine [later K Hen II] granted Robert fitz Harding the manor with a free market on a day of his choosing and his own mint. (Regesta, iii, nos. 310, 311) It seems that the mint at Berkeley was not revived. On 27 Sept 1189, K Ric I granted Robert, son of Maurice de Berkelai a free market to be held on whatever day of the week he wished, just as the charter of Henry his father granted it to Robert fitz Harding. Market recorded in 1287, when it was held on Mon. (QW, p. 256) The charter of K Ric I was confirmed by K Edw III to Thomas de Berkele on 8 Jun 1330. (CChR, 1327-41, pp. 178-9) "																																							Y	P	vfm	Nativity of Mary	08-Sep	3	feria	1287	Thomas de Berkle							"QW, p. 256"							P	Mon in Pentecost week	Pentecost		1	feria	1287	Thomas de Berkle							"QW, p. 256"							GC	vf	Invention of the Cross	03-May	2				1396	16-Feb	K Ric II		"Thomas, lord of Berkeley"		"CChR, 1341-1417, p. 352"						To be held at the town.		
26	BEVERSTON	GLOUCESTERSHIRE	England	3862	1940					77.06					GC	Mon	1				1292	10-Jun	K Edw I		John ab Adam and Elizabeth his wife		"CChR, 1257-1300, p. 428"						To be held at the manor.																																							Y	GC	vfm	Assumption	15-Aug	3				1292	10-Jun	K Edw I		John ab Adam and Elizabeth his wife		"CChR, 1257-1300, p. 428"						To be held at the manor.																																												
2	BITTON	GLOUCESTERSHIRE	England	3682	1693						"In the 1334 Lay Subsidy, Bitton and Hanham court were jointly assessed at £92.50. (Glasscock, p. 94)"				GC	Tues	1				1231	02-Mar	K Hen III		William de Putot		"CChR, 1226-57, p. 130"						"Mandate to the sh of Gloucestershire to read the charter in the full session of the county court and to cause it to be held, 5 Mar 1231. (CR, 1227-31, p. 482) On 24 Nov 1220, Robert de Amenevill gave 5m. for a Tues market, to be held until the king came of age. (C 60/14 m.5) However, in 1221 it was recorded that Robert de Amenevill ought not to be summoned for the 5m. he owed for a Tues market, because he did not have the market, nor was he able to have it for what he promised. (PR, 5 Hen III, p. 237)"																																																																																																								
59	BLOCKLEY	GLOUCESTERSHIRE	England	4164	2350	Y		Ex info C. Dyer		42.75	"Transferred from Worcestershire to Gloucestershire in 1931. (Guide, i, p. 165) The borough or burgesses were mentioned in a court roll in Worcester Cathedral library."	Y	"Everitt, p. 472"	"VCH Worcestershire, iii, p. 271"	PB																		No further information for medieval market.																																							Y	GO	vf	Michael	29-Sep	2	feria			1224	20-Oct	K Hen III		bp of Worcester		C 60/20 m.1						"To be held until the king came of age. (C 60/20 m.1) On 23 Dec 1239, K Hen III granted Walter, bp of Worcester a fair on 3+vf Michaelmas. (CChR, 1226-57, p. 248) On 7 May 1270, K Hen III granted Godfrey, bp of Worcester, a fair at the manor of Blockley on 3+vfm Michael. (CChR, 1257-1300, p. 139) Fair recorded c.1282. (M. Hollings ed., 'The Red Book of Worcester', Worcestershire Historical Society (1939) iii, p. 312)"	P	vfm+5	Matthew	21-Sep	8		15 Feb 1286	G. bp of Worcester							"CChR, 1257-1300, p. 329"						"Held at the manor. On 15 Feb 1286, K Edw I granted that the fair be extended to another eight days, at the request of G bp of Worcester. (CChR, 1257-1300, p. 329) According to VCH, the fairs on Matthew and Michaelmas were joined by this grant. (VCH Worcestershire, iii, p. 271)"																							
38	BRIMPSFIELD	GLOUCESTERSHIRE	England	3942	2128					24.89				"VCH Gloucestershire, vii, p. 146"	GC	Tues	1				1354	18-May	K Edw III		"Lionel, the king's son"		"CChR, 1341-1417, p. 140"						"To be held at the town. (CChR, 1341-1417, p. 140) There is no further evidence for the market. (VCH Gloucestershire, vii, p. 146)"																																							Y	GC	vf	Corpus Christi		2				1354	18-May	K Edw III		"Lionel, the king's son"		"CChR, 1341-1417, p. 140"						"To be held at the town. (CChR, 1341-1417, p. 140) There is no further evidence for the fair. (VCH Gloucestershire, vii, p. 146)"																																												
