Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ALTON	HAMPSHIRE	England	4714	1390	Y	1295	"BF, p. 117"		55	Pre-conquest royal manor. There is some uncertainty about the borough date of 1295.	Y	"Everitt, p. 175"	"VCH Hampshire, ii, p. 479"	PB																		No further information for the market.																																							Y	GC	vf+7	Whitsunday		9				1320	22-Nov	K Edw II		"Edmund de Wodestock, the king's brother"		"CChR, 1300-26, p. 434"						To be held at the manor.																																												
22	ANDOVER	HAMPSHIRE	England	4365	1458	Y	1205	"BF, p. 117"		199.96	"Pre-conquest royal manor with a ch to which a Benedictine Priory was attached before 1086. (VCH Hampshire, iv, p. 346) Merchant guild in 1175. (BF, p. 117)"	Y	"Everitt, p. 175"	"VCH Hampshire, iv, p. 346"	PB		1	1243	mercatum								"CRR, xvii, no. 174"																																													Y	GC	v+3	Leonard	06-Nov	4	feria			1205	29-May	K John		burgesses of Andover		"RCh, p. 152"						Cancelled because the charter was broken ('fracta fuit').																																												
36	BARTON STACEY	HAMPSHIRE	England	4434	1412					72.87				"VCH Hampshire, iv, p. 417"	GL	Sat	1		mercatum		1215	05-Mar	K John		Emerico de Sacy		"RLC, i, p. 189b"						"To be held at the manor. (RLC, i, p. 189b) On 5 May 1221, the day of Emeric de Stacy's market was changed from Sat to Fri. (RLC, i, p. 455b) On 8 Oct 1241, K Hen III granted Eymery de Sacy that the day of his market would be changed from Sat to Fri. To be held at the manor. (CChR, 1226-57, p. 261)"																																							Y	GC	vf	Margaret	20-Jul	2				1241	08-Oct	K Hen III		Eymery de Sacy		"CChR, 1226-57, p. 261"						To be held at the manor.																																												
23	BASINGSTOKE	HAMPSHIRE	England	4637	1522	Y	1236	"BF, p. 118"		123	Pre-conquest royal manor.	Y	"Everitt, p. 175"	"VCH Hampshire, iv, pp. 129, 133"	PB		1	1086	mercatum								"Darby, p. 369"						"The market was worth 30s. in 1086. (Darby, p. 369) In 1203, the vill of Basingstoke owed 2m. so that the day of the market could be changed from Sun to Mon. (PR, 5 John, p. 148) On 26 Jun 1214, the sh of Southampton was notified that the market which was accustomed to be held at Basingstoke would henceforth be held on Wed. (RLC, i, p. 207) The previous day of the market is not given. Market, the day of which is not given, noted in 1234. (CRR, xv, no. 1100) Between 1267-8, it was claimed that the A of Wherwell's market at Wherwell, Hampshire (q.v.) was damaging the king's free market at Basingstoke. (Abb Plac., pp. 163, 173) Wed market continued until the twentieth century. (VCH Hampshire, iv, p. 133)"																																							Y	GC		Wed to Fri in Whit week	Whit week	3				1449	16-May	K Hen VI		men of Basingstoke		"CChR, 1427-1516, p. 107"						"To be held at the chapel of the Holy Ghost, from mid day on Wed to mid day on Fri. (CChR, 1427-1516, p. 107) Fair continued until the late eighteenth century. (VCH Hampshire, iv, p. 133)"																																												"A charter of 1622 mentions a second fair, 'of ancient date', on f Michael the archangel (29 Sept). There is no further information for this fair (VCH Hampshire, iv, p. 133)"
59	BISHOP'S WALTHAM	HAMPSHIRE	England	4556	1176					30.5	"An important estate of the bps of Winchester from the tenth century until 1551 and a site of one of their principal residences. (VCH Hampshire, iii, p. 277)"			"VCH Hampshire, iii, p. 278"	P		1	1273-4		bp of Winchester							"RH, ii, p. 224"						"In 1273-4, an inquisition noted that the markets of Bishop's Waltham and Titchfield, Hampshire (q.v.), were damaging another, unspecified, market. The days of these markets were not given. (RH, ii, p. 224) VCH speculates that the markets at Bishop's Waltham and Titchfield were probably a joint market, held alternate weeks at either place and were discontinued after the inquisition. (VCH Hampshire, iii, p. 278)"																																																																																																								
46	BOARHUNT	HAMPSHIRE	England	4604	1085									"VCH Hampshire, iii, p. 146"	GC	Sat	1				1303	25-May	K Edw I		Richard de Boarhunte		"CChR, 1300-26, p. 41"						"To be held at the manor. (CChR, 1300-26, p. 41) No trace of the market survived in the twentieth century. (VCH Hampshire, iii, p. 146)"																																							Y	GC	vfm	Thomas the Apostle	03-Jul	3				1303	25-May	K Edw I		Richard de Boarhunte		"CChR, 1300-26, p. 41"						"To be held at the manor. (CChR, 1300-26, p. 41) It is assumed that the fair was held on the Translation of Thomas the Apostle (7 Jul) rather than on the saint's feast day (21 Dec). No trace of the fair survived in the twentieth century. (VCH Hampshire, iii, p. 146)"																																												
19	BOTLEY	HAMPSHIRE	England	4511	1130					38.81	"The manor was held by the Botley family in the thirteenth century. In 1304, they conveyed it to a trust for the endowment of the chapel of St Elizabeth without Winchester. (VCH Hampshire, iii, p. 466)"			"VCH Hampshire, iii, p. 466"	GC	Tues	1				1267	13-Feb	K Hen III		John de Bottele		"CChR, 1257-1300, p. 73"						"To be held at the manor. (CChR, 1257-1300, p. 73) Market granted to St Elizabeth's College (Winchester), by K Hen VI in 1447. At the Dissolution, it passed with the manor to Sir Thomas Wriothesley. (VCH Hampshire, iii, p. 466)"																																							Y	GC	vfm	All Saints	01-Nov	3				1267	13-Feb	K Hen III		John de Bottele		"CChR, 1257-1300, p. 73"						"To be held at the manor. (CChR, 1257-1300, p. 73) Fair granted to St Elizabeth's College (Winchester), by K Hen VI in 1447. At the Dissolution, it passed with the manor to Sir Thomas Wriothesley. (VCH Hampshire, iii, p. 466)"																																												
48	"BRADING, ISLE OF WIGHT"	HAMPSHIRE	England	4606	873					27	"In 1285, Brading was held by K Edw I. (CCR, 1279-88, p. 344) The earliest date for the borough at Brading is 1547. (BF, p. 118)"			"VCH Hampshire, v, p. 158"	GL	Tues	1				1285	15-Nov	K Edw I				"CCR, 1279-88, p. 344"						"Order to the sh of Southampton to proclaim the market in the county court. (CCR, 1279-88, p. 344) The market, which had initially belonged to the king was granted by K Edw II to Piers Gaveston and Margaret his wife on 5 Apr 1309. To be held at the manor. Note by charter: 'vacated, because restored and cancelled'. (CChR, 1300-26, p. 127)"																																							Y	GL	vfm+1	Decollation of John the Baptist	29-Aug	4	feria			1285	15-Nov	K Edw I				"CCR, 1279-88, p. 344"						"Order to the sh of Southampton to proclaim the fair in the county court. (CCR, 1279-88, p. 344) The fair, which had initially belonged to the king was granted by K Edw II to Piers Gaveston and Margaret his wife on 5 Apr 1309. To be held at the manor. Note by charter: 'vacated, because restored and cancelled'. (CChR, 1300-26, p. 127)"																																												
61	BROCKENHURST	HAMPSHIRE	England	4302	1021						"The manor of Brookley was in Brockenhurst. In the 1334 Lay Subsidy, Brookley and Brockenhurst were assessed together at £44.25. (R. Coates, 'The Place-Names of Hampshire', (London, 1989), p. 43; Glasscock, p. 116)"			"VCH Hampshire, iv, p. 628"	GC	Tues	1				1347	22-Feb	K Edw III		John de Bokelond		"CPR, 1345-8, p. 530"						"To be held at the manor of Brookley. Granted by charter. (CPR, 1345-8, p. 530) VCH provides no further information for the market. (VCH Hampshire, iv, p. 628)"																																							Y	GC	vf+2	Translation of Thomas of Canterbury	07-Jul	4				1347	22-Feb	K Edw III		John de Bokelond		"CPR, 1345-8, p. 530"						"To be held at the manor of Brookley. Granted by charter. (CPR, 1345-8, p. 530) VCH provides no further information for the fair. (VCH Hampshire, iv, p. 628)"																																												
1	BROUGHTON	HAMPSHIRE	England	4309	1329					151.11				"VCH Hampshire, iv, p. 493"	GC	Mon	1				1247	02-Feb	K Hen III		John Mansel		"CChR, 1226-57, p. 312"						To be held at the manor.																																							Y	GC	vf+2	Mary Magdalen	22-Jul	4				1247	02-Feb	K Hen III		John Mansel		"CChR, 1226-57, p. 312"						To be held at the manor.																																												
