Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	BODENHAM	HEREFORDSHIRE	England	3530	2509						"In the 1334 Lay Subsidy, Bodenham was one of nine places valued together at £75.5. (Glasscock, p. 123)"				GC	Tues	1				1378	12-Jul	K Ric II		"Walter Deveros, kn"		"CChR, 1341-1417, p. 248"						To be held at the manor.																																							Y	GC	vfm	Assumption	15-Aug	3				1378	12-Jul	K Ric II		"Walter Deveros, kn"		"CChR, 1341-1417, p. 248"						To be held at the manor.																																												
2	BRAMPTON BRYAN	HEREFORDSHIRE	England	3371	2724										GC	Tues	1				1252	06-Feb	K Hen III		Brian de Brampton		"CChR, 1226-57, p. 377"																																													Y	GC	vfm	Barnabas	11-Jun	3				1252	06-Feb	K Hen III		Brian de Brampton		"CChR, 1226-57, p. 377"																																																		
26	BROMYARD	HEREFORDSHIRE	England	3656	2548	Y	1250x88	"BF, p. 122"		51.19		Y	"Everitt, p. 471"		PB																		No further information for market.																																							Y	GO	vf	Philip and James the Apostles	01-May	2	feria			1218	04-Oct	K Hen III		bp of Hereford		C 60/9 m.2						"To be held at the manor. (C 60/9 m.2) 1218, Nova Oblata: he owed 5m.. Here the days of the fair is given as fm Philip and James. (PR, 2 Hen III, p. 92)"																																											"3 May (Harrison, p. 393)"	
11	CLIFFORD	HEREFORDSHIRE	England	3245	2455	Y	1086	"BF, p. 122; Darby, p. 365"							GC	Wed	1				1261	22-May	K Hen III		Walter de Clifford		"CChR, 1257-1300, p. 36"						To be held at the manor.																																							Y	GC	vfm	Assumption	15-Aug	3				1261	22-May	K Hen III		Walter de Clifford		"CChR, 1257-1300, p. 36"						To be held at the manor.																																												
13	CRADLEY	HEREFORDSHIRE	England	3739	2475					54.38					GC	Tues	1				1284	28-Dec	K Edw I		"Richard, bp of Hereford"		"CChR, 1257-1300, p. 281"						To be held at the manor. 																																							Y	GC	vfm+1	Barnabas	11-Jun	4				1284	28-Dec	K Edw I		"Richard, bp of Hereford"		"CChR, 1257-1300, p. 281"						To be held at the manor.																																												
24	EARDISLEY	HEREFORDSHIRE	England	3315	2497										GL	Wed	1		mercatum		1225	27-May	K Hen III		Walter de Baskerville		"RLC, ii, p. 41"						To be held at the manor until the king came of age. Mandate to the sh of Herefordshire to cause him to have it. 																																							Y	GL	vf	Mary Magdalene	22-Jul	2	feria			1225	27-May	K Hen III		Walter de Baskerville		"RLC, ii, p. 41"						To be held at the manor until the king came of age.																																												
14	EATON TREGOSE	HEREFORDSHIRE	England	3606	2277																																																																			Y	GC	vfm	Decollation of John the Baptist	29-Aug	3				1285	10-Sep	K Edw I		John Tregoz		"CChR, 1257-1300, p. 324"						To be held at the manor.																																												
27	EWIAS HAROLD	HEREFORDSHIRE	England	3387	2286	Y	1300	"BF, p. 122"			"In 1086, there were two messuages ('masuras') in the castle, which may represent the beginning of a borough. (H.C. Darby and I.B. Terrett eds., 'The Domesday Geography of Midland England', (Cambridge, 1971), p. 105)"				PB																		No further information for the market.																																																																																																								
36	FOWNHOPE	HEREFORDSHIRE	England	3581	2342						"In the 1334 Lay Subsidy, Fownhope was valued with seven other places at £213.81. (Glasscock, p. 127)"				GL	Thurs	1		mercatum		1221	15-May	K Hen III		Roger de Chaundos son and heir of Robert de Chaundos		"RLC, i, p. 458"						To be held at the manor of Fothoppe until the king came of age. 																																							Y	GL	vf	Mary Magdalen	22-Jul	2	feria			1221	15-May	K Hen III		Roger de Chaundos son and heir of Robert de Chaundos		"RLC, i, p. 458"						To be held at the manor of Fothoppe until the king came of age. 																																												
34	GOODRICH	HEREFORDSHIRE	England	3576	2192										GL	Thurs	1		mercatum		1204	04-Aug	K John		W[illiam] Earl Marshall		"RLC, i, p. 4b"						To be held in the vill of Castle Goodrich. Mandate to the sh of Herefordshire.																																																																																																								
