Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
27	ASHWELL	HERTFORDSHIRE	England	5268	2398	Y	1086	"BF, p. 124; Darby, p. 365"		149.84	"K Edw the Confessor granted the manor to the A of Westminster by 1086. (B. Harvey, 'Westminster Abbey and its Estates in the Middle Ages' (Oxford, 1977), p. 346)"			"VCH Hertfordshire, iii, p. 200"	PB	Sat	1	1211		A of Westminster							"PR, 13 John, p. 122"						"In 1211, Nova Oblata: A of Westminster paid 10m. for the Sat market to be returned to Sun. (PR, 13 John, p. 122) In 1287, the A of Westminster successfully claimed that St Edw [the Confessor] former King of England, had granted his predecessors the market with the manor. (QW, p. 288) "																																																																																																								"In 1575, a Mon market was granted by Qu Eliz to the bp of London. (VCH Hertfordshire, iii, p. 200)"
11	AYOT ST LAWRENCE	HERTFORDSHIRE	England	5194	2169					33.17				"VCH Hertfordshire, iii, p. 61"	P			20 May 1506		"John More, William Greville and William Fairfax"							"CAD, i, B280"						"One third of an unspecified number of markets were granted to them, along with one third of the manor."																																							Y	GC	vfm	Lawrence	10-Aug	3				1257	14-Sep	K Hen III		William de Aete		"CChR, 1226-57, p. 474"						"To be held at the manor. (CChR, 1226-57, p. 474) On 19 Aug 1375, a fair on the feast of Laurence was recorded, held by Richard de Pembrugge, kn, recently deceased. (CIPM, xiv, no. 191) On 20 May 1506, one third of an unspecified number of fairs were granted to John More, William Greville and William Fairfax, along with one third of the manor. (CAD, i, B280) Fair recorded in 1617. (VCH Hertfordshire, iii, p. 61)"																																												
1	BALDOCK	HERTFORDSHIRE	England	5243	2339	Y	1138x85	"BF, p. 124"		132.58	"The borough was established by the Knights Templars, who were granted land in the manor in the mid-twelfth century. At the dissolution of the Templars in 1309, their lands fell to the Crown. By 1335, the manor had been granted to the Knights Hospitallers. In 1550, Baldock was described as a market town, but much decayed. (VCH Hertfordshire, iii, pp. 66-68) It is possible that Baldock was the 'villa de Novo Burgo' where the brothers of the Knights of the Temple had a Wed market in 1215. (RCh, p. 207)"	Y	"Everitt, p. 474"	"VCH Hertfordshire, iii, pp. 66-8."	GO		1	gr 1154x85			9		K Hen II		Knights Templars		"B.A. Lees, ed., 'Records of the Templars in England in the Twelfth Century: the inquest of 1185 with illustrative charters and documents', (London, 1935) , p. 141"						"Market (forum) recorded in 1185. Between 6 Julx31 Dec 1189, K Ric I confirmed to the Templars the market granted to them by his father K Hen II. The day of the market was not given. (B.A. Lees, ed., 'Records of the Templars in England in the Twelfth Century: the inquest of 1185 with illustrative charters and documents', (London, 1935), pp. 66, 141) On 16 Jul 1199, K John confirmed the market to the Templars; the day of the market was not given. (RCh, p. 3a)"	GC	Fri	1				1492	15-Mar	K Hen VII		"John Kendale, P of the Hospitallers and the brethren"		"CPR, 1485-94, p. 375"						"To be held on their ground. (CPR, 1485-94, p. 375) Day of the market changed to Sat in 1566. (VCH Hertfordshire, iii, p. 68)"																				Y	GC	f+4	Matthew the Apostle	21-Sep	5	nundine			1199	16-Jul	K John		St Mary and the knightly brothers of the Temple of Solomon		"RCh, p. 2b"						"To be held in the vill. (RCh, p. 2b) Fair granted by K Hen III to the brethren of the Temple on 10 Feb 1227. (CChR, 1226-57, p. 5) Fair held by the Master of the Knights Templar recorded in 1278, held by a charter of K Hen III. (QW, p. 281) On 15 Mar 1492, K Hen VII granted John Kendale, P of the Hospitallers and the brethren, a fair on vfm Matthew to be held on their ground. (CPR, 1485-94, p. 375) Fair on the f of Matthew granted to Thomas Revett in 1566. (VCH Hertfordshire, iii, p. 67)"	GL	vf	Bartholomew	24-Aug	2	feria			1226	23-Apr	K Hen III		leprous brothers of St Mary Magdalene of Baldock		"RLC, ii, p. 107"						"To be held at their hospital without Baldock until the king came of age. (RLC, ii, p. 107) There is no further evidence for the fair. (VCH Hertfordshire, iii, p. 68)"	GP	vfm	James	25-Jul	3				1492	15-Mar	K Hen VII		"John Kendale, P of the Hospital of St John of Jerusalem in England and the brethren there"		"CPR, 1485-94, p. 375"						"Fair on the f of James granted to Thomas Revett in 1566. (VCH Hertfordshire, iii, p. 67)"	"25 Jul; 21 Sept (Harrison, pp. 395-6)"	
13	BARKWAY	HERTFORDSHIRE	England	5382	2356					132.94		Y	"Everitt, p. 474"	"VCH Hertfordshire, iv, p. 28"	GC	Tues	1				1270	28-Jun	K Hen III		Robert de Scales		"CChR, 1257-1300, p. 146"						To be held at the manor.																																							Y	GC	vfm+5	Mary Magdalen	22-Jul	8				1270	28-Jun	K Hen III		Robert de Scales		"CChR, 1257-1300, p. 146"						To be held at the manor. 																																												
34	BENINGTON	HERTFORDSHIRE	England	5297	2236					84.92				"VCH Hertfordshire, iii, p. 75"	GC	Wed	1				1304	26-Nov	K Edw I		John de Bensted		"CChR, 1300-26, p. 48"						"To be held at the manor. (CChR, 1300-26, p. 48) On 5 Feb 1380, K Ric II confirmed the 1304 grant to Edward Berstede, the new tenant of the manor. (CPR, 1377-81, p. 428) "																																							Y	GC	vfm	Peter and Paul	29-Jun	3				1304	26-Nov	K Edw I		John de Benstede		"CChR, 1300-26, p. 48"						"To be held at the manor. (CChR, 1300-26, p. 48) On 5 Feb 1380, K Ric II confirmed the 1304 grant to Edward Berstede, the new tenant of the manor. (CPR, 1377-81, p. 428) "																																												"On 25 Nov 1531, K Hen VIII confirmed a market, the day of which was not given, and a fair, the date of which was not given, to William Saperwyke, the original charter gr by K Edw I on 26 Nov 1304 being lost. (L and P Henry VIII, v, p. 559 (29))."
2	BERKHAMSTED	HERTFORDSHIRE	England	4996	2076	Y	1086	"BF, p. 124; Darby, p. 365"		154.89		Y	"Everitt, p. 474"	"VCH Hertfordshire, ii, p. 173"	PB	Sun	1	8 May 1218	mercatum								"RLC, i, p. 361"						"Sh of Hertfordshire ordered to make it known that the day of market changed from Sun to Mon, 8 May 1218. (RLC, i, p. 361) Sh of Bedfordshire and Buckinghamshire ordered to make the change known, 25 May 1218. (RLC, i, p. 362b) A market, the day of which was not noted, was mentioned in 1221. (RLC, i, p. 451)"																																							Y	GC	f+7	Invention of the Cross	03-May	8				1245	11-Mar	K Hen III		R[ichard] earl of Cornwall		"CChR, 1226-57, p. 281"						"To be held at the manor. (CChR, 1226-57, p. 281) Mandate to the sh of Hertfordshire to proclaim the fair and cause it to be held, 11 Mar 1245. (CR, 1242-7, p. 292) In 1616, it was stated the the fair had formerly been held, but had fallen into disuse. (VCH Hertfordshire, ii, p. 173)"																																												"VCH states that there was also a fair on feast of James (25 Jul) but provides no further evidence. (VCH Hertfordshire, ii, p. 173)"
14	BISHOP'S STORTFORD	HERTFORDSHIRE	England	5486	2213	Y	1306x36	"BF, p. 125"		96.24		Y	"Everitt, p. 474"	"VCH Hertfordshire, iii, pp. 292, 296-7"	PB		1	1346		bp of London							"VCH Hertfordshire, iii, pp. 292, 296"						An unspecified number of markets were recorded as part of the manor in 1437-8. 																																							Y	P					feria	1187	bp of London							"PR, 33 Hen II, p. 29"						"Fair recorded in 1188. (PR, 34 Hen II, p. 11) An unspecified number of fairs were recorded as part of the manor in 1437- 8. (VCH Hertfordshire, iii, p. 296)"																																											"Ascension day; Thurs after Trinity Sun; 8 Oct (Harrison, pp. 393-4, 396)"	
35	BRAUGHING	HERTFORDSHIRE	England	5396	2252					80.39				"VCH Hertfordshire, iii, p. 308"	P		1	1147-8	forum	Ca of Holy Trinity London							"Regesta, iii, no. 511"						"In 1147-8, K Steph confirmed his gift to the Ca of Holy Trinity London [London, Holy Trinity priory, Aldgate] of land to which the market pertained. (Regesta, iii, no. 511) A similar charter granted by Qu Matilda also mentioned the market. (Regesta, iii, no. 512) Robert, bp of London, confirmed the grant, presumably on the same date. (F. Neininger ed., 'English Episcopal Acta 15, London 1076-1187', British Academy (Oxford, 1999) no. 53) In 1147x54, K Steph granted his protection to those going to the market held by the Ca of Holy Trinity London. (Regesta, iii, no. 514)"																																																																																																								
12	BUCKLAND	HERTFORDSHIRE	England	5355	2334					38.67				"VCH Hertfordshire, iv, p. 43"	GC	Tues	1				1258	17-Jun	K Hen III		Philip de Boclaunde		"CChR, 1257-1300, p. 12"						"The thirteenth century market was 'largely speculative and ephemeral'. (M. Bailey, 'A tale of two towns: Buntingford and Standon in the later Middle Ages', Journal of Medieval History, 19 (1993), p. 361)"																																							Y	GC	vfm	Simon and Jude	28-Oct	3				1258	17-Jun	K Hen III		Philip de Boclaunde		"CChR, 1257-1300, p. 12"																																																		
15	BUNTINGFORD	HERTFORDSHIRE	England	5363	2293						"Buntingford was a small hamlet in the thirteenth century, but began to develop urban functions in the early fourteenth century. By 1360, it had overtaken nearby Chipping, Hertfordshire (q.v). The development of Buntingford is also linked to the decline of Standon, Hertfordshire (q.v). (M. Bailey, 'A tale of two towns: Buntingford and Standon in the later Middle Ages', Journal of Medieval History, 19 (1993), pp. 359-62) "	Y	"Everitt, p. 474"	"M. Bailey, 'A tale of two towns: Buntingford and Standon in the later Middle Ages', Journal of Medieval History, 19 (1993), pp. 351-71; VCH Hertfordshire, iv, pp. 43, 78"	P	Fri	1	20 Apr 1360		"Elizabeth de Burgo, [the king's] kinswoman"							"CChR, 1341-1417, p. 166"						"On 20 Apr 1360, in lieu of the market at Chipping, Hertfordshire (q.v.), K Edw III granted Elizabeth de Burgo a Fri market at Buntingford 'in the king's streets in the town'. Elizabeth paid half a mark to the king for the grant of this (and the fair below) and was to pay a further 6d. annually to the king, via the sh of Hertfordshire. The grant was made after an inquisition 'ad quod damnum' taken by the eschaetor in Hertfordshire found that the market was not to the damage of the king or any other. (CChR, 1341-1417, p. 166) When Elizabeth died later in 1360, her inheritance passed to Lionel, duke of Clarence, who held the market at nearby Standon, Hertfordshire (q.v.). Clarence suggested to the King that the market in the town of Buntingford, which was without the demesne of the inheritance, was harmful to his fair at Standon. On 6 Jul 1367, K Edw III therefore revoked the market. However, twelve days later, on 18 Jul 1367, the 'lords and tenants' of Buntingford proved that Elizabeth de Burgh had transferred control of the market to them, from her manor of Pope's Hall. Therefore, on 18 Jul 1367, K Edw III granted to the lords and tenants of Buntingford a market on Sat in lieu, to be held in the king's streets. (CChR, 1341-1417, p. 209) In 1385, it was stated that the [rent from the] market had been granted to John Rukke, deceased, by the late king [K Edw II]. On 13 Oct 1385, the rent from the market was granted by K Ric II to Thomas Stoute, groom of the butlery, for life. This was vacated, but granted again on 26 Nov 1385. On 22 Feb 1387, the letters patent granting the market to Thomas Stoute were revoked on the petition of John Rok and other lords and tenants of Buntingford, to whom the market was restored. (M. Bailey, 'A tale of two towns: Buntingford and Standon in the later Middle Ages', Journal of Medieval History, 19 (1993), pp. 351-71; CPR, 1385-9, pp. 22, 39, 285)"																																							Y	GC	fm	Invention of the Cross	03-May	2				1360	20-Apr	K Edw III		Elizabeth de Burgo [the king's] kinsman		"CChR, 1341-1417, p. 166"						"The grant was made after an inquisition 'ad quod damnum' taken by the eschaetor in Hertfordshire found that it was not to the damage of the king or any other. Elizabeth paid half a mark to the king for the grant (and for the market above) and was to pay a further 6d. annually to the king, via the sh of Hertfordshire. When Elizabeth died in 1360, her inheritance passed to Lionel, duke of Clarence, who suggested to K Edw III that the fair in the town of Buntingford, which was without the demesne of the inheritance, was harmful to him. On 6 Jul 1367, K Edw III thereford revoked the fair. However, on 18 Jul 1367, K Edw III granted to the 'lords and tenants' of Buntingford a fair on fm Peter and Paul (29 Jun) in lieu, to be held in the king's streets. (CChR, 1341-1417, p. 209; M. Bailey, 'A tale of two towns: Buntingford and Standon in the later Middle Ages', Journal of Medieval History, 19 (1993), pp. 359-62) In 1385, it was stated that the fair had been granted to John Rukke, deceased, by the late king. On 13 Oct 1385, the fair was granted to Thomas Stoute, groom of the butlery, for life. This was vacated, but granted again on 26 Nov 1385. On 22 Feb 1387, the letters patent granting the fair to Thomas Stoute were revoked on the petition of John Rok and other lords and tenants of Buntingford, to whom the fair was restored. (CPR, 1385-9, pp. 22, 39, 285) "																																											"17 Oct (Harrison, p. 396)"	"In 1385, the market and fair were extended at 13s. 4d. per annum. (CPR, 1385-9, p. 22)"
