Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
10	ARKHOLME	LANCASHIRE	England	3589	4718					9	"The market and fair at Arkholme were sometimes said to be at Hornby, Lancashire (q.v.). It is possible that in 1498 the market was at Arkholme and the fair was at Hornby. The two settlements were only two miles apart and belonged to the same lord. (VCH Lancashire, viii, pp. 192 n.16, 194 n. 61, 204 n. 4)"			"VCH Lancashire, viii, pp. 192, 204"	GC	Wed	1				1279	28-Dec	K Edw I		Geoffrey de Nevill		"CChR, 1257-1300, p. 221"						"To be held at the manor. (CChR, 1257-1300, p. 221) In 1292, Margareta, widow of Geoffrey de Nevill, was holding the market. (QW, p. 380) In 1345, Robert de Nevill of Hornby alleged that his ancient market at Arkholme was being damaged by that at Lancaster, Lancashire (q.v.). This was nine miles away. (VCH Lancashire, viii, p. 43)"																																							Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1279	28-Dec	K Edw I		Geoffrey de Nevill		"CChR, 1257-1300, p. 221"						"To be held at the manor. The feast of the fair was given as John the Baptist. (CChR, 1257-1300, p. 221) In 1292, Margareta, widow of Geoffrey de Nevill, was holding the fair by right of the charter; the feast was given as the Nativity of John the Baptist. (QW, p. 380) In 1345, Robert de Nevill of Hornby alleged that his ancient fair at Arkholme was being damaged by that at Lancaster, Lancashire (q.v.). (VCH Lancashire, viii, p. 43)"																																												
40	ASHTON UNDER LYNE	LANCASHIRE	England	3941	3990					45	"According to a charter granted to Sir George Booth in 1608, a Mon market and fairs on vfm Swithin (2 Jul) and vfm Martin (11 Nov) had been granted to Sir John de Ashton on 13 Feb 14 Hen VI (1436); the correct date may be 13 Feb 14 Hen IV (1413). (VCH Lancashire iv, p. 344, n. 71) In 1422, the tolls from the market and fairs amounted to 2m.. (J. Harland ed., 'Three Lancashire Documents of the Fourteenth and Fifteenth Centuries', The Chetham Society, lxxiv (1868), p. 102) "	Y	"Everitt, p. 468"	"VCH Lancashire, iv, p. 344"	P	Mon	1	1413?		Sir John de Ashton							"VCH Lancashire iv, p. 344, n. 71"						"Market recorded in 1422; the day of the market was not given. (J. Harland ed., 'Three Lancashire Documents of the Fourteenth and Fifteenth Centuries', The Chetham Society, lxxiv (1868), p. 102) In 1498, a Mon market was held by Sir Thomas de Ashton. (VCH Lancashire, iv, p. 344 n. 71)"																																							Y	P	1-2 Jul		01-Jul	2		1413?	Sir Thomas de Ashton							"VCH Lancashire iv, p. 344, n. 71"						"In 1422, an unspecified number of fairs were recorded; the feasts of the fairs were not given. (J. Harland ed., 'Three Lancashire Documents of the Fourteenth and Fifteenth Centuries', The Chetham Society, lxxiv (1868), p. 102) In 1498, Sir Thomas de Ashton was holding a fair on 1-2 Jul. (VCH Lancashire, iv, p. 344, n. 71)"	P	f	Martin in the winter	11-Nov	1		1498	Sir Thomas de Ashton							"VCH Lancashire, iv, p. 344, n. 71"																												"2 Jul (Harrison, p. 394)"	
1	BOLTON	LANCASHIRE	England	3718	4093	Y	1253	"BF, p. 131"		18.75		Y	"Everitt, p. 468"		GC	Mon	1				1251	14-Dec	K Hen III		"William de Ferrers, earl of Derby"		"CChR, 1226-57, p. 374"						To be held at the manor.	PB	Fri	1	1498									"VCH Lancashire, v, p. 249, n. 59"																										Y	GC	vfm	Margaret	20-Jul	3				1251	14-Dec	K Hen III		"William de Ferrers, earl of Derby"		"CChR, 1226-57, p. 374"						"To be held at the manor. (CChR, 1226-57, p. 374) A fair was recorded in 1295-6, the feast of which was not given. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society (1884) p. 15)"																																											"20 Jul (Harrison, p. 394)"	
15	BURNLEY	LANCASHIRE	England	3839	4327					19.5		Y	"Everitt, p. 468"		GC	Tues	1				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						"To be held at the manor. (CChR, 1257-1300, p. 436) Market recorded in 1295-6. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society (1884) p. 18)"																																							Y	GC	vfm	Peter and Paul	29-Jun	3				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						To be held at the manor.																																												
42	CASTLETON	LANCASHIRE	England	3884	4102					13.5					P	Wed	1	26 Feb 1311		"Henry de Lacy, earl of Lincoln"							"W. Farrer ed., 'Lancashire Inquests, Extents and Feudal Aids', ii, Lancashire and Cheshire Record Society, (1907), p. 15"						The toll of the market was worth 20s..																																							Y	P	f	Simon and Jude	28-Oct	1		26 Feb 1311	"Henry de Lacy, earl of Lincoln"							"W. Farrer ed., 'Lancashire Inquests, Extents and Feudal Aids', ii, Lancashire and Cheshire Record Society, (1907), p. 15"						The toll of the fair was worth 10s..																																												
12	CHARNOCK RICHARD	LANCASHIRE	England	3553	4158					17.25				"VCH Lancashire, vi, p. 205"	GC	Fri	1				1284	15-Sep	K Edw I		Henry de Lee		"CChR, 1257-1300, p. 278"						"To be held at the manor. (CChR, 1257-1300, p. 278) In 1292, William Lee, the son of the grantee successfully claimed the Fri market. A jury stated that William Lee and Henry Lee, while he lived, had held the market since the granting of the charter, according to the tenor of the charter. (QW, p. 369)"																																							Y	GC	vfm	Nicholas	06-Dec	3				1284	15-Sep	K Edw I		Henry de Lee		"CChR, 1257-1300, p. 278"						"To be held at the manor. (CChR, 1257-1300, p. 278) In 1292, William Lee, son of the grantee, was holding a fair at Charnock Richard, granted by K Edw I to Henry Lee, his father, by this charter. However, the feast of the fair was stated to be vfm Botolph the A (17 Jun). A jury stated that William Lee and Henry Lee, while he lived, had held the fair since the granting of the charter, according to the tenor of the charter. It is likely that a scribe made an error recording the feast of the fair in one of these sources. (QW, p. 369)"																																												
26	CHORLEY	LANCASHIRE	England	3582	4175	Y	1257	"BF, p. 131"		21.75		Y	"Everitt, p. 468"		PB	Tues	1	1498		"Lord Strange and Joan his wife, Sir Edward Stanley and Sir Richard Shirebourne"							"VCH Lancashire, vi, p. 143"																																													Y	P	vfm	Lawrence	10-Aug	3		1498	"Lord Strange and Joan his wife, Sir Edward Stanley and Sir Richard Shirebourne"							"VCH Lancashire, vi, p. 143"																																																		
27	CLITHEROE	LANCASHIRE	England	3740	4416	Y	1258	"BF, p. 131"		35.25		Y	"Everitt, p. 468"		PB	Sat	1	1292	mercatum	"Henry de Lacy, earl of Lincoln"							"QW, p. 382"						"In 1292, Henry de Lacy claimed that his ancestors had held the market since the time of K Wil I. (QW, p. 382) Market held by Henry de Lacy, earl of Lincoln recorded in 1295-6. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society (1884) p. 13)"																																							Y	GO	fm	Mary Magdalen	22-Jul	2	feria	gr 1202-03		9		K John		Roger de Lacy		"QW, p. 382"						"Fair held by Henry de Lacy, earl of Lincoln, in 1292. (QW, p. 382) In 1295-6, an unspecified number of fairs were being held by Henry de Lacy, earl of Lincoln. (Rev. P.A. Lyons ed., 'Two 'compoti' of the Lancashire and Cheshire manors of Henry de Lacy, earl of Lincoln', Chetham Society (1884) p. 13)"																																											"22 Jul, 8 Dec (Harrison, pp. 394, 397)"	
14	CROSTON	LANCASHIRE	England	3486	4186	Y	1195	"Beresford, unpublished list"		15				"VCH Lancashire, vi, p. 95"	GC	Wed	1				1283	15-Mar	K Edw I		William de la Mare		"CPR, 1388-92, p. 184"						"To be held at the manor. On 1 Feb 1390, K Edw I's charter was confirmed by K Ric II to Thomas Flemyng, kn, and Alice daughter of William de la Lee, kn, heirs of William de la Mare. (CPR, 1388-92, p. 184) On 28 Jun 1467, K Edw I's charter was confirmed by K Edw IV to Thomas Assheton and William Flemyng, heirs of Thomas Flemyng and Alice, daughter of William de la Lee. (CPR, 1466-77, pp. 16-17)"																																							Y	GC	vfm	Wilfrid the confessor	12-Oct	3				1283	15-Mar	K Edw I		William de la Mare		"CPR, 1388-92, p. 184"						"To be held at the manor. On 1 Feb 1390, K Edw I's charter was confirmed by K Ric II to Thomas Flemyng, kn, and Alice daughter of William de la Lee, kn, heirs of William de la Mare. (CPR, 1388-92, p. 184) On 28 Jun 1467, K Edw I's charter was confirmed by K Edw IV to Thomas Assheton and William Flemyng, heirs of Thomas Flemyng and Alice, daughter of William de la Lee. (CPR, 1466-77, pp. 16-17)"																																												
2	DALTON IN FURNESS	LANCASHIRE	England	3232	4741	Y	1239	"BF, p. 132"		45		Y	"Everitt, p. 468"	"VCH Lancashire, viii, pp. 286, 314"	PB		1	1292	mercatum	A of Furneys							"QW, p. 371"						"The A claimed the market 'ab antiquo'. (QW, p. 371) The market was allegedly being damaged by that at Ulverston, Lancashire (q.v.). (VCH Lancashire, viii, p. 350)"																																							Y	GC	vfm	All Saints	01-Nov	3				1239	13-May	K Hen III		A and M of Furness		"CChR, 1226-57, p. 243"							GC	vfm	Trans of Edward in the quinzaine of Michaelmas	13-Oct	3				1246	20-Jul	K Hen III		abbey of Furness and the A and M		"CChR, 1226-57, p. 295"						"In 1292, the A of Furneys claimed the fair by the charter. (QW, p. 271)"																							"In 1292, the A of Furneys claimed unspecified fairs 'ab antiquo'. (QW, p. 371)"
