Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ARNESBY	LEICESTERSHIRE	England	4618	2922					50					GC	Mon	1				1292	14-Oct	K Edw I		Hugh le Despenser		"CChR, 1257-1300, p. 424"						To be held at the manor.																																							Y	GC	vf+6	Matthew	21-Sep	8				1292	14-Oct	K Edw I		Hugh le Despenser		"CChR, 1257-1300, p. 424"						To be held at the manor.																																												
6	ASHBY DE LA ZOUCHE	LEICESTERSHIRE	England	4361	3168	Y	1330	"VCH Leicestershire, ii, p. 177"		108.75		Y	"Everitt, p. 474"		GO	Wed	1		mercatum		1219	22-Aug	K Hen III		Roger la Zuche		C 60/11 m.3						"Roger owed a palfrey for the grant of the market and of the fair (see below). (C 60/11 m.3) On 26 Apr 1230, Roger la Suche was pardoned the 5m. which he owed for having a market at his manor of Ashby de la Zouche. The letter close and the Chancellor's roll records that the debt was for a market, but the Pipe roll records that it was owed for a fair. (CR, 1227-31, p. 347; PR, 14 Hen III, p. 206)"	PB	Tues	1	4 May 1261		Alan la Zusch							"CChR, 1257-1300, p. 36"						"On 4 May 1261, K Hen III granted Alan la Zusch a weekly market on Sat at the manor in lieu of the market there on Tues. (CChR, 1257-1300, p. 36) On 4 Feb 1347, Alan la Zouche, kn, lately deceased, was holding a market. (CIPM, viii, no. 662)"																				Y	GO	vf	Elene	18-Aug	2	feria			1219	22-Aug	K Hen III		Roger la Zuche		C 60/11 m.3						Roger owed a palfrey for the grant of the fair and of the market (see above). It is assumed that the feast relates to the Empress Helen d.c.330.	P	f	Exaltation of Holy Cross	14-Sep	1		4 Feb 1347	"Alan la Zouche, kn"							"CIPM, viii, no. 662"						Alan was lately deceased. 	GC	v+4	Pentecost		5				1473	14-Nov	K Edw IV		"William Hastyngs, kn, Lord Hastings, chamberlain"		"CChR, 1427-1516, p. 241"								"Fair 4: GC v+4 Simon and Jude (28 Oct); gr 14 Nov 1473, by K Edw IV to William Hastyngs, kn, Lord Hastings, chamberlain. (CChR, 1427-1516, p. 241)"
17	BAGWORTH	LEICESTERSHIRE	England	4449	3080					20.25					GC	Fri	1				1270	17-Oct	K Hen III		"Edmund, the king's son"		"CChR, 1257-1300, p. 153"						To be held at the manor.																																							Y	GC	vfm	Exaltation of the Holy Cross	14-Sep	3				1270	17-Oct	K Hen III		"Edmund, the king's son"		"CChR, 1257-1300, p. 153"						To be held at the manor.																																												
1	BELTON	LEICESTERSHIRE	England	4448	3208					29.25					GC	Wed	1				1244	26-Feb	K Hen III		Ps and C of Grace Dieu		"CChR, 1226-57, p. 277"																																													Y	GC	vfm	octave of Holy Trinity		3				1244	26-Feb	K Hen III		Ps and C of Grace Dieu		"CChR, 1226-57, p. 277"																																																		
33	BELVOIR	LEICESTERSHIRE	England	4819	3337	Y	1166x1237	"Beresford, unpublished list"		43.5	Belvoir priory was Benedictine and dependant on St Alban's abbey.				PB																		No further information for the market.																																							Y	GO		Nativity of John the Baptist	24-Jun	8				1105		K Hen I		St Mary of Belvoir and St Alban 		"Regesta, ii, no. 689"						Probably granted in 1105.																																												
34	BREEDON ON THE HILL	LEICESTERSHIRE	England	4405	3228					107.25																																																														Y	GC	2+f+2	All Saints	01-Nov	5				1330	23-Jul	K Edw III		P and C of St Oswald of Nostell		"CChR, 1327-41, p. 186"						"To be held at the priory. Granted in lieu of the fair at Nostell, Yorkshire (q.v.)."																																												
9	CASTLE DONINGTON	LEICESTERSHIRE	England	4446	3273	Y	1311	"VCH Leicestershire, ii, p. 177"		52.5		Y	"Everitt, p. 474"		GC	Wed	1				1278	26-May	K Edw I		"Henry de Lascy, earl of Lincoln, constable of Chester"		"CChR, 1257-1300, p. 207"						To be held at the manor.																																							Y	GC	vfm	Edward the king	13-Oct	3				1278	26-May	K Edw I		"Henry de Lascy, earl of Lincoln, constable of Chester"		"CChR, 1257-1300, p. 207"						"To be held at the manor. (CChR, 1257-1300, p. 207) It has been assumed that the date of the feast relates to K Edw the Confessor."																																												
2	CROXTON KERRIAL	LEICESTERSHIRE	England	4838	3291					54					GC	Mon	1				1246	28-Dec	K Hen III		Nicholas de Cryoll		"CChR, 1226-57, p. 311"																																													Y	GC	vfm	Barnabas	11-Jun	3				1246	28-Dec	K Hen III		Nicholas de Cryoll		"CChR, 1226-57, p. 311"																																																		
25	GADDESBY	LEICESTERSHIRE	England	4690	3130						"In the 1334 Lay Subsidy, the part of Gaddesby taxed at a tenth was valued at £24.83 and the other part, taxed at a fifteenth, was valued at £58.5. (Glasscock, p. 161)"				GC	Wed	1				1306	05-Oct	K Edw I		Master and brethren of the Temple in England		"CChR, 1300-26, p. 71"						"To be held at the manor. Granted in lieu of their market at Rothley, Leicestershire (q.v.)."																																							Y	GC	f+3	Mary Magdalen	22-Jul	4				1306	05-Oct	K Edw I		Master and brethren of the Temple in England		"CChR, 1300-26, p. 71"						"To be held at the manor. Granted in lieu of their fair at Rothley, Leicestershire (q.v.)."																																												
30	GOADBY MARWOOD	LEICESTERSHIRE	England	4779	3263					27.38					GC	Mon	1				1319	26-Sep	K Edw II		John de Vaus		"CChR, 1300-26, p. 415"						To be held at the manor.																																							Y	GC	vfm	Assumption	15-Aug	3				1319	26-Sep	K Edw II		John de Vaus		"CChR, 1300-26, p. 415"						To be held at the manor.																																												
