Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
62	ALFORD	LINCOLNSHIRE	England	5455	3761					58.25		Y	"Everitt, p. 474"		GC	Tues	1				1283	10-Oct	K Edw I		William de Welle		"CChR, 1257-1300, p. 269"						"To be held at the manor. (CChR, 1257-1300, p. 269) On 6 May 1439, it was said that K Edw III [sic] had granted William Welles a Tues market by charter. Leo, lord Welles, the heir of William and tenant of the manor, surrendered the charter to be cancelled, in order that K Hen VI could grant him a Tues market. (CChR, 1427-1516, p. 5) "																																							Y	GC	vfm	Holy Trinity		3				1283	10-Oct	K Edw I		William de Welle		"CChR, 1257-1300, p. 269"						"To be held at the manor. (CChR, 1257-1300, p. 269) On 6 May 1439, it was said that K Edw III [sic] had granted William Welles a fair on vfm Holy Trinity by charter. (CChR, 1427-1516, p. 5) It is possible that the fair on Holy Trinity was superseded by that on Mon, Tues and Wed after Whitsunday."	GC	"Mon, Tues and Wed next after Whitsunday"	Whitsun		3				1439	06-May	K Hen VI		"Leo, lord Welles"		"CChR, 1427-1516, p. 5"						It is possible that this fair superseded that on Holy Trinity.	GC	vfm	Simon and Jude	28-Oct	3				1439	06-May	K Hen VI		"Leo, lord Welles"		"CChR, 1427-1516, p. 5"								
108	ANCASTER	LINCOLNSHIRE	England	4983	3437						"Ancaster was a Roman fort and town. In 1135x54, a Benedictine cell was established in adjacent Wilsford, dependant on the alien abbey of Bec-Hellouin and the priory of Envermeu, both of which were in Normandy. The cell was granted a manor and other lands in Wilsford, Ancaster and Kelby. The cell was granted to Bourne abbey in 1401. ('Medieval Religious Houses', pp. 85, 94) In the 1334 Lay Subsidy, part of Ancaster was valued with Wilsford at £61.80 and part with Willoughby and Sudbrook at £38.11. (Glasscock, pp. 172, 174)"				GO	Tues	1		mercatum		1203		K John		"P of Evermu [Envermeu priory, Normandy]"		"PR, 5 John, p. 99"						Nova Oblata: P of Evermue paid 5m. for a palfrey for having a market and fair at Ancaster.																																							Y	GO	f	Matthew the Apostle	21-Sep	1	feria			1203		K John		"P of Evermu [Envermeu priory, Normandy]"		"PR, 5 John, p. 99"						Nova Oblata: P of Evermue paid 5m. for a palfrey for having a fair and market at Ancaster. 																																												
44	APPLEBY	LINCOLNSHIRE	England	4952	4149					76.5					GC	Wed	1				1267	20-Feb	K Hen III		Geoffrey de Nevill		"CChR, 1257-1300, p. 73"						To be held at the manor.																																							Y	GC	vfm	Margaret	20-Jul	3				1267	20-Feb	K Hen III		Geoffrey de Nevill		"CChR, 1257-1300, p. 73"						To be held at the manor.																																												
118	BARDNEY	LINCOLNSHIRE	England	5118	3694					120.31	"Site of monastic house founded by the end of the seventh century, which was destroyed in the late ninth century. A Benedictine priory was founded here in 1087 by Gilbert de Ghent. (N. Bennett, 'Religious Houses', in S. Bennett and N. Bennett eds, 'An Historical Atlas of Lincolnshire', (Hull, 1993), p. 48; P. Sawyer, 'Anglo-Saxon Lincolnshire', History of Lincolnshire iii, (Lincoln, 1998), p. 145)"				P	Sun	1	20 Jan 1232		A of Bardney							"CChR, 1226-57, p. 147"						"On 20 Jan 1232, K Hen III conceded to the A of Bardney that the market formerly held here on Sun would henceforth be held on Thurs. On 22 Jan 1232, the sh of Lincolnshire was ordered to publicise the market and cause it to be held. (CR, 1231-4, p. 22)"																																																																																																								
1	BARTON-UPON-HUMBER	LINCOLNSHIRE	England	5033	4220	Y	1298	"BF, p. 136"		245.75	"An important settlement in the tenth and eleventh centuries and probably associated with the neighbouring monastery at Barrow upon Humber founded in the seventh century. Portmoot recorded in 1216x72. Gilbert de Gant died in 1298; his estates were granted to Henry de Beaumont in 1307. (G. Platts, 'Land and People in Medieval Lincolnshire', (Lincoln, 1985), pp. 27, 189; BF, p. 136)"	Y	"Everitt, p. 474"		PB		1	1086	mercatum	Gilbert de Ghent							"Alecto Historical Editions, 'The Lincolnshire Domesday', (London, 1992), f. 354v"						"The market recorded in 1086 was associated with a ferry. (Alecto Historical Editions, 'The Lincolnshire Domesday', (London, 1992), f. 354v) In 1202, it was stated that the market of Barton-upon-Humber had been removed from Sun to Mon and that the town was held by Gilbert de Gant. The market was henceforth to be held on Mon. (D.M. Stenton ed.'The Earliest Lincolnshire Assize Rolls, 1202-09', Lincolnshire Record Society, xxii, (1926), no. 865) In 1281, Gilbert de Gaunt claimed a Mon market 'ab antiquo'. (QW, p. 424) On 16 Oct 1307, K Edw II granted Henry de Bello Monte a Mon market, to be held at the manor. (CChR, 1300-26, p. 107) On 14 Mar 1340, Henry de Bello Monte, late earl of Boghan, lately deceased, was holding a Mon market. (CIPM, viii, no. 271)"																																							Y	GC	f+7	Holy Trinity		8				1245	28-Oct	K Hen III		Gilbert de Gaunt		"CChR, 1226-57, p. 289"						"To be held at the manor. (CChR, 1226-57, p. 289) In 1281, Gilbert de Gaunt claimed the fair. (QW, p. 424)"	GC	vf+5	Exaltation of the Cross	14-Sep	7				1307	16-Oct	K Edw II		Henry de Bello Monte		"CChR, 1300-26, p. 108"						"To be held at the manor. (CChR, 1300-26, p. 108) On 14 Mar 1340, Henry de Bello Monte, late earl of Boghan [Buchan], lately deceased, was holding a fair on the feast of the Exaltation of Holy Cross. (CIPM, viii, no. 271)"																							
32	BASTON	LINCOLNSHIRE	England	5124	3140					132.28					GC	Thurs	1				1257	24-Oct	K Hen III		A and C of Croyland [Crowland]		"CChR, 1226-57, p. 476"						"To be held at the manor. (CChR, 1226-57, p. 476) In 1281, the A of Croylaund was holding the market. (QW, pp. 396, 402)"																																							Y	GC	vf+3	Nativity of John the Baptist	24-Jun	5				1257	24-Oct	K Hen III		A and C of Croyland [Crowland]		"CChR, 1226-57, p. 476"						"To be held at the manor. (CChR, 1226-57, p. 476) In 1281, the A of Croylaund was holding a fair on vf+3 Nativity of John the Baptist. (QW, pp. 396, 402)"																																												
40	BAUMBER	LINCOLNSHIRE	England	5222	3745					101.63	In Lindsey. 				GC	Thurs	1				1260	24-Jul	K Hen III		Philip de Kyme		"CChR, 1257-1300, p. 26"						To be held at the manor.																																							Y	GC	vf+2	Swithun	02-Jul	4				1260	24-Jul	K Hen III		Philip de Kyme		"CChR, 1257-1300, p. 26"						To be held at the manor.																																												
122	BELVOIR	LINCOLNSHIRE	England	4820	3339					43.5					GC	Tues	1				1261	14-Jun	K Hen III		Robert de Ros of Belver and Isabel his wife and her heirs		"CChR, 1257-1300, p. 36"						"To be held at the manor. (CChR, 1257-1300, p. 36) On 3 Nov 1388, K Ric II confirmed the charter to John de Roos of Hamelak, kinsman and heir of William de Ros of Hamelak. (CPR, 1385-89, p. 518)"																																							Y	GC	vfm	John the Baptist	24-Jun	3				1261	14-Jun	K Hen III		Robert de Ros of Belver and Isabel his wife and her heirs		"CChR, 1257-1300, p. 36"						"To be held at the manor. (CChR, 1257-1300, p. 36) On 3 Nov 1388, K Ric II confirmed the charter to John de Roos of Hamelak, kinsman and heir of William de Ros of Hamelak. In the 1388 confirmation, the fair was stated to be held at Midsummer. (CPR, 1385-89, p. 518) "																																												
2	BENNINGTON	LINCOLNSHIRE	England	5397	3465					210	Peter of Savoy was the uncle of Qu Eleanor of Provence; he died in 1268.				GC	Mon	1				1255	08-Apr	K Hen III		Peter of Savoy		"CChR, 1226-57, p. 443"						To be held at the manor.	P	Thurs	1	1281	mercatum	"Qu Eleanor [of Provence], the king's mother"							"QW, p. 399"																																																																																											
58	BICKER	LINCOLNSHIRE	England	5224	3378					172.5					P			1202	mercatum								"D.M. Stenton ed.'The Earliest Lincolnshire Assize Rolls, 1202-09', Lincolnshire Record Society, xxii, (1926), no. 931"																																																																																																														
