Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ACTON	MIDDLESEX	England	5201	1802					67.19				"VCH Middlesex, vii, p. 25"	GL	Mon	1		mercatum		1232	23-Jan	K Hen III		R. bp of London		"CR, 1231-4, p. 22"						"To be held at the manor. Order to the sh of Middlesex to make it known and cause it to be held. (CR, 1231-4, p. 22) There is no further evidence for this market. (VCH Middlesex, vii, p. 25)"																																																																																																								
2	BRENTFORD	MIDDLESEX	England	5175	1773					37.3		Y	"Everitt, p. 474"	"VCH Middlesex, vii, p. 136"	GC	Tues	1				1306	23-Dec	K Edw I		"Ps and N of St Helen's, London"		"CChR, 1300-26, p. 81"						"To be held at the manor of 'Braynford'. (CChR, 1300-26, p. 81) The rights in the market were leased in 1534; it was abolished in 1610. (VCH Middlesex, vii, p. 136)"																																							Y	GC	vf+4	Laurence	10-Aug	6				1306	23-Dec	K Edw I		"Ps and N of St Helen's, London"		"CChR, 1300-26, p. 81"						"To be held at the manor of 'Braynford'. (CChR, 1300-26, p. 81) The rights in the fair were leased in 1534; it was abolished in 1610. (VCH Middlesex, vii, p. 136)"																																											"10 Aug (Harrison, p. 395)"	
3	ENFIELD	MIDDLESEX	England	5328	1967					185.05				"VCH Middlesex, v, p. 237"	GC	Mon	1				1303	08-Apr	K Edw I		"Humphrey de Bohun, earl of Hereford and Essex and Elizabeth, countess of Holland, the king's daughter, his wife"		"CChR, 1300-26, p. 35"						To be held at the manor.																																							Y	GC	vfm	Andrew	30-Nov	3				1303	08-Apr	K Edw I		"Humphrey de Bohun, earl of Hereford and Essex and Elizabeth, countess of Holland, the king's daughter, his wife"		"CChR, 1300-26, p. 35"						"To be held at the manor. (CChR, 1300-26, p. 35) A fair on St Andrew's day was still held in the early twentieth century. (VCH Middlesex, v, p. 237)"	GC	vfm	Assumption	15-Aug	3				1303	08-Apr	K Edw I		"Humphrey de Bohun, earl of Hereford and Essex and Elizabeth, countess of Holland, the king's daughter, his wife"		"CChR, 1300-26, p. 35"						"To be held at the manor. (CChR, 1300-26, p. 35) The date of the fair was later changed to 23 September. (VCH Middlesex, v, p. 237)"																							
4	HARROW	MIDDLESEX	England	5153	1875					257.16				"VCH Middlesex, iv, p. 225"	GC	Mon	1				1261	07-Nov	K Hen III		B archbp of Canterbury		"CChR, 1257-1300, p. 38"						To be held at the manor.	GC	Wed	1				1314	01-Jun	K Edw II		W archbp of Canterbury		"CChR, 1300-26, p. 274"						"This market replaced that on Mon. It was held in K Hen VIII's reign, but had fallen into disuse by the end of the sixteenth century. (VCH Middlesex, iv, p. 225)"																				Y	GC	vfm	Nativity of Mary	08-Sep	3				1261	07-Nov	K Hen III		B archbp of Canterbury		"CChR, 1257-1300, p. 38"						"To be held at the manor. (CChR, 1257-1300, p. 38) On 1 Jun 1314, K Edw II granted W archbp of Canterbury a fair on vf Nativity of Mary. (CChR, 1300-26, p. 274)"																																												
5	HOUNSLOW	MIDDLESEX	England	5137	1757						"The grid references are to Holy Trinity church, which is on the old site of the Trinitarian friary. The exact location the market and fair is not known. (VCH Middlesex, iii, p. 127)"			"VCH Middlesex, iii, p. 112"	GC	Tues	1				1296	01-Jan	K Edw I		"ministers and friars of the Trinity, Hounslow"		"CChR, 1257-1300, p. 463"						"To be held at the manor. (CChR, 1257-1300, p. 463) Market had ceased to function by the sixteenth century. (VCH Middlesex, iii, p. 112)"																																							Y	GC	vfm+5	Holy Trinity		8				1296	01-Jan	K Edw I		"ministers and friars of Trinity, Hounslow"		"CChR, 1257-1300, p. 463"						"To be held at the manor. (CChR, 1257-1300, p. 463) Fair continued into the sixteenth century. (VCH Middlesex, iii, p.  112)"																																												
6	ISLEWORTH	MIDDLESEX	England	5167	1761					62.28				"VCH Middlesex, iii, p. 112"	GL	Thurs	1		mercatum		1231	08-Sep	K Hen III		Earl Richard [of Cornwall]		"CR, 1227-31, p. 556"						"To be held at Isleworth. Mandate to the sh of Middlesex to proclaim the market and cause it to be held. (CR, 1227-31, p. 556) Market may not have been established. (VCH Middlesex, iii, p. 112)"																																							Y	GL	Tues and Wed in Pentecost week	Pentecost		2	feria			1231	08-Sep	K Hen III		Earl Richard [of Cornwall]		"CR, 1227-31, p. 556"						"To be held at Isleworth. Mandate to the sh of Middlesex to proclaim the fair and cause it to be held. (CR, 1227-31, p. 556) Fair may not have been established. (VCH Middlesex, iii, p. 112)"																																												
7	LONDON	MIDDLESEX	England	5322	1810	Y	1066x75	"BF, p. 138; Darby, p. 366"	seventh century	11000	"Roman city. Bishopric from 604. London revived as a centre of trade in the seventh century, when the focus of commerce was in the large settlement outside the Roman walls to the west. Mint (probably within the walls) from the seventh century. At the end of the ninth century, the city within the walls was 'restored' and from then on served as London's principal focus of trade. A complex system of street markets evolved, with numerous specialised sites. The principal business street, Cheapside ('forum', 'Ceap', 'Chepe') is recorded by the twelfth century, but probably originated in the late ninth; Eastcheap is recorded by c.1100. (E. Ekwall, 'Street-Names of the City of London' (1954), pp. 182-3, 185; A. Vince, 'Saxon London, an archaeological investigation' (1990); I. Archer, C. Barron and V. Harding, 'Hugh Alley's Caveat: the markets of London in 1598' (London Topographical Society, 137, 1988); B.M.S. Campbell, J.A. Galloway, D. Keene and M. Murphy, 'A Medieval Capital and its Grain Supply' (1993))."	Y	"Everitt, p. 474"		PB PM			seventh century																																																						Y	P		Bartholomew	24-Aug			1154x89	"ch of Bartholomew, London [St Bartholomew's priory, London]"							"CChR, 1257-1300, p. 369"						"Fair mentioned in the charter which was inspected and confirmed by K Hen III on 15 Jun 1253 and by K Edw I on 10 Jul 1290. (CChR, 1257-1300, p. 369) In 1321, the P of Saint Bartholomew's claimed to have held the fair from time out of mind and produced charters showing that K Hen II had granted his peace to those coming to the fair, which K Hen III and K Edw I had confirmed. (QW, p. 467) The fair was still a major commercial occasion into the seventeenth century, but thereafter shows and a trade in trinkets predominated. The shows were prohibited in 1843, after which the fair quickly faded away and was last held in 1855. (H. Morley, 'Memoirs of Bartholomew Fair', (London, 1859); E.A.Webb, 'The Records of St. Bartholomew's Priory and of the Church and Parish of St Bartholomew the Great, West Smithfield', 2 vols (London, 1921), i, pp. 298-317)"	GL	v of Pentecost to octave of Holy Trinity	Pentecost		15	feria			1229	08-Feb	K Hen III				"CR, 1227-31, p. 151"						"To be held at East Smithfield, beyond the Tower of London. Mandate to the sh of London and of several other counties to proclaim the fair."																						"24 Aug (Harrison, p. 395) (Bartholomew fair)"	
8	PINNER	MIDDLESEX	England	5124	1896									"VCH Middlesex, iv, pp. 177, 225"	GC	Sat	1				1336	30-May	K Edw III		John archbp of Canterbury		"CChR, 1327-41, p. 360"						"To be held at the manor. 'Vacated because otherwise below'. (CChR, 1327-41, p. 360) On the same day, John archbp of Canterbury was granted a Wed market at the manor. (CChR, 1327-41, p. 373)"																																							Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1336	30-May	K Edw III		John archbp of Canterbury		"CChR, 1327-41, p. 360"						"To be held at the manor. 'Vacated because otherwise below'. (CChR, 1327-41, p. 360) Granted again on the same day.  (CChR, 1327-41, p. 373)"	GC	vfm	Decollation of John the Baptist	29-Aug	3				1336	30-May	K Edw III		John archbp of Canterbury		"CChR, 1327-41, p. 373"						To be held at the manor.																							
9	STAINES	MIDDLESEX	England	5038	1711					124.98		Y	"Everitt, p. 474"	"VCH Middlesex, iii, p. 20"	P	Sun	1	5 Nov 1218	mercatum								"RLC, i, p. 381b"						"The day of the market was changed from Sun to Fri. (RLC, i, p. 381b) The A of Westminster claimed a market, the day of which was not given, in 1274-5. (RH, i, p. 418) Fri market held by the A of Westminster recorded in 1294. (QW, p. 479) Market continued until the early nineteenth century. (VCH Middlesex, iii, p. 20)"																																							Y	GC	m+3	Ascension		4				1228	12-Feb	K Hen III		"Richard, A of Westminster"		"CChR, 1226-57, p. 67"						"To be held at the manor. (CChR, 1226-57, p. 67) Mandate to sh of Middlesex, 17 Feb 1228. (CR, 1227-31, p. 21) On 22 May 1241, K Hen III granted the A and M of Westminster the right to change the date of the fair to the vf+2 of the Nativity of Mary (8 Sept). On 24 Nov 1280, K Edw I inspected and confirmed this charter. (CChR, 1257-1300, p. 239) Fair recorded in 1294. (QW, p. 479) In the sixteenth century, a fair was held on 8 Sept. (VCH Middlesex, iii, p. 21)"																																												
10	UXBRIDGE	MIDDLESEX	England	5055	1841	Y	?1182x88	"W.T. Reedy ed., 'Basset Charters c.1120 to 1250', Pipe Roll Society new series 50 (London, 1995), no. 184"			"In the 1334 lay subsidy, Uxbridge was one of four places, including Colham, valued together at ú279.81."	Y	"Everitt, p. 474"	"VCH Middlesex, iv, pp. 75, 79"	GO		1	gr 1154x88			9		K Hen II		Gilbert Basset		"W.T. Reedy ed., 'Basset Charters c.1120 to 1250', Pipe Roll Society new series 50 (London, 1995), no. 184"						"No copy of this grant survives. It is known from a notification by Gilbert Basset, made in ?1182x88, in which he stated that K Hen II had conceded to him the right to establish a market ('mercatum') in his town of Uxbridge, and in which he now fixed the market on a Thurs (it is not clear if this had been specified in the grant from K Hen II)."	GC	Mon	1				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						"To be held at the manor. (CChR, 1257-1300, p. 436) Market held by Henry de Lacey, earl of Lincoln, recorded in 1294. (QW, p. 476)"																				Y	GC	vfm	Margaret	20-Jul	3				1239	20-Oct	K Hen III		William de Lungspee		"CChR, 1226-57, p. 247"						"Probably the location of the fair at '..uxebrugg' granted by K Hen III to William Lungspee; the place is not identified in the index to the Charter rolls. (CChR, 1226-57, p. 247) Fair on f Margaret recorded in 1281. (VCH Middlesex, iv, p. 79) Fair on vfm Margaret held by Henry de Lacey, earl of Lincoln and Margaret his wife recorded in 1294. (QW, p. 476) Margaret, wife of Henry de Lacy, earl of Lincoln, was the daughter of William Lungspee."	GC	vf	Michael	29-Sep	2				1294	06-Jun	K Edw I		"Henry de Lacy, earl of Lincoln"		"CChR, 1257-1300, p. 436"						"To be held at the manor. (CChR, 1257-1300, p. 436) Fair held by Henry de Lacey, earl of Lincoln, recorded in 1294. (QW, p. 576)"																						"20 Jul (Harrison, p. 394)"	
