Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ALDERTON	NORTHAMPTONSHIRE	England	4741	2469										GC	Thurs	1				1278	26-May	K Edw I		Payn de Cadurcis		"CChR, 1257-1300, p. 207"						To be held at the manor. 																																							Y	GC	vfm	Margaret	20-Jul	3				1278	26-May	K Edw I		Payn de Cadurcis		"CChR, 1257-1300, p. 207"						To be held at the manor.																																												
33	AYNHO	NORTHAMPTONSHIRE	England	4514	2331					67.31		Y	"Everitt, p. 475"		GC	Tues	1				1324	29-Mar	K Edw II		John de Claveryng		"CChR, 1300-26, p. 463"						"To be held at the manor. (CChR, 1300-26, p. 463) On 8 Dec 1330, K Edw III granted Ralph de Neville that if John de Claveryng died without an heir, he would inherit the market. (CChR, 1327-41, p. 196)"																																							Y	GC	vfm	James the apostle	25-Jul	3	feria			1207	10-Jun	K John		brothers of the hospital of St James of Aynho		"RCh, p. 167b"							GC	vf+2	Michael	29-Sep	4				1324	29-Mar	K Edw II		John de Claveryng		"CChR, 1300-26, p. 463"						"To be held at the manor. (CChR, 1300-26, p. 463) On 8 Dec 1330, K Edw III granted Ralph de Neville that if John de Claveryng died without an heir, he would inherit the fair. (CChR, 1327-41, p. 196)"																							
49	BARNWELL ALL SAINTS	NORTHAMPTONSHIRE	England	5047	2844									"VCH Northamptonshire, iii, p. 175 "	GC	Fri	1				1349	24-Nov	K Edw III		"John de Ravensholme, kn"		"CChR, 1341-1417, p. 119"						"To be held at the town. (CChR, 1341-1417, p. 119) VCH provides no further evidence for the market. (VCH Northamptonshire, iii, p. 175) "																																							Y	GC	f	Luke the Evangelist	18-Oct	1				1349	24-Nov	K Edw III		"John de Ravensholme, kn"		"CChR, 1341-1417, p. 119"						"To be held at the town. (CChR, 1341-1417, p. 119) VCH provides no further evidence for the fair. (VCH Northamptonshire, iii, p. 175)"																																												
19	BARNWELL ST ANDREW	NORTHAMPTONSHIRE	England	5049	2849					88.44	"The manor passed from Berenger le Moigne to Ramsey abbey in 1276. (VCH Northamptonshire, iii, p. 73)"			"VCH Northamptonshire, iii, p. 74 "	GC	Mon and Fri	2				1270	26-Feb	K Hen III		Berenger le Moigne		"CChR, 1257-1300, p. 136"						"To be held at the manor. (CChR, 1257-1300, p. 136) Presumably these markets were superseded by that on Wed."	GC	Wed	1				1278	05-Feb	K Edw I		A and C of Ramsey		"CChR, 1257-1300, p. 207"						"To be held at the manor. (CChR, 1257-1300, p. 207) In 1279, it was alleged that the market was damaging that at Oundle, Northamptonshire (q.v.). (VCH Northamptonshire, iii, p. 74) In 1282, the market was given up after an agreement with the A of Peterborough. (T. Stapleton ed., 'Chronicon Petroburgense', Camden Soc. 47, (London, 1848), pp. 31-3) "																				Y	GC	vf+6	Michael	29-Sep	8				1270	26-Feb	K Hen III		Berenger le Moigne		"CChR, 1257-1300, p. 136"						"To be held at the manor. (CChR, 1257-1300, p. 136) Fair granted by K Edw I to A and C of Ramsey on 5 Feb 1278. (CChR, 1257-1300, p. 207) "																																												
36	BOUGHTON	NORTHAMPTONSHIRE	England	4753	2659					32.75				"VCH Northamptonshire, iv, p. 78"																																																										Y	GC	vfm	Nativity of John the Baptist	24-Jun	3				1351	25-Feb	K Edw III		Henry Grene		"CChR, 1341-1417, p. 124"						"To be held at the manor. (CChR, 1341-1417, p. 124) Fair recorded in 1717. It was abolished in the early twentieth century. (VCH Northamptonshire, iv, p. 78)"																																												
42	BRACKLEY	NORTHAMPTONSHIRE	England	4587	2369	Y	1235x64	"BF, p. 141 "		165.25	"Originated on a Roman site next to St Peter's ch in Old Brackley. By 1173, a new town had been established, probably based on the castle. The small original settlement became known as Old Town. (Beresford, pp. 468-9)"	Y	"Everitt, p. 475"		PB	Sun	1	16 Mar 1218	mercatum								"RLC, i, p. 355b"						"Notice to sh of Northamptonshire to change the day of the market from Sun to Wed. (RLC, i, p. 355b) In 1330, Matilda de Holland was claiming a Wed market. (QW, p. 550)"																																							Y	P					nundinae	27 Nov 1243								"CRR, xvii, no. 936"						"A fair at Brackley was recorded on 27 Nov 1243, held on the Fri before the feast of Andrew ('die Veneris proxima ante festum sancti Andree'). (CRR, xvii, no. 936) In 1330, Matilda de Holland was claiming a fair on vfm Andrew (30 Nov). (QW, p. 550)"																																												
41	BRIGSTOCK	NORTHAMPTONSHIRE	England	4946	2852					90					GC	Sat	1				1466	09-May	K Edw IV		king's tenants of the town of Brigstock		"CChR, 1427-1516, p. 214"																																													Y	GC	f	Martin in the winter	11-Nov	1				1466	09-May	K Edw IV		king's tenants of the town of Brigstock		"CChR, 1427-1516, p. 214"							GC	f	George the martyr	23-Apr	1				1466	09-May	K Edw IV		king's tenants of the town of Brigstock		"CChR, 1427-1516, p. 214"																													
1	BRIXWORTH	NORTHAMPTONSHIRE	England	4747	2712					56.44				"VCH Northamptonshire, iv, p. 151"	GC	Tues	1				1253	16-Jan	K Hen III		Simon son of Simon		"CChR, 1226-57, p. 416"						"John de Verdon, grandson of the grantee, was holding the market in 1330. (QW, p. 513)"																																							Y	GC	vfm	Boniface	05-Jun	3				1253	16-Jan	K Hen III		Simon son of Simon		"CChR, 1226-57, p. 416"						"John de Verdon, grandson of the grantee, was holding the fair in 1330. (QW, p. 513)"																																												
24	BULWICK	NORTHAMPTONSHIRE	England	4962	2942					84.22					GC	Thurs	1				1293	27-Feb	K Edw I		Milicente de Monte Alto		"CChR, 1257-1300, p. 432"						"To be held at the manor. (CChR, 1257-1300, p. 432) William la Zouche de Haringworth, son of the grantee, was holding the market in 1330. (QW, p. 529)"																																							Y	GC	vfm	Matthew	21-Sep	3				1293	27-Feb	K Edw I		Milicent de Monte Alto		"CChR, 1257-1300, p. 432"						"To be held at the manor. (CChR, 1257-1300, p. 432) William la Zouche de Haringworth, son of the grantee, was holding the fair in 1330. (QW, p. 529)"																																												
2	CATESBY	NORTHAMPTONSHIRE	England	4526	2594					68.5	"Erroneously recorded as a borough in 1493 by Beresford and Finberg. (BF, p. 141; J. Laughton and C. Dyer, 'Small towns in the east and west Midlands in the later middle ages: a comparison, 'Midland History', xxiv (1999) p. 48 n. 11)"				GC	Mon	1				1246	21-Nov	K Hen III		Ps and N of Catesby		"CChR, 1226-57, p. 309"																																													Y	GC	vfm	Trans of Edmund the Confessor	09-Jun	3				1248	19-Dec	K Hen III		Ps and N of Catesby		"CChR, 1226-57, p. 338"																																																	"20 Jul (Harrison, p. 394)"	
3	CHARLTON	NORTHAMPTONSHIRE	England	4528	2359										GC	Fri	1				1250	15-Nov	K Hen III		"William de Ferrers, earl of Derby"		"CChR, 1226-57, p. 350"						To be held at the manor. 																																							Y	GC	vfm	Lawrence	10-Aug	3				1250	15-Nov	K Hen III		"William de Ferrers, earl of Derby"		"CChR, 1226-57, p. 350"						To be held at the manor.																																												
