Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
1	ALNMOUTH	NORTHUMBERLAND	England	4247	6105	Y	1147	"BF, p. 142"		3.75	"Perhaps an important centre known as 'Twyford' in the late seventh century. On 2 Jan 1208, K John granted Eustace de Vescy the right to have a port. (RCh, 174; PR, 10 John, p. 154; E. Bateson, 'A History of Northumberland', (London, 1895), ii, pp. 467-8)"				GC		1	gr 1152-c.1155	forum		9		"William, earl of Northumberland"		William de Vesci		"G. Barrow ed., 'Regesta Regum Scottorum', (Edinburgh, 1971), ii, no. 3, pp. 124-5"						"William de Vesci was to have his market 'apud Sanctum Walericium qui vocatur Neubiginge'. Charter granted 1152x1157, probably granted in 1152xc.1155. Day of the market is not given. The charter may imply that the market existed prior to the grant. (G. Barrow ed., 'Regesta Regum Scottorum', (Edinburgh, 1971), ii, no. 3, pp. 124-5) For the identification of 'Neubiginge' as Alnmouth, see E. Bateson, 'A History of Northumberland', (London, 1895), ii, pp. 468-70."	GC	Wed	1		mercatum		1208	02-Jan	K John		Eustace de Vescy		"RCh, p. 174; PR, 10 John, p. 154"						This charter appears to be a confirmation rather than a grant.	GC	Tues	1				1253	May	K Hen III		William de Vescy		"CChR, 1226-57, p. 434"						"To be held at the manor. Date missing from the roll. (CChR, 1226-57, p. 434) Tues market held by William de Vesci, son of the grantee, was recorded in 1293. (QW, p. 587) "	Y	GC	vfm+5	John the Baptist	29-Aug	8				1253	May	K Hen III		William de Vescy		"CChR, 1226-57, p. 434"						"To be held at the manor. Date not given on the roll. (CChR, 1226-57, p. 434) A fair on the Decollation of John the Baptist, held by William de Vesci, son of the grantee, was recorded in 1293. (QW, p. 587)"																																												
18	ALNWICK	NORTHUMBERLAND	England	4184	6135	Y	1157x85	"BF, p. 143"		45		Y	"Everitt, p. 468"		GC	Sat	1				1297	20-Aug	K Edw I		"Anthony Bek, bp of Durham"		"CChR, 1257-1300, p. 470"						To be held at the manor.																																							Y	GC	vf+5	Patrick	17-Mar	7				1297	20-Aug	K Edw I		"Anthony Bek, bp of Durham"		"CChR, 1257-1300, p. 470"						To be held at the manor. 	GO	f+7	Lucy	13-Dec	8		gr 1422x61 or 1470x71		9		K Hen VI		burgesses of Alnwick		"M.T. Martin ed., 'The Percy Chartulary', Surtees Society cxvii (Durham, 1911), p. 237 n"																													
27	BAMBURGH	NORTHUMBERLAND	England	4178	6350	Y	1169x70	"BF, p. 143"	1135-54	50	Royal stronghold from seventh century to 954 and subsequently seat of the earls of Northumberland.				PB PM		1	1279		burgesses of Bamburgh							"E. Bateson, 'A History of Northumberland', (London, 1893), i, p. 120"						"In 1279, the burgesses of Bamburgh were fined for introducing new customs (taking customs from those who sold corn) at their market. (E. Bateson, 'A History of Northumberland', (London, 1893), i, p. 120) On 16 Mar 1332, K Edw III granted the burgesses a Wed market in lieu of the Sun market which had been held from time immemorial. (CChR, 1327-41, p. 267) "																																							Y	P	f	Oswald 	05-Aug	1		16 Mar 1332	burgesses of Bamburgh							"CChR, 1327-41, p. 267"						"Said to have been held from time immemorial. K Edw III extended the fair for three days after the feast. (CChR, 1327-41, p. 267) It is assumed that the feast of the fair relates to Oswald, king of Northumbria, whose feast was also celebrated on 8 or 9 Aug."	P	f	Aidan	31-Aug	1		16 Mar 1332	burgesses of Bamburgh							"CChR, 1327-41, p. 267"						Said to have been held from time immemorial. K Edw III extended the fair for three days after the feast.																							
21	BARRISFORD	NORTHUMBERLAND	England	3916	5734					15.25					GC	Wed	1				1304	16-Jun	K Edw I		Robert de Umfravill		"CChR, 1300-26, p. 48"						To be held at the manor. 																																							Y	GC	f	Martin in the Winter	11-Nov	1				1304	16-Jun	K Edw I		Robert de Umfravill		"CChR, 1300-26, p. 48"						To be held at the manor. 																																												
19	BERWICK UPON TWEED 	NORTHUMBERLAND	England	4002	6528	Y	1119x24 (Scottish); 1302 (English)	"BF, p. 143"				Y	"Everitt, p. 468"		GC	Mon and Fri	2				1302	04-Aug	K Edw I		burgesses of Berwick upon Tweed		"CChR, 1300-26, p. 29"																																													Y	GC	Easter to Michaelmas	Easter						1302	04-Aug	K Edw I		burgesses of Berwick upon Tweed		"CChR, 1300-26, p. 29"						"The 1302 charter states that the burgesses were to have a fair from the Invention of the Cross (3 May) to the Nativity of John the Baptist (24 Jun). However, a note by the charter states that the fair was initially granted from Easter to Michaelmas and that afterwards 'by a petition in Parliament ... in the thirty-fifth year [presumably 1306-07] ... [the fair] was restored' to last from the Invention of the Cross to the Nativity of John. "																																												
2	BEWICK 	NORTHUMBERLAND	England	4068	6213						The grid references refer to Old Bewick.				GC	Thurs	1				1253	21-Jan	K Hen III		A and C of St Albans		"CChR, 1226-57, p. 416"						To be held at the manor. 																																																																																																								
22	BOLAM	NORTHUMBERLAND	England	4092	5827					12.87					GC	Mon	1				1305	05-Apr	K Edw I		Robert de Reynes and Thomas de Bekeryng		"CChR, 1300-26, p. 52"						To be held at the manor.																																							Y	GC	vfm	Michael	29-Sep	3				1305	05-Apr	K Edw I		Robert de Reynes and Thomas de Bekeryng		"CChR, 1300-26, p. 52"						To be held at the manor.																																												
39	BOLTON	NORTHUMBERLAND	England	4106	6136						"The hospital of Bolton was founded c.1225 by Robert de Ros. (Medieval Religious Houses, p. 344) On 6 Apr 1227, K Hen III inspected and confirmed a charter of Robert de Ros, who granted the hospital of St Thomas the Martyr in Bolton the town of Bolton and other possessions. (CChR, 1226-57, p. 30)"				GL	Wed	1		mercatum		1226	20-Jun	K Hen III		Robert de Ros		"RLC, ii, p. 122"						To be held at the manor until the king came of age. Mandate to the sh of Northumberland. 																																																																																																								
3	CHATTON	NORTHUMBERLAND	England	4056	6284					22.5					GC	Wed	1				1253	May	K Hen III		William de Vescy		"CChR, 1226-57, p. 434"						"To be held at the manor. Date of the grant is missing from the roll. (CChR, 1226-57, p. 434) Wed market held by William de Vesci, son of the grantee, recorded in 1293. (QW, p. 587)"																																							Y	GC	vfm+5	Exaltation of Holy Cross	14-Sep	8				1253	May	K Hen III		William de Vescy		"CChR, 1226-57, p. 434"						"To be held at the manor. Date of the grant is missing from the roll. (CChR, 1226-57, p. 434) Fair held by William de Vesci, son of the grantee, recorded in 1293. However, this was said to be vfm+5 Decollation of John the Baptist (29 Aug). As William de Vesci claimed the fair by the charter of K Hen III, it is likely that the feast of the fair recorded in 1293 was a scribal error. (QW, p. 587) "																																												
28	CORBRIDGE	NORTHUMBERLAND	England	3988	5644	Y	1201	"BF, p. 143"	1135-54 (feudal coinage not issued in K Steph's name)	90	"K John granted the manor with its appurtenances to Robert son of Roger in 1204-5. In 1293, the manor was held by his descendant, also called Robert son of Roger. (QW, p. 595)"				PB PM	Sat	1	1293	mercatum	Robert son of Roger							"QW, p. 595"						"In 1293, Robert son of Roger claimed that the market had been held at the manor by K John. "																																							Y	P	vfm	John the Baptist	24-Jun	3	feria	1293	Robert son of Roger							"QW, p. 595"						"In 1293, Robert son of Roger claimed that the fair had been held at the manor by K John. "																																												
