Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
23	BINGHAM	NOTTINGHAMSHIRE	England	4715	3398					72.5		Y	"Everitt, p. 475"		GC	Thurs	1				1314	15-Aug	K Edw II		Alice late the wife of Richard de Byngham and William son of Richard de Byngham and the heirs of his body		"CChR, 1300-26, p. 239"						"To be held at the manor. (CChR, 1300-26, p. 239) Alice, late the wife of Richard de Byngham and William son of Richard de Byngham were holding the market in 1329. (QW, p. 631) Market held by Richard de Byngham on 6 Nov 1387. (CIPM, xvi, p. 199) "																																							Y	GC	vf+4	Simon and Jude	28-Oct	6				1314	15-Aug	K Edw II		Alice late the wife of Richard de Byngham and William son of Richard de Byngham and the heirs of his body		"CChR, 1300-26, p. 239"						"To be held at the manor. (CChR, 1300-26, p. 239) Alice, late the wife of Richard de Byngham and William son of Richard de Byngham were holding the fair in 1329. (QW, p. 631) Fair on f Simon and Jude held by Richard de Byngham on 6 Nov 1387. (CIPM, xvi, p. 199) "																																												
26	BLYTH	NOTTINGHAMSHIRE	England	4623	3872					98.45		Y	"Everitt, p. 475"		GC		1		mercatum		1088		Roger de Builli and his wife Muriel		St Mary of Blyth and the M [Blyth priory]		"R.T. Timson ed., 'The Cartulary of Blyth Priory', Thoroton Society Record Series, xxvii, (1968), i, no. 325"						"In 1329, the P of Blyth was holding a Thurs market which he claimed from time immemorial. (QW, p. 616)"																																							Y	GC					feria			1088		Roger de Builli and his wife Muriel		St Mary of Blyth and the M		"R.T. Timson ed., 'The Cartulary of Blyth Priory', Thoroton Society Record Series, xxvii, (1968), i, no. 325"							P	fm	Ascension of the Lord		2		1329	P of Blyth							"QW, p. 616"						The P of Blyth claimed the fair from time immemorial. 	P	vfm	Denis	09-Oct	3	feria	1329	P of Blyth							"QW, p. 616"						The P of Blyth claimed the fair from time immemorial. 		Either of the fairs recorded in 1329 could be the same as that granted in 1088.
25	CARLTON ON TRENT	NOTTINGHAMSHIRE	England	4799	3640					28.62					GC	Thurs	1				1328	12-May	K Edw III		John de Crumbewell		"CChR, 1327-41, p. 85"						To be held at the manor.																																							Y	GC	vfm	Margaret	20-Jul	3				1328	12-May	K Edw III		John de Crumbewell		"CChR, 1327-41, p. 85"						To be held at the manor.																																												
12	COLSTON BASSET	NOTTINGHAMSHIRE	England	4695	3338					63.53					GC	Wed	1				1257	03-Sep	K Hen III		Ralph Basset of Drayton the younger		"CChR, 1226-57, p. 474"						"To be held at the manor. (CChR, 1226-57, p. 474) Having inspected the charter from K Hen III to Ralph Basset of Drayton, lately deceased, on 6 Apr 1284, K Edw I granted Ralph Basset (the original grantee's son) a weekly market at his manor on Fri, in lieu of that on Wed. (CChR, 1257-1300, p. 272) In 1329, Ralph Basset of Drayton (apparently the son of the Ralph Basset in the 1284 charter) was holding the market. (QW, pp. 614-15)"																																							Y	GC	vfm	Faith	06-Oct	3				1257	03-Sep	K Hen III		Ralph Basset of Drayton the younger		"CChR, 1226-57, p. 474"						"To be held at the manor. (CChR, 1226-57, p. 474) Having inspected the charter from K Hen III to Ralph Basset of Drayton, lately deceased, on 6 Apr 1284, K Edw I granted Ralph Basset (the original grantee's son) a yearly fair at his manor, as before. (CChR, 1257-1300, p. 272) In 1329, Ralph Basset of Drayton (apparently the son of the Ralph Basset in the 1284 charter) was holding the fair. (QW, pp. 614-15)"																																												
22	CUCKNEY NORTON	NOTTINGHAMSHIRE	England	4566	3714					65.44					GC	Mon	1				1317	03-Jan	K Edw II		Henry de Faucumberge		"CChR, 1300-26, p. 331"						To be held at the manor.																																							Y	GC	vf	James	25-Jul	2				1317	03-Jan	K Edw II		Henry de Faucumberge		"CChR, 1300-26, p. 331"						To be held at the manor.																																												
29	DUNHAM	NOTTINGHAMSHIRE	England	4815	3745					71.88	"On 28 Dec 1257, K Hen III granted William de Valence the manor of Dunham. (CChR, 1257-1300, p. 2)"				P		1	1281	mercatum	"William de Valentia, earl of Pembroke"							"QW, p. 432"						"William claimed that the manor with its liberties had been granted to him by K Hen III. (QW, p. 432) On 24 May 1296, the market was held by William de Valencia, earl of Pembroke. (CIPM, iii, no. 362) Mandate to the justices in eyre to permit Mary, late the wife of Aymer de Valencia, earl of Pembroke, lady of Dunham to have her Tues market at Dunham, which is twenty leuce distant from the town of Nottingham, 22 Feb 1330. (CCR, 1330-33, p. 124) In 1329, Maria, wife of Aymer de Valence was holding a Tues market. (QW, p. 640) Mary de Sancto Paulo, countess of Pembroke, held a market, the day of which was not given, on 22 Mar 1377. (CIPM, xiv, no. 339)"																																							Y	P					feria	1281	William de Valentia							"QW, p. 432"						"William claimed that the manor with its liberties had been granted to him by K Hen III. (QW, p. 432) On 24 May 1296, the fair was held by William de Valencia, earl of Pembroke. (CIPM, iii, no. 362) In 1329, Maria, wife of Aymer de Valence was holding a fair on vf Peter ad Vincula (1 Aug). (QW, p. 640) On 22 Mar 1377, Mary de Sancto Paulo, countess of Pembroke, held a fair, the feast of which was not given. (CIPM, xiv, no. 339)"																																												
24	EAST BRIDGFORD	NOTTINGHAMSHIRE	England	4691	3431					47.94					GC	Tues	1				1327	14-Jun	K Edw III		Philip de Caletoft		"CChR, 1327-41, p. 10"						"To be held at the manor. (CChR, 1327-41, p. 10) In 1329, Philip de Caltoft was holding the market. (QW, p. 629) On 22 Jan 1361, K Edw III granted a Tues market at the manor to Thomas atte Hethe and Alice his wife who held half the manor and to Robert Deyncourt who held the other half and the heirs of Alice and Robert. (CChR, 1341-1417, p. 168)"																																							Y	GC	vfm	Barnabas	11-Jun	3				1327	14-Jun	K Edw III		Philip de Caletoft		"CChR, 1327-41, p. 10"						"To be held at the manor. (CChR, 1327-41, p. 10) In 1329, Philip de Caltoft was holding the fair. (QW, p. 629) On 22 Jan 1361, K Edw III granted the fair at the manor to Thomas atte Hethe and Alice his wife who held half the manor and to Robert Deyncourt who held the other half and the heirs of Alice and Robert. (CChR, 1341-1417, p. 168)"	GC	f+2	Luke	18-Oct	3				1327	14-Jun	K Edw III		Philip de Caletoft		"CChR, 1327-41, p. 10"						"To be held at the manor. (CChR, 1327-41, p. 10) In 1329, Philip de Caltoft was holding the fair. (QW, p. 629) On 22 Jan 1361, K Edw III granted the fair at the manor to Thomas atte Hethe and Alice his wife who held half the manor and to Robert Deyncourt who held the other half and the heirs of Alice and Robert. (CChR, 1341-1417, p. 168)"																							
28	EDWINSTOWE	NOTTINGHAMSHIRE	England	4625	3670					41.8																																																														Y	GC	vf	Edwin the King	12-Oct	2				1381	29-Nov	K Ric II		tenants of the king's town of Edwinstowe		"CChR, 1341-1417, p. 273"																																																		
20	EPPERSTONE	NOTTINGHAMSHIRE	England	4651	3485					25					GC	Tues	1				1311	14-Apr	K Edw II		Payn Tybotot		"CChR, 1300-26, p. 159"						To be held at the manor.																																							Y	GC	vfm	Exaltation of the Cross	14-Sep	3				1311	14-Apr	K Edw II		Payn Tybotot		"CChR, 1300-26, p. 159"						To be held at the manor.																																												
17	FISKERTON	NOTTINGHAMSHIRE	England	4735	3510						"In the 1334 Lay Subsidy, Fiskerton was assessed jointly with South Muskham, Thurgarton and Horsepool at £26.37. (Glasscock, p. 231)"				GC	Tues	1				1270	23-Jul	K Hen III		P and C of Thurgarton		"CChR, 1257-1300, p. 149"						To be held at the manor. 																																							Y	GC	f+2	Holy Trinity		3				1270	23-Jul	K Hen III		P and C of Thurgarton		"CChR, 1257-1300, p. 149"						To be held at the manor.																																												
