Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
35	ADDERBURY	OXFORDSHIRE	England	4471	2353					159.12				"VCH Oxfordshire, ix, p. 24"	GL	Mon	1		mercatum		1218	26-Jul	K Hen III		P[eter] bp of Winchester 		"RLC, i, p. 366b"						To be held at the manor. Mandate to the sh of Oxfordshire to cause him to have it.																																																																																																								
1	BAMPTON	OXFORDSHIRE	England	4312	2033						"A minster and royal centre and probably a small town before 1066. K Hen III granted the royal manor to Imbert de Pugeys in 1238. In 1249, Pugeys surrendered the manor to William de Valence. (PR, 33 Hen II, p. xxxviii; VCH Oxfordshire, xiii, p. 22; CPR, 1247-58, p. 35) In the 1334 Lay Subsidy, Bampton and its members were assessed at £969.06. (Glasscock, p. 237)"	Y	"Everitt, p. 475"	"VCH Oxfordshire, xiii, p. 38 "	P		1	1086	mercatum								"VCH Oxfordshire, i, p. 400"						"Of the market, 50s.. (VCH Oxfordshire, i, p. 400) In 1187, the market was said to have rendered 70s. formerly, but a deduction of 25s. was sought from the half yearly farm of the manor, for losses caused by adulterine markets. (PR, 33 Hen II, p. 67) "	GC	Wed	1				1241	22-May	K Hen III		Imbert Pugeis		"CChR, 1226-57, p. 259"						"The market granted on 22 May 1241 may have been the same as that which flourished in the eleventh and twelfth centuries. On 16 Sept 1255, K Hen III granted the market to William de Valence, to be held at the manor. (CChR, 1226- 57, p. 449) In 1296, market tolls were worth 40s.. The market was in decline in 1673 and had fallen into disuse by 1766. (VCH Oxfordshire, xiii, p. 38)"																				Y	GC	vf	Assumption	15-Aug	2				1241	22-May	K Hen III		Imbert Pugeis		"CChR, 1226-57, p. 259"						"On 16 Sept 1255, K Hen III granted the fair to William de Valence, to be held at the manor. (CChR, 1226-57, p. 449) Fair recorded in 1592. The date of the fair was changed to 26 Aug in 1756; it continued into the twentieth century. (VCH Oxfordshire, xiii, p. 38)"																																												
23	BANBURY	OXFORDSHIRE	England	4455	2403	Y	1163x66	"BF, p. 147"		266.63	The borough was established at an important estate centre of the bp of Lincoln. It may have been a significant ecclesiastical centre since the founding of the see of Dorchester in the seventh century.	Y	"Everitt, p. 475"	"VCH Oxfordshire, x, pp. 6, 18, 58"	PB		1	1138-9									"VCH Oxfordshire, x, p. 58"						"In 1156x61 (possibly in 1155) K Hen II granted the ch of St Mary, Lincoln and Robert de Kaisneto, bp of Lincoln, a Thurs market (forum). (Actes de Henri II, i, p. 311) Market noted in 1170. (PR, 16 Hen II, p. 153) In Jul 1238, the sh of Northamptonshire was ordered to read the bp of Lincoln's charter prohibiting the market of Chipping Warden, Northamptonshire (q.v.) in full session of the county court and to prohibit the market if it was detrimental to the market at Banbury. (CR, 1237-42, p. 73) "																																							Y	GC	week of Pentecost	Pentecost		7	feria	gr 1154x64		9		K Hen II		"ch of St Mary, Lincoln and Robert bp of Lincoln"		"Actes de Henri II, i, p. 355; CChR, 1327-41, p. 143"						"To be held at the manor. (Actes de Henri II, i, p. 355; CChR, 1327-41, p. 143) On 17 Nov 1329, K Edw III granted Henry, bp of Lincoln an extension of the fair held on Thurs and Fri in Whitsuntide by eight days. (CChR, 1327-41, p. 136)"	P	vf	Ascension		2		17 Nov 1329	"Henry, bp of Lincoln"							"CChR, 1327-41, p. 136"						"On 17 Nov 1329, K Edw III granted Henry, bp of Lincoln an extension of the fair by eight days. "																							
2	BICESTER	OXFORDSHIRE	England	4588	2223					164.88	"The value for the 1334 Lay Subsidy relates to Market End. Bicester Kings End was a hamlet in Bicester parish, which was effectively an extension of Bicester Market End, although the two were administered separately. In the 1334 Lay Subsidy, Kings End was assessed at £78.87. (VCH Oxfordshire, vi, p. 19; Glasscock, p. 238)"	Y	"Everitt, p. 475"	"VCH Oxfordshire, vi, pp. 19, 31-6"	GC		1				1239	20-Oct	K Hen III		William Lungspee		"CChR, 1226-57, p. 247"						"The roll is damaged and the day of the market is not given. (CChR, 1226-57, p. 247) A Fri market was recorded in 1310, worth £1. Market recorded in 1349. (VCH Oxfordshire, vi, p. 32) On 1 Jun 1441, K Hen VI granted Robert Brooke, the king's servant, a new market for his lifetime only. The day of the market was not given. (CPR, 1436-41, p. 550) It is not clear how this market related to the existing Fri market. VCH suggests that both were held on Fri: the existing market remained in the Market Square, whilst the new market was established in Sheep Street. This market continued to be held by the lords of Market End manor. (VCH Oxfordshire, vi, p. 33)"																																							Y	GC	vfm	Edburga the Virgin	15-Jun	3				1252	20-Dec	K Hen III		William Lungspee		"CChR, 1226-57, p. 413"						"To be held at the manor. (CChR, 1226-57, p. 413) Feast date is assumed to be that of St Edburga of Winchester. "																																												
25	BIGNELL	OXFORDSHIRE	England	4558	2220					32.94	A hamlet in Bicester parish. It went into decline in the sixteenth century and has since disappeared. The grid references relate to Bignell house.			"VCH Oxfordshire, vi, pp. 23, 32-3"	GC	Mon	1				1377	20-Oct	K Ric II		"John de Worthe, kn"		"CChR, 1341-1417, p. 235"						"To be held at the manor. (CChR, 1341-1417, p. 235) On 13 Jul 1439, K Hen VI confirmed the market to Humphrey, earl of Stafford and John Felmersham, new tenants of the manor. (CPR, 1436-41, p. 288) On 2 Jul 1463, K Edw IV confirmed the market to John Stokes and Alice, his wife, the present tenants of the manor. (CPR, 1461-7, p. 276) "																																							Y	GC	vfm	James	25-Jul	3				1377	20-Oct	K Ric II		"John de Worthe, kn"		"CChR, 1341-1417, p. 235"						"To be held at the manor. (CChR, 1341-1417, p. 235) On 13 Jul 1439, K Hen VI confirmed the fair to Humphrey, earl of Stafford and John Felmersham, new tenants of the manor. (CPR, 1436-41, p. 288) On 2 Jul 1463, K Edw IV confirmed the fair to John Stokes and Alice, his wife, the present tenants of the manor. (CPR, 1461-7, p. 276) "																																												
19	BURFORD	OXFORDSHIRE	England	4253	2124	Y	1156	"BF, p. 147"		147.12	"Probably a small town by 1100, with a merchant guild and other privileges granted 1087x1107. (BF, p. 147)"	Y	"Everitt, p. 475"		PB			1147x83	mercatum								"R.B. Patterson ed., 'Earldom of Gloucester Charters', (Oxford, 1973), no. 43"						"The market was recorded in a charter of William, earl of Gloucester (1147x83), in which he confirmed the terms of a previous charter granted to Burford by Robert fitz Hamon in 1147x1155-8. (R.B. Patterson ed., 'Earldom of Gloucester Charters', (Oxford, 1973), no. 43) On 14 Dec 1375, the market was held by Edward le Despenser, recently deceased. (CIPM, xiv, p. 218)"																																							Y	GC	7+f+8	Nativity of John	24-Jun	16				1323	03-Jul	K Edw II		Hugh le Despenser the younger		"CChR, 1300-26, p. 453"						To be held at the manor.																																												
28	CHARLBURY	OXFORDSHIRE	England	4355	2194					48.38				"VCH Oxfordshire, x, pp. 144-6"	GC	Mon	1				1256	07-Feb	K Hen III		A and C of Eynsham		"H.E. Salter ed., 'Eynsham Cartulary', Oxford Historical Society, xlix, (Oxford, 1907), i, no. 302"						"On 22 Feb 1440, it was stated that the A and C of Eynsham held a Mon market by charters of previous kings and that the market was found to be useless to the A, C and to the men and tenants of the manor on that day. As the charters had been surrendered to be cancelled, K Hen VI granted the A and C of Eynsham a Fri market in lieu. (CChR, 1427- 1516, p. 8) In the sixteenth century the market was very small scale; it may have fallen into disuse. (VCH Oxfordshire, x, p. 145)"																																							Y	GC	vf+2	Assumption	15-Aug	4				1256	07-Feb	K Hen III		A and C of Eynsham		"H.E. Salter ed., 'Eynsham Cartulary', Oxford Historical Society, xlix, (Oxford, 1907), i, no. 302"						"Fair ceased to function in the mid seventeenth century. (VCH Oxfordshire, x, p. 145)"																																												
32	CHINNOR	OXFORDSHIRE	England	4758	2009	Y	1338	"BF, p. 147"		106.06	"Burgage plots are mentioned in 1338 and 1578-9, but the settlement seems to have been barely urban. "			"VCH Oxfordshire, viii, pp. 55-80"	PB																		No further information for the market.																																																																																																								
3	CHIPPING NORTON	OXFORDSHIRE	England	4312	2273	Y	1296	"BF, p. 147"		220.75	"Recorded as 'Chepingnorthona' in 1224. (M. Gelling, 'The Place Names of Oxfordshire', (Cambridge, 1954), ii, p. 368)"	Y	"Everitt, p. 475"		PB																		No further information for the market.																																							Y	GC	f+3	Invention of the Holy Cross	03-May	4	feria			1204	08-Sep	K John		William son of Alan		"RCh, p. 136b"						"K Hen III granted the fair to John son of Alan on 26 Jan 1253; it was to be held on vf+2 Invention of the Holy Cross. (CChR, 1226-57, p. 418)"	GC	vf+2	Barnabas 	11-Jun	4				1330	21-Feb	K Edw III		"Roger de Mortuo Mari, earl of March"		"CChR, 1327-41, p. 161"						To be held at the manor.																							
20	CHURCHILL	OXFORDSHIRE	England	4283	2241					160.06					GC	Fri	1				1327	14-Feb	K Edw III		Roger de Nouwers		"CChR, 1327-41, p. 8"						To be held at the manor.																																							Y	GC	vfm	Holy Trinity		3				1327	14-Feb	K Edw III		Roger de Nouwers		"CChR, 1327-41, p. 8"						To be held at the manor.																																												
