Place_ID_GAZ	MODNAME	County	Country_GAZ	GridX	GridY	Borough	Borough_1st_date	Borough_Source	Mint	VAL_1334	History_GAZ	Market_Town_c1600	Market_Town_Source	See_GAZ	M1	M1_DAYS	M1_No_Of_Days	M1_1st_Recorded	M1_Term_Used	M1_Prescriptive_Held_By	M1_Charter_Year	M1_Charter_Date	M1_Grantor	M1_Type_Grantor	M1_Grantee	M1_Grantee_Type	M1_Source	M1_Confirmation_Year	M1_Confirmation_Date	M1_Confirmation_From	M1_Confirmation_To	M1_Confirmation_Source	M1_Notes	M2	M2_DAYS	M2_No_Of_Days	M2_1st_Recorded	M2_Term_Used	M2_Prescriptive_Held_By	M2_Charter_Year	M2_Charter_Date	M2_Grantor	M2_Type_Grantor	M2_Grantee	M2_Grantee_Type	M2_Source	M2_Confirmation_Year	M2_Confirmation_Date	M2_Confirmation_From	M2_Confirmation_To	M2_Confirmation_Source	M2_Notes	M3	M3_DAYS	M3_No_Of_Days	M3_1st_Recorded	M3_Term_Used	M3_Prescriptive_Held_By	M3_Charter_Year	M3_Charter_Date	M3_Grantor	M3_Type_Grantor	M3_Grantee	M3_Grantee_Type	M3_Source	M3_Confirmation_Year	M3_Confirmation_Date	M3_Confirmation_From	M3_Confirmation_To	M3_Confirmation_Source	M3_Notes	Fair	Fair1	Fair1_Days_Held	Fair1_Feast	Fair1_Feast_Date	Fair1_Duration_Days	Fair1_Term_Used	Fair1_1st_reference	Fair1_Owner_Prescriptive	Fair1_Charter_Year	Fair1_Charter_Date	Fair1_Grantor	Fair1_Grantor_Type	Fair1_Grantee	Fair1_Grantee_Type	Fair1_Source	FAIR1_CONF_Year	FAIR1_CONF_Date	FAIR1_CONF_From	FAIR1_CONF_To	FAIR1_CONF_Source	Fair1_Notes	Fair2	Fair2_Days_Held	Fair2_Feast	Fair2_Feast_Date	Fair2_Duration_Days	Fair2_Term_Used	Fair2_1st_reference	Fair2_Owner_Prescriptive	Fair2_Charter_Year	Fair2_Charter_Date	Fair2_Grantor	Fair2_Grantor_Type	Fair2_Grantee	Fair2_Grantee_Type	Fair2_Source	FAIR2_CONF_Year	FAIR2_CONF_Date	FAIR2_CONF_From	FAIR2_CONF_To	FAIR2_CONF_Source	Fair2_Notes	Fair3	Fair3_Days_Held	Fair3_Feast	Fair3_Feast_Date	Fair3_Duration_Days	Fair3_Term_Used	Fair3_1st_reference	Fair3_Owner_Prescriptive	Fair3_Charter_Year	Fair3_Charter_Date	Fair3_Grantor	Fair3_Grantor_Type	Fair3_Grantee	Fair3_Grantee_Type	Fair3_Source	FAIR3_CONF_Year	FAIR3_CONF_Date	FAIR3_CONF_From	FAIR3_CONF_To	FAIR3_CONF_Source	Fair3_Notes	Harrison	Notes
21	ACTON BURNELL	SHROPSHIRE	England	3532	3019	Y	c.1269-70	"BF, p. 150"		33.44				"VCH Shropshire, viii, p. 10"	GC	Tues	1				1269	30-Nov	K Hen III		Robert Burnel		"CChR, 1257-1300, p. 132"						"To be held at the manor. (CChR, 1257-1300, p. 132) On 9 Jun 1364, K Edw III confirmed the market to Nicholas Burnel, kinsman and heir of Robert Burnel. (CChR, 1341-1417, p. 188) There is no later evidence for a market. (VCH Shropshire, viii, p. 10)"																																							Y	GC	vfm	Annunciation of Mary	25-Mar	3				1269	30-Nov	K Hen III		Robert Burnell		"CChR, 1257-1300, p. 132"						"To be held at the manor. (CChR, 1257-1300, p. 132) On 9 Jun 1364, K Edw III confirmed the fair to Nicholas Burnel, kinsman and heir of Robert Burnel. (CChR, 1341-1417, p. 188)"	GC	vfm	Michael	29-Sep	3				1269	30-Nov	K Hen III		Robert Burnell		"CChR, 1257-1300, p. 132"						"To be held at the manor. (CChR, 1257-1300, p. 132) On 9 Jun 1364, K Edw III confirmed the fair to Nicholas Burnel, kinsman and heir of Robert Burnel. (CChR, 1341-1417, p. 188)"																							
34	ADDERLEY	SHROPSHIRE	England	3662	3398					42.06					GC	Thurs	1				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						To be held at the manor.																																							Y	GC	vfm	Peter and Paul	29-Jun	3				1315	12-Aug	K Edw II		Bartholomew de Baddlesmere		"CChR, 1300-26, p. 283"						To be held at the manor.																																												
27	ALBERBURY	SHROPSHIRE	England	3359	3144					19.08				"VCH Shropshire, viii, p. 212"	GC	Fri	1				1284	16-Jun	K Edw I		Fulk son of Warin		"CChR, 1257-1300, p. 275"						"To be held at the manor. (CChR, 1257-1300, p. 275) There is no further evidence for the market. (VCH Shropshire, viii, p. 212)"																																							Y	GC	vfm	Ciricius and Julita	16-Jun	3				1284	16-Jun	K Edw I		Fulk son of Warin		"CChR, 1257-1300, p. 275"						"To be held at the manor. (CChR, 1257-1300, p. 275) There is no further evidence for the fair. (VCH Shropshire, viii, p. 212)"	GC	vfm	Michael	29-Sep	3				1284	16-Jun	K Edw I		Fulk son of Warin		"CChR, 1257-1300, p. 275"						"To be held at the manor. (CChR, 1257-1300, p. 275) There is no further evidence for the fair. (VCH Shropshire, viii, p. 212)"																							
1	ALBRIGHTON	SHROPSHIRE	England	3813	3041	Y	1303	"BF, p. 150"		45	It is probable that the manor passed from Ralph de Picheford to John la Warre.				GC	Tues	1				1232	24-Jan	K Hen III		Ralph de Picheford		"CChR, 1226-57, p. 148"						"Sh of Shropshire ordered to make the market known, 28 Jan 1232. (CR, 1231-4, p. 25) In 1285-6, toll of the market produced £2. (VCH Shropshire, iv, p. 68)"	GC	Tues	1				1303	30-Jun	K Edw I		John la Warre		"CChR, 1300-26, p. 35"						To be held at the manor.																				Y	GC	vfm	Trans of Thomas the Martyr	07-Jul	3				1232	24-Jan	K Hen III		Ralph de Picheford		"CChR, 1226-57, p. 148"						"Sh of Shropshire ordered to make the fair known, 28 Jan 1232. (CR, 1231-4, p. 25)"	GC	vfm	Trans of Thomas the Martyr	07-Jul	3				1303	30-Jun	K Edw I		John la Warre		"CChR, 1300-26, p. 35"						To be held at the manor.																							
15	ASTON BOTTEREL	SHROPSHIRE	England	3632	2841						"In the 1334 Lay Subsidy, Aston Botterel, Eardington, Hopton Wafers and Chetton were assessed together at £51.81. (Glasscock, p. 255)"				GC	Tues	1				1263	05-Dec	K Hen III		Thomas Boterel		"CChR, 1257-1300, p. 46"						"To be held at the manor. (CChR, 1257-1300, p. 46) Richard Boterel was holding the market in 1292. (QW, p. 675)"																																							Y	GC	vfm	Michael	29-Sep	3				1263	05-Dec	K Hen III		Thomas Boterel		"CChR, 1257-1300, p. 46"						"To be held at the manor. (CChR, 1257-1300, p. 46) Richard Boterel was holding the fair in 1292. (QW, p. 675)"																																												
20	ATCHAM	SHROPSHIRE	England	3541	3091					45.42	"Settlement on the river Severn developed by the A of Lilleshall, who constructed a bridge here in 1200-22. (VCH Shropshire, iv, pp. 68, 70)"																																																													Y	GC	f+2	Giles	01-Sep	3				1269	16-Oct	K Hen III		A of Lilleshall		"CChR, 1257-1300, p. 125"						"A of Lilleshull was holding the fair in 1292. (QW, p. 679)"	GC	f+2	Augustine in May	26-May	3				1276	25-Jun	K Edw I		A of Lilleshall		"CChR, 1257-1300, p. 199"						To be held at the manor.																							
44	BASCHURCH	SHROPSHIRE	England	3422	3219	Y	1227	"BF, p. 150"		85.78					GC	Tues	1				1256	13-May	K Hen III		A and M of Shrewsbury		"U. Rees ed., 'The Cartulary of Shrewsbury Abbey', (Aberystwyth, 1975), i, no. 52"																																													Y	GC	v+3	All Saints	01-Nov	4				1256	13-May	K Hen III		A and M Of Shrewsbury		"U. Rees ed., 'The Cartulary of Shrewsbury Abbey', (Aberystwyth, 1975), i, no. 52"																																																		
18	BETTON	SHROPSHIRE	England	3693	3372										GC	Thurs	1				1256	13-May	K Hen III		A and M of Shrewsbury		"U. Rees ed., 'The Cartulary of Shrewsbury Abbey', (Aberystwyth, 1975), i, no. 52"																																													Y	GC	v+3	Matthew	20-Sep	4				1256	13-May	K Hen III		A and M of Shrewsbury		"U. Rees ed., 'The Cartulary of Shrewsbury Abbey', (Aberystwyth, 1975), i, no. 52"																																																		
42	BISHOPS CASTLE	SHROPSHIRE	England	3323	2883	Y	1285	"BF, p. 150"		34.19		Y	"Everitt, p. 471"		GC	Wed	1				1394	18-Sep	K Ric II		John bp of Hereford		"CChR, 1341-1417, p. 349"						To be held at the manor.																																							Y	GC	f+2	02-Nov	02-Nov	3				1394	18-Sep	K Ric II		John bp of Hereford		"CChR, 1341-1417, p. 349"						To be held at the manor. Feast of the fair not given.																																												
41	BRIDGNORTH	SHROPSHIRE	England	3718	2929	Y	1101	"BF, p. 150"		244.12	"Borough moved to Bridgnorth from Quatford, Shropshire (q.v.) in 1101. In a charter of 1157, K Hen II granted his burgesses of Bridgnorth all the liberties and customs that they had under K Hen I (1100x35). (BF, p. 153)"	Y	"Everitt, p. 471"		PB																		No further information for the market.																																							Y	GL	vfm	Luke the Evangelist	18-Oct	3				1226	01-Aug	K Hen III		men of Bridgnorth		"RLC, ii, p. 135"							GC	f+3	Trans of Leonard	06-Nov	4				1359	01-May	K Edw III			bailiffs and good men of Bridgnorth	"CChR, 1341-1417, p. 159"						Feast assumed to be that of Leonard; no date for the translation of Leonard was available.																						"22 Jul; 17 Oct (Harrison, pp. 394, 396)"	
